Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0kO3njY9N1Rxgv27Ha1lLh,"Numb","Meteora (Bonus Edition)","Linkin Park",2003-03-25,187520,53,,2024-10-23T15:37:43Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,4
5GorCbAP4aL0EJ16frG2hd,"Boulevard of Broken Dreams","Greatest Hits: God's Favorite Band","Green Day",2017-11-17,262333,67,,2024-10-23T15:37:43Z,"punk,pop punk","Reprise",0.496,0.682,8,-4.095,1,0.0294,0.00552,0.0000294,0.0589,0.474,167.06,4
3ZOEytgrvLwQaqXreDs2Jx,"Can't Stop","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,269000,80,,2024-10-23T15:37:43Z,"funk rock,alternative rock,rock","Warner Records",0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
0COqiPhxzoWICwFCS4eZcp,"Bring Me To Life","Fallen","Evanescence",2003-03-04,235893,80,,2024-10-23T15:37:43Z,"alternative metal","The Bicycle Music Company",0.331,0.943,4,-3.188,0,0.0698,0.00721,0.00000206,0.242,0.296,94.612,4
4VqPOruhp5EdPBeR92t6lQ,"Uprising","The Resistance","Muse",2009-09-10,304840,71,,2024-10-23T15:37:43Z,"alternative rock,rock","Warner Records",0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,4
6GG73Jik4jUlQCkKg9JuGO,"The Middle","Bleed American","Jimmy Eat World",2001-07-17,165853,76,,2024-10-23T15:37:43Z,"emo,pop punk,emo pop","Interscope",0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
3Zwu2K0Qa5sT6teCCHPShP,"Thnks fr th Mmrs","Infinity On High","Fall Out Boy",2007-01-01,203506,74,,2024-10-23T15:37:43Z,"emo,pop punk,emo pop","Island Records",0.46,0.892,10,-5.046,0,0.0619,0.0051,0,0.106,0.59,154.844,4
2DlHlPMa4M17kufBvI2lEN,"Chop Suey!","Toxicity","System Of A Down",2001-09-04,210240,79,,2024-10-23T15:37:43Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4
0gmbgwZ8iqyMPmXefof8Yf,"How You Remind Me","Silver Side Up","Nickelback",2001-09-11,223840,80,,2024-10-23T15:37:43Z,"post-grunge,rock","Roadrunner Records",0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,4
18lR4BzEs7e3qzc0KVkTpU,"What I've Done","Minutes to Midnight","Linkin Park",2007-05-14,205226,77,,2024-10-23T15:37:43Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.627,0.935,5,-4.882,1,0.0324,0.0092,0,0.147,0.287,120.092,4
0lP4HYLmvowOKdsQ7CVkuq,"The Kill","A Beautiful Lie","Thirty Seconds To Mars",2005-08-16,231533,73,,2024-10-23T15:37:43Z,"modern rock","Virgin Records",0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,3
5W8YXBz9MTIDyrpYaCg2Ky,"Last Resort","Infest","Papa Roach",2001-04-25,199906,76,,2024-10-23T15:37:43Z,"nu metal,rap metal,alternative metal,rap rock,rock","Geffen",0.589,0.89,4,-3.719,0,0.06,0.000481,0.00082,0.201,0.687,90.586,4
1oTo3ijRbaDAtrjJrGAPSw,"I Miss You","blink-182","blink-182",2003-01-01,227240,72,,2024-10-23T15:37:43Z,"pop punk,punk,emo pop,rock,skate punk,emo","Geffen*",0.655,0.781,11,-6.547,1,0.034,0.00103,0.00000533,0.0867,0.584,110.024,4
5vfjUAhefN7IjHbTvVCT4Z,"Holiday","Holiday","Green Day",2005-03-30,233026,65,,2024-10-23T15:37:43Z,"punk,pop punk","Reprise",0.538,0.884,8,-3.251,1,0.031,0.000138,0,0.466,0.736,146.511,4
2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down","From Under The Cork Tree","Fall Out Boy",2005-05-03,229093,73,,2024-10-23T15:37:43Z,"emo,pop punk,emo pop","Island Records",0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,4
