Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4jlESrudjfKUVTfiUSoZNn,"Bach, JS: Goldberg Variations, BWV 988: I. Aria","50 Piano Classics","Johann Sebastian Bach,Maria Tipo",2011-04-19,185546,6,,2011-10-15T18:11:45Z,"classical,classical piano","Warner Classics",0.329,0.0208,7,-29.611,1,0.0416,0.995,0.899,0.114,0.175,103.172,4
61vI9p5TDJ6fp94qFYQiEZ,"Mozart: Piano Concerto No. 21 in C Major, K. 467 'Elvira Madigan': II. Andante (Excerpt)","50 Piano Classics","Wolfgang Amadeus Mozart,Bryden Thomson,Hallé",2011-04-19,320200,20,,2011-10-15T18:11:45Z,"classical,requiem,opera,classical piano,chamber music,orchestra","Warner Classics",0.237,0.0782,5,-22.682,1,0.0382,0.989,0.932,0.0992,0.084,97.348,4
70usfQaRmFcIF8JikuOkGW,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 Pathétique: II. Adagio cantabile","50 Piano Classics","Ludwig van Beethoven,Stephen Kovacevich",2011-04-19,333933,17,,2011-10-15T18:11:45Z,"classical,classical piano,chamber music","Warner Classics",0.375,0.00888,8,-30.658,1,0.0427,0.995,0.919,0.102,0.0951,127.876,3
0uROCAwmw3AnPaz7Sv1eTA,"Mozart: Piano Sonata No. 11 in A Major, Op. 6 No. 2, K. 331 Alla Turca: III. Allegretto. Turkish March","50 Piano Classics","Wolfgang Amadeus Mozart,Moura Lympany",2011-04-19,217226,9,,2011-10-15T18:11:45Z,"classical,requiem,opera,classical piano,chamber music","Warner Classics",0.484,0.146,9,-19.951,1,0.0394,0.991,0.959,0.0855,0.55,127.556,4
19NEY0lYEJDjXTN1C27227,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation XVIII. Andante cantabile","50 Piano Classics","Sergei Rachmaninoff,Cecile Ousset,City Of Birmingham Symphony Orchestra,Sir Simon Rattle",2011-04-19,186333,5,,2011-10-15T18:11:45Z,"classical,classical piano,orchestra","Warner Classics",0.223,0.169,1,-15.289,1,0.0326,0.989,0.814,0.12,0.0399,77.383,4
2aX8QLNJntpzpDawW1blTd,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","50 Piano Classics","Frédéric Chopin,Mikhail Pletnev",2011-04-19,263693,7,,2011-10-15T18:11:45Z,"classical piano,classical","Warner Classics",0.28,0.00811,1,-26.259,0,0.0497,0.992,0.921,0.0815,0.151,69.525,4
0drdD4nch45KqoS1ry2wp3,"Six Grand Etudes After Paganini (2001 Digital Remaster): III. No.3 'La Campanella'","50 Piano Classics","Franz Liszt,André Watts",2011-04-19,275640,5,,2011-10-15T18:11:45Z,"classical piano,classical","Warner Classics",0.34,0.273,8,-19.411,0,0.0354,0.973,0.866,0.0876,0.283,103.397,3
5IdMgGiQDBzKfZERTy3yyg,"Debussy: 2 Arabesques, CD 74, L. 66: No. 1, Andantino con moto","50 Piano Classics","Claude Debussy,Aldo Ciccolini",2011-04-19,261600,6,,2011-10-15T18:11:45Z,"classical piano,classical","Warner Classics",0.329,0.0637,6,-22.792,0,0.0401,0.994,0.929,0.108,0.158,106.491,3
6O3Ca4pWTx0TFy3wW9soGz,"Satie: 3 Gymnopédies: No. 1, Lent et douloureux","50 Piano Classics","Erik Satie,Aldo Ciccolini",2011-04-19,189026,7,,2011-10-15T18:11:45Z,"classical piano,classical","Warner Classics",0.585,0.025,7,-27.829,1,0.084,0.991,0.878,0.101,0.597,80.555,3
3SP9yu0VUfCNmCC3SLIZAG,"Fur Elise","50 Piano Classics","Ludwig van Beethoven,Jean-Bernard Pommier",2011-04-19,146200,23,,2011-10-15T18:11:45Z,"classical,classical piano,chamber music","Warner Classics",0.213,0.193,9,-21.349,0,0.0419,0.994,0.873,0.0704,0.548,171.927,4
1BYnKVGx2nkA3M3PrcON92,"Bach, JS: Herz und Mund und Tat und Leben, BWV 147: No. 10, Choral. Jesus bleibet meine Freude (Arr. Hess for Piano)","50 Piano Classics","Johann Sebastian Bach,Alexis Weissenberg",2011-04-19,211760,4,,2011-10-15T18:11:45Z,"classical,classical piano","Warner Classics",0.224,0.188,7,-20.499,1,0.0642,0.995,0.881,0.136,0.494,204.313,3
4Y6oywKAzrdzxstVkfzGI7,"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 Moonlight: I. Adagio sostenuto","50 Piano Classics","Ludwig van Beethoven,Mikhail Pletnev",2011-04-19,435826,16,,2011-10-15T18:11:45Z,"classical,classical piano,chamber music","Warner Classics",0.319,0.00714,1,-32.206,0,0.0515,0.995,0.9,0.129,0.163,66.712,4
55S3eDZeNdNlrqC9vrbJLj,"Frühlingslied Op.62 No.6","50 Piano Classics","Felix Mendelssohn,Jean-Bernard Pommier",2011-04-19,131960,6,,2011-10-15T18:11:45Z,"chamber music,classical,classical piano,choral","Warner Classics",0.442,0.0789,9,-22.122,1,0.047,0.995,0.952,0.114,0.918,174.742,4
