Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1Q2fYlSdwuutWj3QplhY9q,"Riot","One-X","Three Days Grace",2006-06-25,207586,65,theflyingpeach200,2020-06-10T04:06:05Z,"post-grunge,rock","Jive",0.185,0.948,8,-3.892,1,0.147,0.0104,0,0.105,0.316,196.578,3
6OMO6WdRhSfjMPAiPT94wH,"Painkiller","Human","Three Days Grace",2015-03-30,179160,64,theflyingpeach200,2020-06-10T04:06:09Z,"post-grunge,rock","RCA Records Label",0.376,0.95,9,-4.067,1,0.0641,0.00021,0,0.0377,0.438,178.018,4
0qBvoubmrmKDsknLBbOtUg,"Turn The Page","Garage, Inc.","Metallica",1998-11-24,366400,0,theflyingpeach200,2020-06-10T04:06:14Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings",0.422,0.818,8,-3.941,1,0.0319,0.0000164,0.0137,0.0931,0.228,149.045,4
2UDumaw7osnyjH7RZ2DLpB,"I Am Machine","Human","Three Days Grace",2015-03-30,200146,63,theflyingpeach200,2020-06-10T04:06:18Z,"post-grunge,rock","RCA Records Label",0.402,0.97,2,-4.538,0,0.0668,0.0000129,0.00000262,0.189,0.476,75.106,4
6xgO2ICtpT8jDcYvVsCKIB,"Wrong Side of Heaven","The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1","Five Finger Death Punch",2013-07-30,271000,0,theflyingpeach200,2020-06-10T04:06:23Z,"metal,groove metal,heavy metal,hard rock,rock","PROSPECT PARK",0.482,0.927,4,-5.122,0,0.0665,0.00662,0,0.282,0.529,150.015,4
5PZ2cqh9Yem2g6cTSOLllz,"Pain","One-X","Three Days Grace",2006-06-25,202973,63,theflyingpeach200,2020-06-10T04:06:31Z,"post-grunge,rock","Jive",0.416,0.741,7,-4.001,1,0.0335,0.00804,0,0.273,0.286,160.515,4
0LPx8WfsRrXCF92YtINFtN,"World so Cold","Life Starts Now","Three Days Grace",2009-09-22,243000,56,theflyingpeach200,2020-06-10T04:06:36Z,"post-grunge,rock","Jive",0.481,0.82,8,-3.508,1,0.031,0.00858,0,0.0756,0.345,139.936,4
5ghIJDpPoe3CfHMGu71E6T,"Smells Like Teen Spirit","Nevermind (Remastered)","Nirvana",1991-09-26,301920,74,theflyingpeach200,2020-06-10T04:06:55Z,"grunge,rock","Geffen",0.502,0.912,1,-4.556,1,0.0564,0.0000255,0.000173,0.106,0.72,116.761,4
79HeGKO8bLZjvSyVidqTiq,"So What","Human","Three Days Grace",2015-03-30,177666,46,theflyingpeach200,2020-06-10T04:10:33Z,"post-grunge,rock","RCA Records Label",0.514,0.957,7,-3.505,0,0.0477,0.00187,0,0.412,0.428,142.018,4
0XGV1bem5W9ICY2rgleryV,"Chalk Outline","Transit Of Venus","Three Days Grace",2012-10-02,181986,56,theflyingpeach200,2020-06-10T04:12:56Z,"post-grunge,rock","RCA Records Label",0.59,0.792,7,-5.013,1,0.0603,0.000567,0,0.0448,0.663,153.023,4
7q096gH9G0OjuUduheqM4l,"Human Race","Human","Three Days Grace",2015-03-30,249280,47,theflyingpeach200,2020-06-10T04:16:07Z,"post-grunge,rock","RCA Records Label",0.261,0.849,10,-5.146,1,0.0591,0.0565,0.00000184,0.242,0.23,142.791,4
57HYDcQvioMpUVeYsIDpsx,"The Mountain","The Mountain","Three Days Grace",2018-01-25,198360,0,theflyingpeach200,2020-06-10T04:30:30Z,"post-grunge,rock","RCA Records Label",0.492,0.932,10,-4.689,1,0.052,0.000572,0.00000475,0.123,0.33,92.497,4
2lF8jQFhIjpmQa501sYXxR,"The Unforgiven","Metallica","Metallica",1991-08-12,387133,0,theflyingpeach200,2020-06-11T19:07:55Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings",0.539,0.597,7,-9.581,1,0.0258,0.0108,0.00552,0.134,0.251,139.444,4
7GonnnalI2s19OCQO1J7Tf,"Kickstart My Heart","Dr. Feelgood","Mötley Crüe",1989,282653,15,theflyingpeach200,2020-06-11T19:09:15Z,"glam metal,hard rock,glam rock","Mötley Records",0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98,4
05RgAMGypEvqhNs5hPCbMS,"Panama - 2015 Remaster","1984 (Remastered)","Van Halen",1984-01-04,210226,70,theflyingpeach200,2020-06-11T19:09:22Z,"glam metal,classic rock,rock,hard rock","Rhino/Warner Records",0.526,0.978,8,-5.436,1,0.108,0.00122,0.0000475,0.0744,0.451,141.167,4
0CkspLl535ZxdwCRs8AdZ4,"Plush - 2017 Remaster","Core (Super Deluxe Edition)","Stone Temple Pilots",1992-09-29,313946,62,theflyingpeach200,2020-06-11T19:09:42Z,"grunge,alternative rock,post-grunge,rock","Rhino Atlantic",0.426,0.94,7,-5.279,0,0.0424,0.00671,0.00000172,0.14,0.466,144.472,4
0G21yYKMZoHa30cYVi1iA8,"Welcome To The Jungle","Appetite For Destruction","Guns N' Roses",1987-07-21,273480,77,theflyingpeach200,2020-06-11T19:09:52Z,"rock,glam metal,hard rock,classic rock","Guns N Roses P&D",0.454,0.987,8,-4.485,1,0.0881,0.0195,0.279,0.268,0.316,123.61,4
2KCJYwlBWxdlwyIYckIf6V,"Rag Doll","Permanent Vacation","Aerosmith",1987-01-01,265693,57,theflyingpeach200,2020-06-27T03:59:44Z,"classic rock,rock","Aerosmith P&D - Geffen",0.579,0.954,4,-3.947,1,0.0558,0.583,0,0.139,0.583,93.448,4
7pkWZL0kA26s754CwyK0SH,"Once Bitten Twice Shy","Twice Shy","Great White",1989-01-01,322896,4,theflyingpeach200,2020-06-27T19:35:22Z,"glam metal,glam rock,hard rock","Capitol Records",0.722,0.54,0,-14.025,1,0.0303,0.028,0.00319,0.133,0.608,131.676,4
2V8KvnD5LVeeDChMWEkSzC,"Nothin' But A Good Time - Remastered 2006","Open Up And Say...Ahh! (20th Anniversary Edition)","Poison",1988-03-21,224866,63,theflyingpeach200,2020-06-27T19:40:29Z,"glam metal,glam rock","Capitol Records",0.576,0.974,1,-2.785,1,0.0829,0.0199,0,0.348,0.53,129.088,4
