Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
49oV3dPlR3cyzuL8xYZruD,"Special Love - Micky More & Andy Tee 7 Jazz Mix","Special Love (Micky More & Andy Tee 7 Jazz Mix)","Jestofunk,Jocelyn Brown,Micky More & Andy Tee",2024-08-16,297067,33,,2024-08-16T04:00:00Z,"acid jazz,jazz funk,nu jazz,post-disco,nu disco,disco house,funky house","Groove Culture",0.665,0.943,0,-4.793,1,0.0491,0.00205,0.0248,0.0521,0.803,120.015,4
24SUWisv2lYQiB3bVpE1sn,"Virtual Insanity","Pop Music: The Modern Era 1976-1999","Jamiroquai",1999-10-11,227840,59,,2022-07-14T19:24:43Z,"acid jazz","Sony Music Entertainment",0.627,0.914,6,-7.494,1,0.0769,0.0627,0,0.147,0.627,91.891,4
7r3KxXhRx6sznqDL05497j,"C'était un rendez-vous","C'était un rendez-vous","Arms and Sleepers",2021-10-29,320737,20,,2022-07-18T17:17:22Z,"post-rock,ambient,trip hop,downtempo","Fake Chapter Records",0.578,0.605,6,-8.668,0,0.0372,0.252,0.856,0.0849,0.487,170.082,4
55vLT3xEExIooTieCfLjUQ,"Look Inside","Play With the Changes","4hero,Face",2007-01-28,246840,26,,2022-07-14T19:24:43Z,"acid jazz,nu jazz,jungle,drum and bass,trip hop,freestyle,chicago house,funk melody","Raw Canvas",0.678,0.828,1,-7.443,0,0.0861,0.174,0.0000468,0.0685,0.79,125.039,4
6Mbm86B4joMLyCncLCESCG,"Dog It","Blowout Comb","Digable Planets",1994-10-10,260693,46,,2022-07-14T19:24:43Z,"jazz rap,east coast hip hop,hip hop,acid jazz","Pendulum Records",0.901,0.361,11,-14.2,0,0.268,0.261,0.704,0.0598,0.514,92.118,4
604GSvawPBPTa36Bw2pifE,"TIBBE","GISEKE","Bluestaeb",2021-07-23,145181,31,,2022-07-14T19:24:43Z,"jazz rap,nu jazz","Jakarta",0.784,0.337,5,-9.53,1,0.0442,0.401,0.63,0.143,0.405,101.015,4
36rhJ2LhrKRdwjBzfZ5lLy,"Ring of Saturn","Ring of Saturn","Cory Wong,Dirty Loops",2021-08-27,240550,24,,2022-07-14T19:24:43Z,"jazz funk,jazz fusion","Roundwound Media, LLC. & Dirty Loops",0.707,0.495,11,-14.089,0,0.0452,0.498,0.885,0.0603,0.344,109.037,4
7a0i3hGEInHBswOYD5KaH4,"I'll Be With You","I'll Be With You","Apartment Upstairs,Doc Awes,Abhay Sharma,Fakeer",2021-01-02,222000,25,,2022-07-14T19:24:43Z,"acid jazz,indian indie","Apartment Upstairs",0.366,0.581,0,-8.947,1,0.129,0.00879,0,0.104,0.529,171.022,4
6tR6tndsAPNLd257UFjGGb,"Coffee Kingdom","Back & Forth","Nikitch,Kuna Maze",2022-05-27,430785,16,,2022-07-14T19:24:43Z,"nu jazz,acid jazz","Tru Thoughts",0.759,0.919,4,-8.081,0,0.0458,0.129,0.852,0.0794,0.398,126.991,4
6K53GM9W6Vle5KBwGFVnZM,"Space Cowboy","The Return of the Space Cowboy (Remastered)","Jamiroquai",1994-10-17,386973,55,,2022-07-14T19:24:43Z,"acid jazz","Sony Music UK",0.65,0.741,10,-8.368,0,0.118,0.155,0.404,0.175,0.751,110.179,4
23D6FgVV4VygFfJxAtk72J,"Nakamarra","Tawk Tomahawk","Hiatus Kaiyote,Q-Tip",2013-07-08,275320,51,,2022-07-14T19:24:43Z,"neo soul,alternative r&b,east coast hip hop","Pineapple Spaceship Pty. Ltd.",0.553,0.531,8,-6.767,1,0.132,0.656,0.0000484,0.11,0.326,92.049,4
4TJryQM96qMu04X4uvdBTm,"Pizza Pie","Pizza Pie","Let Your Hair Down",2021-08-27,186324,24,,2022-07-14T19:24:43Z,"acid jazz,jazz funk","College Of Knowledge Records",0.378,0.852,5,-3.644,0,0.129,0.0544,0.839,0.105,0.539,168.24,4
26q6YTrXt9l8qshIveiTX9,"Rebirth Of Slick (Cool Like Dat)","Reachin' (A New Refutation Of Time And Space)","Digable Planets",1993-01-01,261265,56,,2022-07-14T19:24:43Z,"jazz rap,east coast hip hop,hip hop,acid jazz","Pendulum Records",0.885,0.334,1,-18.944,0,0.227,0.048,0.0587,0.107,0.569,98.309,4
3WmH2tJbogJcrVSrtdlMPO,"Bridge Through Time","Love Is The Answer (Expanded)","Lonnie Liston Smith",1980-01-01,241373,34,,2022-07-14T19:24:43Z,"jazz funk,jazz fusion,acid jazz,soul jazz","Columbia/Legacy",0.591,0.641,2,-10.955,1,0.0429,0.666,0.0251,0.0828,0.717,80.917,4
2Mb3zpobD0CvJGWv6NpsPy,"They Reminisce Over You (T.R.O.Y.)","Mecca And The Soul Brother","Pete Rock & C.L. Smooth",1992-05-26,286693,55,,2022-07-14T19:24:43Z,"east coast hip hop,jazz rap,boom bap","Rhino",0.761,0.683,2,-10.889,1,0.164,0.141,0,0.342,0.671,101.787,4
3ipzZgH1766XXRamVwk1Iw,"I Juswanna Chill","The LP","Large Professor",2009-07-01,208866,45,,2022-07-14T19:24:43Z,"jazz rap,east coast hip hop,boom bap","Paul Sea Productions",0.754,0.801,1,-5.992,0,0.35,0.184,0,0.132,0.391,90.843,4
6vkvSBJIrpdbwwrmBrER8V,"Friends And Strangers","Friends & Strangers","Ronnie Laws",1977-01-01,289013,36,,2022-07-14T19:24:43Z,"jazz funk,smooth jazz,jazz fusion,acid jazz","EMI MUSIC JAPAN INC.",0.451,0.473,8,-12.78,0,0.0285,0.212,0.351,0.18,0.903,189.197,4
3yPaM6eae7ce5lOKxMfjVz,"El Momento","Agua de Jamaica","Sly5thAve,Roberto Verástegui",2022-03-25,199305,18,,2022-07-14T19:24:43Z,"indie jazz,nu jazz,acid jazz","Tru Thoughts",0.32,0.401,0,-8.409,0,0.0303,0.0952,0.41,0.165,0.0392,124.297,4
1mlwFuFOjVsKrYCCct8JQX,"Homecoming","SGJAZZ, Vol. 2","SGJAZZ,Dr. Dundiff",2021-11-26,256133,29,,2022-07-18T17:17:22Z,"jazz beats,acid jazz,soul jazz,nu jazz,lo-fi beats,lo-fi","Melting Pot Music",0.604,0.481,1,-10.131,1,0.0307,0.759,0.92,0.119,0.413,104.051,4
3Jao9qWPTZsU73GnM3VlGR,"Tokisan","YUNIKōN","New Cool Collective",2021-11-12,205160,27,,2022-07-14T19:24:43Z,"acid jazz,jazz funk,nederpop,big band,nu jazz","Dox Records",0.658,0.625,7,-10.787,0,0.0401,0.0959,0.907,0.0933,0.747,122.514,4
3yBO33Nyb6APYbeLESad7u,"Think Twice","Welcome 2 Detroit","Jay Dee,J Dilla",2001,232533,39,,2022-07-14T19:24:43Z,"alternative hip hop,jazz rap","BBE Music",0.731,0.314,9,-10.235,0,0.254,0.116,0.043,0.594,0.332,99.231,4
6YjqkGsBgRHqdnbCS4pbjs,"Free Your Mind","In the Hand of the Inevitable","James Taylor Quartet",1995-01-01,294240,29,,2022-07-14T19:24:43Z,"acid jazz,jazz funk,soul jazz,nu jazz,jazz fusion","Acid Jazz",0.66,0.814,0,-12.443,0,0.0393,0.0117,0.135,0.0668,0.766,114.225,4
1daWD98pKCAakccwswsUKv,"The Zodiac","The Urban Grooves: Album II","Down To The Bone",2018-12-12,471106,24,,2022-07-14T19:24:43Z,"acid jazz,jazz funk,smooth jazz,nu jazz,jazz fusion","Cutmore Records",0.749,0.792,10,-8.037,0,0.0561,0.125,0.9,0.0684,0.663,100.01,4
6Fsme6JdS9n1apzVi800jL,"Alright - Remastered 2006","Driving Songs","Jamiroquai",2005-01-01,222000,36,,2022-07-14T19:24:43Z,"acid jazz","Sony Music CG",0.817,0.943,7,-5.037,0,0.0436,0.106,0.000371,0.0585,0.946,105.823,4
4YZv78tF4qCI841KHRF3vf,"Water No Get Enemy","The Best of The Black President","Fela Kuti",1999-01-01,591706,38,,2022-07-14T19:24:43Z,"afrobeat,highlife,afropop","Knitting Factory Records",0.641,0.924,10,-7.697,0,0.0579,0.107,0.0269,0.0982,0.891,90.858,4
6jY7UcNWda03nyJ5XiqlYt,"Let It Flow (For DR. J)","Winelight","Grover Washington, Jr.",1980,350600,36,,2022-07-14T19:24:43Z,"soul jazz,smooth jazz","Rhino/Elektra",0.743,0.352,9,-17.225,0,0.061,0.146,0.104,0.0585,0.722,108.785,4
44gelCZF88DC5IRz5XmckW,"Mr. Jeckle","The Acid Jazz Collection: Jazz","Max Beesley's High Vibes",1991-01-01,244080,18,,2022-07-14T19:24:43Z,"acid jazz,jazz funk","Acid Jazz",0.655,0.903,4,-6.796,0,0.0629,0.00999,0.399,0.153,0.854,120.083,4
5lri4wmusuBlpOQWENexUK,"Playing my piano","Playing my piano","Don Laka",2021-11-12,381594,19,,2022-07-18T17:17:22Z,"acid jazz,italo disco,post-disco","Bokone Music",0.707,0.645,7,-7.599,1,0.0308,0.0842,0.91,0.285,0.174,110.986,4
1EiLrPd8JMTcQUr1aLEUKi,"Work","Moment Of Truth","Gang Starr",1998-03-31,177666,60,,2022-07-14T19:24:43Z,"east coast hip hop,hip hop,boom bap","Virgin Records",0.782,0.832,1,-4.671,1,0.3,0.0347,0,0.0593,0.816,92.625,4
09athuEe5kQfC7bV63jmGa,"Apple Green","The People Tree","Mother Earth",1993-01-01,265760,32,,2024-03-26T13:55:21Z,"acid jazz,jazz funk","Acid Jazz",0.463,0.582,7,-10.893,0,0.0394,0.12,0.0056,0.12,0.564,99.479,4
45muf22QzSyKwsF4l3IcwJ,"Searching","Vibrations","Roy Ayers Ubiquity",1976,240920,44,,2022-07-14T19:24:43Z,"jazz funk","Verve Reissues",0.468,0.76,4,-7.304,0,0.0529,0.535,0.0000081,0.0912,0.472,168.963,4
44Ln5NkkKk2yxZfQcqpVjx,"Clouds in the Sky","Leaves of Memories","Kwaj,V. Soul",2019-10-24,144500,22,,2022-07-14T19:24:43Z,"acid jazz,jazz rap","Shades Of Gold",0.72,0.683,1,-6.443,1,0.285,0.448,0,0.129,0.773,92.884,4
3E26XqV2an7iMYoEcUVdj4,"Where Are We Going?","Blackbyrd","Donald Byrd",1973-01-01,277333,40,,2022-07-14T19:24:43Z,"hard bop,jazz funk,jazz,soul jazz,jazz fusion,acid jazz","Blue Note Records",0.678,0.635,5,-11.954,1,0.0403,0.245,0.662,0.102,0.886,109.394,4
0TU3NK4ZUwN1745QMn1I13,"Again Again","My Fish Is Burning EP","Kuna Maze",2021-10-07,305560,14,,2022-07-14T19:24:43Z,"nu jazz,acid jazz","Tru Thoughts",0.753,0.853,1,-8.063,1,0.0505,0.385,0.868,0.0627,0.762,122.037,4
0bzFaHiymbvjmIDKf6XAbS,"Mellow My Man","Do You Want More?!!!??!","The Roots",1995-01-17,281866,48,,2022-07-14T19:24:43Z,"east coast hip hop,hip hop,jazz rap","Geffen",0.759,0.422,10,-9.745,0,0.324,0.00678,0,0.499,0.587,91.852,4
1VzhfMEGIIkn5hFITMJzW1,"Loungin'","Jazzmatazz Volume 1","Guru,Donald Byrd",1993-01-01,279640,52,,2022-07-14T19:24:43Z,"jazz rap,acid jazz,east coast hip hop,hard bop,jazz funk,jazz,soul jazz,jazz fusion","Chrysalis\EMI Records (USA)",0.716,0.58,10,-12.747,0,0.239,0.0694,0.00000671,0.906,0.707,99.077,4
5v1SuYGd6VFMGu8nVHzajO,"Back In The Day","Worldwide Underground","Erykah Badu",2003-09-01,286920,44,,2022-07-14T19:24:43Z,"neo soul,r&b","UNI/MOTOWN",0.744,0.548,5,-9.245,0,0.104,0.191,0.0232,0.186,0.524,91.845,4
5voWjUklIhjnNQU5aZCIm4,"Dreaming About You","Action","The Blackbyrds",1994-01-01,352400,42,,2022-07-14T19:24:43Z,"jazz funk","Fantasy Records",0.744,0.292,4,-16.592,0,0.0385,0.265,0.0959,0.0738,0.881,96.366,4
1FMGZE4pWo49VXyKeFeO5o,"Peer Pressure","The Whole Thing","The Whole Thing",1993-01-01,228933,19,,2022-07-14T19:24:43Z,"acid jazz,jazz funk,jazz fusion,soul jazz","Acid Jazz",0.597,0.476,7,-15.461,0,0.0748,0.0801,0.674,0.106,0.847,116.249,4
4TYEIckMi7PTCh1kiknKSy,"Knucklehead","Feels So Good","Grover Washington, Jr.",1975-01-01,479466,35,,2022-07-14T19:24:43Z,"soul jazz,smooth jazz","Verve Reissues",0.424,0.432,8,-13.014,1,0.0422,0.593,0.344,0.0764,0.832,174.03,4
5AiNMNnKQUYcKsuJoB6ITc,"Yes Baby Yes","Come Touch The Sun","Mo' Horizons",1999-08-01,300693,52,,2022-07-14T19:24:43Z,"acid jazz,nu jazz","Agogo Records",0.684,0.673,2,-9.593,1,0.0365,0.283,0.422,0.152,0.81,172.089,4
5fyRqeycMofUoGmDis5Gu6,"Bucktown","Dah Shinin'","Smif-N-Wessun",1995,237720,51,,2022-07-14T19:24:43Z,"east coast hip hop,boom bap,hip hop","Nervous Records",0.769,0.836,8,-4.15,1,0.244,0.0618,0,0.182,0.651,88.978,4
0XhBxYFy31XAUdVHDGUDJU,"Niassam","Lava Love","Zoe's Shanghai",2021-08-27,298722,22,,2022-07-14T19:24:43Z,"acid jazz,neo soul","Zoe's Shanghai",0.549,0.526,5,-13.262,1,0.0446,0.588,0.0119,0.0994,0.536,119.069,4
1JW36QtBxE4usZnSjYJz8W,"Check The Pulse","Check The Pulse","Mr Jukes,Barney Artist,Kofi Stone",2021-06-22,154520,21,,2022-07-14T19:24:43Z,"jazz rap","Locket Records",0.886,0.794,1,-5.125,1,0.217,0.567,0.000057,0.242,0.853,101.985,4
60tYJYZU9TwT39TlRd2ekD,"Dream Waves","Stratosphere Breakdown","New Jersey Kings",1995-01-01,295466,20,,2022-07-14T19:24:43Z,"acid jazz,jazz fusion,jazz funk","Acid Jazz",0.772,0.471,2,-14.078,1,0.0405,0.204,0.815,0.123,0.704,98.24,4
7DSKKjkdXccZpbhz0AhWZM,"Dark Clouds Rain Soul - Dub","Joyful Noise","Breakestra",2009-09-14,310214,29,,2022-07-14T19:24:43Z,"acid jazz,jazz funk,retro soul","Strut",0.862,0.97,6,-6.755,0,0.0568,0.101,0.652,0.0651,0.872,116.474,4
