Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5HFcMIGjUhxs4dPtN3b8cK,"Data","Emergence","Blanke,AUDIA",2024-03-22,189374,26,31cihvnvqfknrogikfcllrxr32l4,2025-02-19T18:06:49Z,"melodic bass,future bass,dubstep,edm,bass house,bass music","Monstercat",0.696,0.998,8,0.751,1,0.0665,0.0338,0.34,0.347,0.187,127.944,4
3uMe9Jrzjn006oHTAvgvYj,"AF1","AF1","THIRST",2024-09-25,111200,39,31cihvnvqfknrogikfcllrxr32l4,2025-02-12T18:21:40Z,"drift phonk,phonk","Monstercat",0.635,0.984,10,-0.602,0,0.0669,0.00507,0.13,0.239,0.684,150.011,4
63yoRZd5zl6Ah30hfDm97k,"M@GICAL CURE! LOVE SHOT! (feat. Hatsune Miku)","M@GICAL CURE! LOVE SHOT!","SAWTOWNE,Hatsune Miku",2024-03-19,201875,65,31cihvnvqfknrogikfcllrxr32l4,2025-01-30T14:35:31Z,"vocaloid","KARENT",0.526,0.945,9,-3.944,1,0.107,0.0249,0.542,0.187,0.816,192.031,4
7aux5UvnlBDYlrlwoczifW,"Miku","Miku","Anamanaguchi,Hatsune Miku",2016-05-24,223124,69,31cihvnvqfknrogikfcllrxr32l4,2025-01-30T14:32:10Z,"vocaloid","Polyvinyl Records",0.717,0.713,1,-5.981,1,0.0874,0.27,0.00045,0.191,0.552,127.963,4
7KISwkT8OQRUDRsZLjFCra,"Undefined","Undefined","Bad Computer",2025-01-13,214687,36,31cihvnvqfknrogikfcllrxr32l4,2025-01-13T18:12:38Z,"","Monstercat",0.805,0.727,11,-6.256,0,0.151,0.00363,0.651,0.144,0.559,128.003,4
6o12D6Pk42lsb6m2aYtqJr,"Rubix Cube","Rubix Cube","Rusko",2025-01-08,160000,39,31cihvnvqfknrogikfcllrxr32l4,2025-01-08T18:22:14Z,"dubstep,dub,drum and bass","Monstercat",0.597,0.956,8,-0.948,1,0.0523,0.012,0.762,0.0675,0.382,174.011,4
61kmDZXjXGBWh8YnWjFCQY,"Accelerate","Accelerate","Teminite,Skybreak",2023-06-09,250800,34,31cihvnvqfknrogikfcllrxr32l4,2025-01-01T19:12:13Z,"dubstep,deathstep,drumstep,melodic bass,riddim,bass music,future bass","Monstercat",0.328,0.985,4,-3.21,0,0.0926,0.000035,0.719,0.383,0.296,149.817,4
0UicR4fovNzAej0LtW3xsX,"Born For This - CITYWLKR Remix","The X Saga","MUZZ,CITYWLKR",2022-03-31,268571,24,31cihvnvqfknrogikfcllrxr32l4,2024-12-30T23:14:39Z,"drum and bass,drumstep,dubstep,bass house","Monstercat",0.825,0.901,9,-4.127,1,0.47,0.00155,0.425,0.358,0.153,126.023,4
365IYr43HlceGJWG5ENNQ5,"Pressure","Pressure","hayve",2024-07-12,204342,32,31cihvnvqfknrogikfcllrxr32l4,2024-12-27T14:28:58Z,"drum and bass,drumstep","Monstercat",0.636,0.931,2,-1.138,1,0.0623,0.00135,0.687,0.278,0.13,175.102,4
1LwL5ox7cPOS91OVzO7GRF,"POWER","POWER","Nitro Fun",2024-09-20,180089,27,31cihvnvqfknrogikfcllrxr32l4,2024-12-22T18:26:12Z,"dubstep","Monstercat",0.816,0.959,0,-3.747,1,0.0579,0.00152,0.521,0.353,0.327,126.026,4
