Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6ZOBP3NvffbU4SZcrnt1k6,"Kryptonite","The Better Life","3 Doors Down",2000,233933,76,cabultra,2019-08-04T05:12:40Z,"post-grunge","Universal Records",0.545,0.865,11,-5.708,0,0.0286,0.00664,0.000011,0.168,0.543,99.005,4
3NLrRZoMF0Lx6zTlYqeIo4,"Here Without You","Away From The Sun","3 Doors Down",2002-11-12,238733,73,cabultra,2019-08-04T05:12:46Z,"post-grunge","Universal Records",0.557,0.533,10,-6.817,0,0.0252,0.0492,0,0.205,0.233,143.994,4
3WbphvawbMZ8FyqDxYGdSQ,"When I'm Gone","Away From The Sun","3 Doors Down",2002-11-12,260333,70,cabultra,2019-08-04T05:12:53Z,"post-grunge","Universal Records",0.53,0.768,7,-5.611,1,0.0284,0.00385,0,0.103,0.374,148.095,4
7yCPwWs66K8Ba5lFuU2bcx,"All The Small Things","Enema Of The State","blink-182",1999-01-01,168000,13,cabultra,2019-08-04T05:13:04Z,"pop punk,punk,emo pop,rock,skate punk,emo","Interscope",0.439,0.891,0,-4.764,1,0.057,0.0122,0,0.547,0.695,148.599,4
3mcG2NI5G5vhrQtRda1YnA,"The Middle","Bleed American (Deluxe Edition)","Jimmy Eat World",2001,168253,14,cabultra,2019-08-04T05:13:36Z,"emo,pop punk,emo pop","Interscope",0.629,0.897,2,-3.401,1,0.0483,0.0424,0,0.263,0.93,161.944,4
6ihL9TjfRjadfEePzXXyVF,"Gives You Hell","When The World Comes Down","The All-American Rejects",2008-01-01,213106,67,cabultra,2019-08-04T05:13:48Z,"pop punk,emo,emo pop","Interscope",0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,4
2l57cfmCnOkwNX1tky02n1,"Move Along","Move Along","The All-American Rejects",2005-01-01,238880,64,cabultra,2019-08-04T05:13:57Z,"pop punk,emo,emo pop","Interscope",0.518,0.916,3,-3.858,1,0.0454,0.000148,0,0.291,0.646,109.864,4
06T10fEzN8ZCcqzQZYA184,"Gotta Be Somebody","Dark Horse","Nickelback",2008-11-14,252653,64,cabultra,2019-08-04T05:14:09Z,"post-grunge,rock","Roadrunner Records",0.536,0.89,0,-5.222,1,0.0601,0.000354,0.00165,0.133,0.205,115.998,4
4QJLKU75Rg4558f4LbDBRi,"If Today Was Your Last Day","Dark Horse","Nickelback",2008-11-14,249066,65,cabultra,2019-08-04T05:14:13Z,"post-grunge,rock","Roadrunner Records",0.485,0.911,3,-5.749,1,0.0355,0.0000867,0,0.092,0.568,89.956,4
2wdEXKLcuU7B0M2gqFmABH,"Photograph","All the Right Reasons (Special Edition)","Nickelback",2005-09-26,258920,42,cabultra,2019-08-04T05:14:22Z,"post-grunge,rock","Roadrunner Records",0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,4
7oK9VyNzrYvRFo7nQEYkWN,"Mr. Brightside","Hot Fuss","The Killers",2004-06-15,222586,24,cabultra,2019-08-04T05:14:39Z,"alternative rock","Island Records",0.356,0.924,1,-3.74,1,0.0808,0.00101,0,0.0953,0.232,148.017,4
3asFGFY3uLjMDmML1p0tYm,"Savior","Appeal To Reason","Rise Against",2008-01-01,242280,57,cabultra,2019-08-04T05:14:49Z,"punk,hardcore punk","Geffen",0.339,0.931,5,-3.425,0,0.062,0.0015,0.000142,0.425,0.467,112.545,4
6L89mwZXSOwYl76YXfX13s,"Basket Case","Dookie","Green Day",1994-02-01,181533,76,cabultra,2019-08-04T05:14:56Z,"punk,pop punk","Reprise",0.442,0.943,3,-3.205,1,0.0602,0.00293,0.00000871,0.091,0.781,85.064,4
6nTiIhLmQ3FWhvrGafw2zj,"American Idiot","American Idiot","Green Day",2004-09-21,176346,77,cabultra,2019-08-04T05:15:01Z,"punk,pop punk","Reprise",0.38,0.988,1,-2.042,1,0.0639,0.0000264,0.0000786,0.368,0.769,186.113,4
3ZffCQKLFLUvYM59XKLbVm,"Wake Me up When September Ends","American Idiot","Green Day",2004-09-21,285653,73,cabultra,2019-08-04T05:15:05Z,"punk,pop punk","Reprise",0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,4
60a0Rd6pjrkxjPbaKzXjfq,"In the End","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,216880,82,cabultra,2019-08-04T05:15:28Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
2nLtzopw4rPReszdYBJU6h,"Numb","Meteora","Linkin Park",2003-03-25,187520,82,cabultra,2019-08-04T05:15:34Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,4
7oVEtyuv9NBmnytsCIsY5I,"BURN IT DOWN","LIVING THINGS","Linkin Park",2012-06-19,230253,71,cabultra,2019-08-04T05:15:44Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.585,0.972,9,-4.45,0,0.0534,0.0143,0,0.0707,0.585,110.006,4
3BnBKNItMng824sLx0pUfy,"A LIGHT THAT NEVER COMES","RECHARGED","Linkin Park,Steve Aoki",2013-10-25,229439,54,cabultra,2019-08-04T05:15:51Z,"nu metal,rap metal,rock,alternative metal,electro house,edm","Warner Records",0.687,0.871,0,-5.531,1,0.0689,0.00225,0.00708,0.134,0.539,115,4
5fVZC9GiM4e8vu99W0Xf6J,"How to Save a Life","How To Save A Life","The Fray",2005-09-13,262533,78,cabultra,2019-08-04T05:16:49Z,"","Epic",0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,4
4IoYz8XqqdowINzfRrFnhi,"You Found Me","The Fray","The Fray",2009-02-02,241853,71,cabultra,2019-08-04T05:16:53Z,"","Epic",0.338,0.803,8,-5.412,0,0.0413,0.0187,0,0.136,0.4,151.994,4
4YPhn26bIFm2KUkL1VLzQG,"Say It Ain't So","Weezer (Deluxe Edition)","Weezer",1994-05-10,256880,0,cabultra,2019-08-04T05:17:19Z,"alternative rock","Universal Strategic Marketing",0.635,0.435,3,-7.521,1,0.031,0.00328,0.00000678,0.071,0.459,76.098,4
7GptbanebPZYkLPvjNfd6m,"Buddy Holly","Weezer (Deluxe Edition)","Weezer",1994-05-10,159586,0,cabultra,2019-08-04T05:17:33Z,"alternative rock","Universal Strategic Marketing",0.535,0.931,8,-4.012,1,0.0451,0.00611,0.0000726,0.0887,0.825,120.958,4
6vrUTGn5p8IrfTZ0J6sIVM,"Iris","Greatest Hits Volume One - The Singles","The Goo Goo Dolls",2007-11-06,289906,67,cabultra,2019-08-04T05:17:52Z,"","Warner Records",0.291,0.79,11,-5.683,0,0.0363,0.00133,0.00000561,0.0811,0.513,155.667,3
2EoOZnxNgtmZaD8uUmz2nD,"Black Hole Sun","Superunknown (Deluxe Edition)","Soundgarden",1994-03-09,318586,74,cabultra,2019-08-04T05:18:06Z,"grunge,post-grunge,hard rock","Geffen",0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,4
3354J49VpkbZJho7Ztdzpw,"Jumper - 1998 Edit","Third Eye Blind","Third Eye Blind",1997-04-08,272973,64,cabultra,2019-08-04T05:18:12Z,"","Rhino/Elektra",0.599,0.543,0,-9.226,1,0.0302,0.0129,0.00204,0.291,0.624,91.105,4
11bD1JtSjlIgKgZG2134DZ,"Chasing Cars","Eyes Open","Snow Patrol",2006-01-01,267933,19,cabultra,2019-08-04T05:18:18Z,"","Polydor Records",0.563,0.592,9,-4.571,1,0.0276,0.209,0.0000508,0.132,0.136,104.016,4
0RFgvrhkf9FiDRLA0BhzpZ,"Drift Away","No Stranger to Shame","Uncle Kracker",2002-07-09,255560,62,cabultra,2019-08-04T05:18:28Z,"","Lava",0.583,0.66,11,-5.078,1,0.0377,0.181,0,0.0979,0.861,151.956,4
6mghCOaaSvrke0z1EUVUIf,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2009,216773,0,cabultra,2019-08-04T05:18:46Z,"soft pop","Columbia",0.674,0.89,1,-4.446,0,0.0459,0.203,0,0.0819,0.737,97.02,4
0KAiuUOrLTIkzkpfpn9jb9,"Drive By","California 37","Train",2012-04-17,195973,76,cabultra,2019-08-04T05:19:07Z,"soft pop","Columbia",0.765,0.837,1,-3.113,0,0.032,0.00107,0.0000106,0.0801,0.721,122.028,4
2NniAhAtkRACaMeYt48xlD,"50 Ways to Say Goodbye","California 37","Train",2012-04-17,247946,63,cabultra,2019-08-04T05:19:15Z,"soft pop","Columbia",0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043,4
6EE19skJ32p58xihYj2Waa,"She's Out Of Her Mind","California","blink-182",2016-07-01,162720,14,cabultra,2019-08-04T05:19:28Z,"pop punk,punk,emo pop,rock,skate punk,emo","BMG",0.447,0.967,0,-2.706,1,0.0793,0.00448,0,0.487,0.606,179.991,4
0EYOdF5FCkgOJJla8DI2Md,"B.Y.O.B.","Mezmerize","System Of A Down",2005-05-17,255466,73,cabultra,2019-08-04T05:19:42Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.538,0.981,1,-2.688,0,0.14,0.00662,0,0.219,0.711,101.414,4
0Xm1MphW32ekOkhnoe61lk,"Thnks fr th Mmrs","Infinity On High","Fall Out Boy",2007-02-06,203506,36,cabultra,2019-08-04T05:19:58Z,"emo,pop punk,emo pop","Island Records",0.46,0.892,10,-5.046,0,0.0619,0.0051,0,0.106,0.59,154.844,4
234RqTZmnDTnxWlVciXHLD,"It's Not Over","Daughtry (Deluxe Edition)","Daughtry",2006,215026,61,cabultra,2019-08-04T05:20:16Z,"","RCA Records Label",0.428,0.919,10,-3.245,0,0.0618,0.0503,0,0.245,0.294,145.927,4
2mobr1UlKjhxDTOVqng3jw,"Home","Daughtry (Deluxe Edition)","Daughtry",2006,255666,54,cabultra,2019-08-04T05:20:21Z,"","RCA Records Label",0.443,0.853,6,-3.885,1,0.0361,0.00217,0.00000177,0.198,0.338,143.986,4
2ybT2tUk0uqrjFE3ppf0et,"Feels Like Tonight","Daughtry (Deluxe Edition)","Daughtry",2006,238733,49,cabultra,2019-08-04T05:20:29Z,"","RCA Records Label",0.482,0.9,6,-3.154,1,0.0459,0.000817,0,0.124,0.351,130.996,4
3x80T4dEFK7tDFzpxA6Dml,"What About Now","Daughtry (Deluxe Edition)","Daughtry",2006,253293,50,cabultra,2019-08-04T05:20:38Z,"","RCA Records Label",0.358,0.836,9,-2.821,0,0.0419,0.0724,0,0.15,0.252,162.007,4
