Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6n3q5ybuUQFT97ddyuxsFh,"Sleep Deprived (with Lute & Omen feat. Mez & DaVionne)","Revenge Of The Dreamers III","Dreamville,Lute,Omen,Mez,DaVionne",2019-07-05,238453,42,cabultra,2019-09-21T03:43:07Z,"","Dreamville/Interscope Records",0.636,0.8,11,-4.265,0,0.347,0.337,0,0.39,0.704,88.657,4
7wTA0NKIm6T7nP2kaymU2a,"Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba)","Revenge Of The Dreamers III","Dreamville,EARTHGANG,J. Cole,Smino,Saba",2019-07-05,382306,60,cabultra,2019-09-21T03:43:12Z,"rap","Dreamville/Interscope Records",0.825,0.672,0,-7.108,1,0.418,0.0858,0,0.123,0.246,147.01,4
6G0FACzGN80Dj2v4ass5rq,"gone girl","gone girl","iann dior,Trippie Redd",2019-07-04,136568,0,cabultra,2019-09-21T03:43:21Z,"melodic rap","TenThousand Projects, LLC",0.677,0.714,11,-5.637,1,0.0287,0.162,0,0.0717,0.355,94.956,4
3NEjuId3qYDT482ykUBbeI,"Get A Bag","The Big Day","Chance the Rapper,Calboy",2019-07-26,201079,27,cabultra,2019-09-21T03:43:30Z,"melodic rap","Chance the Rapper",0.698,0.715,11,-5.17,1,0.0841,0.00375,0,0.0887,0.679,153.981,4
61StVXD7XDEeVBBdnvmFfM,"what is real","what is real","iann dior",2019-07-03,134819,0,cabultra,2019-09-21T03:43:35Z,"melodic rap","TenThousand Projects, LLC",0.626,0.769,1,-4.48,1,0.0343,0.224,0,0.116,0.446,93.483,4
6oLNg1oVf3OhdeLY0oLAeC,"Amnesia (with Ari Lennox & Kiddominant)","Spilled Milk 1","Bas,Ari Lennox,KDDO",2019-08-09,215031,8,cabultra,2019-09-21T03:43:46Z,"alternative r&b,neo soul,afrobeats,afropiano,amapiano","J. Cole/ DreamVille",0.753,0.574,0,-9.094,1,0.253,0.0849,0.0000871,0.153,0.647,119.994,4
3eCulo5yg6EwkTfYcy1Xmh,"Jollof Rice (with EARTHGANG)","Spilled Milk 1","Bas,EARTHGANG",2019-08-09,128139,32,cabultra,2019-09-21T03:43:50Z,"","J. Cole/ DreamVille",0.97,0.507,5,-5.469,0,0.148,0.172,0,0.0939,0.879,120.022,4
7LjRPqtlYb2qyqUmKOwKuz,"Nirvana (with Falcons & B. Lewis)","Spilled Milk 1","Bas,Falcons,B. Lewis",2019-08-09,165953,28,cabultra,2019-09-21T03:43:55Z,"","J. Cole/ DreamVille",0.722,0.538,9,-8.145,0,0.0584,0.361,0,0.148,0.527,129.978,4
3x14s5x2eLoqYA7j8kW57L,"The Flux","Exotic Birds","Trayce Chapman",2018-05-26,198501,30,cabultra,2019-09-21T03:44:02Z,"","Trayce Chapman",0.788,0.421,6,-11.529,0,0.38,0.467,0,0.23,0.57,125.937,4
0HwuEkVigzb7sFtMtU3mVu,"That Old Nu-Nu (feat. Erica René & Cam O'bi)","Live on Ice","tobi lou,Erica René,Cam O'bi",2019-08-02,225056,31,cabultra,2019-09-21T03:44:20Z,"jazz rap","Artclub / EMPIRE",0.756,0.667,6,-7.888,1,0.0446,0.0734,0.0000498,0.103,0.526,129.993,4
