Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3aTD44fK5k39zBEwHOXiBI,"Supernal","Supernal","Baton",2023-01-29,313608,10,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T17:57:28Z,"synthwave,chillwave,vaporwave","1969769 Records DK",0.721,0.257,6,-12.516,0,0.0654,0.753,0.0811,0.0902,0.143,149.967,4
1TRsAsGO9Km8ociOM9YvIe,"Escape Velocity","Vector","Space Cassette",2024-07-12,210769,8,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T17:57:53Z,"chillwave,synthwave,vaporwave","3098980 Records DK",0.606,0.553,5,-9.595,0,0.0358,0.492,0.83,0.368,0.22,99.008,4
7BGGHfOsPsyEqy1WUbtcDx,"lost signals","lost signals","EVANS",2020-04-05,301096,10,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T17:58:04Z,"synthwave,chillwave,vaporwave","EVANS",0.323,0.781,1,-7.756,0,0.124,0.548,0.887,0.113,0.462,171.446,4
2k2I5bYjirSG1l5O78pblL,"Still","Still","Jinx",2024-09-07,178228,8,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T17:59:24Z,"chillwave,synthwave,vaporwave","4147110 Records DK",0.685,0.337,7,-13.988,1,0.0419,0.903,0.913,0.121,0.0367,194.002,3
4KBTykODrH94wpFS7EpVZw,"Where It Leads","Lone Drive","Euan Ellis",2024-05-24,290000,9,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T17:59:36Z,"chillwave,synthwave,vaporwave","Euan Ellis",0.578,0.601,6,-8.76,0,0.0312,0.0219,0.943,0.152,0.0702,100.003,4
2XqXrSEiFbJ8rS7XawRB6X,"after dusk","after dusk","A.L.I.S.O.N",2024-05-24,163200,29,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:00:06Z,"synthwave,chillwave,vaporwave","A.L.I.S.O.N",0.698,0.879,7,-6.853,0,0.0333,0.0646,0.919,0.179,0.294,99.988,4
7b3HL2HEjjBOJrIosrxSH6,"Gleam","Gleam","Baton",2023-11-08,237000,9,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:00:14Z,"synthwave,chillwave,vaporwave","1969769 Records DK",0.587,0.506,4,-11.369,0,0.0651,0.142,0.92,0.102,0.299,159.996,4
0TT8YriT6UtHnwrJZhZQ9A,"Pioneer","Pioneer","Karlberg",2024-08-24,277647,7,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:00:23Z,"chillwave,synthwave,space music,vaporwave","Stereoscape Records",0.79,0.496,11,-11.031,0,0.143,0.45,0.853,0.117,0.117,102,4
7wVrGsLsqThay2c7Lssvze,"Lost Transmission","Lost Transmission","ArcaneWave",2024-08-20,150880,9,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:00:32Z,"dark ambient,chillwave,synthwave,vaporwave","ArcaneWave",0.62,0.536,7,-17.054,0,0.0376,0.737,0.953,0.107,0.111,92.046,4
0a1YKUJEgQdKtpY7ZOtLjR,"Polaris","Astral","Downtown Binary,The Present Sound",2023-04-10,340800,35,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:00:43Z,"synthwave,chillwave,vaporwave,lo-fi","Lofi Records",0.219,0.858,3,-8.647,0,0.0491,0.304,0.846,0.109,0.0249,199.956,4
6t78Dpw4Oez2fnyYoOkzfQ,"Bird's Eye View","S.C 01","A.L.I.S.O.N",2018-01-12,352962,15,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:00:56Z,"synthwave,chillwave,vaporwave","A.L.I.S.O.N",0.48,0.89,4,-9.865,0,0.0437,0.16,0.881,0.0937,0.353,178.039,4
4gBb1yvp8bdiwFEkUQKWyW,"Momentum","Momentum","M I R A G E,Wellside",2024-05-31,235000,18,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:01:07Z,"vaporwave,chillwave,synthwave","Miragesynths",0.591,0.576,8,-9.895,1,0.034,0.118,0.847,0.144,0.0656,89.986,4
6J21Z7UeJcVzdgLPceOq8S,"Aria Math - Remix","The Minewave Project","Oxart,Daniel Rosenfeld",2021-01-07,254285,26,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:01:22Z,"","Oxart",0.39,0.654,4,-12.547,0,0.0348,0.0414,0.918,0.0613,0.0368,83.979,4
0Mc2ZH3R3rMopUMxsegFVm,"Axon","Axon","RUBYIBIS",2021-05-28,267272,10,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:01:33Z,"chillwave,synthwave,vaporwave","2579592 Records DK",0.524,0.903,8,-6.092,1,0.047,0.0103,0.846,0.19,0.259,176.025,4
3jLKsqNCD9VBVFeacRGAfa,"Momentum","Momentum","Ogster",2024-09-13,219000,21,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:01:43Z,"synthwave,chillwave,vaporwave","Ogster",0.651,0.799,9,-8.105,0,0.0327,0.154,0.923,0.0948,0.123,114.951,3
1d5JRyt2I6XYVXaSxQ6P8Z,"Eclipse","Eclipse","Walford,vintageverb",2024-08-16,260661,9,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:01:52Z,"chillwave,synthwave,vaporwave,space music","Walford records",0.533,0.936,9,-8.067,1,0.0982,0.0186,0.355,0.111,0.119,179.997,4
3ZmjeZ1arnLGjcvotQ9KBx,"People","September","Axl Rhodes,Adam Ford",2024-09-18,173514,19,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:02:03Z,"chillwave,synthwave,vaporwave","Stereoscape Records",0.586,0.764,8,-9.562,0,0.0445,0.5,0.721,0.35,0.543,161.545,4
6awIPuUm38G69LbT0dBs3f,"Warpspeed","Tapes, Vol. 2","Space Sailors",2020-12-22,192078,13,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:03:01Z,"chillwave,synthwave,vaporwave","2207178 Records DK",0.768,0.341,9,-15.187,0,0.0808,0.708,0.836,0.105,0.378,160.007,4
68KdZxeBL5tGtpVPgVjgzU,"Whilst I Enter These Gardens","Phenomenon","Iacon",2017-01-06,214468,23,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:03:23Z,"vaporwave,chillwave,synthwave","Kaiseki Digital",0.452,0.867,0,-9.369,1,0.0281,0.0121,0.873,0.358,0.455,93.982,4
1ZSbC6VynQnwS9aQ6ASz3w,"Violet Atmosphere","Violet Atmosphere","Amadeus Vegas",2024-04-12,229905,4,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:03:43Z,"chillwave,synthwave,vaporwave,space music","Amadeus Vegas",0.495,0.735,10,-9.25,1,0.0319,0.0642,0.89,0.11,0.033,105.468,3
4syxNqBai61vZKkDgjxKB4,"Waking Up","Waking Up","Wels,Moure",2024-08-24,192000,11,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:04:05Z,"chillwave,synthwave","Stereoscape Records",0.698,0.813,10,-10.725,0,0.0397,0.0245,0.783,0.107,0.387,119.998,4
4vgXBdJJ9jCEnAKFhVgCmN,"Infrared","Infrared","Emil Rottmayer",2024-07-12,188275,32,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:04:16Z,"synthwave,chillwave,vaporwave","Emil Rottmayer 2024",0.612,0.881,5,-5.678,0,0.033,0.734,0.851,0.342,0.14,115.99,4
5eAYuALP9legZ1QcE8DjzE,"Gradient Hues","Gradient Hues","Adam Ford,The Present Sound",2024-07-12,200796,11,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:04:29Z,"synthwave,chillwave,vaporwave","Adam Ford",0.536,0.739,11,-11.446,1,0.0407,0.154,0.924,0.681,0.0385,95.006,4
5TeoblPg8ijEevxf5rnys2,"Lost","Lost","ArcaneWave",2024-03-13,233640,2,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:04:40Z,"dark ambient,chillwave,synthwave,vaporwave","ArcaneWave",0.687,0.683,8,-13.158,0,0.036,0.547,0.877,0.135,0.435,105.013,4
37mbcQpC3qJLA15vufLrul,"Sequence","Sequence","oDDling",2024-07-12,273488,12,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:04:51Z,"synthwave,vaporwave,chillwave","oDDling",0.481,0.631,2,-10.137,1,0.051,0.0125,0.804,0.142,0.274,172.01,4
68R7oEkMTM74DbZHAy2FZb,"Chromatic","Chromatic","Prophylaxis",2024-05-11,220106,13,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:05:00Z,"chillwave,synthwave,vaporwave","ProphylaxisSynth",0.557,0.608,5,-10.433,1,0.0457,0.156,0.864,0.099,0.265,178.037,4
6ndrxtcmNnXqCoNQ8ojl5T,"Never as it Seems","Never as it Seems","Cerulean",2023-09-23,202408,7,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:05:30Z,"chillwave,synthwave,vaporwave","1369135 Records DK",0.606,0.562,11,-9.11,0,0.0509,0.698,0.916,0.102,0.509,102.983,4
4ZaRSLWM6DnllobZPm7pBP,"Transmute","Transmute","LUMEN",2023-04-04,337551,2,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:05:41Z,"chillwave,synthwave","Independent",0.468,0.661,0,-10.953,1,0.0411,0.497,0.862,0.367,0.0419,195.964,4
4b0390ftdLr1EL8oZ5M3v7,"meet me at the end of the world","B I R D S","MEGAS",2021-07-09,251573,3,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:06:37Z,"synthwave,chillwave,vaporwave","MEGAS",0.805,0.543,5,-12.022,1,0.0587,0.573,0.945,0.109,0.343,166.024,4
0hmLYMSAg8ksmyysihz16a,"Rerouted","Late Nights","Quantum",2024-07-09,170062,1,31w2sr5jefce5mh2xs4xyneb6lgy,2025-01-30T18:07:04Z,"chillwave,synthwave","Quantum",0.673,0.386,5,-14.845,0,0.039,0.481,0.00000157,0.0919,0.329,139.988,4
