Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2S0xwKav3yMrUwQ5YpsUDq,"Northern Lights","Northern Lights","Hermitude,Soaky Siren,Vory",2019-06-18,195436,0,cabultra,2019-08-20T04:34:04Z,"afro house","Elefant Traks",0.58,0.61,6,-7.947,1,0.101,0.215,0.000279,0.201,0.57,149.82,4
7qEb82neL4upEhMUrkljpa,"Stars Tonight","Stars Tonight","Zeds Dead,DROELOE",2019-06-11,173426,31,cabultra,2019-08-20T04:34:44Z,"dubstep,edm,future bass","Deadbeats",0.645,0.875,8,-5.481,0,0.0936,0.136,0.847,0.193,0.519,155.109,4
3bluSotAYHJxPjj6bHUQuS,"Dreaming of You","Dreaming of You","Slushii",2019-04-23,183272,26,cabultra,2019-08-20T04:36:04Z,"future bass,edm","Monstercat",0.456,0.92,7,-1.564,1,0.169,0.0152,0.000164,0.045,0.484,164.858,4
3HKiR4t12GW18bnPUVhx5l,"Island (feat. Nevve)","Island (feat. Nevve)","Seven Lions,Wooli,Trivecta,Nevve",2019-01-04,278400,46,cabultra,2019-08-20T04:38:05Z,"melodic bass,future bass,edm,chillstep,dubstep,progressive trance,riddim,deathstep,bass music,rave","Ophelia",0.427,0.836,5,-3.323,0,0.0466,0.0456,0.00238,0.369,0.248,150.128,4
6PVujJYQmv8oJxa96v1ptT,"Next Life","Next Life","Adventure Club,Crankdat,Krewella",2019-04-12,186853,24,cabultra,2019-08-20T04:38:43Z,"melodic bass,dubstep,edm,chillstep,future bass,riddim,deathstep","Ultra Records, LLC",0.515,0.788,7,-3.385,1,0.0377,0.0218,0.0000514,0.128,0.198,142.073,4
1BryhQcv3eHjj08MxSDEPN,"Time Voyage","Time Voyage","Just A Gent,Hauskey",2019-07-23,210238,19,cabultra,2019-08-20T04:39:42Z,"future bass","Monstercat",0.862,0.661,2,-6.995,1,0.351,0.0191,0.0143,0.506,0.418,126.011,4
27YD36FUikKxbp3bKSiKGZ,"First Time (feat. Dylan Matthew)","First Time (feat. Dylan Matthew)","Seven Lions,SLANDER,Dabin,Dylan Matthew",2018-10-12,297782,51,cabultra,2019-08-20T04:42:26Z,"melodic bass,future bass,edm,chillstep,dubstep,progressive trance","Ophelia",0.422,0.677,11,-5.76,1,0.0365,0.251,0.00000355,0.16,0.146,150.131,4
5Nn3dBCGUGuryQ4T5L4ly9,"Kids (with Miranda Glory)","Kids (with Miranda Glory)","LIONE,Miranda Glory",2019-01-25,260920,0,cabultra,2019-08-20T04:42:37Z,"future bass,melodic bass","Musical Freedom",0.401,0.855,0,-4.792,1,0.086,0.0027,0.154,0.662,0.483,149.89,4
5XlvOh5YbJMp7CU3NoksNf,"Leaving","Awake","ILLENIUM",2017-09-21,234857,0,cabultra,2019-08-20T04:42:55Z,"melodic bass,future bass,edm","Seeking Blue",0.302,0.64,11,-3.452,1,0.0379,0.0359,0.0000166,0.951,0.184,139.793,4
1TOKaiIbpxknH9qvEv8F00,"All I Got","All I Got","Said The Sky,Kwesi",2017-11-06,315724,0,cabultra,2019-08-20T04:43:20Z,"melodic bass,future bass,edm,chillstep","Seeking Blue",0.325,0.578,2,-6.786,1,0.0455,0.158,0.00479,0.575,0.103,144.745,4
