Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4PTPZeJlK1rYlYr6bf11hk,"You're On (feat. Kyan)","Adventure (Deluxe)","Madeon,Kyan",2015-03-30,192720,43,cabultra,2022-07-27T14:27:16Z,"edm,french house","Columbia",0.49,0.914,10,-3.202,1,0.167,0.0227,0,0.793,0.241,100.1,4
4wvj3LqF8EqGxoNc1FIbHr,"Rocket Girl (Feat. Betty Who)","Rocket Girl (Feat. Betty Who)","Lemaitre,Betty Who",2018-05-11,238840,35,cabultra,2022-07-28T00:55:31Z,"norwegian pop,nu disco","Astralwerks (ASW)",0.614,0.864,5,-4.195,0,0.0401,0.0131,0.000953,0.185,0.335,104.966,4
3h5IIiL9vK5aR0DZO6jD7D,"Closer","Chapter One","Lemaitre,Jennie A.",2017-06-02,270589,51,cabultra,2022-07-28T02:35:18Z,"norwegian pop,nu disco","Astralwerks (ASW)",0.583,0.785,2,-3.991,0,0.0337,0.0012,0.0127,0.124,0.355,91.977,4
5wM6LOw2U6XeIFHfsgI6wU,"Love You Back","Love You Back","Madeon",2022-04-27,214103,45,cabultra,2022-07-29T16:22:34Z,"edm,french house","Mom+Pop",0.511,0.718,11,-7.46,1,0.0367,0.00454,0.0000961,0.0913,0.274,106.016,4
16TIGSDId75mJGTohRi7qM,"Wait","Singularity","Lemaitre,LOLO",2014-07-22,243880,17,cabultra,2022-07-30T01:51:50Z,"norwegian pop,nu disco","Astralwerks (ASW)",0.644,0.745,11,-3.932,0,0.0462,0.0893,0.000973,0.327,0.545,121.069,4
06PBQ4rDmHRVfWsszDwLTa,"Feel Like","Feel Like","Dabin,Cappa",2021-08-20,200347,0,cabultra,2022-07-30T02:08:10Z,"melodic bass,future bass,edm,chillstep","Seeking Blue",0.571,0.708,1,-3.833,1,0.0327,0.0202,0,0.162,0.49,114.872,4
1F65NjLm6OQIpuiwGMAdBf,"Hang Up","Hang Up","WRLD,Savoi",2018-04-06,199500,43,cabultra,2022-08-01T17:41:48Z,"future bass","Monstercat",0.665,0.834,5,-3.845,0,0.0278,0.00506,0.00195,0.153,0.293,120.049,4
0lw9uF9EXHY06DtbTWa2l9,"Bloom","Wild Youth","Dabin,Dia Frampton",2019-03-22,240000,0,cabultra,2022-08-01T17:44:11Z,"melodic bass,future bass,edm,chillstep","Seeking Blue",0.599,0.565,1,-6.304,1,0.0265,0.227,0.0000432,0.0984,0.142,134.125,4
5LuQvkBG365ue36BMujtSz,"Starbright","Between Broken","Dabin,Trella",2021-10-15,243027,0,cabultra,2022-08-01T17:45:11Z,"melodic bass,future bass,edm,chillstep","Seeking Blue",0.458,0.67,10,-4.993,1,0.0397,0.025,0.00000378,0.358,0.107,160.05,4
4mj0eDXQaPjTIub0CI9dpW,"Moments","'Til the End","MitiS,Adara",2018-03-23,278400,0,cabultra,2022-08-01T17:48:21Z,"chillstep,melodic bass,future bass,edm,dubstep,trance","Seeking Blue",0.498,0.778,2,-3.236,1,0.0508,0.463,0,0.101,0.182,149.89,4
3wgu3Yq2tqdJH9nmUt3kfx,"Glimmer","Glimmer","LIONE,Heather Sommer",2018-02-23,261126,0,cabultra,2022-08-07T06:50:19Z,"future bass,melodic bass","Proximity",0.466,0.891,7,-2.712,0,0.0344,0.00233,0.0258,0.123,0.406,93.026,4
6wrVJuEZa4qq0HvjdMwcgz,"Revive","Revive","LIONE",2019-10-24,252958,0,cabultra,2022-08-07T06:51:22Z,"future bass,melodic bass","Proximity",0.517,0.826,11,-3.816,1,0.0451,0.00471,0.000227,0.327,0.342,97.048,4
