Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4zDMybUdMSewKNxmGffD7v,"Rotisserie","Baby Gravy EP","Yung Gravy,bbno$",2017-10-11,123000,44,cabultra,2020-12-18T17:58:54Z,"meme rap","Yung Gravy & bbno$",0.859,0.67,1,-6.762,1,0.271,0.203,0.0000344,0.217,0.446,96.056,3
4KtoztbBnU8JkP96u0B8HQ,"Knockout","Snow Cougar","Yung Gravy",2018-05-04,195832,40,cabultra,2020-12-18T17:58:58Z,"meme rap","Universal Records",0.744,0.856,10,-4.115,1,0.0839,0.116,0,0.328,0.76,145.966,4
7m4oL0iXSqKZ396LHSZxFn,"Early Afternoon Stroll","Snow Cougar","Yung Gravy,bbno$",2018-05-04,156653,29,cabultra,2020-12-18T17:59:06Z,"meme rap","Universal Records",0.716,0.794,5,-3.709,0,0.23,0.268,0.0000592,0.285,0.76,155.025,4
4iA68YcMVqcbLSdWW0TBmw,"Suavecito","Snow Cougar","Yung Gravy,DRAM",2018-05-04,197976,29,cabultra,2020-12-18T17:59:14Z,"meme rap","Universal Records",0.723,0.611,1,-5.183,1,0.188,0.0513,0.0000444,0.103,0.526,159.983,4
73BdaMyVemaOFzSG5x9Cnc,"Kathleen","Snow Cougar","Yung Gravy,Ugly God",2018-05-04,218075,28,cabultra,2020-12-18T17:59:25Z,"meme rap","Universal Records",0.816,0.531,11,-5.619,0,0.349,0.151,0.0000047,0.139,0.66,74.929,4
3IWa3iXJagThgRnNAPItHw,"Clock","Snow Cougar","Yung Gravy",2018-05-04,189529,27,cabultra,2020-12-18T17:59:28Z,"meme rap","Universal Records",0.792,0.885,0,-3.979,1,0.243,0.0768,0,0.308,0.769,141.987,4
2DEZ9PTkEkAoJSOaz6B2SI,"Gold (feat. Mia Gladstone)","Baby Gravy EP","Yung Gravy,bbno$,MIA GLADSTONE",2017-10-11,227990,27,cabultra,2020-12-18T17:59:47Z,"meme rap","Yung Gravy & bbno$",0.837,0.553,10,-9,0,0.267,0.087,0,0.123,0.298,135.024,4
0mZaidoaM73tD4h5eNgByH,"Boomin","Baby Gravy EP","Yung Gravy,bbno$",2017-10-11,134431,25,cabultra,2020-12-18T18:00:00Z,"meme rap","Yung Gravy & bbno$",0.798,0.624,11,-8.788,0,0.161,0.122,0.0000092,0.184,0.199,100.032,4
4GTwSdqW8rrF9NodMOxHci,"Pizzazz","Pizzazz","Yung Gravy",2018-09-07,165786,0,cabultra,2020-12-18T18:00:12Z,"meme rap","Republic Records",0.692,0.752,7,-5.112,0,0.116,0.671,0,0.116,0.655,86.994,4
3lcIAYpqgQqon9SiT9khPj,"Pillow Fight (feat. vbnd)","Pillow Fight (feat. vbnd)","Yung Gravy,vbnd",2017-06-04,182400,28,cabultra,2020-12-18T18:00:21Z,"meme rap","Yung Gravy",0.858,0.492,7,-8,0,0.278,0.488,0,0.108,0.786,99.915,4
