Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
466AejgNTcFIJht4mf8ybM,"Alone As A Facetat","Leave Me The Fuck Alone","Wifisfuneral",2018-11-07,157303,0,cabultra,2019-04-20T03:33:35Z,"dark trap,underground hip hop","Alamo Records",0.66,0.456,5,-9.414,0,0.329,0.876,0,0.106,0.306,74.731,4
6zQ0IcachvPDp04oWI7w8B,"Wya? (feat. Ugly God) - Remix","Boy Who Cried Wolf","Wifisfuneral,Ugly God",2017-08-18,214680,0,cabultra,2019-04-20T03:33:43Z,"dark trap,underground hip hop","Alamo Records / Interscope",0.86,0.305,11,-15.617,0,0.387,0.322,0,0.0641,0.276,84.996,4
2Jh3UqxnHJMyzMzku4uOtE,"Feeling","Death Race For Love","Juice WRLD",2019-03-08,201920,19,cabultra,2019-04-20T03:33:58Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.712,0.515,10,-6.004,0,0.0857,0.234,0,0.205,0.563,160,4
3088BLIZ9VdIb9IlwqvHkC,"Fujiko","Tidal Graves","Khary,Lege Kale",2017-07-28,279750,19,cabultra,2019-04-20T03:34:08Z,"","As We Arrive LLC",0.668,0.579,7,-8.561,0,0.285,0.697,0,0.207,0.55,119.896,4
35mEjZLrbkbmbgYg05Y2Ia,"Bust Down Cartier","Bust Down Cartier","Lil Mosey",2019-03-15,148148,0,cabultra,2019-04-20T03:34:13Z,"melodic rap","Mogul Vision/Interscope Records",0.653,0.77,0,-7.465,1,0.048,0.0362,0.00000122,0.114,0.384,162.032,4
1A8r8fxWqHbK56gvBy3fTQ,"Dark Out","Dark Out","Global Dan,Global AzN",2018-03-03,180015,26,cabultra,2019-04-20T03:34:19Z,"melodic rap,emo rap","EQT Recordings, LLC",0.57,0.703,6,-7.562,1,0.222,0.02,0,0.0795,0.27,160.036,4
2P1tkiGLZ5hoxrXfs073iU,"Forget Me Thots","Yung Gravity - EP","Yung Gravy",2017-05-01,184000,0,cabultra,2019-04-20T03:34:28Z,"meme rap","Yung Gravy",0.887,0.737,6,-6.489,0,0.16,0.243,0.0000411,0.109,0.685,104.924,4
6X29iaaazwho3ab7GNue5r,"8","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,173201,62,cabultra,2019-04-20T03:34:39Z,"","Darkroom/Interscope Records",0.735,0.235,3,-13.239,1,0.315,0.698,0.00604,0.107,0.462,62.446,4
7qEKqBCD2vE5vIBsrUitpD,"ilomilo","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,156370,70,cabultra,2019-04-20T03:34:49Z,"","Darkroom/Interscope Records",0.855,0.423,5,-15.044,0,0.0585,0.724,0.469,0.0896,0.572,120.02,4
0aJP5iqcwIMrRerm3SVU9a,"2 Tone Drip","YBN: The Mixtape","Almighty Jay",2018-09-07,181538,25,cabultra,2019-04-20T03:34:56Z,"","2018",0.857,0.767,5,-4.794,0,0.443,0.192,0,0.16,0.574,149.954,4
3XiNC94b4Tq1xwv70sQJGN,"Sanguine Paradise","Sanguine Paradise","Lil Uzi Vert",2019-04-09,243976,63,cabultra,2019-04-20T03:35:07Z,"melodic rap","Generation Now/Atlantic",0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,4
4pCEIQ6wBVuaJdER5bALtO,"That's a Rack","That's a Rack","Lil Uzi Vert",2019-04-09,236571,49,cabultra,2019-04-20T03:35:13Z,"melodic rap","Generation Now/Atlantic",0.852,0.432,1,-8.04,0,0.501,0.0599,0,0.146,0.258,140.042,4
