Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6yz0Jndhv0QjKdpcEMbOjz,"Shake It Up","LIFE'S A TRIP","Trippie Redd",2018-08-10,116680,0,cabultra,2018-09-09T15:59:16Z,"melodic rap","TenThousand Projects, LLC",0.788,0.608,5,-6.478,0,0.0853,0.128,0,0.0931,0.396,78.001,4
4mHgYpuGHu99Mw69E83CP2,"Taking A Walk","LIFE'S A TRIP","Trippie Redd",2018-08-10,121680,1,cabultra,2018-09-09T15:59:45Z,"melodic rap","TenThousand Projects, LLC",0.767,0.538,0,-6.044,0,0.052,0.68,0,0.192,0.343,81.029,4
1j2l6jMz85PaXuDiF08Vcv,"Bird Shit","LIFE'S A TRIP","Trippie Redd",2018-08-10,228960,0,cabultra,2018-09-09T16:00:12Z,"melodic rap","TenThousand Projects, LLC",0.78,0.566,0,-8.354,1,0.12,0.0493,0,0.18,0.476,159.965,4
1YIvqh590A7hIlyyRw1Fio,"Astronaut Kid","Until Death Call My Name","YoungBoy Never Broke Again",2018-04-27,185991,28,cabultra,2018-09-16T18:59:48Z,"","Never Broke Again, LLC",0.738,0.788,4,-5.318,0,0.0435,0.00764,0,0.355,0.307,155.078,4
3Y50039OrE23aLLh8tHHYZ,"Nothing 2 Lose","Nothing 2 Lose","KYLE",2017-06-15,225398,27,cabultra,2018-10-10T01:50:16Z,"","independently popular.",0.734,0.664,9,-5.693,1,0.242,0.0794,0.00000212,0.158,0.478,156.04,4
7l3E7lcozEodtVsSTCkcaA,"ZEZE (feat. Travis Scott & Offset)","ZEZE (feat. Travis Scott & Offset)","Kodak Black,Offset,Travis Scott",2018-10-12,228653,1,cabultra,2018-10-12T13:44:35Z,"rap","Atlantic Records",0.861,0.637,8,-5.692,0,0.24,0.0515,0.00000335,0.0967,0.474,98.044,4
2eAZfqOm4EnOF9VvN50Tyc,"The Way Life Goes (feat. Oh Wonder)","Luv Is Rage 2","Lil Uzi Vert,Oh Wonder",2017-08-25,221746,73,cabultra,2018-10-16T01:36:45Z,"melodic rap","Generation Now/Atlantic",0.703,0.757,1,-3.612,1,0.05,0.617,0,0.106,0.696,82.008,4
24W9LlHIfhALtn33zBnnQr,"Outstanding (feat. 21 Savage)","Outstanding (feat. 21 Savage)","SahBabii,21 Savage",2018-04-20,157663,35,cabultra,2018-10-16T01:38:22Z,"melodic rap","Warner Records",0.795,0.59,11,-6.186,0,0.169,0.341,0.00007,0.097,0.354,151.059,4
3tcnWNjEXyXCbFR9zonrX2,"Topanga","Topanga","Trippie Redd",2018-10-22,215364,0,cabultra,2018-10-23T11:24:25Z,"melodic rap","TenThousand Projects, LLC",0.755,0.615,4,-8.245,1,0.0454,0.00587,0.00000175,0.109,0.039,105.955,4
26j2UGR68kTM6M9W9So4xq,"Come a Little Closer","Come A Little Closer","Skizzy Mars,Prelow",2018-10-12,168656,4,cabultra,2018-10-23T18:59:21Z,"","2018",0.599,0.887,6,-5.442,0,0.065,0.000562,0.00499,0.121,0.395,89.992,4
2U9a9vMEGjEnQ4YI5HBwBB,"338","Decided","YoungBoy Never Broke Again",2018-09-21,144079,41,cabultra,2018-10-23T19:25:56Z,"","Never Broke Again, LLC",0.691,0.8,4,-5.867,0,0.379,0.266,0,0.155,0.622,159.893,4
0ObPdjFZ3cBr61rUusvkto,"Boomin","Boomin","Yung Gravy,bbno$",2017-05-31,134431,34,cabultra,2018-10-23T23:52:45Z,"meme rap","Yung Gravy",0.798,0.624,11,-8.789,0,0.161,0.123,0.00000908,0.184,0.199,100.027,4
6gzIcEUuswJQGfJNPYMjjv,"Hard Work Pays Off","Future & Juice WRLD Present... WRLD ON DRUGS","Future,Juice WRLD",2018-10-19,224506,57,cabultra,2018-10-24T00:06:36Z,"rap,melodic rap,emo rap","Epic/Freebandz/Grade A/Interscope",0.736,0.482,4,-8.242,1,0.196,0.327,0,0.229,0.608,140.064,4
1iPBD72u3nAyFEeardYuBV,"Kamikaze","Northsbest","Lil Mosey",2018-10-19,139200,0,cabultra,2018-10-24T00:07:05Z,"melodic rap","Mogul Vision / Interscope PS",0.792,0.571,8,-7.539,0,0.094,0.301,0,0.1,0.556,99.999,4
35eqqYzCWQyzqxj4SI9Ywl,"Greet Her","Northsbest","Lil Mosey",2018-10-19,174315,0,cabultra,2018-10-24T01:41:57Z,"melodic rap","Mogul Vision / Interscope PS",0.75,0.476,7,-7.864,0,0.0412,0.0593,0,0.199,0.123,94.995,4
7wExAu2KtrNx2KKwsv5EUx,"Boof Pack","Northsbest","Lil Mosey",2018-10-19,135000,0,cabultra,2018-10-24T01:57:50Z,"melodic rap","Mogul Vision / Interscope PS",0.693,0.576,0,-6.955,1,0.0868,0.0975,0,0.207,0.691,159.978,4
1NIg3fX6x2A20W5vnuL0ED,"Fu shit","Northsbest","Lil Mosey",2018-10-19,158048,0,cabultra,2018-10-24T02:01:34Z,"melodic rap","Mogul Vision / Interscope PS",0.666,0.609,1,-7.567,1,0.0466,0.382,0,0.128,0.541,82.024,4
6dww8y59MiIREzWonqzGOy,"Pull Up","Northsbest","Lil Mosey",2018-10-19,183624,0,cabultra,2018-10-24T02:17:22Z,"melodic rap","Mogul Vision / Interscope PS",0.655,0.607,7,-5.815,0,0.0862,0.554,0,0.115,0.2,149.033,4
