Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1mr3616BzLdhXfJmLmRsO8,"Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,0,cabultra,2019-11-05T04:12:24Z,"","Universal Music Group",0.513,0.661,3,-6.8,1,0.0439,0.0274,0,0.118,0.461,180.118,4
7jtyzXa2NYS9GZi52LGGyd,"Umbrella","Good Girl Gone Bad Reloaded","Rihanna,JAY-Z",2008-06-02,275986,0,cabultra,2019-11-05T04:12:32Z,"hip hop,east coast hip hop,rap","The Island Def Jam Music Group",0.588,0.827,1,-4.556,1,0.128,0.0084,0,0.0515,0.626,174.014,4
5EuAj9nZiWRKeBkgxMXsW4,"Beautiful Girls","Sean Kingston","Sean Kingston",2007-09-03,241933,9,cabultra,2019-11-05T04:12:49Z,"","Epic/Beluga Heights",0.745,0.666,9,-5.899,1,0.0566,0.159,0,0.302,0.708,129.995,4
5WQ1hIc5d2EVbRQ8qsj8Uh,"Hey Ya! - Radio Mix / Club Mix","Speakerboxxx/The Love Below","Outkast",2003-09-23,235213,2,cabultra,2019-11-05T04:13:35Z,"southern hip hop,hip hop","Arista",0.719,0.967,0,-2.435,1,0.0552,0.0588,0.000249,0.206,0.964,79.505,4
4X5xWMINgGA6l0GoyYkMcr,"Nothin' on You (feat. Bruno Mars)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B,Bruno Mars",2010-04-27,268320,56,cabultra,2019-11-05T04:13:44Z,"","Rebel Rock/Grand Hustle/Atlantic",0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,4
7oPnZNl1acGA7ELxsNirrR,"Where Is The Love?","Elephunk","Black Eyed Peas",2003-01-01,272533,0,cabultra,2019-11-05T04:13:52Z,"","Polydor Associated Labels",0.834,0.699,5,-3.222,1,0.196,0.111,0,0.131,0.803,94.069,4
66h8D2TWfiF341U0m7WWC9,"Club Can't Handle Me (feat. David Guetta)","Step Up 3D (Music From The Original Motion Picture Soundtrack)","Flo Rida,David Guetta",2010-07-14,234560,29,cabultra,2019-11-05T04:14:24Z,"edm,dance","Atlantic Records",0.616,0.869,0,-3.911,1,0.0327,0.0283,0,0.064,0.473,127.968,4
4kLLWz7srcuLKA7Et40PQR,"I Gotta Feeling","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","Black Eyed Peas",2009-01-01,289133,77,cabultra,2019-11-05T04:14:41Z,"","Interscope",0.744,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.966,4
4fYqMPCdocjrGfniAen1Rh,"Over My Head (Cable Car)","How To Save A Life","The Fray",2005,236626,0,cabultra,2019-11-05T04:15:07Z,"","Epic",0.59,0.704,8,-4.122,1,0.0443,0.0197,0,0.0642,0.723,116.055,4
34xZFT7artr3SGqgSoR88L,"Complicated","Let Go","Avril Lavigne",2002-06-14,244506,0,cabultra,2019-11-05T04:15:14Z,"","Arista",0.582,0.758,5,-5.951,1,0.0464,0.0615,0.00000841,0.309,0.413,77.982,4
3u0W3gJQNV5gegMmntzby8,"Lose Yourself - From 8 Mile Soundtrack","8 Mile (Music From And Inspired By The Motion Picture)","Eminem",2002-10-29,321960,44,cabultra,2019-11-05T04:15:22Z,"rap,hip hop","Shady Records",0.7,0.738,2,-4.697,1,0.265,0.00491,0.000011,0.35,0.0588,171.404,4
57fle8eeGplJN73bT8jgxy,"Disturbia","Good Girl Gone Bad Reloaded","Rihanna",2008-06-02,238626,0,cabultra,2019-11-05T04:15:26Z,"","The Island Def Jam Music Group",0.707,0.832,11,-4.499,0,0.0564,0.0975,0,0.177,0.713,124.936,4
3pziBnciSMtcQtcbErn2UT,"Unwritten","Unwritten","Natasha Bedingfield",2004-09-06,259333,0,cabultra,2019-11-05T04:16:54Z,"","Phonogenic",0.706,0.801,5,-6.333,1,0.0399,0.00577,0,0.0822,0.63,100.013,4
6dViIgkYIRccNImPln58rS,"Angel","Hot Shot (International Version #2)","Shaggy,Rayvon",2000,235133,1,cabultra,2019-11-05T04:17:30Z,"reggae","Geffen",0.74,0.766,6,-2.939,1,0.178,0.116,0,0.0406,0.807,170.531,4
3CKCZ9pfwAfoMZlMncA1Nc,"Set Fire to the Rain","21","Adele",2011-01-19,241693,19,cabultra,2019-11-05T04:18:21Z,"soft pop","XL Recordings/Columbia",0.61,0.683,2,-3.879,0,0.0253,0.00382,0.00000179,0.125,0.466,108.003,4
4RXpgGM7A4Hg7cFBoH5KyF,"Hey Brother","True","Avicii",2013-09-13,255093,2,cabultra,2019-11-05T04:19:01Z,"edm","Universal Music AB",0.545,0.78,7,-4.867,0,0.0436,0.0309,0.0000464,0.0828,0.458,125.014,4
6nek1Nin9q48AVZcWs9e9D,"Paradise","Mylo Xyloto","Coldplay",2011-10-24,278719,79,cabultra,2019-11-05T04:19:11Z,"","Parlophone UK",0.449,0.585,5,-6.761,1,0.0268,0.0509,0.0000875,0.0833,0.212,139.631,4
2bJvI42r8EF3wxjOuDav4r,"Time of Our Lives","Globalization","Pitbull,Ne-Yo",2014-11-24,229360,77,cabultra,2019-11-05T04:19:18Z,"","Mr.305/Polo Grounds Music/RCA Records",0.721,0.802,1,-5.797,1,0.0583,0.0921,0,0.694,0.724,124.022,4
59RSrxkSKSixEWBAIvE5Wa,"Starships","Pink Friday ... Roman Reloaded (Deluxe)","Nicki Minaj",2012-01-01,210626,52,cabultra,2019-11-05T04:19:24Z,"","Nicki Minaj/Cash Money",0.747,0.716,11,-2.457,0,0.0751,0.135,0,0.251,0.751,125.006,4
