Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3flQv4DNGg31Ic4vBv45Tj,"Resurrections","Celeste (Original Soundtrack)","Lena Raine",2018-01-25,578648,46,cabultra,2024-10-03T15:46:39Z,"","Radical Dreamland",0.372,0.712,9,-7.32,0,0.0449,0.108,0.598,0.119,0.0384,143.983,4
1wtbL0IKJN7n2oCThDgw73,"Mirror Temple - Mirror Magic Mix","Celeste B-Sides (Original Game Soundtrack)","2 Mello",2018-01-25,235606,40,cabultra,2024-10-03T15:46:39Z,"","Materia Collective",0.61,0.76,8,-7.848,1,0.0376,0.24,0.89,0.118,0.527,99.009,4
7tL9xxvZY4C8rx5EKfHIVU,"Far","Minecraft - Volume Beta","C418",2013-11-09,192000,50,cabultra,2024-10-03T15:46:39Z,"","C418",0.735,0.239,1,-14.188,1,0.0403,0.856,0.745,0.105,0.313,130.027,4
2XiVI1ZMabQc0VIChp9KoV,"Golden Ridge - Golden Feather Mix","Celeste B-Sides (Original Game Soundtrack)","In Love With a Ghost",2018-01-25,293821,33,cabultra,2024-10-03T15:46:39Z,"lo-fi","Materia Collective",0.57,0.459,9,-8.414,1,0.0329,0.619,0.0000218,0.0947,0.187,104.027,4
2gBI1wTBX0a9PmP9BVS9fJ,"The Core - Say Goodbye Mix","Celeste B-Sides (Original Game Soundtrack)","Matthewせいじ",2018-01-25,226998,28,cabultra,2024-10-03T15:46:39Z,"","Materia Collective",0.458,0.546,4,-13.447,0,0.0358,0.536,0.859,0.0971,0.043,180.046,4
1qHX3JQefKOvy64bIWEAhS,"Dance of the Moonlight Jellies","Stardew Valley (Original Game Soundtrack)","ConcernedApe",2016-09-19,110769,54,cabultra,2024-10-03T15:46:39Z,"soundtrack","ConcernedApe",0.379,0.0432,2,-24.799,1,0.0482,0.979,0.928,0.0829,0.155,77.707,4
35p6mssMRYhqo1hFO0o6T9,"Awake","Celeste (Original Soundtrack)","Lena Raine",2018-01-25,148555,44,cabultra,2024-10-03T15:46:39Z,"","Radical Dreamland",0.432,0.0774,9,-23.793,0,0.0412,0.987,0.946,0.0969,0.0479,127.094,3
7fD72waADOZymEpuQfbiDE,"Fairy Fountain","Zelda & Chill","Mikel,GameChops",2018-09-14,164266,46,cabultra,2024-10-03T15:46:39Z,"lo-fi","GameChops",0.67,0.524,2,-10.768,0,0.05,0.403,0.926,0.0917,0.285,78.006,4
5fHgBb5r91Jmdr8Q7dwmad,"Secunda","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,123216,60,cabultra,2024-10-03T15:46:39Z,"medieval,soundtrack","Bethesda Softworks",0.142,0.0462,7,-27.928,0,0.029,0.985,0.939,0.0934,0.088,89.996,3
5L9MJsGqzTRD09rSzHkCDy,"Home","UNDERTALE Soundtrack","Toby Fox",2015-09-15,123000,57,cabultra,2024-10-03T15:46:39Z,"soundtrack","Materia Collective",0.518,0.162,9,-16.803,0,0.0904,0.917,0.885,0.107,0.341,121.615,4
