Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4XAuCA3qGqOGF901RmzONC,"Behind Da Scenes","Squidtastic","SahBabii",2018-08-29,175761,25,cabultra,2019-05-16T11:32:08Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.781,0.501,5,-8.072,1,0.394,0.0935,0,0.162,0.27,76.401,4
7lljb2kxrENpNOZnqDj01h,"Army","Squidtastic","SahBabii",2018-08-29,174385,35,cabultra,2019-05-16T11:32:13Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.836,0.62,9,-8.51,0,0.051,0.0283,0.00586,0.061,0.476,134,4
0JS9sWdEGk729ILCGCsDyM,"Sunny Days (feat. T3)","Squidtastic","SahBabii,T3",2018-08-29,174775,33,cabultra,2019-05-16T11:32:20Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.819,0.648,3,-6.773,1,0.141,0.169,0.00000969,0.0713,0.455,155.033,4
0bJww9qkihLxUG6TZCUd3x,"Sylvan","Squidtastic","SahBabii",2018-08-29,174249,28,cabultra,2019-05-16T11:32:26Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.8,0.444,2,-10.235,1,0.364,0.338,0.0000163,0.107,0.234,77.336,4
3WIQhZTPlv5KLZFJIyEk2y,"Tonight","Squidtastic","SahBabii",2018-08-29,154113,44,cabultra,2019-05-16T11:32:30Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.74,0.561,5,-7.222,1,0.165,0.56,0,0.106,0.465,79.999,4
77MhMKDCBu2XNs1Dzu2AK6,"Anime World","Squidtastic","SahBabii",2018-08-29,194361,40,cabultra,2019-05-16T11:32:50Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.738,0.489,6,-8.911,0,0.135,0.342,0.00000312,0.488,0.422,81.049,4
2KLECbl5YJPZUZVi33tuFf,"Honey Bees","Squidtastic","SahBabii",2018-08-29,146014,39,cabultra,2019-05-16T11:32:56Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.813,0.457,1,-7.834,1,0.343,0.508,0,0.125,0.414,72.529,4
5MBn92n16tr609xUbqQpu3,"Throw It","3P","SahBabii",2019-02-26,247426,18,cabultra,2019-05-16T11:33:00Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.746,0.499,1,-7.865,1,0.163,0.307,0,0.101,0.15,140.013,4
1FGx3ikPF22FtUYWMzsZ82,"Purple Ape (feat. 4orever)","S.A.N.D.A.S.","SahBabii,4orever",2017-06-09,192746,41,cabultra,2019-05-16T11:33:04Z,"melodic rap","Warner Records",0.729,0.541,3,-10.205,0,0.129,0.203,0.0000288,0.196,0.384,134.996,4
35eqqYzCWQyzqxj4SI9Ywl,"Greet Her","Northsbest","Lil Mosey",2018-10-19,174315,0,cabultra,2019-05-16T11:33:15Z,"melodic rap","Mogul Vision / Interscope PS",0.75,0.476,7,-7.864,0,0.0412,0.0593,0,0.199,0.123,94.995,4
7LBdv0ek7Tj2s0bgxmlrC6,"CALLIGRAPHY","CARE FOR ME","Saba",2018-04-05,184250,0,cabultra,2019-05-16T11:36:05Z,"","Saba Pivot, LLC",0.713,0.533,3,-9.713,0,0.315,0.732,0.000947,0.111,0.306,73.973,4
0YAQnYt2oB8OdoaeqnHyTI,"Tribe (with J. Cole)","Milky Way","Bas,J. Cole",2018-08-24,238053,58,cabultra,2019-05-16T11:36:12Z,"rap","J. Cole/ DreamVille",0.755,0.594,7,-5.906,1,0.216,0.241,0,0.107,0.237,178.929,4
6qZANDqrSAvfuSjcxBP1PD,"10AM/Save The World (feat. Gucci Mane)","NOT ALL HEROES WEAR CAPES","Metro Boomin,Gucci Mane",2018-11-02,226320,0,cabultra,2019-05-16T11:36:29Z,"southern hip hop,rap,trap","Republic Records",0.719,0.501,8,-8.84,0,0.239,0.257,0,0.189,0.419,136.025,4
16DHWSDlEa5K0JbMHnuMXM,"Stay Right Here","Stay Right Here","Saba,Xavier Omär,Mick Jenkins",2018-11-09,210133,34,cabultra,2019-05-16T11:36:59Z,"alternative r&b,jazz rap","Saba Pivot, LLC",0.752,0.536,9,-7.444,0,0.452,0.132,0,0.281,0.628,129.93,4
475SvHOt2z2mp5dK2pjSJ8,"Beautiful Smile","Beautiful Smile","Saba,IDK",2018-11-16,171013,30,cabultra,2019-05-16T11:37:21Z,"","Saba Pivot, LLC",0.889,0.596,9,-8.23,0,0.397,0.278,0,0.0798,0.899,97.994,5
3OORhRpIhCk21HaJwMAp5t,"Purge","Milky Way","Bas",2018-08-24,186613,41,cabultra,2019-05-16T11:37:34Z,"","J. Cole/ DreamVille",0.908,0.535,7,-8.509,0,0.292,0.632,0,0.214,0.271,115.016,4
3y3U0Ek183gHVBFxO6fFos,"Fragrance (feat. Correy C)","Milky Way","Bas,Correy C",2018-08-24,217200,26,cabultra,2019-05-16T11:37:40Z,"","J. Cole/ DreamVille",0.749,0.569,1,-5.457,1,0.0529,0.076,0,0.122,0.545,138.054,4
0K4e9NIV1jrA0BajMFzOgd,"Infinity+2 (feat. Correy C)","Milky Way","Bas,Correy C",2018-08-24,114333,23,cabultra,2019-05-16T11:37:50Z,"","J. Cole/ DreamVille",0.807,0.505,0,-7.083,0,0.0552,0.181,0,0.176,0.266,120.06,4
3PXKM37YCejbgpRXQwoQ71,"Designer","Milky Way","Bas",2018-08-24,173906,26,cabultra,2019-05-16T11:37:57Z,"","J. Cole/ DreamVille",0.716,0.59,3,-7.076,0,0.456,0.504,0,0.108,0.482,93.896,4
6qVbXZHjC8zLcc1I0CFgaC,"Busy","Busy","Saba",2018-02-27,202266,16,cabultra,2019-05-16T11:38:03Z,"","Saba Pivot, LLC",0.741,0.451,1,-6.381,1,0.404,0.362,0.00000563,0.0957,0.732,133.995,4
0ror2i7yC3O4iqS1Fmvhtb,"Alkaline","Alkaline","Kota the Friend",2018-06-25,185000,25,cabultra,2019-05-16T11:38:32Z,"","Fltbys",0.774,0.537,10,-6.899,0,0.297,0.679,0.00000524,0.173,0.549,153.878,4
6gzIcEUuswJQGfJNPYMjjv,"Hard Work Pays Off","Future & Juice WRLD Present... WRLD ON DRUGS","Future,Juice WRLD",2018-10-19,224506,57,cabultra,2019-05-16T11:38:45Z,"rap,melodic rap,emo rap","Epic/Freebandz/Grade A/Interscope",0.736,0.482,4,-8.242,1,0.196,0.327,0,0.229,0.608,140.064,4
02CQH5capUYovYSiSiwKgX,"Bosses and Workers (feat. Don Q and Trap Manny)","Hoodie SZN","A Boogie Wit da Hoodie,Don Q,Trap Manny",2018-12-21,207222,39,cabultra,2019-05-16T11:39:10Z,"melodic rap,new york drill,brooklyn drill","Highbridge the Label / Atlantic Records",0.842,0.605,1,-6.293,0,0.0559,0.358,0,0.0843,0.591,130.027,4
5P0mkqNPdGWtJJ4LvWk7cn,"Figure It Out (feat. Gunna)","Sincerely, Tokyo","MadeinTYO,Gunna",2018-10-26,213986,0,cabultra,2019-05-16T11:40:06Z,"melodic rap","Commission/BMG",0.809,0.497,8,-7.274,1,0.435,0.13,0,0.11,0.451,152.103,4
0fABHG5a7RnqBlOKOwhWZD,"Chucky Cheese","Sincerely, Tokyo","MadeinTYO",2018-10-26,165293,0,cabultra,2019-05-16T11:40:12Z,"","Commission/BMG",0.89,0.542,10,-4.826,0,0.314,0.523,0,0.123,0.565,78.458,4
2mYDDUkBcgFNBqkWctyyuc,"Overdue (with Travis Scott)","NOT ALL HEROES WEAR CAPES","Metro Boomin,Travis Scott",2018-11-02,166093,0,cabultra,2019-05-16T11:40:23Z,"rap","Republic Records",0.638,0.4,11,-11.212,0,0.0425,0.733,0.000133,0.334,0.495,150.133,4
2dKtWPLZvbCzwLRliNn8UI,"Can't Love","A Love Letter To You 3","Trippie Redd",2018-11-09,169411,0,cabultra,2019-05-16T11:40:59Z,"melodic rap","TenThousand Projects, LLC",0.842,0.567,4,-6.504,0,0.0525,0.00244,0.0000207,0.168,0.256,135.991,4
3DlgDXIYtnWtJKiB8bZQMv,"Photosynthesis","Bucket List Project","Saba,Jean Deaux",2016-10-27,201732,2,cabultra,2019-05-16T11:41:23Z,"alternative r&b","Saba Pivot, LLC",0.777,0.662,7,-8.393,1,0.27,0.536,0.00000461,0.593,0.634,111.13,4
3ToO9EBuxj9gOgA5ZWbzJU,"World In My Hands (feat. Smino & LEGIT)","Bucket List Project","Saba,Smino,Legit",2016-10-27,230625,0,cabultra,2019-05-16T11:41:41Z,"g-funk,west coast hip hop","Saba Pivot, LLC",0.816,0.691,1,-4.772,0,0.158,0.0495,0,0.083,0.403,136.057,4
1Y7dZA71sPTudGSumYGZs1,"2006","2006","Skizzy Mars",2018-01-05,225640,17,cabultra,2019-05-16T11:42:25Z,"","Kingmaker/Please Rewind",0.725,0.754,2,-5.056,0,0.285,0.109,0,0.238,0.589,156.107,4
6vnfObZ4Ys70SBAtti1xZ9,"COFFEE BEAN","ASTROWORLD","Travis Scott",2018-08-03,209115,63,cabultra,2019-05-16T11:43:21Z,"rap","Cactus Jack / Epic",0.81,0.582,5,-5.098,0,0.125,0.0862,0.00681,0.207,0.503,95.004,4
2o8VvyPvmjhDid7zk7XNHV,"Good Gas","Good Gas","Good Gas,FKi 1st,UnoTheActivist,MadeinTYO",2018-02-22,212122,27,cabultra,2019-05-16T11:43:31Z,"j-rap,rage rap,melodic rap,cloud rap","Mad Decent",0.895,0.49,4,-6.441,0,0.113,0.355,0,0.315,0.374,124.954,4
6m3LlhdZ0HWn4D7Nnm06MQ,"Together","LIFE'S A TRIP","Trippie Redd",2018-08-10,164576,0,cabultra,2019-05-16T11:43:51Z,"melodic rap","TenThousand Projects, LLC",0.615,0.444,8,-6.773,0,0.0282,0.894,0.00000717,0.127,0.125,120.093,4
4mHgYpuGHu99Mw69E83CP2,"Taking A Walk","LIFE'S A TRIP","Trippie Redd",2018-08-10,121680,1,cabultra,2019-05-16T11:43:59Z,"melodic rap","TenThousand Projects, LLC",0.767,0.538,0,-6.044,0,0.052,0.68,0,0.192,0.343,81.029,4
6IpvkngH89cA3hhPC84Leg,"Wish - Trippie Mix","LIFE'S A TRIP","Diplo,Trippie Redd",2018-08-10,176874,0,cabultra,2019-05-16T11:44:08Z,"moombahton,melodic rap","TenThousand Projects, LLC",0.561,0.832,9,-7.661,1,0.0711,0.233,0,0.107,0.668,93.991,4
4QeBlVCl2KzUEcQZiuskRd,"Sway (feat. Quavo & Lil Yachty)","Sway (feat. Quavo & Lil Yachty)","NexXthursday,Quavo,Lil Yachty",2017-07-14,244093,39,cabultra,2019-05-16T11:45:09Z,"","Warner Records",0.896,0.513,8,-6.542,1,0.199,0.112,0,0.104,0.296,133.973,4
7LBU1h8q0kpzkQnipzzEZ4,"Coastin' (feat. Tk Kravitz)","Coastin' (feat. Tk Kravitz)","Nebu Kiniza,TK Kravitz",2017-07-14,164623,0,cabultra,2019-05-16T11:45:16Z,"","Nebu Kiniza",0.883,0.483,11,-8.728,1,0.329,0.00688,0.00000541,0.0929,0.401,81.999,4
268LEI3SZymw4DjSygPORa,"Russian Cream","Russian Cream","Key Glock",2018-01-26,142497,22,cabultra,2019-05-16T11:45:52Z,"memphis rap","Paper Route Empire / Key Glock",0.867,0.774,11,-5.791,0,0.315,0.11,0,0.157,0.549,130.007,4
6Hgh47WXVKtXN5zGOu0hjI,"OTW","OTW","Khalid,6LACK,Ty Dolla $ign",2018-04-20,263013,64,cabultra,2019-05-16T11:46:17Z,"","Right Hand Music Group, LLC/RCA Records",0.652,0.678,2,-6.183,1,0.0541,0.183,0.0000326,0.106,0.28,72.989,4
1CFbMhxQjCT3OH3YLvBkNF,"Paid In Full","Paid In Full","SAFE,Playboi Carti",2019-04-05,202080,35,cabultra,2019-05-16T22:38:19Z,"sexy drill,rage rap","Not specified",0.752,0.64,10,-4.758,1,0.293,0.393,0,0.175,0.647,152.946,4
54VYxYYV1kGkVKYOZVzuDD,"Pull Up Wit Ah Stick (feat. Loso Loaded)","Pull Up Wit Ah Stick (feat. Loso Loaded)","SahBabii,Loso Loaded",2017-04-07,228906,38,cabultra,2019-05-19T04:20:37Z,"melodic rap","Warner Records",0.752,0.619,1,-8.156,1,0.0864,0.085,0,0.107,0.386,80.517,4
2BfyXyivg20NJ5dgqJfKfL,"Charlene","Sensational","Yung Gravy,MIA GLADSTONE",2019-05-31,160693,32,cabultra,2019-06-09T18:20:18Z,"meme rap","Republic Records",0.554,0.554,0,-7.202,0,0.301,0.263,0,0.141,0.538,174.102,4
29Kwwlc2SMq1XXqdf2KRfw,"LIGHT (feat. Drax Project)","Dex Meets Dexter","Famous Dex,Drax Project",2018-04-06,198000,23,cabultra,2019-06-09T18:36:00Z,"","300 Entertainment",0.692,0.62,1,-7.837,0,0.0701,0.151,0,0.158,0.596,150.022,4
5rUj2tAkDsXzrrujpbIfRH,"Thank the Gang","Thank the Gang","Twelve'len",2019-05-15,173333,0,cabultra,2019-07-02T13:37:33Z,"","TWELVE'LEN",0.727,0.576,5,-8.28,1,0.0747,0.124,0,0.406,0.634,108.022,4
1ts7WbeSa3VDrCTu6PGLHr,"When it's all said & done","Ethernet 2","Wifisfuneral",2019-06-28,94902,0,cabultra,2019-07-06T02:32:59Z,"dark trap,underground hip hop","Alamo Records",0.457,0.671,9,-6.646,0,0.268,0.81,0.278,0.129,0.355,79.358,4
1lsc8ZeTFGisZJmucCjrqn,"WYA, pt. 2","Ethernet 2","Wifisfuneral",2019-06-28,181055,0,cabultra,2019-07-06T02:33:07Z,"dark trap,underground hip hop","Alamo Records",0.752,0.695,10,-6.35,0,0.291,0.303,0,0.102,0.558,120.02,4
3DoHvkysiK2rnYahEget2p,"I really hate pills","Ethernet 2","Wifisfuneral",2019-06-28,90932,0,cabultra,2019-07-06T02:33:13Z,"dark trap,underground hip hop","Alamo Records",0.676,0.624,9,-11.758,0,0.151,0.769,0.000095,0.319,0.661,147.974,3
5lgagN4ioz8aHGewC8BBjQ,"Calabasas","Calabasas","Skizzy Mars",2019-06-26,160000,1,cabultra,2019-07-06T18:49:40Z,"","Kingmaker/Please Rewind",0.857,0.616,3,-5.769,1,0.0512,0.0353,0,0.15,0.387,132.019,4
5u431x19PX588bk9XGlwN8,"Bad Idea (feat. Chance the Rapper)","Bad Idea (feat. Chance the Rapper)","Cordae,Chance the Rapper",2019-06-17,234730,0,cabultra,2019-07-06T18:58:11Z,"","Atlantic Records",0.75,0.502,10,-7.184,1,0.31,0.238,0,0.106,0.301,82.54,4
4cciufgbhnM6NZAal0ORPd,"With You","Keahonui","Dbangz,Mani Strings",2019-07-01,213942,0,cabultra,2019-07-06T23:18:30Z,"meme rap","iAloha Records LLC",0.495,0.731,7,-4.206,0,0.522,0.428,0,0.0962,0.548,86.01,4
6n3q5ybuUQFT97ddyuxsFh,"Sleep Deprived (with Lute & Omen feat. Mez & DaVionne)","Revenge Of The Dreamers III","Dreamville,Lute,Omen,Mez,DaVionne",2019-07-05,238453,42,cabultra,2019-07-07T23:49:31Z,"","Dreamville/Interscope Records",0.636,0.8,11,-4.265,0,0.347,0.337,0,0.39,0.704,88.657,4
5KUciA17ZXudpvWAc3mLHs,"PTSD (with Omen feat. Mereba, Deante' Hitchcock & St. Beauty)","Revenge Of The Dreamers III","Dreamville,Omen,Mereba,Deante' Hitchcock,St. Beauty",2019-07-05,237853,37,cabultra,2019-07-07T23:52:51Z,"alternative r&b","Dreamville/Interscope Records",0.68,0.883,1,-5.387,1,0.395,0.187,0,0.116,0.59,96.173,4
7wTA0NKIm6T7nP2kaymU2a,"Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba)","Revenge Of The Dreamers III","Dreamville,EARTHGANG,J. Cole,Smino,Saba",2019-07-05,382306,60,cabultra,2019-07-07T23:53:36Z,"rap","Dreamville/Interscope Records",0.825,0.672,0,-7.108,1,0.418,0.0858,0,0.123,0.246,147.01,4
1yp5z3TNnOvgcnAKezh7F4,"Birdie","FOTO","Kota the Friend,Hello O'shay",2019-05-15,248647,0,cabultra,2019-07-09T00:36:42Z,"jazz rap","Fltbys",0.811,0.753,0,-4.634,1,0.383,0.788,0,0.0798,0.559,85.016,4
3sp3wHVuQ3CRtsZykHDtKq,"Hollywood","FOTO","Kota the Friend",2019-05-15,241678,0,cabultra,2019-07-09T00:36:47Z,"","Fltbys",0.844,0.646,6,-5.746,1,0.243,0.521,0,0.0952,0.684,88.011,4
4gCD2JxcKR0nvbABPzETdb,"Sedona","FOTO","Kota the Friend",2019-05-15,205482,0,cabultra,2019-07-09T00:36:55Z,"","Fltbys",0.799,0.563,5,-7.266,0,0.52,0.708,0,0.148,0.768,160.149,4
7xDy9Jii27dcxtdXWugbqz,"Chicago Diner","FOTO","Kota the Friend",2019-05-15,175037,0,cabultra,2019-07-09T00:37:01Z,"","Fltbys",0.84,0.574,6,-7.946,1,0.054,0.644,0.0000965,0.107,0.386,133.057,4
5av7NCtwaAsID0TJylcSD4,"Solar Return","FOTO","Kota the Friend,Saba",2019-05-15,236017,0,cabultra,2019-07-09T00:37:14Z,"","Fltbys",0.695,0.721,1,-6.335,1,0.308,0.775,0,0.112,0.762,90.098,4
22SAOgkKLvtva9Y8JEPnme,"Mommy","FOTO","Kota the Friend",2019-05-15,236522,0,cabultra,2019-07-09T00:37:24Z,"","Fltbys",0.449,0.693,5,-6.735,0,0.308,0.83,0,0.0996,0.753,84.603,4
4wcOo3mJXC7sh0iULJsW6K,"Backyard","FOTO","Kota the Friend",2019-05-15,206000,0,cabultra,2019-07-09T00:37:38Z,"","Fltbys",0.892,0.597,11,-7.851,0,0.178,0.272,0,0.0815,0.895,150.036,4
4w9gFTMZTGsGMNrmp94Ztn,"KOALA","FOTO","Kota the Friend",2019-05-15,124000,0,cabultra,2019-07-09T00:37:48Z,"","Fltbys",0.896,0.609,0,-7.168,1,0.412,0.323,0,0.0662,0.455,140.98,4
1XrAcjujf8r5UkCg3NWydz,"Good To Be Home","FOTO","Kota the Friend",2019-05-15,260294,0,cabultra,2019-07-09T00:38:11Z,"","Fltbys",0.615,0.766,0,-3.714,1,0.401,0.529,0,0.108,0.473,80.212,4
6fACS9HOIeNSio2zN8v3uA,"FOTO","FOTO","Kota the Friend,Hello O'shay",2019-05-15,269629,0,cabultra,2019-07-09T00:38:17Z,"jazz rap","Fltbys",0.736,0.734,11,-7.074,1,0.265,0.704,0,0.0634,0.776,79.989,4
6Oe5tmI1bfguCp6dKHbSj6,"Paranoia","Acid Rap","Chance the Rapper,Nosaj Thing",2013-04-30,275281,43,cabultra,2019-07-10T04:06:38Z,"idm","Chance the Rapper",0.472,0.282,1,-12.309,1,0.306,0.317,0.000158,0.107,0.123,69.985,4
4NBQVFmu2R7lmRU3yoSMm4,"Everybody's Something","Acid Rap","Chance the Rapper,Saba,BJ The Chicago Kid",2013-04-30,276937,38,cabultra,2019-07-10T04:07:08Z,"neo soul","Chance the Rapper",0.551,0.459,1,-9.748,1,0.374,0.0662,0,0.373,0.511,69.156,4
1sFstGV1Z3Aw5TDFCiT7vK,"Favorite Song","Acid Rap","Chance the Rapper,Childish Gambino",2013-04-30,185062,52,cabultra,2019-07-10T04:07:18Z,"","Chance the Rapper",0.725,0.601,1,-9.03,1,0.377,0.0321,0,0.0504,0.811,155.918,4
0yLsJKNJHmSnmSGl3ZodYn,"Acid Rain","Acid Rap","Chance the Rapper",2013-04-30,216312,47,cabultra,2019-07-10T04:07:56Z,"","Chance the Rapper",0.727,0.527,9,-7.111,1,0.252,0.218,0.000228,0.113,0.102,84.471,4
4Jh8aypoHtCqv5GPzZxPsz,"Chain Smoker","Acid Rap","Chance the Rapper",2013-04-30,210562,41,cabultra,2019-07-10T04:08:02Z,"","Chance the Rapper",0.661,0.557,1,-8.798,1,0.198,0.0202,0.000128,0.169,0.412,110.967,4
67xBtV07CC73eFw7z5oCvU,"Do You Remember","The Big Day","Chance the Rapper,Death Cab for Cutie",2019-07-26,236685,39,cabultra,2019-07-29T03:52:06Z,"","Chance the Rapper",0.606,0.655,6,-6.328,1,0.402,0.139,0,0.103,0.696,159.824,4
1g3ErLqysBJ5EIGdYYMWFZ,"All Day Long","The Big Day","Chance the Rapper,John Legend",2019-07-26,208238,36,cabultra,2019-07-29T03:54:51Z,"soft pop,neo soul","Chance the Rapper",0.767,0.884,2,-3.674,1,0.161,0.028,0,0.103,0.717,123.01,4
3NEjuId3qYDT482ykUBbeI,"Get A Bag","The Big Day","Chance the Rapper,Calboy",2019-07-26,201079,27,cabultra,2019-07-29T22:40:53Z,"melodic rap","Chance the Rapper",0.698,0.715,11,-5.17,1,0.0841,0.00375,0,0.0887,0.679,153.981,4
5LeStoyvjAHpM52IYogOq0,"Eternal","The Big Day","Chance the Rapper,Smino",2019-07-26,243915,35,cabultra,2019-07-31T03:35:25Z,"","Chance the Rapper",0.793,0.524,5,-6.229,0,0.148,0.0622,0,0.0803,0.631,95.044,4
61StVXD7XDEeVBBdnvmFfM,"what is real","what is real","iann dior",2019-07-03,134819,0,cabultra,2019-08-04T04:56:18Z,"melodic rap","TenThousand Projects, LLC",0.626,0.769,1,-4.48,1,0.0343,0.224,0,0.116,0.446,93.483,4
5ls62WNKHUUrdF3r1cv83T,"emotions","nothings ever good enough","iann dior",2019-05-22,131213,1,cabultra,2019-08-06T00:18:29Z,"melodic rap","TenThousand Projects, LLC",0.63,0.63,9,-6.211,1,0.0395,0.0131,0,0.142,0.163,80.512,4
4fC5jw1TI59GH1emfN1wtk,"Poles 1469","A Love Letter To You","Trippie Redd,6ix9ine",2017-05-14,149575,4,cabultra,2019-08-11T17:28:27Z,"melodic rap","Strainge Entertainment",0.741,0.761,4,-3.871,0,0.0512,0.235,0,0.119,0.216,81.546,4
0l5q68aDEENm2UGCB0wcRL,"Intro","Intro","iAMWVS,Playboi Carti",2019-08-16,163552,0,cabultra,2019-08-16T18:13:26Z,"rage rap","Interscope Records, Cactus Jack Records, XO Records, Red Bull Music",0.505,0.588,9,-7.976,1,0.459,0.229,0.00000667,0.0509,0.452,162.975,4
3eCulo5yg6EwkTfYcy1Xmh,"Jollof Rice (with EARTHGANG)","Spilled Milk 1","Bas,EARTHGANG",2019-08-09,128139,32,cabultra,2019-08-16T18:15:35Z,"","J. Cole/ DreamVille",0.97,0.507,5,-5.469,0,0.148,0.172,0,0.0939,0.879,120.022,4
7LjRPqtlYb2qyqUmKOwKuz,"Nirvana (with Falcons & B. Lewis)","Spilled Milk 1","Bas,Falcons,B. Lewis",2019-08-09,165953,28,cabultra,2019-08-16T18:15:57Z,"","J. Cole/ DreamVille",0.722,0.538,9,-8.145,0,0.0584,0.361,0,0.148,0.527,129.978,4
