Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1CCopFWlWgbwfJn1JGs2Ez,"Careless","Reminiscing","No Spirit",2019-12-23,158800,0,cabultra,2022-09-12T23:56:53Z,"lo-fi,lo-fi beats","Chillhop Records",0.651,0.436,4,-15.507,0,0.043,0.511,0.837,0.375,0.243,75.02,4
4cqQUn64txt20Wgz28yl2i,"White Oak","White Oak","dryhope",2019-11-04,118874,0,cabultra,2022-09-12T23:57:02Z,"lo-fi beats,lo-fi","Chillhop Records",0.742,0.166,6,-14.773,1,0.129,0.76,0.624,0.131,0.558,173.979,4
7ilw4YshloCOchy6AEXFPw,"Moonlight and Rain","Moonlit Tales","Kalaido",2018-12-14,234126,40,cabultra,2022-10-18T01:39:11Z,"lo-fi,lo-fi beats","College Music Records",0.575,0.433,1,-11.925,0,0.159,0.578,0.198,0.061,0.704,84.969,4
2qoWmynrssGi78Bz6AJCuE,"belonging","belonging","Swørn",2020-03-18,121925,31,cabultra,2022-10-12T19:05:12Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Music",0.679,0.159,6,-14.257,0,0.0337,0.761,0.848,0.0751,0.0581,86.024,4
2cviOWo4YY8Fg5vvjX94VP,"rosemary whispers","Chillhop Essentials Spring 2019","santpoort",2019-03-20,136500,37,cabultra,2022-10-18T18:25:48Z,"lo-fi beats,lo-fi","Chillhop Music",0.782,0.265,8,-17.638,1,0.0544,0.671,0.859,0.111,0.425,116.06,4
0tnTF05Tzd9oeG5bbnCdZy,"Ctrl.","Ctrl.","Sugi.wa",2018-05-30,104663,32,cabultra,2022-10-18T18:26:54Z,"lo-fi beats,lo-fi","738759 Records DK",0.635,0.125,1,-21.783,0,0.0741,0.881,0.888,0.167,0.156,85.06,4
2CW1y32fK1n1OL3W60OORY,"Plant","While You Were Away","Kasper Lindmark",2018-06-30,70916,33,cabultra,2022-10-18T18:27:07Z,"lo-fi,lo-fi beats","Whale Shark Records",0.561,0.213,2,-14.412,1,0.0455,0.758,0.89,0.106,0.123,87.989,4
3GNg3vhevm1N82hnncWikN,"Where Are You","Where Are You","A[way]",2019-07-29,132519,38,cabultra,2022-10-18T18:27:23Z,"lo-fi,lo-fi beats","1229275 Records DK2",0.8,0.244,3,-13.884,1,0.181,0.597,0.878,0.15,0.153,150.199,4
5sOyLiclfuNUBB3wIKPIwZ,"blankets","Late Night Vibes 4","fantompower",2020-02-05,174000,0,cabultra,2022-10-21T03:06:46Z,"lo-fi beats,lo-fi,j-dance","Chillhop Music",0.611,0.147,7,-17.832,0,0.041,0.935,0.956,0.111,0.117,79.97,4
3KfbdqvAb7gB6I2Hp6Qeda,"Carried Away","1 Am. Study Session","goosetaf,Sunlight Jr.,Francis",2019-12-08,115200,0,cabultra,2022-10-18T18:27:56Z,"lo-fi beats,lo-fi","Lofi Records",0.657,0.274,4,-11.916,0,0.0356,0.844,0.931,0.115,0.106,75.018,4
3vU0WH6qHOd3MRFZt5nJJF,"Alive","Alive","Ouska",2019-02-04,146976,0,cabultra,2022-09-12T23:57:13Z,"lo-fi beats,lo-fi","Chillhop Records",0.674,0.307,2,-11.206,1,0.0327,0.78,0.834,0.115,0.38,128.995,4
1SREd7DUaJJpvDGr0lgCVx,"iridscnt","Love Story","ocha",2019-01-17,160000,26,cabultra,2022-10-20T01:11:11Z,"j-dance,lo-fi beats,lo-fi","ocha",0.453,0.295,7,-16.648,0,0.033,0.656,0.806,0.121,0.0423,83.958,1
18NBwccM1sFW7t1lixlBHN,"Driftwood","Chillhop Essentials Summer 2019","Leavv",2019-06-12,163571,0,cabultra,2022-09-12T23:57:31Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Records",0.519,0.13,4,-13.054,0,0.0678,0.828,0.922,0.12,0.405,88.984,4
0IRJgLoJ8OW10GU1xvWpHa,"Sky Pretty","Sky Pretty","Masked Man",2018-06-03,145822,0,cabultra,2022-10-18T18:26:07Z,"lo-fi beats,lo-fi","United Common Records",0.809,0.114,10,-10.573,0,0.109,0.929,0.907,0.101,0.145,78.98,4
1uCvWqfM0EeORLSehHrdbA,"Goodmorning","Plush","Aviino",2019-11-18,147000,0,cabultra,2022-09-12T23:57:41Z,"lo-fi beats,jazz beats,lo-fi","Chillhop Records",0.76,0.0919,10,-17.048,1,0.305,0.902,0.749,0.08,0.5,79.871,4
5nKSxq2yNgQLtgzqJxPn41,"i wish it would never stop snowing","Chillhop Essentials Spring 2019","Sleepy Fish",2019-03-20,196500,0,cabultra,2022-09-12T23:58:11Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Records",0.804,0.164,4,-14.07,1,0.0492,0.0365,0.831,0.0927,0.419,126.953,4
4pI7VTiN59CZnGJUgVZPoy,"Murmuration","Chillhop Essentials Spring 2019","Blue Wednesday,Shopan",2019-03-20,156000,0,cabultra,2022-09-12T23:58:53Z,"lo-fi beats,lo-fi,jazz beats,lo-fi house","Chillhop Records",0.686,0.373,11,-16.007,0,0.118,0.532,0.926,0.075,0.203,83.203,4
7f0yp8R3c26SxsnUftN1iG,"Marmots Dance","Chillhop Essentials Spring 2019","Plusma",2019-03-20,144750,0,cabultra,2022-09-12T23:58:57Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Records",0.663,0.388,7,-9.772,0,0.0384,0.414,0.122,0.271,0.289,84.059,4
6YNgJyZedfd8t0fTZ0K2Pg,"Quietly","Quietly","blnkspc_",2019-04-29,157601,0,cabultra,2022-09-12T23:59:17Z,"lo-fi house,lo-fi beats,lo-fi","Chillhop Records",0.676,0.0637,5,-14.014,0,0.0414,0.455,0.871,0.112,0.397,86.04,4
3DXOgShDK2FK1nUM6NeGnL,"Clocks Forward","Clocks Forward","Psalm Trees,Guillaume Muschalle",2019-05-06,141176,0,cabultra,2022-09-12T23:59:28Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Records",0.737,0.116,0,-16.45,1,0.0485,0.569,0.817,0.0893,0.387,85.026,4
75B90usIC5NA0J28UcE6qN,"Whale Call","Mangroves","Saib",2019-05-20,228571,0,cabultra,2022-09-12T23:59:36Z,"lo-fi,lo-fi beats,jazz beats","Chillhop Records",0.349,0.525,4,-7.309,1,0.0303,0.616,0.766,0.116,0.0708,70.529,1
4u8JJlRQ4WF6XLH5geEiyL,"Second Wind","Second Wind","L'Indécis",2019-05-10,180000,0,cabultra,2022-09-12T23:59:42Z,"lo-fi beats,jazz beats,lo-fi,jazz rap","Chillhop Records",0.43,0.309,0,-10.767,0,0.0584,0.893,0.788,0.13,0.259,82.077,4
5y8XBCFhHqbgjmJF4z0yCC,"Good Friends","Chillhop Essentials Summer 2019","Yasper",2019-06-12,160535,0,cabultra,2022-09-12T23:59:55Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Records",0.82,0.563,7,-6.292,1,0.113,0.685,0.0348,0.0967,0.709,80.005,4
7fD72waADOZymEpuQfbiDE,"Fairy Fountain","Zelda & Chill","Mikel,GameChops",2018-09-14,164266,46,cabultra,2022-09-13T00:02:08Z,"lo-fi","GameChops",0.67,0.524,2,-10.768,0,0.05,0.403,0.926,0.0917,0.285,78.006,4
4Q7ZTcOemrVx5ex3JHVPvn,"Ocarina of Time","Zelda & Chill","Mikel,GameChops",2018-09-14,149268,44,cabultra,2022-09-13T00:02:47Z,"lo-fi","GameChops",0.642,0.488,5,-10.164,1,0.0421,0.15,0.858,0.111,0.237,164.02,4
4LquGKtX0eDdNgrk8DTQrw,"A Long Trip","A Long Trip","Magic Nation Beats",2018-09-28,117016,3,cabultra,2022-09-16T01:07:35Z,"jazz beats,lo-fi beats","Magic Nation Beats",0.626,0.189,7,-14.44,0,0.0338,0.841,0.591,0.137,0.553,76.01,4
5n16dEoZ1OwdpqOIK13m1X,"Faces","Faces","Knowmadic",2019-01-07,133165,0,cabultra,2022-09-16T01:07:39Z,"lo-fi beats,lo-fi","Chillhop Records",0.615,0.424,11,-12.324,0,0.114,0.968,0.809,0.106,0.178,159.033,4
73dlzGP7irXmDW4QsiRJSt,"Midnight","Always Home","Ian Ewing,Braxton Cook",2019-09-09,220312,0,cabultra,2022-09-20T04:17:27Z,"lo-fi beats,lo-fi,jazz beats,nu jazz,neo soul,indie jazz","Chillhop Records",0.628,0.341,11,-10.507,0,0.162,0.608,0.232,0.0894,0.255,139.375,4
