Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1CCopFWlWgbwfJn1JGs2Ez,"Careless","Reminiscing","No Spirit",2019-12-23,158800,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T03:01:12Z,"lo-fi,lo-fi beats","Chillhop Records",0.651,0.436,4,-15.507,0,0.043,0.511,0.837,0.375,0.243,75.02,4
4cqQUn64txt20Wgz28yl2i,"White Oak","White Oak","dryhope",2019-11-04,118874,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T03:01:37Z,"lo-fi beats,lo-fi","Chillhop Records",0.742,0.166,6,-14.773,1,0.129,0.76,0.624,0.131,0.558,173.979,4
4pPL6ISxDI4k40xj2vN9Zh,"Effervescent","Effervescent","Toonorth",2019-05-13,137142,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T03:05:36Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Records",0.81,0.143,0,-11.052,1,0.137,0.563,0.92,0.113,0.442,167.921,4
3vU0WH6qHOd3MRFZt5nJJF,"Alive","Alive","Ouska",2019-02-04,146976,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T03:13:53Z,"lo-fi beats,lo-fi","Chillhop Records",0.674,0.307,2,-11.206,1,0.0327,0.78,0.834,0.115,0.38,128.995,4
5n16dEoZ1OwdpqOIK13m1X,"Faces","Faces","Knowmadic",2019-01-07,133165,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T03:14:09Z,"lo-fi beats,lo-fi","Chillhop Records",0.615,0.424,11,-12.324,0,0.114,0.968,0.809,0.106,0.178,159.033,4
18NBwccM1sFW7t1lixlBHN,"Driftwood","Chillhop Essentials Summer 2019","Leavv",2019-06-12,163571,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T03:14:16Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Records",0.519,0.13,4,-13.054,0,0.0678,0.828,0.922,0.12,0.405,88.984,4
1uCvWqfM0EeORLSehHrdbA,"Goodmorning","Plush","Aviino",2019-11-18,147000,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T03:14:22Z,"lo-fi beats,jazz beats,lo-fi","Chillhop Records",0.76,0.0919,10,-17.048,1,0.305,0.902,0.749,0.08,0.5,79.871,4
21m9xganQlcWga6rOQ8dhp,"Do You Want To Pretend We're In Love Sometime?","The Finish Line","Middle School",2019-07-01,143621,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T03:14:28Z,"lo-fi beats,jazz beats,lo-fi","Chillhop Records",0.568,0.384,1,-14.439,1,0.0504,0.52,0.856,0.0458,0.334,81.999,4
5nKSxq2yNgQLtgzqJxPn41,"i wish it would never stop snowing","Chillhop Essentials Spring 2019","Sleepy Fish",2019-03-20,196500,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T03:14:34Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Records",0.804,0.164,4,-14.07,1,0.0492,0.0365,0.831,0.0927,0.419,126.953,4
23mtnfduyTDdox1Zmfh4Nk,"Stay.","O R B I T","SwuM",2019-01-21,123132,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T03:14:47Z,"lo-fi,lo-fi beats,j-dance","Chillhop Records",0.525,0.504,6,-12.604,0,0.0311,0.691,0.609,0.0986,0.264,78.019,4
1G9KON1So2d8r7Mle9RGmv,"Lemon","Lemon","Tom Doolie",2019-02-18,108270,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T03:14:59Z,"lo-fi beats,lo-fi","Chillhop Records",0.723,0.33,4,-10.718,0,0.0639,0.827,0.852,0.114,0.457,82.051,4
2AuHTUSBMMNVHeO93a6n25,"Where I Met You","Where I Met You","Moods",2019-02-25,141124,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T04:03:11Z,"lo-fi beats","Chillhop Records",0.714,0.41,11,-7.651,1,0.027,0.0633,0.0864,0.128,0.356,97.002,4
6LFLjLI4tkJPY5bcoOysNn,"Flower","Escapade","Swørn",2019-03-11,162066,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T04:03:35Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Records",0.482,0.233,0,-9.782,0,0.0866,0.93,0.936,0.0979,0.123,160.036,4
7f0yp8R3c26SxsnUftN1iG,"Marmots Dance","Chillhop Essentials Spring 2019","Plusma",2019-03-20,144750,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T04:03:50Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Records",0.663,0.388,7,-9.772,0,0.0384,0.414,0.122,0.271,0.289,84.059,4
4pI7VTiN59CZnGJUgVZPoy,"Murmuration","Chillhop Essentials Spring 2019","Blue Wednesday,Shopan",2019-03-20,156000,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T04:15:55Z,"lo-fi beats,lo-fi,jazz beats,lo-fi house","Chillhop Records",0.686,0.373,11,-16.007,0,0.118,0.532,0.926,0.075,0.203,83.203,4
2DaU2kOcKjmml94D9EFYZE,"what will you do?","self reflection","less.people",2019-03-25,186370,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T04:16:33Z,"lo-fi beats,lo-fi","Chillhop Records",0.751,0.187,7,-12.725,1,0.0509,0.543,0.767,0.0799,0.234,126.2,4
6KVn2J2jfCVN3Ilp1wSegu,"Awakening","Awakening","j'san",2019-04-01,222000,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T04:16:52Z,"lo-fi,lo-fi beats","Chillhop Records",0.782,0.356,1,-11.532,0,0.047,0.283,0.645,0.123,0.302,89.945,4
6YNgJyZedfd8t0fTZ0K2Pg,"Quietly","Quietly","blnkspc_",2019-04-29,157601,0,4nwxi8rjtxvjhe2n01cxyxyx0,2020-01-18T04:17:14Z,"lo-fi house,lo-fi beats,lo-fi","Chillhop Records",0.676,0.0637,5,-14.014,0,0.0414,0.455,0.871,0.112,0.397,86.04,4
