Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
26j2UGR68kTM6M9W9So4xq,"Come a Little Closer","Come A Little Closer","Skizzy Mars,Prelow",2018-10-12,168656,4,cabultra,2021-08-27T19:34:22Z,"","2018",0.599,0.887,6,-5.442,0,0.065,0.000562,0.00499,0.121,0.395,89.992,4
7p4vHnYXkxlzvfePJVpcTr,"Feels Like Summer","Summer Pack","Childish Gambino",2018-07-11,297404,65,cabultra,2021-08-27T19:35:56Z,"","Wolf+Rothstein/RCA Records",0.55,0.596,7,-8.214,1,0.134,0.162,0.00481,0.0805,0.253,165.736,4
5mCPDVBb16L4XQwDdbRUpz,"Passionfruit","More Life","Drake",2017-03-18,298940,78,cabultra,2021-08-27T19:36:36Z,"rap,hip hop","Cash Money Records/Young Money Ent./Universal Rec.",0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4
45Egmo7icyopuzJN0oMEdk,"Love Lies","Love Lies","Khalid,Normani",2018-02-14,201707,71,cabultra,2021-08-27T19:36:49Z,"","RCA Records Label",0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,4
3x14s5x2eLoqYA7j8kW57L,"The Flux","Exotic Birds","Trayce Chapman",2018-05-26,198501,30,cabultra,2021-08-27T19:37:42Z,"","Trayce Chapman",0.788,0.421,6,-11.529,0,0.38,0.467,0,0.23,0.57,125.937,4
4k7dYdLGhJuUjaeEQB5hcA,"Best You Had","Best You Had","Don Toliver",2019-05-25,140063,58,cabultra,2021-08-27T19:38:15Z,"","We Run It Ent./Cactus Jack/Atlantic",0.807,0.537,11,-7.678,0,0.054,0.33,0,0.0797,0.515,119.968,4
4LXz6tp8hwetdV95IN6KK7,"Lazy and Stupid","Ugly","Ibra",2018-02-22,220971,0,cabultra,2021-08-27T19:38:24Z,"","Ya Lo Sé",0.535,0.631,1,-8.215,0,0.0392,0.194,0.000317,0.101,0.332,75.041,4
29Kwwlc2SMq1XXqdf2KRfw,"LIGHT (feat. Drax Project)","Dex Meets Dexter","Famous Dex,Drax Project",2018-04-06,198000,23,cabultra,2021-08-27T19:38:35Z,"","300 Entertainment",0.692,0.62,1,-7.837,0,0.0701,0.151,0,0.158,0.596,150.022,4
2gMXnyrvIjhVBUZwvLZDMP,"Before You Go","Divinely Uninspired To A Hellish Extent (Extended Edition)","Lewis Capaldi",2019-11-22,215106,77,cabultra,2021-08-27T19:39:12Z,"soft pop","Vertigo Berlin",0.459,0.574,3,-4.857,1,0.0577,0.608,0,0.0885,0.183,111.881,4
12OLyHDxt6dqlAybSPFBK3,"Forever","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,210863,66,cabultra,2021-08-27T19:39:51Z,"soft pop","Vertigo Berlin",0.646,0.355,1,-7.119,1,0.0263,0.873,0,0.115,0.364,84.988,4
