Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4lAnj7Git7s2QrSTwUa54g,"Say It (feat. Tove Lo)","Skin","Flume,Tove Lo",2016-05-27,262521,57,cabultra,2025-01-02T18:59:49Z,"future bass","Mom+Pop",0.578,0.533,3,-6.831,0,0.0326,0.0679,0.00000361,0.062,0.263,75.293,4
0bx6v84HtmEYFRBAOvDTgk,"Your Love (Déjà Vu)","Dreamland","Glass Animals",2020-08-07,234372,58,cabultra,2025-01-02T18:59:49Z,"","Polydor Records",0.851,0.663,7,-7.168,1,0.0532,0.0167,0.363,0.103,0.605,108.004,4
2y8PnhXwnyHTxe72TtY58e,"Remind Me","Melody A.M.","Röyksopp",2001-08-22,219560,47,cabultra,2025-01-02T18:59:49Z,"downtempo,electronica,trip hop","Parlophone (France)",0.865,0.384,10,-11.953,1,0.0577,0.024,0.434,0.0682,0.852,122.48,4
1TVEhev5VxW1tdP1TVEvdT,"Black Gold","Yasuke","Flying Lotus,Thundercat",2021-04-30,95973,39,cabultra,2025-01-02T18:59:49Z,"idm,experimental hip hop,nu jazz,glitch","Warp Records",0.412,0.916,8,-5.596,1,0.298,0.0234,0.826,0.408,0.464,86.115,4
6YmhApkbGfwiXlQ5tdyJbL,"For Granted","With A Hammer","Yaeji",2023-04-07,161946,37,cabultra,2025-01-02T18:59:49Z,"","XL Recordings",0.722,0.613,0,-8.394,1,0.0411,0.119,0.083,0.112,0.398,92.495,4
2Ob2E0owyR8gdF0YGf0fZp,"Joypunks","Superdream","Big Wild",2019-02-01,195491,41,cabultra,2025-01-02T18:59:49Z,"","Counter Records",0.694,0.669,7,-5.748,1,0.0328,0.0382,0.021,0.0975,0.338,121.987,4
59wlTaYOL5tDUgXnbBQ3my,"A Moment Apart","A Moment Apart","ODESZA",2017-09-08,234244,61,cabultra,2025-01-02T18:59:49Z,"chillwave,chillstep","Counter Records",0.406,0.665,7,-7.903,0,0.0352,0.172,0.693,0.492,0.0758,119.988,4
7Cg3F9ZsZ2TYUnlza49NYh,"Kong","Black Sands","Bonobo",2010-03-29,237826,55,cabultra,2025-01-02T18:59:49Z,"trip hop,downtempo,nu jazz,electronic","Ninja Tune",0.542,0.749,6,-8.333,0,0.0277,0.173,0.942,0.315,0.674,94.031,4
17KnTlNXPnzTDnGD0lrf27,"Errday 99","Nineteen Ninety Nine (Scene 1)","J. Rawls",2018-10-12,88235,40,cabultra,2025-01-02T18:59:49Z,"jazz rap","Polar Entertainment",0.575,0.405,1,-10.677,1,0.0452,0.247,0.751,0.159,0.18,86.983,4
2QbTsEUF97LixvDbyKUdCj,"Maybes - RAC Mix","Too Real (Remixes)","Giraffage,Japanese Breakfast,RAC",2017-12-05,234970,47,cabultra,2025-01-02T18:59:49Z,"chillwave,future bass","Counter Records",0.569,0.791,6,-6.757,1,0.0355,0.143,0.655,0.109,0.298,139.78,4
