Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7orgljr0C4GHS6n8c0ewLi,"Forest of Gold","Shifted Thoughts","Mazde",2014-10-17,250904,0,cabultra,2021-11-11T02:14:32Z,"","Buttermilk",0.702,0.58,6,-7.822,0,0.0539,0.522,0.755,0.0797,0.303,89.989,4
5vg6lgIJMt0y1Ty0GwIRhb,"Battas","Mazde X LissA","Mazde,LissA",2015-07-31,301905,0,cabultra,2021-11-11T02:14:37Z,"chill house,deep house","Buttermilk",0.75,0.601,10,-6.879,0,0.0456,0.25,0.214,0.107,0.119,93.991,4
2cdCC1aCXbvz9tXFOR6CxR,"Numb","Why Do We Shake In The Cold?","Elderbrook",2020-09-18,230040,54,cabultra,2021-11-11T02:19:18Z,"","Parlophone UK",0.77,0.482,0,-9.796,0,0.0904,0.309,0.0824,0.0927,0.19,120.006,4
6sgqf4wXFWSAmjL1TEXNvZ,"Something About You (with Rudimental) - Chill Mix","Something About You (with Rudimental) [Alternate Versions]","Elderbrook,Rudimental",2019-10-04,166533,56,cabultra,2021-11-11T02:19:29Z,"","Parlophone UK",0.8,0.516,6,-8.076,0,0.127,0.365,0.00206,0.134,0.443,106.122,4
4ESWJepzBtY2lR9oZDYVaP,"Crave You","Down To Earth","Flight Facilities,Giselle",2014-10-24,234786,0,cabultra,2021-11-11T02:20:11Z,"nu disco","Glassnote Entertainment Group LLC",0.921,0.48,1,-9.2,0,0.0823,0.0976,0,0.0768,0.317,120.043,4
6M0cy8N7KQhaYbJ7088D28,"Foreign Language (feat. Jess)","Foreign Language","Flight Facilities,Jess",2011,244080,0,cabultra,2021-11-11T02:21:10Z,"nu disco","Future Classic",0.83,0.789,11,-6.042,0,0.0706,0.197,0.00000152,0.491,0.815,124.024,4
5dzaVAQYKPNeTYskiuLsKg,"Crazy - DRKTMS Remix","Crazy: Remixes","Cabu,Love Mansuy,DRKTMS",2018-06-20,242481,37,cabultra,2021-11-11T02:27:47Z,"","Majestic Casual Records",0.863,0.314,6,-10.089,0,0.455,0.361,0,0.532,0.329,105.709,4
7ycZN2o5PMNuTkUg2Q73wN,"Wide Open (feat. Ta-ku & Masego) - Cabu & Ta-ku Remix","Wide Open (feat. Ta-ku & Masego) [Cabu & Ta-ku Remix]","Wafia,Ta-ku,Masego,Cabu",2021-09-17,178742,30,cabultra,2021-11-11T02:28:03Z,"","Atlantic Records",0.73,0.555,10,-7.874,0,0.106,0.0872,0.000492,0.143,0.33,100.007,4
2sBRjpaBeItdrjSYLkyYQA,"Take It All","Take It All","Cabu,Blush'ko",2020-03-13,187964,31,cabultra,2021-11-11T02:28:05Z,"","CREATIVES ROW",0.891,0.671,11,-10.672,0,0.213,0.177,0.0000441,0.134,0.309,112.991,4
3aUviSdBVbsdmH406j5GZC,"Crush","Crush","Duckwrth",2019-08-30,135013,48,cabultra,2021-11-11T02:29:27Z,"","Republic Records",0.873,0.479,5,-6.683,1,0.222,0.656,0.00000813,0.19,0.945,108.014,4
5wzjJvNV4DpDtT53KapSLH,"Wicked Winds","Wicked Winds","Mazde",2017-01-23,232414,41,cabultra,2021-11-11T02:32:54Z,"","The Bearded Man (Armada)",0.686,0.634,0,-6.856,1,0.0369,0.228,0.0667,0.134,0.234,98.001,4
6WXZyYSwlXS5qXISwsKYXE,"Only Be Me","Only Be Me","DROELOE",2019-02-01,208285,0,cabultra,2021-11-11T02:36:07Z,"future bass","bitbird",0.7,0.581,1,-8.493,0,0.0779,0.118,0.00196,0.135,0.165,140.019,4
6VRRu9NewkmX12BMCvCJQ1,"BACKBONE","BACKBONE","DROELOE,Nevve",2018-01-26,194000,0,cabultra,2021-11-11T02:36:20Z,"future bass,melodic bass,edm","bitbird",0.653,0.689,11,-8.338,0,0.0881,0.0255,0.0387,0.0937,0.253,150.954,4
7vBEx9HgiEJDMwougw5bsa,"Honey - Medasin Remix","Honey Remixed","KUČKA,Medasin",2016-04-06,230958,45,cabultra,2021-11-11T02:38:16Z,"future bass","KUČKA",0.447,0.715,1,-6.616,0,0.495,0.722,0.000145,0.128,0.468,98.015,4
1FlCI8dhuZTZLaOGj4TMpT,"Wound Up","Rare.wavs (Vol. 1)","Medasin",2021-05-25,191088,22,cabultra,2021-11-11T02:38:40Z,"future bass","Foreign Family Collective",0.735,0.529,6,-10.332,1,0.0587,0.666,0.847,0.0999,0.576,89.993,4
5rwMLGapO0Q95ob63xCcK0,"Hikikomori - Demo","Rare.wavs (Vol. 1)","Jai Wolf",2021-05-25,162171,2,cabultra,2021-11-11T02:39:07Z,"","Foreign Family Collective",0.492,0.575,9,-10.041,1,0.0396,0.363,0.746,0.128,0.391,160.044,4
50LMnmL2FqcSjUeIKq2ghJ,"Plasmatisphere","Rare.wavs (Vol. 1)","Chrome Sparks",2021-05-25,193962,2,cabultra,2021-11-11T02:39:21Z,"chillwave","Foreign Family Collective",0.576,0.673,10,-7.217,0,0.12,0.0128,0.0000106,0.337,0.598,140.389,4
5VWD0flRElhzQYb0JEwUqD,"Do It Again","Rare.wavs (Vol. 1)","Phantoms",2021-05-25,223847,5,cabultra,2021-11-11T02:39:30Z,"","Foreign Family Collective",0.677,0.702,9,-8.158,0,0.0437,0.00395,0.863,0.0987,0.757,109.022,4
6CC7iGgsoeOcfGCUGgLEVe,"VISION","Rare.wavs (Vol. 1)","pluko",2021-05-25,166473,11,cabultra,2021-11-11T02:39:54Z,"stutter house,future bass","Foreign Family Collective",0.712,0.621,9,-8.657,1,0.0737,0.00942,0.816,0.177,0.239,127.788,3
1DSMi5FfMGUohWMI7IYPiQ,"Studio Silence","Rare.wavs (Vol. 1)","Gilligan Moss",2021-05-25,235978,2,cabultra,2021-11-11T02:40:32Z,"","Foreign Family Collective",0.626,0.507,0,-11.226,1,0.0409,0.425,0.865,0.0792,0.681,115.021,4
5gvcCWGiM6fwkgwkdVW78A,"Weed Market","Rare.wavs (Vol. 1)","Robotaki",2021-05-25,145701,12,cabultra,2021-11-11T02:40:43Z,"","Foreign Family Collective",0.485,0.682,9,-8.358,1,0.0386,0.0372,0.824,0.275,0.374,180.004,4
5NNG5hCzGL5OVCwDJWZs4l,"Night Goggles - Rome In Silver Remix","Imaginary Audience (Remixes)","Mindchatter,Rome in Silver",2021-04-30,201687,0,cabultra,2021-11-12T18:10:21Z,"future bass","Mind of a Genius",0.837,0.605,7,-5.645,0,0.144,0.264,0.0000436,0.0491,0.485,119.062,4
5FxcDJENpjWY6lL9CnbHgc,"go with u - Louis La Roche Remix","Someone’s EP II X","BAYNK,Louis La Roche",2019-11-15,266289,44,cabultra,2021-11-12T18:10:32Z,"nu disco,french house,funky house,indie dance","AllPoints",0.751,0.501,1,-7.529,0,0.0588,0.122,0.011,0.111,0.3,111.987,4
4PdLup4OaCGktZG8cvbkBz,"go with u","Someone's EP II","BAYNK",2019-05-22,231192,52,cabultra,2021-11-12T18:10:38Z,"","AllPoints",0.787,0.537,1,-6.827,0,0.204,0.594,0.0000626,0.114,0.346,108.994,4
6tXYVzmdR7l7yEXY11b2Hq,"F+L","F+L","Point Point",2017-07-28,300000,38,cabultra,2021-11-12T18:12:35Z,"future bass","Point Point",0.316,0.537,6,-6.614,0,0.0495,0.0804,0.87,0.0792,0.11,93.505,4
5B0gYfKD10F24kzbAEhgEs,"Nothing But You (feat. Donnie Sloan & Ricky Ducati)","Stay","Devault,Donnie Sloan,Ricky Ducati",2018-11-02,271200,34,cabultra,2021-11-12T18:18:54Z,"stutter house,piano house","Geffen Records",0.603,0.632,6,-9.499,1,0.0408,0.46,0.000218,0.0982,0.27,110.998,4
5BFmKRDd5AfV2mKvNSxyRG,"PATTERNS","PATTERNS","NASAYA,Sara Diamond",2019-05-08,228571,48,cabultra,2021-11-12T18:29:51Z,"stutter house","Minerva Music",0.603,0.582,10,-5.635,0,0.156,0.819,0.0106,0.265,0.531,90.009,4
1fhFDn9W8ehz6rqomxDUW4,"Leave Me Low","Leave Me Low","Devault,Griff Clawson",2020-07-22,178560,0,cabultra,2021-11-13T19:01:52Z,"stutter house","Ultra Records",0.733,0.411,10,-11.507,1,0.0407,0.54,0.00169,0.182,0.359,125.03,4
7u2hLjCbLpr01TzQ2rGfx9,"Pockets (feat. EVAN GIIA)","Empty Room EP","Devault,EVAN GIIA",2021-10-22,221176,0,cabultra,2021-11-13T19:16:42Z,"stutter house","Ultra Records",0.727,0.822,0,-4.68,1,0.0513,0.103,0.0000365,0.122,0.196,102.031,4
7bfD4bf5FhNj9ukFgkcByB,"Never Felt Like This","Empty Room EP","Devault,Kiiara",2021-10-22,259672,0,cabultra,2021-11-13T19:17:04Z,"stutter house","Ultra Records",0.592,0.874,9,-5.122,0,0.0314,0.0654,0.0443,0.0609,0.275,122.003,4
4TT57R08MqKaBvCa5XRsyx,"Up in Flames","Up in Flames","Łaszewo",2018-12-02,224042,0,cabultra,2021-11-14T17:11:42Z,"stutter house","Łaszewo",0.792,0.451,3,-5.878,0,0.0456,0.378,0,0.086,0.378,141,4
2QbTsEUF97LixvDbyKUdCj,"Maybes - RAC Mix","Too Real (Remixes)","Giraffage,Japanese Breakfast,RAC",2017-12-05,234970,47,cabultra,2021-11-14T17:11:47Z,"chillwave,future bass","Counter Records",0.569,0.791,6,-6.757,1,0.0355,0.143,0.655,0.109,0.298,139.78,4
6xUHtKE18uTWVaCt6q1adW,"Hostage","Hostage","Danrell,Småland",2015-11-13,195857,41,cabultra,2021-11-14T17:34:58Z,"","Danrell x Småland",0.758,0.41,0,-7.314,1,0.044,0.354,0.0000173,0.15,0.382,140.001,4
6QyXAcERauW27QwlxjDvww,"Pick Your Battles","Parachute","Petit Biscuit,Diplo",2020-10-30,221173,38,cabultra,2021-11-14T17:38:52Z,"moombahton","Écurie Records",0.693,0.683,7,-9.74,0,0.0454,0.0335,0.12,0.169,0.193,123.951,4
