Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4ofwffwvvnbSkrMSCKQDaC,"Shotgun","Staying at Tamara's","George Ezra",2018-03-23,201287,73,6n79hzqeqh39xui63e2j0tiqk,2019-01-23T05:17:22Z,"","Columbia",0.673,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.744,4
5Xw5jRLRERCFreSjmbG35V,"Deep Water","Deep Water","American Authors",2018-05-18,198106,0,6n79hzqeqh39xui63e2j0tiqk,2019-01-23T06:07:31Z,"","Island Records",0.392,0.637,10,-5.918,1,0.0508,0.185,0,0.117,0.438,61.041,4
5Hroj5K7vLpIG4FNCRIjbP,"Best Day Of My Life","Oh, What A Life","American Authors",2014-01-01,194240,74,6n79hzqeqh39xui63e2j0tiqk,2019-01-23T06:07:36Z,"","Island Records",0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000227,0.0558,0.536,100.012,4
4KSQ9el0QgTKKie5oCtKLe,"Pocket Full Of Gold","What We Live For","American Authors",2016-07-01,180213,43,6n79hzqeqh39xui63e2j0tiqk,2019-01-23T06:08:15Z,"","Island Records",0.608,0.945,11,-3.858,1,0.0483,0.00433,0,0.0773,0.682,115.933,4
1obisQNOcikRvTdStbW3pG,"Go Big Or Go Home","What We Live For","American Authors",2016-07-01,169026,50,6n79hzqeqh39xui63e2j0tiqk,2019-01-23T06:08:23Z,"","Island Records",0.665,0.875,1,-4.272,1,0.0426,0.00939,0,0.0897,0.66,122.008,4
7IRlJSWcXNlEFj2e1GKzlq,"Say Amen (feat. Billy Raffoul)","Say Amen (feat. Billy Raffoul)","American Authors,Billy Raffoul",2018-11-16,222640,0,6n79hzqeqh39xui63e2j0tiqk,2019-01-23T06:08:35Z,"","Island Records",0.498,0.638,7,-7.354,1,0.0357,0.0907,0,0.195,0.332,80.935,4
1Y7V7f9mHWm5RDA6BfaQOm,"Stay Around","Stay Around","American Authors",2019-01-11,221360,0,6n79hzqeqh39xui63e2j0tiqk,2019-01-23T06:08:45Z,"","Island Records",0.644,0.905,11,-5.051,0,0.118,0.00137,0.0000486,0.0698,0.386,129.948,4
5gJVowE6ANaroo3qztoboT,"Do My Own Thing","Do My Own Thing","American Authors",2018-05-01,196656,38,6n79hzqeqh39xui63e2j0tiqk,2019-01-23T06:09:09Z,"","Island Records",0.597,0.673,0,-9.655,1,0.0331,0.0813,0,0.178,0.654,87.978,4
2pwnEzgIzYL4AOw4ousjkB,"Let the Games Begin","Let the Games Begin","AJR",2015-10-23,201004,45,6n79hzqeqh39xui63e2j0tiqk,2019-01-23T06:09:13Z,"","AJR Productions",0.664,0.698,10,-5.084,1,0.067,0.127,0,0.118,0.573,135.023,4
1wR8ATQr0sxSfp6jGJ5Oe6,"High Hopes - White Panda Remix","High Hopes (White Panda Remix)","Panic! At The Disco,White Panda",2018-09-28,176343,37,6n79hzqeqh39xui63e2j0tiqk,2019-01-23T06:09:18Z,"emo","DCD2 / Fueled By Ramen",0.569,0.745,5,-6.081,1,0.208,0.135,0,0.462,0.711,171.88,4
