Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7DWZMRXc6Rwe73K2c51CDh,"Brink of Time","CHRONO TRIGGER Original Soundtrack【DS Edition】","Yasunori Mitsuda",1995,153293,23,cabultra,2023-09-19T23:25:52Z,"japanese classical,japanese vgm","スクウェア・エニックス",0.573,0.33,9,-10.195,0,0.0408,0.948,0.621,0.172,0.122,150.027,3
2c7yH7oGEpwP0skIcaWvzu,"Schala's Theme","CHRONO TRIGGER Original Soundtrack【DS Edition】","Yasunori Mitsuda",1995,174053,28,cabultra,2023-09-19T23:25:58Z,"japanese classical,japanese vgm","スクウェア・エニックス",0.594,0.507,10,-5.592,0,0.0488,0.835,0.871,0.178,0.693,162.084,4
4gCnaT6NKQmR3hqEeHp30t,"Dirtmouth","Hollow Knight (Original Soundtrack)","Christopher Larkin",2017-02-10,115009,50,cabultra,2023-09-20T00:18:00Z,"soundtrack","Christopher Larkin",0.118,0.0829,4,-18.472,0,0.0385,0.976,0.944,0.109,0.07,171.015,3
2fwLXYI6N8l4tOY4ntSiUZ,"Crossroads","Hollow Knight (Original Soundtrack)","Christopher Larkin",2017-02-10,147904,43,cabultra,2023-09-20T00:18:09Z,"soundtrack","Christopher Larkin",0.253,0.311,5,-18.507,1,0.0361,0.643,0.935,0.112,0.0738,75.168,4
6fyI2QGPzUiqRHnuYD7oOp,"Greenpath","Hollow Knight (Original Soundtrack)","Christopher Larkin",2017-02-10,217013,48,cabultra,2023-09-20T00:18:14Z,"soundtrack","Christopher Larkin",0.454,0.295,4,-16.465,0,0.0354,0.89,0.864,0.256,0.274,169.851,3
16obHUJN0KaqVyCaV3GwFX,"Reflection","Hollow Knight (Original Soundtrack)","Christopher Larkin",2017-02-10,99138,49,cabultra,2023-09-20T00:25:20Z,"soundtrack","Christopher Larkin",0.198,0.156,5,-18.861,1,0.0359,0.941,0.963,0.352,0.0375,77.375,4
0nD62ke95NJvAI8chsRjRg,"City of Tears","Hollow Knight (Original Soundtrack)","Christopher Larkin,Amelia Jones",2017-02-10,178764,49,cabultra,2023-09-20T00:25:33Z,"soundtrack","Christopher Larkin",0.0834,0.274,3,-14.98,1,0.0364,0.975,0.975,0.123,0.094,179.736,3
1lJySpoTdGHcTV4OTaluls,"Queen's Gardens","Hollow Knight (Original Soundtrack)","Christopher Larkin",2017-02-10,106249,45,cabultra,2023-09-20T01:10:47Z,"soundtrack","Christopher Larkin",0.369,0.152,11,-20.044,0,0.0333,0.98,0.866,0.0992,0.252,135.124,4
6SSjVwARTrXkCVVxSCUlwz,"Hollow Knight","Hollow Knight (Original Soundtrack)","Christopher Larkin",2017-02-10,96875,46,cabultra,2023-09-20T01:11:15Z,"soundtrack","Christopher Larkin",0.221,0.0278,0,-26.8,0,0.0392,0.973,0.945,0.106,0.136,87.691,5
3IDz8Dw3NkxqnhLz8GlDii,"Limgrave","Elden Ring (Original Soundtrack)","Tsukasa Saitoh",2022-09-09,191054,0,cabultra,2023-09-21T18:43:27Z,"soundtrack","Masterworks",0.0692,0.336,4,-25.767,1,0.0581,0.748,0.426,0.16,0.0597,78.199,5
3flQv4DNGg31Ic4vBv45Tj,"Resurrections","Celeste (Original Soundtrack)","Lena Raine",2018-01-25,578648,46,cabultra,2023-09-21T18:44:59Z,"","Radical Dreamland",0.372,0.712,9,-7.32,0,0.0449,0.108,0.598,0.119,0.0384,143.983,4
3m3Pzhj5Gd2PRJD3semU2O,"Checking In","Celeste (Original Soundtrack)","Lena Raine",2018-01-25,424718,35,cabultra,2023-09-21T18:45:10Z,"","Radical Dreamland",0.515,0.437,9,-10.016,0,0.0339,0.162,0.802,0.136,0.112,105.974,4
1D8rPH0aDdngu30BGaz67B,"Quiet and Falling","Celeste (Original Soundtrack)","Lena Raine",2018-01-25,447393,41,cabultra,2023-09-21T18:45:29Z,"","Radical Dreamland",0.214,0.0945,0,-23.57,0,0.0357,0.966,0.925,0.107,0.0575,137.446,3
3kg2Mpbpao0bUGHxtKDMCK,"Exhale","Celeste (Original Soundtrack)","Lena Raine",2018-01-25,140775,38,cabultra,2023-09-21T18:45:55Z,"","Radical Dreamland",0.601,0.0708,2,-21.198,0,0.0391,0.985,0.891,0.136,0.203,116.001,4
5PrqCfhNYe1jgCfvsm3EW0,"The Meadows - A Place To Rest","Valheim (Original Game Soundtrack)","Patrik Jarlestam",2021-10-29,220115,1,cabultra,2023-09-21T18:46:29Z,"","Coffee Stain Publishing",0.16,0.4,2,-7.699,0,0.0309,0.967,0.814,0.131,0.129,85.233,4
04RwrYxOrSXeSmw2EQGE63,"Home - A Place To Enjoy","Valheim (Original Game Soundtrack)","Patrik Jarlestam",2021-10-29,184615,1,cabultra,2023-09-21T18:46:47Z,"","Coffee Stain Publishing",0.517,0.214,0,-15.965,0,0.0287,0.911,0.861,0.112,0.26,103.965,3
6xwhCiWXREsAIQVZqHswVw,"Minecraft","Minecraft - Volume Alpha","C418",2011-03-04,254000,64,cabultra,2023-09-25T04:25:02Z,"","C418",0.206,0.0154,1,-22.923,1,0.0426,0.98,0.636,0.0662,0.116,83.68,3
1tinoQpYXzpZDrb0BjK1e7,"Wet Hands","Minecraft - Volume Alpha","C418",2011-03-04,90000,63,cabultra,2023-09-25T04:25:12Z,"","C418",0.616,0.035,9,-25.836,1,0.0432,0.996,0.939,0.0835,0.643,147.712,3
4o0YiMA52IzmOn5yIdIhu5,"Clark","Minecraft - Volume Alpha","C418",2011-03-04,191750,58,cabultra,2023-09-25T04:25:21Z,"","C418",0.217,0.00638,9,-23.367,0,0.0399,0.982,0.853,0.0732,0.0395,81.578,4
4NsPgRYUdHu2Q5JRNgXYU5,"Sweden","Minecraft - Volume Alpha","C418",2011-03-04,215500,64,cabultra,2023-09-25T04:25:29Z,"","C418",0.642,0.01,2,-25.164,1,0.0446,0.992,0.945,0.103,0.197,87.971,4
446uS2hk2kGLzVqWHnCApg,"Droopy Likes Ricochet","Minecraft - Volume Alpha","C418",2011-03-04,96234,49,cabultra,2023-09-25T04:25:41Z,"","C418",0.563,0.348,0,-17.67,1,0.0308,0.375,0.911,0.172,0.061,94.632,4
4RROfcxQXFIwW0ugcZfdC4,"Haggstrom","Minecraft - Volume Alpha","C418",2011-03-04,204000,60,cabultra,2023-09-25T04:25:59Z,"","C418",0.771,0.179,4,-16.702,0,0.064,0.971,0.811,0.0685,0.0374,112.018,1
4x79cjezqX3yd15rSrAVFF,"Living Mice","Minecraft - Volume Alpha","C418",2011-03-04,177500,59,cabultra,2023-09-25T04:26:18Z,"","C418",0.431,0.0573,7,-22.465,1,0.0403,0.883,0.609,0.0484,0.0395,74.97,4
4Ar3oSp4bAw5gz22F70GM7,"Moog City","Minecraft - Volume Alpha","C418",2011-03-04,160000,61,cabultra,2023-09-25T04:26:33Z,"","C418",0.461,0.158,4,-20.962,0,0.0372,0.935,0.622,0.138,0.142,131.98,4
37WtwAa4PzRprHMp7Esdds,"Équinoxe","Minecraft - Volume Alpha","C418",2011-03-04,114875,54,cabultra,2023-09-25T04:26:44Z,"","C418",0.436,0.101,9,-18.344,0,0.0342,0.919,0.391,0.0927,0.252,91.154,4
5fqjfiMOFapIb8uFcxBStH,"Mice On Venus","Minecraft - Volume Alpha","C418",2011-03-04,281500,63,cabultra,2023-09-25T04:26:53Z,"","C418",0.433,0.0286,0,-17.597,1,0.0527,0.961,0.0102,0.0594,0.0764,110.908,4
3zWC1keGhHYD7omS4If9TD,"Chris","Minecraft - Volume Alpha","C418",2011-03-04,87750,54,cabultra,2023-09-25T04:27:02Z,"","C418",0.564,0.2,0,-16.207,1,0.0296,0.885,0.941,0.118,0.065,92.904,4
2Au50d6aZrsYrbxQzDjjYW,"Danny","Minecraft - Volume Alpha","C418",2011-03-04,254500,58,cabultra,2023-09-25T04:27:20Z,"","C418",0.211,0.0262,0,-22.08,1,0.0377,0.972,0.476,0.0757,0.098,81.192,4
1kKaRzjW8OiGLriIdpXHT1,"Moog City 2","Minecraft - Volume Beta","C418",2013-11-09,180000,61,cabultra,2023-09-25T04:27:49Z,"","C418",0.251,0.0771,4,-24.893,0,0.0383,0.931,0.947,0.101,0.232,141.715,4
4K0odcECsBvgzv9Lr9z4kd,"Aria Math","Minecraft - Volume Beta","C418",2013-11-09,310000,63,cabultra,2023-09-25T04:28:38Z,"","C418",0.523,0.456,4,-13.393,0,0.0623,0.754,0.915,0.0966,0.542,167.999,4
1LVKDi1cQ0PHaK1kL3VUKD,"Chill","Undertale Piano Collections 2","Toby Fox,David Peacock,Augustine Mayuga Gonzales",2018-03-09,74047,41,cabultra,2023-10-12T05:34:13Z,"soundtrack","Materia Collective",0,0.000265,2,-39.615,1,0,0.984,0.972,0.0823,0,0,0
