Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7LptQZjp5wgdYDQZPjOV9O,"1 Thot 2 Thot Red Thot Blue Thot","Snow Cougar","Yung Gravy",2018-05-04,131139,49,cabultra,2019-02-06T04:39:16Z,"meme rap","Universal Records",0.79,0.768,6,-5.637,1,0.284,0.148,0.000933,0.126,0.691,80.029,4
5GxnROd93Y7NGt2ci0TwBw,"Mr. Clean","Snow Cougar","Yung Gravy",2018-05-04,211149,56,cabultra,2019-02-06T04:39:19Z,"meme rap","Universal Records",0.759,0.702,9,-6.053,1,0.164,0.68,0.00000657,0.114,0.63,106.739,4
18gNzobZV5YD8BhL8o3BTi,"Cheryl","Cheryl","Yung Gravy",2017-06-21,169019,46,cabultra,2019-02-06T04:39:23Z,"meme rap","Yung Gravy",0.801,0.698,0,-8.998,0,0.33,0.0477,0.00000146,0.184,0.502,76.5,4
2GyHLJ238fZx2QkQO9v7nV,"Alley Oop (feat. Lil Baby)","Alley Oop","Yung Gravy,Lil Baby",2018-12-14,152186,0,cabultra,2019-02-06T04:39:27Z,"meme rap","Republic Records",0.861,0.499,6,-7.458,1,0.263,0.276,0,0.0971,0.861,122.003,4
4zDMybUdMSewKNxmGffD7v,"Rotisserie","Baby Gravy EP","Yung Gravy,bbno$",2017-10-11,123000,44,cabultra,2019-02-06T04:39:30Z,"meme rap","Yung Gravy & bbno$",0.859,0.67,1,-6.762,1,0.271,0.203,0.0000344,0.217,0.446,96.056,3
4KtoztbBnU8JkP96u0B8HQ,"Knockout","Snow Cougar","Yung Gravy",2018-05-04,195832,40,cabultra,2019-02-06T04:39:37Z,"meme rap","Universal Records",0.744,0.856,10,-4.115,1,0.0839,0.116,0,0.328,0.76,145.966,4
7m4oL0iXSqKZ396LHSZxFn,"Early Afternoon Stroll","Snow Cougar","Yung Gravy,bbno$",2018-05-04,156653,29,cabultra,2019-02-06T04:39:40Z,"meme rap","Universal Records",0.716,0.794,5,-3.709,0,0.23,0.268,0.0000592,0.285,0.76,155.025,4
4iA68YcMVqcbLSdWW0TBmw,"Suavecito","Snow Cougar","Yung Gravy,DRAM",2018-05-04,197976,29,cabultra,2019-02-06T04:39:44Z,"meme rap","Universal Records",0.723,0.611,1,-5.183,1,0.188,0.0513,0.0000444,0.103,0.526,159.983,4
73BdaMyVemaOFzSG5x9Cnc,"Kathleen","Snow Cougar","Yung Gravy,Ugly God",2018-05-04,218075,28,cabultra,2019-02-06T04:39:48Z,"meme rap","Universal Records",0.816,0.531,11,-5.619,0,0.349,0.151,0.0000047,0.139,0.66,74.929,4
3IWa3iXJagThgRnNAPItHw,"Clock","Snow Cougar","Yung Gravy",2018-05-04,189529,27,cabultra,2019-02-06T04:39:51Z,"meme rap","Universal Records",0.792,0.885,0,-3.979,1,0.243,0.0768,0,0.308,0.769,141.987,4
069xOXmb7oa81j9ARhq88Z,"Gasoline (feat. Young King Dave)","Baby Gravy EP","Yung Gravy,bbno$,Young King Dave",2017-10-11,137400,33,cabultra,2019-02-06T04:40:15Z,"meme rap","Yung Gravy & bbno$",0.773,0.552,11,-8.695,0,0.263,0.145,0.0029,0.179,0.286,99.937,4
2DEZ9PTkEkAoJSOaz6B2SI,"Gold (feat. Mia Gladstone)","Baby Gravy EP","Yung Gravy,bbno$,MIA GLADSTONE",2017-10-11,227990,27,cabultra,2019-02-06T04:40:22Z,"meme rap","Yung Gravy & bbno$",0.837,0.553,10,-9,0,0.267,0.087,0,0.123,0.298,135.024,4
5sjelFKy81KXx1Wp24RbKv,"Whippin","Baby Gravy EP","Yung Gravy,bbno$",2017-10-11,172614,23,cabultra,2019-02-06T04:40:26Z,"meme rap","Yung Gravy & bbno$",0.771,0.531,6,-8.957,0,0.226,0.0293,0.0000945,0.104,0.486,144.526,4
0mZaidoaM73tD4h5eNgByH,"Boomin","Baby Gravy EP","Yung Gravy,bbno$",2017-10-11,134431,25,cabultra,2019-02-06T04:40:30Z,"meme rap","Yung Gravy & bbno$",0.798,0.624,11,-8.788,0,0.161,0.122,0.0000092,0.184,0.199,100.032,4
4GTwSdqW8rrF9NodMOxHci,"Pizzazz","Pizzazz","Yung Gravy",2018-09-07,165786,0,cabultra,2019-02-06T04:40:35Z,"meme rap","Republic Records",0.692,0.752,7,-5.112,0,0.116,0.671,0,0.116,0.655,86.994,4
5JQv5kFLkO8ZFu49cRLs8T,"Back to the Basics","Back to the Basics","Yung Gravy",2017-09-20,132119,23,cabultra,2019-02-06T04:40:43Z,"meme rap","Yung Gravy",0.807,0.699,8,-9.045,0,0.226,0.295,0,0.249,0.646,105.998,4
3lcIAYpqgQqon9SiT9khPj,"Pillow Fight (feat. vbnd)","Pillow Fight (feat. vbnd)","Yung Gravy,vbnd",2017-06-04,182400,28,cabultra,2019-02-06T04:41:07Z,"meme rap","Yung Gravy",0.858,0.492,7,-8,0,0.278,0.488,0,0.108,0.786,99.915,4
19XYvER2dUIQ8RuVWCYKiw,"Yung Gravity","Yung Gravity","Yung Gravy",2017-04-02,256750,32,cabultra,2019-02-06T04:41:16Z,"meme rap","Yung Gravy",0.86,0.415,1,-10.261,1,0.408,0.405,0,0.109,0.337,127.049,4
3cOyh3PWPM6r3mzZzVMD58,"Bought the Plug a Present (feat. Jay Storm)","Bought the Plug a Present (feat. Jay Storm)","Yung Gravy,Jay Storm",2017-02-26,205514,22,cabultra,2019-02-06T04:41:21Z,"meme rap","Yung Gravy",0.765,0.796,8,-6.805,1,0.268,0.439,0,0.238,0.601,113.107,4
2ivCsN0jqC8iUDcrkOBI5o,"Splash Mountain","Splash Mountain","Yung Gravy",2016-11-02,244173,29,cabultra,2019-02-06T04:41:27Z,"meme rap","Yung Gravy",0.946,0.79,0,-6.091,1,0.219,0.0429,0,0.422,0.535,115.015,4
23BGOftAipzmFaLIrt5pa8,"You Betcha (feat. Ihatesunday)","Thanksgiving's Eve","Yung Gravy,Ihatesunday",2017-05-15,242181,22,cabultra,2019-02-06T04:41:38Z,"meme rap","Yung Gravy",0.798,0.719,10,-5.7,0,0.253,0.0481,0,0.0964,0.739,110.032,4
3aaVXJ9BxjNG16L4FAGIPG,"Flex on Christmas","Thanksgiving's Eve","Yung Gravy,Engelwood",2017-05-15,164308,19,cabultra,2019-02-06T04:41:42Z,"meme rap,lo-fi beats,jazz beats","Yung Gravy",0.805,0.549,10,-8.435,0,0.455,0.37,0.00000178,0.121,0.47,141.035,4
5ltIi0fdXh50tgsVX06fQl,"Apple Jacks","Thanksgiving's Eve","Yung Gravy",2017-05-15,132947,22,cabultra,2019-02-06T04:41:46Z,"meme rap","Yung Gravy",0.826,0.404,0,-9.635,1,0.354,0.879,0,0.112,0.621,130.158,4
3txlIcuRnjIerl96JxNQS3,"Karen, Pt. 2","Thanksgiving's Eve","Yung Gravy",2017-05-15,101706,24,cabultra,2019-02-06T04:41:49Z,"meme rap","Yung Gravy",0.525,0.749,2,-4.211,0,0.272,0.798,0,0.118,0.697,77.303,4
0R3lozwOjYqiXXt11vo3pH,"Patrice","Mr. Clean - EP","Yung Gravy",2016-10-10,177037,24,cabultra,2019-02-06T04:41:55Z,"meme rap","Yung Gravy",0.867,0.834,6,-6.126,0,0.221,0.201,0.0000015,0.138,0.69,99.984,4
1M9IPkJQSLcQnKUFk9rEEH,"Uzi on a Monday","Mr. Clean - EP","Yung Gravy,$Cottie",2016-10-10,229655,18,cabultra,2019-02-06T04:41:59Z,"meme rap","Yung Gravy",0.777,0.349,0,-11.418,1,0.136,0.0703,0.000977,0.101,0.33,115.882,4
17bbdvF4HLK9ulpn1wkEvs,"Frosting","Mr. Clean - EP","Yung Gravy,Jaystorm",2016-10-10,160000,17,cabultra,2019-02-06T04:42:03Z,"meme rap","Yung Gravy",0.706,0.604,1,-7.93,1,0.27,0.0236,0,0.146,0.194,75.033,4
