Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5mnaTd97wA5SGG5iOHmktK,"SUMMERTIME SADNESS - HARDSTYLE","SUMMERTIME SADNESS (HARDSTYLE)","SICK LEGEND",2022-07-21,104910,46,hal347lgl3ry1vmq4j5qbe3rw,2024-07-24T05:03:46Z,"hardstyle","SICK CVNT",0.49,0.821,1,-6.33,0,0.154,0.0962,0.0000122,0.364,0.333,166.84,4
7b5ZoETdxL3bX7u8BkLBhk,"GREEDY - HARDSTYLE","GREEDY (HARDSTYLE)","SICK LEGEND",2023-10-02,188884,46,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"hardstyle","SICK LEGEND",0.416,0.958,9,-6.991,0,0.0421,0.000275,0.748,0.734,0.0652,149.965,4
411efv0uDo8M6rd6KuOTCr,"JUDAS - HARDSTYLE","JUDAS (HARDSTYLE)","SICK LEGEND",2023-01-11,184745,52,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"hardstyle","SICK LEGEND",0.419,0.787,3,-5.446,0,0.0508,0.000854,0.000915,0.115,0.1,176.968,4
0DMN2ygSzclvFt6lxFqpH8,"DERNIERE DANSE (HARDSTYLE)","DERNIERE DANSE (HARDSTYLE)","SICK LEGEND",2022-12-22,182400,44,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"hardstyle","SICK LEGEND",0.513,0.782,0,-3.902,0,0.0376,0.0567,0,0.101,0.158,149.948,4
1nVjzTtp13QvGgIEchUDHx,"OUTSIDE (HARDSTYLE)","OUTSIDE (HARDSTYLE)","SICK LEGEND",2022-07-27,153600,41,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"hardstyle","SICK LEGEND",0.504,0.851,2,-5.044,0,0.0417,0.0146,0,0.15,0.54,150.063,4
0bP4XpnDNmztHXAOYKE5v9,"SHAMELESS - HARDSTYLE","SHAMELESS (HARDSTYLE)","SICK LEGEND",2023-08-27,168705,47,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"hardstyle","SICK LEGEND",0.428,0.889,6,-3.803,0,0.0346,0.00438,0,0.0777,0.216,169.854,4
0X3Y75MCn5LFO2l1GPgZZL,"BETTER OFF ALONE HARDSTYLE SPED UP","BETTER OFF ALONE HARDSTYLE SPED UP","SICK LEGEND",2022-08-22,188466,0,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"","SICK CVNT",0.364,0.889,2,-4.162,0,0.0494,0.00019,0.579,0.363,0.0746,162.74,4
627fT2mx6oCwM7KZZAF5N4,"SKYFALL - HARDSTYLE","SKYFALL (HARDSTYLE)","SICK LEGEND",2022-08-15,141666,49,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"hardstyle","SICK LEGEND",0.279,0.68,3,-10.615,0,0.363,0.0303,0.00000504,0.124,0.13,180.14,4
10OQDFinewHHDHwC3ImbyV,"CALL ME MAYBE (HARDSTYLE)","CALL ME MAYBE (HARDSTYLE)","SICK LEGEND",2022-07-25,146823,43,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"hardstyle","SICK LEGEND",0.509,0.934,2,-2.714,1,0.208,0.148,0,0.411,0.531,170.015,4
6Z97eMwBXwEapxyNtjTlOV,"FROZEN X WILDEST DREAMS - HARDSTYLE","FROZEN X WILDEST DREAMS (HARDSTYLE)","SICK LEGEND",2022-08-26,142823,45,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"hardstyle","SICK CVNT",0.398,0.907,5,-4.606,0,0.0773,0.062,0,0.343,0.347,169.953,4
5qxsf4cUfOOKGtWG2EkRL8,"SMELLS LIKE TEEN SPIRIT (HARDSTYLE)","SMELLS LIKE TEEN SPIRIT (HARDSTYLE)","SICK LEGEND",2022-11-29,175885,42,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"hardstyle","SICK LEGEND",0.334,0.964,1,-4.771,1,0.0505,0.00000304,0.958,0.149,0.284,175.036,4
1cmn1DUklFN0sVxca3zOg7,"PRADA (HARDSTYLE)","PRADA (HARDSTYLE)","SICK LEGEND",2023-08-22,124800,38,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"hardstyle","SICK LEGEND",0.597,0.636,5,-9.822,0,0.0305,0.0129,0.151,0.4,0.618,149.953,4
2eJ3VYv3EauJzkxTzOB4d6,"VAMOS A LA PLAYA (HARDSTYLE)","VAMOS A LA PLAYA (HARDSTYLE)","SICK LEGEND",2022-07-22,133333,44,hal347lgl3ry1vmq4j5qbe3rw,2023-12-14T11:47:58Z,"hardstyle","SICK LEGEND",0.462,0.852,6,-6.538,0,0.0615,0.0458,0,0.362,0.289,179.787,4
