Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3l75jB2gKi4VpgklWIbTOz,"Sunday Vibes","The Pink Polo EP","Masego,Medasin",2016-04-05,226168,47,cabultra,2019-12-03T03:45:45Z,"future bass","TrapHouseJazz",0.691,0.67,1,-4.471,1,0.0644,0.258,0.764,0.117,0.22,170.066,4
0cirHoEBub5UOycWQ0cYUh,"When All That Remains Are Memories Pt. II","When All That Remains Are Memories Pt. II - Single","Holly Drummond,Wistful",2017-03-08,226516,0,cabultra,2019-12-03T03:46:04Z,"chillstep","Artist Intelligence Agency",0.329,0.323,9,-11.46,0,0.0337,0.426,0.0228,0.112,0.0824,88.901,4
3xy8karhdpkltgdwj9FGbQ,"Stay Lost - Cabu Remix","Stay Lost (Cabu Remix)","Joe Hertz,Amber-Simone,Cabu",2016-04-11,226909,0,cabultra,2019-12-03T03:46:11Z,"","Juicebox Recordings",0.572,0.498,2,-10.484,0,0.431,0.0471,0.00000467,0.247,0.549,109.192,4
0elAif4RKsDJnlEht45du9,"Lifeline","Lifeline","MELVV,Dana Williams",2017-03-03,195333,0,cabultra,2019-12-03T03:46:17Z,"jazz rap","Yebo Music",0.547,0.568,1,-5.675,1,0.0402,0.34,0,0.087,0.555,90.405,4
42NB7w0tDCag0mQpCtZe7Y,"Home","Irene","Medasin",2018-08-10,194546,40,cabultra,2019-12-03T03:46:29Z,"future bass","ALT:VISION Records",0.66,0.45,4,-11.011,1,0.0451,0.839,0.714,0.374,0.242,145.011,4
6GMaQmdpwGolGyuW6ZJ9X9,"Always Afternoon","Always Afternoon","Medasin,Kathleen",2019-05-10,183226,39,cabultra,2019-12-03T03:46:35Z,"future bass","ALT:VISION Records",0.598,0.357,3,-12.104,1,0.0492,0.869,0.0957,0.27,0.168,75.017,4
11gXs1fmRhR5Q6PxD3Lhr4,"Girls That Dance","The Pink Polo EP","Masego,Medasin",2016-04-05,205680,35,cabultra,2019-12-03T03:46:40Z,"future bass","TrapHouseJazz",0.71,0.705,1,-7.686,1,0.441,0.0694,0,0.118,0.473,109.536,4
1hovkSJMIpP5hfuyb756G4,"Work For You (feat. Kaz Moon)","Irene","Medasin,Kaz Moon",2018-08-10,182320,30,cabultra,2019-12-03T03:46:50Z,"future bass","ALT:VISION Records",0.783,0.7,2,-7.138,1,0.0605,0.312,0.000125,0.113,0.395,130.04,4
6DEDhjTllUrPw29BivTvn2,"Daydream","Daydream feat. Joba","Medasin,Joba",2016-07-14,200838,35,cabultra,2019-12-03T03:46:56Z,"future bass","Medasin",0.466,0.686,3,-8.751,1,0.0602,0.415,0.0706,0.144,0.256,109.553,5
0sXQaKPTlutIBYnwZqOn2I,"Shut Up & Groove","The Pink Polo EP","Masego,Medasin",2016-04-05,156546,36,cabultra,2019-12-03T03:47:07Z,"future bass","TrapHouseJazz",0.721,0.582,10,-7.603,0,0.381,0.0467,0.000783,0.132,0.442,89.817,4
1RVXcPFfuY6ivkAN4NNixa,"Forever (feat. Elohim) - Laxcity Remix","Forever (feat. Elohim) [Laxcity Remix]","Ekali,Medasin,Elohim,Laxcity",2019-02-01,216780,25,cabultra,2019-12-03T03:47:14Z,"future bass","OWSLA/Big Beat/ATL",0.469,0.343,4,-10.608,1,0.0381,0.881,0.000118,0.0735,0.22,93.276,4
7h8FCAzj4pGdsuxaSxa2ia,"Tired (feat. Sophie Meiers)","Irene","Medasin,sophie meiers",2018-08-10,211880,23,cabultra,2019-12-03T03:47:25Z,"future bass,bedroom pop","ALT:VISION Records",0.541,0.438,8,-11.038,1,0.0905,0.869,0.000119,0.112,0.134,83.7,4
624TiVPFYskSkdSqBq5I6e,"Bounce","The Pink Polo EP","Masego,Medasin",2016-04-05,230280,25,cabultra,2019-12-03T03:47:31Z,"future bass","TrapHouseJazz",0.756,0.47,5,-9.067,1,0.129,0.0758,0,0.058,0.606,128.165,4
1jukHZPzaFEtHIFEDU6eux,"Thx (feat. Deverano)","Thx (feat. Deverano)","Rahmaan,Medasin,Deverano",2016-12-05,202501,11,cabultra,2019-12-03T03:47:37Z,"future bass","Irahnik",0.563,0.712,0,-6.582,1,0.191,0.537,0,0.119,0.329,80.081,4
1GdkGsln9i2RYro5gTAht7,"Warm Blue","Irene","Medasin",2018-08-10,166026,17,cabultra,2019-12-03T03:47:44Z,"future bass","ALT:VISION Records",0.504,0.419,3,-16.722,0,0.0717,0.957,0.901,0.353,0.342,133.977,4
