Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2EEeOnHehOozLq4aS0n6SL,"iSpy (feat. Lil Yachty)","iSpy (feat. Lil Yachty)","KYLE,Lil Yachty",2016-12-02,253106,62,cabultra,2020-06-13T05:06:21Z,"","independently popular.",0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,4
3ncgNpxLoBQ65ABk4djDyd,"PICK IT UP (feat. A$AP Rocky)","Pick It Up (feat. A$AP Rocky)","Famous Dex,A$AP Rocky",2017-10-20,191251,54,cabultra,2020-06-13T05:06:35Z,"rap","300 Entertainment",0.921,0.467,1,-8.443,1,0.119,0.0149,0.000238,0.334,0.287,135.995,4
7yeNCRqvnoAskALhUuSxwi,"Say A'","Say A'","A Boogie Wit da Hoodie",2017-09-21,214853,0,cabultra,2020-06-13T05:06:42Z,"melodic rap","Highbridge the Label / Atlantic Records",0.831,0.814,5,-5.18,1,0.474,0.391,0,0.109,0.846,161.041,4
4QeBlVCl2KzUEcQZiuskRd,"Sway (feat. Quavo & Lil Yachty)","Sway (feat. Quavo & Lil Yachty)","NexXthursday,Quavo,Lil Yachty",2017-07-14,244093,39,cabultra,2020-06-13T05:06:50Z,"","Warner Records",0.896,0.513,8,-6.542,1,0.199,0.112,0,0.104,0.296,133.973,4
0lQDyILirDgaXt81H5w8tt,"Psycho (feat. Ty Dolla $ign)","Psycho (feat. Ty Dolla $ign)","Post Malone,Ty Dolla $ign",2018-02-23,222160,0,cabultra,2020-06-13T05:07:29Z,"","Universal Records",0.749,0.555,8,-7.879,1,0.135,0.557,0,0.116,0.413,140.1,4
268LEI3SZymw4DjSygPORa,"Russian Cream","Russian Cream","Key Glock",2018-01-26,142497,22,cabultra,2020-06-13T05:07:38Z,"memphis rap","Paper Route Empire / Key Glock",0.867,0.774,11,-5.791,0,0.315,0.11,0,0.157,0.549,130.007,4
4lTiuD1DwBKo4L7wqMkD7C,"JAPAN","JAPAN","Famous Dex",2018-03-16,144149,36,cabultra,2020-06-13T05:07:48Z,"","300 Entertainment",0.733,0.678,6,-7.771,1,0.439,0.121,0,0.345,0.841,175.984,4
6Hgh47WXVKtXN5zGOu0hjI,"OTW","OTW","Khalid,6LACK,Ty Dolla $ign",2018-04-20,263013,64,cabultra,2020-06-13T05:08:03Z,"","Right Hand Music Group, LLC/RCA Records",0.652,0.678,2,-6.183,1,0.0541,0.183,0.0000326,0.106,0.28,72.989,4
0ByqM6Uo4hzh1RZzHMM70v,"Rich & Sad","beerbongs & bentleys","Post Malone",2018-04-27,206453,30,cabultra,2020-06-13T05:08:29Z,"","Republic Records",0.591,0.573,2,-5.016,1,0.0876,0.192,0,0.0968,0.258,152.082,4
5LG9XvX0mtdAVvjS2dpVji,"Stay","beerbongs & bentleys","Post Malone",2018-04-27,204426,32,cabultra,2020-06-13T05:08:40Z,"","Republic Records",0.292,0.464,5,-5.161,1,0.03,0.435,0,0.148,0.344,84.682,4
