Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4IO2X2YoXoUMv0M2rwomLC,"Long Time - Intro","Die Lit","Playboi Carti",2018-05-11,211773,69,cabultra,2019-05-28T02:54:52Z,"rage rap","AWGE Label",0.472,0.861,4,-3.966,0,0.0447,0.283,0,0.83,0.358,144.077,4
1JgkiUg9mSXSwcb5Gbi4Ur,"Lean 4 Real (feat. Skepta)","Die Lit","Playboi Carti,Skepta",2018-05-11,177026,62,cabultra,2019-05-28T02:54:58Z,"rage rap,grime","AWGE Label",0.754,0.775,7,-5.077,1,0.066,0.0302,0,0.362,0.159,76.01,4
2BJSMvOGABRxokHKB0OI8i,"Shoota (feat. Lil Uzi Vert)","Die Lit","Playboi Carti,Lil Uzi Vert",2018-05-11,153800,70,cabultra,2019-05-28T02:55:12Z,"rage rap,melodic rap","AWGE Label",0.673,0.649,1,-8.433,0,0.196,0.188,0,0.122,0.47,153.075,4
475jSz0H6U3duJyNiDS0tT,"Right Now (feat. Pi'erre Bourne)","Die Lit","Playboi Carti,Pi’erre Bourne",2018-05-11,207013,58,cabultra,2019-05-28T02:55:18Z,"rage rap,melodic rap","AWGE Label",0.687,0.602,6,-5.005,0,0.066,0.138,0,0.203,0.309,78.487,4
5wPyd3IQAZft1vmxoIqGrU,"Home (KOD)","Die Lit","Playboi Carti",2018-05-11,162133,59,cabultra,2019-05-28T02:55:26Z,"rage rap","AWGE Label",0.722,0.686,7,-6.173,0,0.24,0.316,0,0.352,0.435,77.015,4
5nayhWICkQGMTkisxVMbRw,"FlatBed Freestyle","Die Lit","Playboi Carti",2018-05-11,193973,61,cabultra,2019-05-28T02:55:47Z,"rage rap","AWGE Label",0.755,0.552,9,-5.604,1,0.288,0.0967,0,0.158,0.402,153.157,4
5pHJv0bgNsT9nPoK2BjNBn,"No Time (feat. Gunna)","Die Lit","Playboi Carti,Gunna",2018-05-11,219453,59,cabultra,2019-05-28T02:55:53Z,"rage rap,melodic rap","AWGE Label",0.943,0.763,5,-5.568,0,0.158,0.0175,0.000018,0.114,0.225,139.969,4
5O9zs6G6RcB6yP1OKwnwiM,"Choppa Won't Miss (feat. Young Thug)","Die Lit","Playboi Carti,Young Thug",2018-05-11,217960,57,cabultra,2019-05-28T02:56:05Z,"rage rap,rap,melodic rap,trap","AWGE Label",0.857,0.661,0,-6.544,1,0.319,0.0182,0,0.115,0.612,163.077,4
65u1dHQyQyE4y4aN2eDmMF,"$$$ - with Matt Ox","?","XXXTENTACION,Matt OX",2018-03-16,130403,57,cabultra,2019-05-28T02:56:59Z,"emo rap,rage rap","Bad Vibes Forever, LLC",0.774,0.507,1,-6.952,0,0.065,0.0636,0,0.138,0.508,140.067,4
2NjeQLvFsfeKdZoA7dbfL1,"PERCS | PERCZ","TA13OO","Denzel Curry",2018-07-27,186626,43,cabultra,2019-05-28T02:58:18Z,"punk rap","Loma Vista",0.707,0.617,6,-8.446,0,0.21,0.0222,0,0.345,0.534,160.003,4
4VYmdTVFXDq0LtYMoVswTv,"TABOO | TA13OO","TA13OO","Denzel Curry",2018-07-27,197440,47,cabultra,2019-05-28T02:58:32Z,"punk rap","Loma Vista",0.441,0.594,1,-8.271,1,0.166,0.269,0,0.143,0.491,139.28,4
3l0zCxVriY43haW2Zu8eB5,"IMVU","Ethernet","Wifisfuneral",2018-06-08,172649,0,cabultra,2019-05-28T02:59:19Z,"dark trap,underground hip hop","Alamo Records",0.89,0.641,11,-6.359,0,0.348,0.0613,0,0.211,0.586,158.029,4
60C8oElMkAscOBk7tBaCxd,"Genesis","Ethernet","Wifisfuneral",2018-06-08,194298,0,cabultra,2019-05-28T02:59:23Z,"dark trap,underground hip hop","Alamo Records",0.898,0.886,1,-5.972,1,0.363,0.0517,0,0.0771,0.687,84.104,4
3Sn3VXRunfkex2Jx490Oo4,"Juveniles (feat. YBN Nahmir)","Ethernet","Wifisfuneral,YBN Nahmir",2018-06-08,158000,0,cabultra,2019-05-28T03:00:33Z,"dark trap,underground hip hop","Alamo Records",0.888,0.522,1,-5.867,1,0.0978,0.0427,0,0.104,0.491,98.003,4
7K0iidDYDudSm9BoSt901M,"RICKY","RICKY","Denzel Curry",2019-05-08,147866,0,cabultra,2019-05-28T03:01:45Z,"punk rap","Loma Vista Recordings",0.776,0.562,9,-6.901,1,0.363,0.0399,0,0.138,0.521,169.03,4
6mAAhtH3B05kpRjXuTEbtI,"Kid Cudi Only Carti","Kid Cudi","YungGen",2019-05-28,135209,0,cabultra,2019-06-01T03:41:17Z,"","YungGen",0.687,0.7,10,-9.072,0,0.339,0.073,0.00000244,0.175,0.339,81.566,4
2x1pxKWePiMDPDRYP3WnEc,"Havin My Way (feat. Young Nudy)","BIG 4x","Stunna 4 Vegas,Young Nudy",2019-05-10,177121,16,cabultra,2019-06-02T02:59:41Z,"","Billion Dollar Baby/Interscope Records",0.792,0.695,1,-4.252,1,0.264,0.0973,0,0.0958,0.799,146.982,5
4gH4e5ENzVDg4N8fOp2vDP,"Ashley (with DaBaby)","BIG 4x","Stunna 4 Vegas,DaBaby",2019-05-10,151858,40,cabultra,2019-06-02T12:09:08Z,"","Billion Dollar Baby/Interscope Records",0.884,0.807,8,-3.462,0,0.325,0.00284,0,0.111,0.916,144.018,4
4DgImhJ5lY30bQdY6zVsb4,"Bloodshed","13","Denzel Curry",2017-06-26,201398,28,cabultra,2019-06-14T22:38:32Z,"punk rap","Loma Vista",0.665,0.827,1,-5.597,1,0.147,0.13,0,0.351,0.12,143.026,4
3J6XC8Xo5kWqitzWgV4zgl,"Zeltron 6 Billion","13","Denzel Curry,Lil Ugly Mane",2017-06-26,189767,33,cabultra,2019-06-14T22:38:36Z,"punk rap,experimental hip hop,memphis rap,cloud rap,southern hip hop,horrorcore","Loma Vista",0.59,0.871,2,-5.861,1,0.286,0.00747,0,0.912,0.452,172.082,4
3DaXXVRXK7sWRNEugMe7s6,"Knotty Head","Imperial","Denzel Curry,Rick Ross",2016-10-14,268219,40,cabultra,2019-06-14T22:38:40Z,"punk rap,southern hip hop","Loma Vista",0.69,0.859,2,-3.44,1,0.173,0.24,0.00000218,0.0709,0.348,157.956,4
2aQwdBWk4vSPWk1Csgtzdo,"This Life","Imperial","Denzel Curry",2016-10-14,207214,49,cabultra,2019-06-14T22:38:48Z,"punk rap","Loma Vista",0.724,0.843,3,-6.74,0,0.0617,0.517,0,0.12,0.811,152.043,4
5BSz8sJO2YmKfNVQG7fq2J,"ULT","Imperial","Denzel Curry",2016-10-14,247054,46,cabultra,2019-06-14T22:38:52Z,"punk rap","Loma Vista",0.772,0.786,1,-5.337,1,0.24,0.113,0,0.202,0.233,130.071,4
6b4A1mLzePAHGn3XCicLAe,"SIRENS | Z1RENZ [FEAT. J.I.D | J.1.D]","TA13OO","Denzel Curry,JID",2018-07-27,236106,48,cabultra,2019-06-14T22:39:12Z,"punk rap","Loma Vista",0.66,0.784,6,-7.696,1,0.285,0.0806,0,0.113,0.642,157.991,4
5vm7y9SmcH0S1NOQanb8rQ,"BLACK METAL TERRORIST | 13 M T","TA13OO","Denzel Curry",2018-07-27,161626,41,cabultra,2019-06-14T22:39:51Z,"punk rap","Loma Vista",0.626,0.659,0,-8.324,0,0.129,0.0182,0.00000101,0.348,0.112,77.005,4
67T0J1IDGgRwNMp3vWYaVb,"Zenith","Imperial","Denzel Curry,Joey Bada$$",2016-10-14,242889,45,cabultra,2019-06-14T22:39:57Z,"punk rap,hip hop,rap","Loma Vista",0.594,0.705,3,-5.276,0,0.0966,0.0871,0,0.154,0.21,91.715,4
7EHAXZenBzmGCpccWCyg8z,"SUMO | ZUMO","TA13OO","Denzel Curry",2018-07-27,227373,46,cabultra,2019-06-14T22:40:01Z,"punk rap","Loma Vista",0.822,0.861,11,-8.846,1,0.0832,0.25,0.00007,0.164,0.548,123.964,4
1T5mVPJE6LilJ7f73L3UDo,"Gook","Imperial","Denzel Curry",2016-10-14,166623,41,cabultra,2019-06-14T22:40:07Z,"punk rap","Loma Vista",0.668,0.805,1,-4.964,0,0.101,0.161,0.00000169,0.139,0.31,150.021,4
6R0GRYk2vs2XuBVemYK5YZ,"Ultimate","Ultimate","Denzel Curry",2015-01-01,189974,57,cabultra,2019-06-14T22:40:10Z,"punk rap","Loma Vista",0.493,0.826,9,-3.106,1,0.311,0.095,0.00000342,0.252,0.75,112.865,4
2FTOLKjQUswhpdMFq15Raf,"SPEEDBOAT","ZUU","Denzel Curry",2019-05-31,222533,47,cabultra,2019-06-14T22:43:09Z,"punk rap","Loma Vista Recordings",0.925,0.628,6,-7.587,1,0.131,0.0604,0,0.358,0.81,120.021,4
5sG65w8uKtjsJw7nc845Nc,"ZUU","ZUU","Denzel Curry",2019-05-31,126000,41,cabultra,2019-06-14T22:43:13Z,"punk rap","Loma Vista Recordings",0.678,0.509,2,-8.494,0,0.138,0.15,0,0.489,0.351,141.037,4
0shSP8DgseLewHgAiMC4UL,"WISH FEAT. KIDDO MARV","ZUU","Denzel Curry,Kiddo Marv",2019-05-31,192013,50,cabultra,2019-06-14T22:43:26Z,"punk rap","Loma Vista Recordings",0.655,0.766,5,-6.746,0,0.0736,0.234,0,0.425,0.622,95.017,4
2TqfASuL5JRds7bJX01PdZ,"AUTOMATIC","ZUU","Denzel Curry,Tay Keith",2019-05-31,182520,38,cabultra,2019-06-14T22:43:34Z,"punk rap,memphis rap","Loma Vista Recordings",0.818,0.648,2,-5.899,1,0.0914,0.00488,0,0.077,0.374,140.058,4
27F7BWz4WuC8GuSIcFbx1a,"SHAKE 88 FEAT. SAM SNEAK","ZUU","Denzel Curry,Sam Sneak",2019-05-31,147720,38,cabultra,2019-06-14T22:43:50Z,"punk rap","Loma Vista Recordings",0.657,0.836,2,-6.364,1,0.0831,0.0277,0,0.29,0.445,181.94,4
5WtMpQgVIeZq06bXbYJO01,"P.A.T. FEAT. PLAYTHATBOIZAY","ZUU","Denzel Curry,PlayThatBoiZay",2019-05-31,180480,39,cabultra,2019-06-14T22:44:01Z,"punk rap,dark trap","Loma Vista Recordings",0.598,0.723,1,-7.179,0,0.181,0.00534,0,0.41,0.379,160.062,4
6WsFhsmG3Uu7S7lhsZQftI,"molly","nothings ever good enough","iann dior,Bernard Jabs",2019-04-12,175568,0,cabultra,2019-06-18T21:30:30Z,"melodic rap","Dior Gang Music, LLC / TenThousand Projects, LLC",0.695,0.566,6,-7.484,0,0.124,0.00202,0,0.167,0.388,80.029,4
0oipY8Xy6wyN1yR2KlQdGS,"run?","run?","Wifisfuneral",2019-05-29,113005,0,cabultra,2019-06-19T21:48:52Z,"dark trap,underground hip hop","Alamo Records",0.754,0.773,5,-2.079,0,0.119,0.29,0.00000326,0.0997,0.803,170.091,4
0VtsMPXhhIZ5wPCoWTkIPM,"NO TRUST","NO TRUST","Wifisfuneral",2019-06-07,105900,0,cabultra,2019-06-19T21:51:23Z,"dark trap,underground hip hop","Alamo Records",0.904,0.498,1,-6.312,1,0.0554,0.022,0.000863,0.112,0.0369,126.961,4
4TrB7JA5DXHn4GvrZSWCw4,"25 Lighters","Ethernet","Wifisfuneral",2018-06-08,213483,0,cabultra,2019-06-21T01:27:30Z,"dark trap,underground hip hop","Alamo Records",0.909,0.627,4,-8.666,0,0.393,0.0383,0,0.0767,0.785,151.964,4
5hCjqEyTxhzc4ApKchwIgU,"Don't Touch Me (feat. KEY)","Ethernet","Wifisfuneral,KEY!",2018-06-08,170898,0,cabultra,2019-06-21T01:28:02Z,"dark trap,underground hip hop","Alamo Records",0.714,0.897,1,-1.557,0,0.302,0.252,0,0.195,0.484,149.218,4
208nOezZpEPk49FIJhIvM9,"100 Ways","Ethernet","Wifisfuneral",2018-06-08,122962,0,cabultra,2019-06-21T01:28:09Z,"dark trap,underground hip hop","Alamo Records",0.869,0.414,1,-9.721,0,0.415,0.154,0.001,0.141,0.31,162.037,4
2LAeLlkFhKXUlQkALlpwdu,"Knots (feat. Jay Critch)","Ethernet","Wifisfuneral,Jay Critch",2018-06-08,202000,0,cabultra,2019-06-21T01:28:14Z,"dark trap,underground hip hop,brooklyn drill","Alamo Records",0.903,0.716,6,-7.733,0,0.409,0.244,0,0.113,0.854,150.059,4
2gmbOLYW6ge3oKMtTZatvk,"Been 2 Hell & Back","Ethernet","Wifisfuneral",2018-06-08,157037,0,cabultra,2019-06-21T01:28:19Z,"dark trap,underground hip hop","Alamo Records",0.873,0.731,11,-7.804,1,0.39,0.249,0,0.12,0.671,161.988,4
5AhmqJ19SviVVKTSeDiIKP,"Connection","Ethernet","Wifisfuneral",2018-06-08,123428,0,cabultra,2019-06-21T01:28:26Z,"dark trap,underground hip hop","Alamo Records",0.919,0.557,10,-7.965,0,0.599,0.0448,0,0.111,0.544,139.997,4
2xKQj6P0TgxBVaRiojP2s2,"fast (Remix) [feat. Offset & A Boogie Wit da Hoodie]","fast (Remix) [feat. Offset & A Boogie Wit da Hoodie]","Sueco,A Boogie Wit da Hoodie,Offset",2019-06-25,160063,39,cabultra,2019-06-28T01:49:29Z,"melodic rap","Atlantic Records",0.821,0.684,7,-5.931,0,0.333,0.343,0.00000158,0.234,0.744,100.054,4
2dDdyKYZf7nIjnhYTmEzEo,"eggs","Ethernet 2","Wifisfuneral",2019-06-28,121858,0,cabultra,2019-07-06T02:32:52Z,"dark trap,underground hip hop","Alamo Records",0.892,0.835,10,-6.876,1,0.339,0.638,0.0000068,0.0643,0.86,80.017,4
2IqU229XLAZmhbrut6m8np,"30for30 (feat. Al Benji)","Ethernet 2","Wifisfuneral,Al Benji",2019-06-28,101982,0,cabultra,2019-07-06T02:33:19Z,"dark trap,underground hip hop","Alamo Records",0.937,0.378,1,-9.234,1,0.307,0.0711,0,0.0595,0.478,133.058,4
35l8ivgXiWiDCv7TCZ50Da,"Walk (Remix)","Walk (Remix)","Comethazine,A$AP Rocky",2019-03-18,186517,0,cabultra,2019-07-07T23:23:37Z,"rap","Alamo Records",0.813,0.586,2,-10.478,1,0.379,0.0547,0,0.238,0.798,160.043,4
0AphwbfFSlGgGDlXGeiEpu,"Bands","Bawskee","Comethazine",2018-08-24,98734,0,cabultra,2019-07-07T23:23:51Z,"","Alamo Records",0.834,0.457,10,-10.775,1,0.572,0.21,0,0.0641,0.533,158.008,4
6MF4tRr5lU8qok8IKaFOBE,"Under The Sun (with J. Cole & Lute feat. DaBaby)","Revenge Of The Dreamers III","Dreamville,J. Cole,Lute,DaBaby",2019-07-05,202040,65,cabultra,2019-07-07T23:44:00Z,"rap","Dreamville/Interscope Records",0.691,0.64,0,-6.441,1,0.369,0.511,0,0.409,0.163,138.672,4
36J0iaPDGbYGsHvYpaYs3k,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)","Revenge Of The Dreamers III","Dreamville,JID,Bas,J. Cole,EARTHGANG,Young Nudy",2019-07-05,169146,58,cabultra,2019-07-07T23:44:11Z,"rap","Dreamville/Interscope Records",0.761,0.586,0,-5.368,1,0.359,0.0392,0,0.0558,0.719,149.804,4
