Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4Uj5mUplCElmCd4bolVh6Z,"Pretty Much","Pretty Much","tobi lou",2020-08-21,164117,20,cabultra,2020-08-27T14:16:39Z,"","Artclub / EMPIRE",0.795,0.45,0,-10.44,1,0.0471,0.739,0.00173,0.0932,0.192,136.004,4
7fGmx2dHgPwynQrfwPMemP,"Cheap Vacations (feat. Glassface)","Live on Ice","tobi lou,Glassface",2019-08-02,215999,34,cabultra,2020-08-27T14:21:03Z,"alté","Artclub / EMPIRE",0.652,0.453,11,-8.014,0,0.0718,0.0572,0.0000506,0.114,0.195,80.057,4
4LLNd36WeJKv8pzjGeoMXZ,"Backstage Pass (with Monte Booker & The Drums)","Backstage Pass (with Monte Booker & The Drums)","Smino,monte booker,The Drums",2020-08-14,224384,55,cabultra,2020-08-27T14:26:51Z,"indie","Zero Fatigue/Downtown/Interscope Records",0.688,0.477,2,-8.764,1,0.0539,0.131,0.00664,0.088,0.374,150.214,4
1SWg0LGSxwbD3pyLfW0z5H,"hot tub DREAM Machine","hot tub DREAM Machine","tobi lou",2020-02-21,205714,36,cabultra,2020-08-28T21:59:05Z,"","Artclub / EMPIRE",0.677,0.526,11,-8.245,1,0.0361,0.264,0.00000277,0.113,0.467,140.082,4
1PV9dtzC0wyx71YwoGDLiO,"Uncle Iroh","Uncle Iroh","tobi lou",2019-12-20,147692,35,cabultra,2020-08-31T13:57:36Z,"","Artclub / EMPIRE",0.771,0.621,0,-11.318,1,0.279,0.219,0,0.169,0.702,156.026,4
2KclJjnLjul7NhyJrAhpUu,"No Cap","No Cap","Blake and Miles",2020-07-10,200285,0,cabultra,2020-09-04T20:52:08Z,"","HBM",0.852,0.554,0,-8.971,1,0.0376,0.0945,0.000429,0.128,0.656,105.046,4
7cneuh5BMBbqbbGrpqTDHQ,"","","",0000,0,0,cabultra,2020-09-04T20:52:17Z,"champeta","",0.779,0.572,4,-9.259,1,0.0396,0.306,0.739,0.106,0.967,114.994,4
5gpMP9txiN63xsNlBWNBRX,"Star Catcher","Angel Youth","Vansire,Chester Watson",2018-04-26,199649,0,cabultra,2020-09-04T20:52:22Z,"bedroom pop","Spirit Goth Records",0.496,0.507,7,-8.784,1,0.119,0.364,0.764,0.0798,0.521,81.84,4
44uCMdE6RWnkOFYTtbmUUc,"Cherry Cola","Cherry Cola","Kuwada",2018-02-09,184360,47,cabultra,2020-09-04T20:52:25Z,"","Columbia",0.777,0.635,5,-6.323,0,0.0392,0.764,0.00000225,0.155,0.653,138.04,4
3ishRxjsqYVk6FdAGeeUAP,"Set Piece","Angel Youth","Vansire,sophie meiers,Ivy Sole",2018-04-26,199490,0,cabultra,2020-09-04T20:52:33Z,"bedroom pop,alternative r&b","Spirit Goth Records",0.541,0.483,1,-10.675,0,0.0514,0.351,0.4,0.111,0.641,80.73,4
1zbBGrgnQzc23NIhAr9IE7,"Central Time","Central Time","Vansire,Mick Jenkins",2020-07-20,218982,0,cabultra,2020-09-04T20:52:37Z,"bedroom pop,jazz rap","591842 Records DK2",0.752,0.54,1,-13.348,1,0.0607,0.446,0.186,0.108,0.825,113.031,4
6z6i7ssJ5AIqSqhVcecJpa,"Angel Youth","Angel Youth","Vansire",2018-04-26,242514,0,cabultra,2020-09-04T20:52:42Z,"bedroom pop","Spirit Goth Records",0.576,0.587,9,-8.735,1,0.0307,0.179,0.758,0.111,0.334,114.06,4
