Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7yeNCRqvnoAskALhUuSxwi,"Say A'","Say A'","A Boogie Wit da Hoodie",2017-09-21,214853,0,cabultra,2018-07-20T20:09:59Z,"melodic rap","Highbridge the Label / Atlantic Records",0.831,0.814,5,-5.18,1,0.474,0.391,0,0.109,0.846,161.041,4
6d8MHAb3LSuAz42yyDM4q1,"1 Thot 2 Thot Red Thot Blue Thot","1 Thot 2 Thot Red Thot Blue Thot","Yung Gravy",2017-07-12,130923,0,cabultra,2018-07-20T20:10:57Z,"meme rap","Yung Gravy",0.766,0.737,3,-8.312,0,0.167,0.0955,0.0327,0.0719,0.704,79.995,4
0JP9xo3adEtGSdUEISiszL,"Moonlight","?","XXXTENTACION",2018-03-16,135090,77,cabultra,2018-07-20T20:11:13Z,"emo rap","Bad Vibes Forever, LLC",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4
19XYvER2dUIQ8RuVWCYKiw,"Yung Gravity","Yung Gravity","Yung Gravy",2017-04-02,256750,32,cabultra,2018-07-20T20:12:24Z,"meme rap","Yung Gravy",0.86,0.415,1,-10.261,1,0.408,0.405,0,0.109,0.337,127.049,4
1Y7dZA71sPTudGSumYGZs1,"2006","2006","Skizzy Mars",2018-01-05,225640,17,cabultra,2018-07-20T20:12:30Z,"","Kingmaker/Please Rewind",0.725,0.754,2,-5.056,0,0.285,0.109,0,0.238,0.589,156.107,4
4lTiuD1DwBKo4L7wqMkD7C,"JAPAN","JAPAN","Famous Dex",2018-03-16,144149,36,cabultra,2018-07-20T20:12:36Z,"","300 Entertainment",0.733,0.678,6,-7.771,1,0.439,0.121,0,0.345,0.841,175.984,4
3ee8Jmje8o58CHK66QrVC2,"SAD!","?","XXXTENTACION",2018-03-16,166605,75,cabultra,2018-07-20T20:12:40Z,"emo rap","Bad Vibes Forever, LLC",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4
6bPGoS02ALRFRroKx0OhYp,"CELINE","Dex Meets Dexter","Famous Dex",2018-04-06,115192,21,cabultra,2018-07-20T20:12:46Z,"","300 Entertainment",0.696,0.587,1,-7.826,0,0.0602,0.0617,0,0.0848,0.537,150.039,4
1rMhSXlHjiPTBumEcaQ8H2,"DMD","Dex Meets Dexter","Famous Dex",2018-04-06,148288,27,cabultra,2018-07-20T20:12:50Z,"","300 Entertainment",0.75,0.566,1,-8.812,1,0.428,0.0173,0,0.147,0.458,157.028,4
0ByqM6Uo4hzh1RZzHMM70v,"Rich & Sad","beerbongs & bentleys","Post Malone",2018-04-27,206453,30,cabultra,2018-07-20T20:13:13Z,"","Republic Records",0.591,0.573,2,-5.016,1,0.0876,0.192,0,0.0968,0.258,152.082,4
5LG9XvX0mtdAVvjS2dpVji,"Stay","beerbongs & bentleys","Post Malone",2018-04-27,204426,32,cabultra,2018-07-20T20:13:34Z,"","Republic Records",0.292,0.464,5,-5.161,1,0.03,0.435,0,0.148,0.344,84.682,4
4RRCjocNAHHT4Bo5sIdJlF,"92 Explorer","beerbongs & bentleys","Post Malone",2018-04-27,211426,30,cabultra,2018-07-20T20:13:42Z,"","Republic Records",0.795,0.734,7,-4.817,0,0.046,0.254,0.00000321,0.108,0.873,146.058,4
