Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4ai7fpzyfaGBlMX5kZGmYu,"Berlin","Berlin","Kota the Friend",2019-12-17,98181,23,cabultra,2020-01-18T05:18:01Z,"","Fltbys",0.569,0.828,1,-4.262,0,0.386,0.701,0,0.107,0.507,81.447,4
3NjJwN14FiO6uQpBHbWcSP,"OneFourThree","OneFourThree","Hermitude,Buddy,BJ The Chicago Kid",2019-07-31,227244,0,cabultra,2020-01-18T05:18:28Z,"neo soul","Elefant Traks",0.823,0.583,6,-8.894,1,0.0955,0.48,0.0079,0.16,0.507,108.998,4
5Jn3W2PPpKDj4SBQTdC8op,"E","E","Jean Carter",2019-05-17,180402,32,cabultra,2020-01-18T05:18:37Z,"","JEAN CARTER",0.863,0.581,10,-8.515,1,0.175,0.0737,0.00227,0.0703,0.491,148.999,4
2h3UkgMUqqzUHJULbeLwNP,"sunset","atm","atm,daydream Masi",2019-04-26,147067,0,cabultra,2020-01-18T05:18:50Z,"","Mass Appeal Records II",0.671,0.562,8,-9.251,1,0.305,0.674,0,0.361,0.301,132.981,4
1KepJo4eckxQfIV283JUZU,"Old Wayz (feat. QUIN)","STAY","SAFE,QUIN",2019-05-10,162813,9,cabultra,2020-01-18T05:19:00Z,"sexy drill,indie r&b","Not specified",0.7,0.432,1,-7.415,0,0.0406,0.673,0.00000237,0.108,0.263,90.028,4
4c64pv62eIouCuPHq6CXkl,"No Rush","STAY","SAFE",2019-05-10,176080,7,cabultra,2020-01-18T05:19:07Z,"sexy drill","Not specified",0.608,0.776,1,-8.262,1,0.0439,0.15,0.259,0.144,0.193,105.058,4
4AGa4lQd1DLMfTFMwnvi68,"Ozzy","Infinity Boy","Oliver Francis",2018-04-01,169411,0,cabultra,2020-01-18T05:19:12Z,"emo rap,cloud rap,melodic rap","Oliver Francis",0.63,0.759,1,-6.911,0,0.391,0.0452,0,0.11,0.657,169.96,4
55kxuWtCLOZ9LD7paQylnO,"Beige","Beige","TOBi,Harrison",2019-10-15,171000,19,cabultra,2020-01-18T05:19:18Z,"alternative hip hop,city pop,vaporwave","Same Plate",0.614,0.54,0,-6.13,1,0.385,0.369,0,0.0707,0.486,78.734,4
4rg6TeIhQo6YvqyOk5KXUB,"NERD","NERD","Lo Village",2019-09-17,214128,26,cabultra,2020-01-18T05:19:24Z,"","Rebel Music Collective",0.835,0.598,10,-6.784,0,0.115,0.252,0,0.193,0.331,108.941,4
2XTyx7Txuj6dZ1lLYLj3Wc,"December","Is He Real?","IDK",2019-09-04,210663,37,cabultra,2020-01-18T05:19:31Z,"","Warner Records",0.586,0.807,11,-5.846,0,0.302,0.461,0.0000872,0.117,0.77,130.455,5
0NQIx4sINJ1vEHayc3BLZp,"Bright and Early","Bright and Early","LOCS",2019-08-09,182240,17,cabultra,2020-01-18T05:19:41Z,"","LOCS",0.858,0.724,0,-6.557,0,0.278,0.257,0,0.194,0.699,107.088,4
79Jyb76StNv1ArflQfsvfJ,"Don't Think (feat. Mozzy)","Don't Think (feat. Mozzy)","P-Lo,Mozzy",2019-08-07,206567,12,cabultra,2020-01-18T05:19:47Z,"hyphy","P-Lo / EMPIRE",0.677,0.729,8,-7.9,1,0.268,0.579,0.00000107,0.111,0.758,95.08,4
1cJc5NjX3FVnzTsb2HTFOA,"Lotus","Lotus","UHMEER",2019-03-19,201888,27,cabultra,2020-01-18T05:20:06Z,"","American Bastard Music Collective",0.481,0.265,11,-18.789,0,0.461,0.84,0.00000108,0.142,0.602,58.931,4
6eJsdhKW0AAao9tuSP4ThB,"You Say","Wild Potions","Jay Ham",2019-07-11,121274,0,cabultra,2020-01-18T05:20:14Z,"","Where The Hits At?",0.789,0.627,4,-6.762,1,0.42,0.253,0.00000687,0.153,0.873,146.854,4
0YYIoSpuOGIurK46YJuXsI,"ICEMAN","Hu$band","Father",2019-10-09,173240,24,cabultra,2020-01-18T05:20:22Z,"","Awful Records/RCA Records",0.812,0.334,1,-12.266,0,0.0809,0.295,0.00067,0.106,0.232,132.998,4
0a5R2egQzvuk0viHpbV7U7,"Those Days","Those Days","SHRK,Isaak Jacob$",2019-06-21,165096,15,cabultra,2020-01-18T05:20:29Z,"","SHRK / CORBAL",0.656,0.222,0,-11.927,1,0.169,0.939,0.00873,0.196,0.36,153.082,5
4GFqARUxp7eZ0Jb9G6iLrw,"I’m Not Ready","Time Will Tell","Domani",2019-06-07,303639,17,cabultra,2020-01-18T05:20:42Z,"","Forever Records",0.435,0.53,5,-9.37,0,0.175,0.123,0.000171,0.196,0.323,81.524,4
6eCZQxoyyC3m5R6aA8eUnh,"Flow Seats","Flow Seats","MFnMelo",2019-11-04,159614,0,cabultra,2020-01-18T05:20:54Z,"alternative hip hop","Pivot Gang",0.609,0.474,0,-9.972,1,0.493,0.177,0.0000181,0.125,0.422,100.049,5
