Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4lvhQG49GMd2GY201XaKvD,"Sole","Reflection","Kenji,Brie Marie",2019-01-11,212000,8,cabultra,2022-11-10T21:35:48Z,"jazz rap,lo-fi beats,jazz beats","Kitsune Recordings",0.669,0.667,6,-7.725,0,0.439,0.0997,0.0000259,0.154,0.621,171.878,4
1WQztRFyRTg3QSWbSzvlqy,"I Know","Settling In","Kenji,P.R.",2017-04-05,182874,11,cabultra,2022-11-19T01:58:57Z,"jazz rap,lo-fi beats,jazz beats,lo-fi","Chillhop Music",0.639,0.784,3,-7.863,0,0.299,0.0663,0.00000382,0.121,0.568,167.982,4
2xuZ42BqwLOKRxRBpvgPmr,"Empathy","Currents","Kenji",2022-10-07,176086,0,cabultra,2022-11-19T02:04:39Z,"jazz rap,lo-fi beats,jazz beats","Kitsune Recordings",0.631,0.408,9,-10.756,0,0.464,0.491,0.00000245,0.112,0.539,116.586,5
1pnZf1PWmF04OtB3AAH3A7,"Sepia","Oonops Drops Vol. 1","Indigo Jam Unit",2018-02-23,325580,0,cabultra,2022-12-05T16:39:34Z,"jazz fusion","Agogo Records",0.433,0.667,5,-8.059,0,0.0331,0.0754,0.782,0.0727,0.633,120.162,4
4kXX1dTN3aw9JNznU9G3oU,"ロマンス","キャット","鈴木 弘",1976,353386,45,cabultra,2022-12-05T20:21:45Z,"jazz fusion,jazz","Nippon Columbia Co., Ltd. / NIPPONOPHONE",0.542,0.185,7,-16.083,0,0.0306,0.813,0.94,0.0769,0.208,73.24,4
1HMtl6inpHowSjJn0CfB4m,"Sea of Dreams","Safety In The Sun","Nitsua,Apollo Bebop,Grover,Brian to Earth",2019-03-30,328946,32,cabultra,2023-01-09T15:01:04Z,"jazz rap","visioneternal",0.637,0.493,9,-11.864,0,0.0271,0.831,0.0431,0.104,0.275,92.02,4
2ej1A2Ze6P2EOW7KfIosZR,"Feather (feat. Cise Starr & Akin from CYNE)","Modal Soul","Nujabes,Cise Starr & Akin from CYNE",2005-11-11,175360,60,cabultra,2023-01-12T01:58:17Z,"jazz rap","Hydeout Productions",0.565,0.749,10,-6.629,0,0.0769,0.655,0.432,0.106,0.881,180.598,4
0JL9TZip7mL7iwC5EOkALS,"Lady Brown (feat. Cise Starr from CYNE)","Metaphorical Music","Nujabes,Cise Starr",2003-08-21,199160,58,cabultra,2023-01-12T01:58:21Z,"jazz rap","Hydeout Productions",0.499,0.874,0,-4.586,1,0.097,0.611,0.000639,0.0703,0.861,97.317,4
6SNGzhVrisdq63Ndz58ovT,"Luv (sic)","Luv(sic) Hexalogy","Nujabes",2015-12-09,286320,56,cabultra,2023-01-12T01:58:31Z,"jazz rap","Hydeout Productions",0.906,0.677,1,-5.558,1,0.215,0.437,0.0272,0.652,0.869,93.016,4
4xlpJ99yL9xYQtzG6c3hwk,"Luv(sic.) pt3 (feat. Shing02)","Modal Soul","Nujabes,Shing02",2005-11-11,336866,57,cabultra,2023-01-12T01:58:37Z,"jazz rap,j-rap","Hydeout Productions",0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,4
6gSalwEvVQfSFiqgwfyITp,"Luv (sic) pt2","Luv(sic) Hexalogy","Nujabes",2015-12-09,273080,53,cabultra,2023-01-12T01:58:47Z,"jazz rap","Hydeout Productions",0.834,0.523,5,-6.845,0,0.205,0.386,0.00000666,0.104,0.851,92.682,4
764QZXmgb5fDwh1NU8pYcd,"Dawn on the Side","Spiritual State","Nujabes",2011-12-03,315453,42,cabultra,2023-01-12T01:59:00Z,"jazz rap","Hydeout Productions",0.565,0.583,5,-9.359,1,0.0698,0.541,0.916,0.112,0.932,197.9,4
6norVbAE14clVMEyDuRw1m,"Luv (sic) pt4 (feat. Shing02)","Luv(sic) Hexalogy","Nujabes,Shing02",2015-12-09,310746,48,cabultra,2023-01-12T01:59:07Z,"jazz rap,j-rap","Hydeout Productions",0.793,0.536,10,-7.22,0,0.045,0.748,0.396,0.104,0.9,93.998,4
3GUqoL8LDEpw2GH6G9onE0,"Kumomi","Metaphorical Music","Nujabes",2003-08-21,233626,49,cabultra,2023-01-12T01:59:18Z,"jazz rap","Hydeout Productions",0.691,0.672,1,-8.125,1,0.0447,0.147,0.945,0.104,0.707,92.787,4
72LSGNDLY4sdvyrGIKtd2Q,"Luv (sic) Grand Finale (feat. Shing02)","Luv(sic) Hexalogy","Nujabes,Shing02",2015-12-09,316760,48,cabultra,2023-01-12T01:59:28Z,"jazz rap,j-rap","Hydeout Productions",0.625,0.678,7,-8.759,1,0.0514,0.0773,0.275,0.191,0.287,91.985,4
7FY4KAi2JIoPLxNPLdmnAY,"Luv (sic) pt5 (feat. Shing02)","Luv(sic) Hexalogy","Nujabes,Shing02",2015-12-09,349786,46,cabultra,2023-01-12T02:00:03Z,"jazz rap,j-rap","Hydeout Productions",0.768,0.583,9,-9.997,0,0.118,0.81,0.0000285,0.135,0.699,92.016,4
6fzsRmsi50Wa6snAArkfkf,"Another Reflection","2nd Collection","Nujabes",2007-11-11,224186,43,cabultra,2023-01-12T02:00:13Z,"jazz rap","Hydeout Productions",0.627,0.522,1,-10.848,0,0.0966,0.334,0.878,0.113,0.498,175.933,4
3K0vUiZNaeJTLDK4GUicl9,"Waiting For The Clouds (feat. Substantial)","Spiritual State","Nujabes,Substantial",2011-12-03,232306,39,cabultra,2023-01-12T02:00:25Z,"jazz rap","Hydeout Productions",0.757,0.665,1,-9.31,1,0.175,0.486,0.00371,0.109,0.675,88.969,4
567t3Wgd6jwrLX6eSbl85O,"Oceanside","Safety In The Sun","Nitsua",2019-03-30,150706,38,cabultra,2023-01-12T02:00:54Z,"jazz rap","visioneternal",0.642,0.307,7,-14.64,0,0.0343,0.539,0.869,0.104,0.468,91.025,4
0bi68PQXUqqJZq5sxYXOxk,"Coffee Princess","Safety In The Sun","Nitsua",2019-03-30,273120,29,cabultra,2023-01-12T02:01:17Z,"jazz rap","visioneternal",0.843,0.36,2,-12.046,1,0.0502,0.45,0.924,0.106,0.61,87.013,4
3mzIkqvwpxXVks5h7RTl5I,"Sunflower Interlude","B-Sides Unreleased Material","Nitsua",2014-07-22,150000,35,cabultra,2023-01-12T02:01:24Z,"jazz rap","visioneternal",0.515,0.444,0,-7.739,1,0.0441,0.875,0.923,0.1,0.427,185.89,4
38QzBxnhfQ1BqsZTrdNi0d,"New Tomorrow Featuring Salem and Topix","dayscape","Nitsua,Salem,Topix",2016-02-10,166573,25,cabultra,2023-01-12T04:09:35Z,"jazz rap,doom metal,witch house,black metal,gothic metal,death metal,progressive metal","rockwell product shop",0.69,0.731,6,-7.993,0,0.386,0.754,0.00000134,0.11,0.368,95.901,4
2StpmqtnTMFqG8TERRjp2o,"Samurai Bebop","Samurai Bebop","Tophat Panda",2021-05-18,247961,0,cabultra,2023-01-15T21:34:36Z,"lo-fi,lo-fi beats","Dust Collectors",0.65,0.414,8,-14.131,1,0.0402,0.739,0.961,0.662,0.171,93.011,4
