Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3gXDFlnam4GzGwYqtA2KZS,"requiem","requiem","SwuM,Øneheart",2025-01-21,126000,43,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi,lo-fi beats,j-dance,dark ambient","Chillhop Music",0.689,0.335,0,-10.639,1,0.045,0.893,0.698,0.106,0.213,80.054,4
5rWjbT8864Z7NZu5cbk3GK,"Crescent Lake","Chillhop Essentials Winter 2024","Sweeps,luv pug",2024-12-03,156285,35,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi,lo-fi beats","Chillhop Music",0.437,0.453,0,-14.702,1,0.0333,0.734,0.918,0.352,0.319,153.978,3
3m0THcoaJftbbkrCNmixZN,"traces","vertigo","SwuM,Øneheart",2025-02-18,137821,35,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi,lo-fi beats,j-dance,dark ambient","Chillhop Music",0.496,0.293,0,-12.574,1,0.0273,0.866,0.945,0.11,0.0411,100.95,4
2bfgl37ZDW90eeoU0iihXc,"December, Too","Polarized","Arbour",2024-09-24,143283,31,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi beats,lo-fi","Chillhop Music",0.27,0.108,3,-23.459,0,0.0358,0.943,0.91,0.111,0.0459,66.987,4
1QdhR8zYfD8F475xaEkq0O,"Slow Burn","Chillhop Essentials Winter 2024","Amparo",2024-12-03,274864,32,chillhopmusic,2025-02-18T11:43:18Z,"","Chillhop Music",0.316,0.114,4,-17.272,0,0.035,0.942,0.851,0.105,0.0395,113.725,5
0dYiKSVRL5EB2SFDNaVqgK,"miles away","vertigo","SwuM,Øneheart",2025-02-18,120000,34,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi,lo-fi beats,j-dance,dark ambient","Chillhop Music",0.652,0.45,1,-11.552,1,0.047,0.914,0.926,0.0971,0.228,111.812,4
59Zf130O4Gb3tGpkvcd8Gw,"Hope","From Scratch","Psalm Trees,ALEXANDER",2024-11-05,127172,31,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Music",0.451,0.456,11,-9.958,1,0.0404,0.456,0.573,0.196,0.195,73.936,4
1q3gj7XhHrwCcTst8I5XaJ,"nightshift","vertigo","SwuM,Øneheart,Lenny Loops",2025-02-18,106153,38,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi,lo-fi beats,j-dance,dark ambient","Chillhop Music",0.632,0.251,10,-15.224,0,0.0382,0.936,0.943,0.103,0.11,104.02,4
2YLsKOCAC9mpnmXGtb8Eev,"Lunar","Chillhop Essentials Winter 2024","Mac Kay",2024-12-03,136848,32,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi beats","Chillhop Music",0.345,0.246,4,-14.373,1,0.0494,0.813,0.751,0.312,0.248,74.463,1
0bIL5bznf2gXJZLPiJAbxo,"Wishful thinking","Calm Evenings","Philanthrope,mommy,Dotlights",2024-02-13,181034,26,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Music",0.183,0.153,2,-18.542,0,0.0384,0.887,0.965,0.105,0.0391,180.487,3
7j7QnUjbuW4p8yFE8f5cDw,"Glaciate","Chillhop Essentials Winter 2024","Makzo",2024-12-03,135136,32,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi beats,jazz beats,lo-fi","Chillhop Music",0.209,0.445,5,-12.097,0,0.0335,0.226,0.967,0.103,0.598,142.846,4
3VP98I6klYiAcBxNjZ3pQo,"Hold it Down","From Scratch","Psalm Trees,ALEXANDER",2024-11-05,200876,31,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Music",0.672,0.457,4,-8.525,0,0.0355,0.609,0.859,0.304,0.483,91.036,4
27w1uZZ5bEYMqJkeqaCwmh,"Outside, Inside","Chillhop Essentials Winter 2024","Sleepy Fish",2024-12-03,210544,36,chillhopmusic,2025-02-18T11:43:18Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Music",0.781,0.332,11,-10.718,1,0.0341,0.0317,0.834,0.108,0.181,138.047,4
