Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4H1FlITv3PMErUOyQYgUDK,"Down by the River","Baldur's Gate 3 (Original Game Soundtrack)","Borislav Slavov",2023-08-10,141908,51,,2025-01-04T15:36:37Z,"medieval","Borislav Slavov",0.515,0.208,7,-12.238,0,0.0305,0.975,0.000807,0.13,0.0711,137.996,4
7b4twDZXjQf8gyQGSvySZd,"All Night Long","All Night Long","Chris Stussy",2023-05-26,234525,56,,2024-08-22T02:23:01Z,"house,tech house","Up The Stuss",0.768,0.703,5,-9.928,0,0.0466,0.00731,0.278,0.0977,0.788,133.01,4
6UB9mShVLbMm0W4e6vud4C,"Battery","Master Of Puppets (Remastered)","Metallica",1986-03-03,312360,59,,2024-08-19T14:31:02Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.481,0.928,11,-8.799,0,0.0672,0.00022,0.558,0.106,0.427,96.699,4
33WUbp3DX0VQJCLspApITe,"is this what you wanted","is this what you wanted","Scro",2023-05-16,225289,31,,2024-08-16T19:42:50Z,"hyperpop","bitbird",0.377,0.85,7,-7.038,1,0.074,0.00278,0,0.21,0.21,159.988,4
6CwR0pY3wj5zQUtcKp9RV6,"Friends Again","Friends Again","LVTHER,Olivia Ridgely",2018-03-20,196363,33,,2024-05-29T19:04:44Z,"indie dance","Monstercat",0.866,0.733,8,-3.472,0,0.0628,0.213,0.0000031,0.1,0.772,110.019,4
5exhxpK9Yl0x8gGIa2F7if,"The Fall","Two Hearts","Dabin",2017-03-31,170857,24,,2024-05-22T21:27:34Z,"melodic bass,future bass,edm,chillstep","Kannibalen Records",0.623,0.906,1,-6.322,0,0.043,0.00741,0.137,0.0943,0.189,104.993,4
3IUiA6msgyFl3f8kzbdgQP,"Forgive Me","The Last Goodbye","ODESZA,Izzy Bizu",2022-07-22,208017,42,,2024-05-19T16:45:47Z,"chillwave,chillstep","Foreign Family Collective/Ninja Tune",0.661,0.828,9,-3.134,0,0.037,0.0194,0.000902,0.264,0.402,104.972,4
1bDVpNtcMmMfvqo1hIYWlw,"On My Own","On My Own","k?d,Nevve",2023-09-28,247200,19,,2024-05-18T22:05:27Z,"future bass,melodic bass,edm","Ophelia",0.513,0.892,11,-3.249,1,0.162,0.0605,0.000829,0.136,0.705,75.164,4
2zG8L9QM7FnlKkLQYirIxh,"Righteous","Righteous","Mo Beats",2022-03-29,163910,1,,2024-05-17T15:06:07Z,"","48 Hours Entertainment",0.426,0.78,5,-7.936,0,0.0383,0.000807,0.872,0.11,0.133,81.984,4
1EcGmUfUeAxTS9Vgtz9lML,"With You","Ashes","ILLENIUM,Quinn XCII",2016-02-15,186125,42,,2024-04-15T14:26:48Z,"melodic bass,future bass,edm","Seeking Blue",0.676,0.697,7,-5.934,1,0.0411,0.0772,0.0000451,0.326,0.118,89.944,4
1kdiiFGX1Htx0aVZYaDwEJ,"Tears Don't Fall","The Poison","Bullet For My Valentine",2006-02-14,348386,59,,2024-04-06T04:25:22Z,"metalcore,metal,screamo","Red Ink/Trustkill",0.213,0.927,7,-3.378,0,0.14,0.000729,0.00000485,0.081,0.28,162.109,4
3uXzBSx2eMKRTEP46SZ2fC,"Rattle","Rattle","Bingo Players",2011-10-31,287183,57,,2024-03-16T04:26:50Z,"big room","Hysteria",0.744,0.957,7,-4.8,1,0.0519,0.00152,0.884,0.352,0.529,127.991,4
7tL9xxvZY4C8rx5EKfHIVU,"Far","Minecraft - Volume Beta","C418",2013-11-09,192000,50,,2024-02-19T16:50:43Z,"","C418",0.735,0.239,1,-14.188,1,0.0403,0.856,0.745,0.105,0.313,130.027,4
1kJSda5yj2yM7NLXItqgZD,"Diamondz n Roses (Back It Up!)","Back It Up! (Diamondz n Roses)","VaporGod",2023-10-26,93428,50,,2023-11-23T05:39:45Z,"jersey club","Artist Partner Group",0.615,0.812,9,-10.152,0,0.0932,0.00241,0.878,0.193,0.398,140.108,4
69aYiwVMrTpdqiZdupIAgZ,"Summer Spent","Summer Spent / Tried Living","RICEWINE",2022-06-30,135798,54,,2023-09-19T18:01:47Z,"bedroom pop","RICEWINE",0.661,0.756,2,-7.318,1,0.0347,0.00419,0.271,0.0439,0.981,115.792,4
069hpl6WEyFv2qYaZGqv9b,"Pacific Coast Highway","Pacific Coast Highway","Das Kope",2022-12-09,208392,15,,2023-09-19T16:04:30Z,"psychedelic pop,psychedelic rock","DAS KOPE",0.611,0.531,1,-12.205,0,0.0307,0.533,0.855,0.649,0.511,111.99,4
4Nk7Mof1w4q2vk160DYEoc,"aquatic ambience","aquatic ambience","Scizzie",2022-10-15,123535,34,,2023-07-29T21:39:43Z,"","The System",0.251,0.118,6,-22.077,0,0.0346,0.898,0.93,0.0988,0.049,139.688,4
2LBqCSwhJGcFQeTHMVGwy3,"Die For You","Starboy","The Weeknd",2016-11-24,260253,81,,2023-03-06T23:36:07Z,"","Universal Republic Records",0.586,0.525,1,-7.163,0,0.0615,0.111,0,0.134,0.508,133.629,4
1YI0uK36eupTmw9F8kHysr,"Sunday Morning","Songs About Jane","Maroon 5",2002-06-25,244866,58,,2022-07-10T12:28:16Z,"pop","Interscope Records*",0.606,0.759,0,-5.229,1,0.0482,0.0745,0,0.0595,0.803,88.062,4
4cacyP5c3PMlfnyjpg13xW,"Betty (Get Money)","Betty (Get Money)","Yung Gravy",2022-06-10,146470,58,,2022-06-14T19:26:14Z,"meme rap","Republic Records",0.723,0.772,1,-6.784,1,0.0792,0.00524,0.0000115,0.367,0.58,102.004,4
