Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7LBdv0ek7Tj2s0bgxmlrC6,"CALLIGRAPHY","CARE FOR ME","Saba",2018-04-05,184250,0,cabultra,2018-12-05T19:43:37Z,"","Saba Pivot, LLC",0.713,0.533,3,-9.713,0,0.315,0.732,0.000947,0.111,0.306,73.973,4
0YAQnYt2oB8OdoaeqnHyTI,"Tribe (with J. Cole)","Milky Way","Bas,J. Cole",2018-08-24,238053,58,cabultra,2018-12-05T19:43:48Z,"rap","J. Cole/ DreamVille",0.755,0.594,7,-5.906,1,0.216,0.241,0,0.107,0.237,178.929,4
466AejgNTcFIJht4mf8ybM,"Alone As A Facetat","Leave Me The Fuck Alone","Wifisfuneral",2018-11-07,157303,0,cabultra,2018-12-05T19:43:59Z,"dark trap,underground hip hop","Alamo Records",0.66,0.456,5,-9.414,0,0.329,0.876,0,0.106,0.306,74.731,4
4Jmng2CsEQgzpoTC1g24BE,"Blasian","Blasian","YoungBoy Never Broke Again",2018-11-16,170562,39,cabultra,2018-12-05T19:44:11Z,"","Never Broke Again, LLC",0.689,0.696,0,-6.729,1,0.291,0.142,0,0.372,0.537,148.003,4
24W9LlHIfhALtn33zBnnQr,"Outstanding (feat. 21 Savage)","Outstanding (feat. 21 Savage)","SahBabii,21 Savage",2018-04-20,157663,35,cabultra,2018-12-05T19:44:21Z,"melodic rap","Warner Records",0.795,0.59,11,-6.186,0,0.169,0.341,0.00007,0.097,0.354,151.059,4
35eqqYzCWQyzqxj4SI9Ywl,"Greet Her","Northsbest","Lil Mosey",2018-10-19,174315,0,cabultra,2018-12-05T19:44:30Z,"melodic rap","Mogul Vision / Interscope PS",0.75,0.476,7,-7.864,0,0.0412,0.0593,0,0.199,0.123,94.995,4
6qZANDqrSAvfuSjcxBP1PD,"10AM/Save The World (feat. Gucci Mane)","NOT ALL HEROES WEAR CAPES","Metro Boomin,Gucci Mane",2018-11-02,226320,0,cabultra,2018-12-05T19:44:43Z,"southern hip hop,rap,trap","Republic Records",0.719,0.501,8,-8.84,0,0.239,0.257,0,0.189,0.419,136.025,4
2lvOt6VAufWlstrqutilVb,"Fire Starter","A Love Letter To You 3","Trippie Redd,Emani 22",2018-11-09,157500,0,cabultra,2018-12-05T19:44:59Z,"melodic rap","TenThousand Projects, LLC",0.509,0.71,3,-4.914,0,0.0679,0.00232,0,0.436,0.335,147.853,4
1SxagO9GK0UUeEYLmH8Pln,"Toxic Waste","A Love Letter To You 3","Trippie Redd",2018-11-09,173129,0,cabultra,2018-12-05T19:45:08Z,"melodic rap","TenThousand Projects, LLC",0.729,0.516,8,-11.404,1,0.0628,0.0555,0.00000195,0.107,0.379,111.97,4
0ZPCxNK4DIrF8KqrN3DxfA,"Negative Energy","A Love Letter To You 3","Trippie Redd,Kodie Shane",2018-11-09,178285,0,cabultra,2018-12-05T19:45:13Z,"melodic rap","TenThousand Projects, LLC",0.66,0.672,9,-7.442,1,0.263,0.413,0,0.125,0.446,139.904,4
7uenITonAmg7wXmFd3kkms,"I Tried Loving","A Love Letter To You 3","Trippie Redd",2018-11-09,193510,0,cabultra,2018-12-05T19:45:23Z,"melodic rap","TenThousand Projects, LLC",0.623,0.686,1,-4.809,0,0.0438,0.181,0,0.19,0.222,160.085,4
3prLqweRlHjmdsycz41cRh,"Camp Fire Tale","A Love Letter To You 3","Trippie Redd",2018-11-09,149625,0,cabultra,2018-12-05T19:45:42Z,"melodic rap","TenThousand Projects, LLC",0.671,0.249,6,-10.896,1,0.0349,0.447,0.00000941,0.125,0.154,80.096,4
16DHWSDlEa5K0JbMHnuMXM,"Stay Right Here","Stay Right Here","Saba,Xavier Omär,Mick Jenkins",2018-11-09,210133,34,cabultra,2018-12-05T19:45:53Z,"alternative r&b,jazz rap","Saba Pivot, LLC",0.752,0.536,9,-7.444,0,0.452,0.132,0,0.281,0.628,129.93,4
0HU8CeTestQjoRF2ekaLqx,"Stoney (feat. Phoelix & BJRKNC)","Bucket List Project","Saba,Phoelix,Bjrknc",2016-10-27,211296,0,cabultra,2018-12-05T19:46:08Z,"","Saba Pivot, LLC",0.735,0.639,6,-7.464,0,0.247,0.295,0,0.108,0.695,158.865,4
0Q8A7MPsoFg72xcVFBsS8Q,"LOGOUT","CARE FOR ME","Saba",2018-04-05,150108,0,cabultra,2018-12-05T19:46:11Z,"","Saba Pivot, LLC",0.787,0.382,1,-9.983,1,0.45,0.0102,0,0.092,0.392,86.779,4
6fI3tBVND8zUXZi9rr2Yps,"Take One","Take One","Kodak Black",2018-11-16,165517,0,cabultra,2018-12-05T19:46:22Z,"","Atlantic Records",0.657,0.613,1,-7.308,1,0.465,0.123,0,0.314,0.485,174.027,4
4m5Cd9kAbIxg6t9sMrQWtk,"TIC TOC","DUMMY BOY","6ix9ine,Lil Baby",2018-11-27,135739,0,cabultra,2018-12-05T19:46:29Z,"","Scumgang Records",0.82,0.691,6,-6.646,0,0.0723,0.0115,0,0.344,0.683,142.027,4
6o79O9qBP3OAkWOXajAQIS,"WAKA","DUMMY BOY","6ix9ine,A Boogie Wit da Hoodie",2018-11-27,128769,0,cabultra,2018-12-05T19:46:36Z,"melodic rap","Scumgang Records",0.772,0.812,0,-3.995,0,0.153,0.0834,0,0.115,0.655,97.407,4
26jYPsHHSOxCTz4cLt6SbQ,"FEEFA","DUMMY BOY","6ix9ine,Gunna",2018-11-27,163086,0,cabultra,2018-12-05T19:46:42Z,"melodic rap","Scumgang Records",0.754,0.728,6,-7.61,0,0.0809,0.0412,0,0.106,0.594,140.007,4
475SvHOt2z2mp5dK2pjSJ8,"Beautiful Smile","Beautiful Smile","Saba,IDK",2018-11-16,171013,30,cabultra,2018-12-05T19:46:52Z,"","Saba Pivot, LLC",0.889,0.596,9,-8.23,0,0.397,0.278,0,0.0798,0.899,97.994,5
72ic9IhRix05fIkRzGGMXD,"Boca Raton (with A$AP Ferg)","Milky Way","Bas,A$AP Ferg",2018-08-24,197306,42,cabultra,2018-12-05T19:46:59Z,"rap","J. Cole/ DreamVille",0.908,0.638,10,-6.663,0,0.221,0.137,0.0000141,0.22,0.388,130.007,4
3OORhRpIhCk21HaJwMAp5t,"Purge","Milky Way","Bas",2018-08-24,186613,41,cabultra,2018-12-05T19:47:03Z,"","J. Cole/ DreamVille",0.908,0.535,7,-8.509,0,0.292,0.632,0,0.214,0.271,115.016,4
3y3U0Ek183gHVBFxO6fFos,"Fragrance (feat. Correy C)","Milky Way","Bas,Correy C",2018-08-24,217200,26,cabultra,2018-12-05T19:47:14Z,"","J. Cole/ DreamVille",0.749,0.569,1,-5.457,1,0.0529,0.076,0,0.122,0.545,138.054,4
6eb1IXdlTOyMbYIf52IUE1,"Sanufa","Milky Way","Bas",2018-08-24,165480,24,cabultra,2018-12-05T19:47:34Z,"","J. Cole/ DreamVille",0.816,0.629,6,-8.071,0,0.0757,0.013,0.0939,0.0835,0.803,118.611,4
0K4e9NIV1jrA0BajMFzOgd,"Infinity+2 (feat. Correy C)","Milky Way","Bas,Correy C",2018-08-24,114333,23,cabultra,2018-12-05T19:47:46Z,"","J. Cole/ DreamVille",0.807,0.505,0,-7.083,0,0.0552,0.181,0,0.176,0.266,120.06,4
3PXKM37YCejbgpRXQwoQ71,"Designer","Milky Way","Bas",2018-08-24,173906,26,cabultra,2018-12-05T19:47:51Z,"","J. Cole/ DreamVille",0.716,0.59,3,-7.076,0,0.456,0.504,0,0.108,0.482,93.896,4
5hwUsRKvnO5yThjVrxHQVt,"Unbothered","STOKELEY","Ski Mask The Slump God",2018-11-30,138426,64,cabultra,2018-12-05T19:47:54Z,"","Republic Records",0.884,0.445,1,-10.58,0,0.418,0.222,0,0.112,0.848,125.008,4
74lnM5V6ecvoTPV0fvptx9,"Nuketown (feat. Juice WRLD)","STOKELEY","Ski Mask The Slump God,Juice WRLD",2018-11-30,166400,66,cabultra,2018-12-05T19:47:57Z,"melodic rap,emo rap","Republic Records",0.808,0.617,10,-9.32,0,0.442,0.111,0,0.734,0.632,149.96,4
3clpchqQ6A3p8jjPgKdhk0,"Cat Piss (feat. Lil Yachty)","STOKELEY","Ski Mask The Slump God,Lil Yachty",2018-11-30,167040,45,cabultra,2018-12-05T19:48:06Z,"","Republic Records",0.863,0.521,8,-10.355,1,0.447,0.0466,0.00005,0.119,0.373,154.983,4
6qVbXZHjC8zLcc1I0CFgaC,"Busy","Busy","Saba",2018-02-27,202266,16,cabultra,2018-12-05T19:48:15Z,"","Saba Pivot, LLC",0.741,0.451,1,-6.381,1,0.404,0.362,0.00000563,0.0957,0.732,133.995,4
6Gy7rXB6Ku5vIWC7WGWsl3,"KIKA","DUMMY BOY","6ix9ine,Tory Lanez",2018-11-27,136031,0,cabultra,2018-12-05T19:48:19Z,"","Scumgang Records",0.745,0.715,1,-3.368,0,0.245,0.128,0,0.182,0.342,94.513,4
0YTE1RJ69I7UfIxU8Y38NX,"Excited","Excited","Saba",2018-11-30,125213,23,cabultra,2018-12-10T14:04:47Z,"","Saba Pivot, LLC",0.904,0.66,7,-7.64,1,0.0961,0.193,0.0000292,0.285,0.965,137.115,4
2G9R4Rx84h9sZf8SbyeFqn,"Waiting","Waiting","vanta blvck",2018-04-08,168000,24,cabultra,2018-12-10T18:08:22Z,"","vanta blvck",0.477,0.286,0,-12.757,1,0.238,0.865,0.0000293,0.123,0.364,75.429,4
2GyHLJ238fZx2QkQO9v7nV,"Alley Oop (feat. Lil Baby)","Alley Oop","Yung Gravy,Lil Baby",2018-12-14,152186,0,cabultra,2018-12-14T05:21:39Z,"meme rap","Republic Records",0.861,0.499,6,-7.458,1,0.263,0.276,0,0.0971,0.861,122.003,4
