Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3VvBPkc24zC7x05mgJTyGO,"Monody (feat. Laura Brehm)","Monody (feat. Laura Brehm)","TheFatRat,Laura Brehm",2015-11-07,290467,12,fly1nrabbit,2019-03-31T20:26:12Z,"chillstep","Melofaktur UG (Haftungsbeschränkt)",0.526,0.69,1,-3.591,0,0.0351,0.114,0.00216,0.0969,0.224,106.993,4
4yK1b8mONBK1rHeSfcQUae,"Imperium","Imperium","Alan Crown",2018-09-05,279966,4,fly1nrabbit,2019-03-31T20:29:48Z,"cedm","Alan Crown",0.504,0.795,6,-3.251,0,0.042,0.107,0.044,0.0823,0.104,128.138,4
69DI5oRLGlLArJUdcuMFkY,"Swoon","Senses","Daydreamer",2016-06-10,244918,0,fly1nrabbit,2019-03-31T20:30:00Z,"","Seeking Blue",0.526,0.765,0,-3.528,0,0.0359,0.00116,0.87,0.291,0.0949,122.051,4
3RDq3O5pEsYjtwEOpjBuZI,"Cascade","Ember","Kubbi",2015-02-05,259889,33,fly1nrabbit,2019-03-31T20:30:10Z,"","Kubbi",0.478,0.774,8,-6.888,1,0.0326,0.000185,0.548,0.122,0.18,129.153,4
617i6aEXqo8RW7ZsM4yn3q,"Elsewhere","Elsewhere","Define Light,Miles Dominic",2016-05-09,296250,0,fly1nrabbit,2019-03-31T20:30:39Z,"chillstep","Tasty",0.684,0.828,2,-6.423,1,0.0634,0.0128,0.788,0.072,0.217,127.997,4
1sBEF33atndjTPmD2KwIrh,"Level Up","Level Up","Doctor Vox",2015-01-26,203091,16,fly1nrabbit,2019-03-31T20:30:53Z,"","Argofox",0.687,0.722,11,-4.662,0,0.0369,0.0966,0.822,0.118,0.281,123.012,4
0jTWJLIyKrqxqTBCO0nkwh,"Swiggity","Swiggity","IZECOLD",2016-01-14,232542,27,fly1nrabbit,2019-03-31T20:31:00Z,"future house","IZECOLD",0.738,0.862,1,-6.042,0,0.0465,0.069,0.825,0.0748,0.733,128.024,4
7IQlAvN8vNQb6nL5mjNQSC,"Beautiful Heartbeat - Deorro Remix","Beautiful Heartbeat","MORTEN,Frida Sundemo,Deorro",2016-01-15,275342,0,fly1nrabbit,2019-03-31T20:32:00Z,"melbourne bounce,electro house","ICONS Music",0.84,0.616,2,-7.486,0,0.0643,0.0605,0.03,0.116,0.348,130.037,4
3g2bxcEJt6xgL3SDrSMMDU,"Don't Fake the Funk.","Don't Fake the Funk.","Funklow.",2016-02-22,234266,13,fly1nrabbit,2019-03-31T20:32:39Z,"future house,bass house","Future's Finest & Futurized Recordings",0.7,0.877,9,-4.062,0,0.0364,0.0157,0.086,0.231,0.248,125.037,4
7t7M7qD2xy6SoWzuL5kNNk,"Travelling Light","Senses","Daydreamer",2016-06-10,466140,0,fly1nrabbit,2019-03-31T20:32:50Z,"","Seeking Blue",0.585,0.546,2,-6.324,0,0.0912,0.0181,0.726,0.11,0.0307,115.019,4
6uuKqXlHRwG5eqELtJXRSj,"Number One","Number One","Snocker,Caroline Lowery",2017-03-29,210279,0,fly1nrabbit,2019-03-31T20:32:59Z,"","Kitsune Musique Singles",0.689,0.771,2,-5.01,0,0.0327,0.0603,0.000408,0.52,0.85,129.978,4
5pw4knytyPaib76XgMcXKU,"Metamorphosis","Rising","tiasu",2015-04-24,239178,10,fly1nrabbit,2019-03-31T20:33:07Z,"","tiasu",0.452,0.964,8,-3.95,1,0.0412,0.00000392,0.926,0.288,0.258,145.971,4
1DVyTzw0A7ufg00SJIDAqe,"Pages","Senses","Daydreamer",2016-06-10,197728,0,fly1nrabbit,2019-03-31T20:33:15Z,"","Seeking Blue",0.586,0.784,6,-4.231,0,0.0706,0.000229,0.000101,0.0952,0.13,140.013,4
1YX1d1YyySLzqqNuSYdN1h,"Under the Moonlight","The Arcade Dream","Shirobon",2014-08-19,205714,0,fly1nrabbit,2019-03-31T20:33:27Z,"","Shirobon Recordings",0.773,0.9,7,-5.466,0,0.0541,0.0687,0.00251,0.149,0.175,140.02,4
0epEwovew12kGta9R4bD1J,"Flavour","Flavour","Itro",2016-03-24,148192,21,fly1nrabbit,2019-03-31T20:33:36Z,"","Itro",0.578,0.842,7,-4.568,0,0.0551,0.00935,0.817,0.266,0.305,159.956,4
