Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0Z23yVp0oSHPQYYUqyRhlV,"Just a Sec","Her","eery",2016-01-01,114743,0,cabultra,2021-07-23T14:54:03Z,"lo-fi,j-dance","eery",0.707,0.371,2,-10.096,1,0.0548,0.446,0.37,0.126,0.818,93.927,4
5r6in0HB9ErYg57FTlMY4y,"Whenever It Rains, I Feel so Free","Harbor","Tomppabeats",2016-05-06,62857,0,cabultra,2021-07-23T14:54:37Z,"lo-fi,lo-fi beats,vaporwave","VinDig",0.784,0.406,10,-11.5,1,0.0455,0.401,0.904,0.172,0.67,84.016,4
2hwfQQTiTeqhcyyFfnp7ev,"it rains a lot here","nowhere ep","autumn keys",2015-09-21,157652,0,cabultra,2021-07-23T14:55:16Z,"lo-fi beats,lo-fi","Repost Network",0.702,0.34,0,-12.374,1,0.719,0.857,0.321,0.152,0.268,155.845,4
2P7FxYnKo97dAiVc2BTXzT,"Welcome","For Her","wüsh",2016-11-04,111909,0,cabultra,2021-07-23T14:55:36Z,"lo-fi beats,lo-fi","VinDig",0.594,0.182,5,-12.539,1,0.131,0.937,0.329,0.0982,0.532,81.071,4
3PqWJMsNn4yh9lFqBbYhuE,"Sorry for Not Answering the Phone I'm Too Busy Trying to Fly Away","Let's Go","In Love With a Ghost",2017-10-23,132413,39,cabultra,2021-07-23T14:55:55Z,"lo-fi","In Love With A Ghost",0.476,0.161,1,-16.368,1,0.212,0.847,0,0.0331,0.33,96.69,5
2Csg0XMPdNmHLozWODtsQq,"I Was Feeling Down, I Found a Nice Witch and We're Friends","Healing","In Love With a Ghost",2017,230243,38,cabultra,2021-07-23T14:56:22Z,"lo-fi","In Love With a Ghost",0.585,0.375,1,-13.428,1,0.116,0.633,0.848,0.159,0.375,85.459,4
7xRfZ4bQgEg60LQa3vgx02,"I Know It's Not Easy but You're Not Alone Anymore","Healing","In Love With a Ghost",2017,142759,32,cabultra,2021-07-23T14:56:37Z,"lo-fi","In Love With a Ghost",0.728,0.504,0,-12.355,1,0.042,0.946,0.928,0.202,0.547,111.015,4
0GbSslWDNItJQPA788gr20,"Healing","Healing","In Love With a Ghost",2017,247484,32,cabultra,2021-07-23T14:56:46Z,"lo-fi","In Love With a Ghost",0.721,0.6,11,-13.97,0,0.178,0.908,0.905,0.799,0.791,96.974,4
4yQluMXsIRql36ErBHux2f,"you were good to me - shallou remix","you were good to me (shallou remix)","Jeremy Zucker,Chelsea Cutler,Shallou",2020-06-12,229205,33,cabultra,2021-07-23T14:57:53Z,"","Republic Records",0.358,0.435,2,-9.198,1,0.0717,0.173,0.00106,0.0986,0.336,155.908,4
0q1HyM33LoTTdUOTF5CoeW,"Stay With Me","Stay With Me","informal.",2021-05-25,182748,14,cabultra,2021-07-23T14:58:20Z,"stutter house","informal.",0.734,0.582,0,-7.809,1,0.0649,0.0608,0.00801,0.148,0.467,112.055,4
0jkaVZIYepDPnB140eR1Uc,"Spiritual State (feat. Uyama Hiroto)","Spiritual State","Nujabes,Uyama Hiroto",2011-12-03,391893,42,cabultra,2021-07-23T15:15:20Z,"jazz rap,nu jazz","Hydeout Productions",0.59,0.396,0,-12.62,1,0.0411,0.829,0.0207,0.28,0.518,99.971,3
0GR0uFHhHoOA9mYToXhZ42,"Rainyway Back Home","Spiritual State","Nujabes",2011-12-03,156480,35,cabultra,2021-07-23T15:15:42Z,"jazz rap","Hydeout Productions",0.739,0.578,0,-10.005,0,0.0307,0.0472,0.949,0.114,0.963,92.011,4
6HdAw1lbXOaLNQw18s6yds,"Prayer","Spiritual State","Nujabes",2011-12-03,209266,34,cabultra,2021-07-23T15:16:05Z,"jazz rap","Hydeout Productions",0.737,0.75,8,-8.047,0,0.0509,0.672,0.85,0.126,0.559,92.962,4
1pxdPSITU316wZ68CUbLaY,"Luv (sic) pt4 Instrumentals","Luv(sic) Hexalogy","Nujabes",2015-12-09,310733,33,cabultra,2021-07-23T15:17:00Z,"jazz rap","Hydeout Productions",0.807,0.45,1,-7.447,1,0.0416,0.623,0.886,0.0942,0.876,93.992,4
2tuk3PezhFMV8fBB433tV0,"Swept Away","Origin","Vanilla",2015-09-20,239952,0,cabultra,2021-07-23T15:19:44Z,"lo-fi beats","VinDig",0.728,0.668,2,-8.361,1,0.0406,0.0231,0.76,0.124,0.598,92.03,4
3DoBjJhtoimEBIzRrOYgfN,"All in My Mind","Origin","Vanilla",2015-09-20,237978,0,cabultra,2021-07-23T15:20:12Z,"lo-fi beats","VinDig",0.465,0.763,7,-9.272,1,0.12,0.0132,0.343,0.613,0.577,177.971,4
5tmciBMKDP0Nea9v9BAqAu,"Arrow","Origin","Vanilla",2015-09-20,207500,0,cabultra,2021-07-23T15:20:22Z,"lo-fi beats","VinDig",0.852,0.578,5,-5.033,0,0.0757,0.826,0.903,0.114,0.876,95.001,4
3DoBjJhtoimEBIzRrOYgfN,"All in My Mind","Origin","Vanilla",2015-09-20,237978,0,cabultra,2021-07-23T15:21:39Z,"lo-fi beats","VinDig",0.465,0.763,7,-9.272,1,0.12,0.0132,0.343,0.613,0.577,177.971,4
1laTB9mM7xUMITu6eN8Dmv,"Traveller","Origin","Vanilla",2015-09-20,299987,0,cabultra,2021-07-23T15:22:26Z,"lo-fi beats","VinDig",0.665,0.516,0,-9.991,1,0.0542,0.606,0.882,0.0966,0.374,91.006,4
6ZCX0eFGOHwzjfUymaIQd3,"Lotus","Lotus","Vexento",2021-06-25,226961,18,cabultra,2021-07-23T15:23:11Z,"chillstep","Vexento",0.676,0.54,1,-8.798,0,0.0487,0.763,0.824,0.116,0.966,146.03,4
1POVblBrmeQizGKDdL4skw,"Lovely Dance","Lovely Dance","Vexento",2021-04-16,240809,10,cabultra,2021-07-23T15:23:59Z,"chillstep","Vexento",0.509,0.576,8,-9.039,0,0.0791,0.00309,0.000209,0.117,0.238,112.011,4
5Ea0GShjTA9svZzFwjSrop,"Shifting Winds","Shifting Winds","Vexento",2020-12-04,297278,18,cabultra,2021-07-23T15:24:10Z,"chillstep","Vexento",0.665,0.351,7,-10.541,1,0.0348,0.32,0.0000978,0.213,0.182,107.967,4
1Sk7VKf0e7yuznkVCTWPgZ,"Sakura","Sakura","Vexento",2019-08-02,223053,16,cabultra,2021-07-23T15:24:30Z,"chillstep","Vexento",0.765,0.498,2,-9.558,0,0.0401,0.387,0.863,0.128,0.683,139.974,4
