Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3DRDBFh14bHqSttHxYJFF7,"Little Too Close (feat. Veronika Redd)","Chase It EP","WRLD,Veronika Redd",2015-08-24,244889,0,cabultra,2021-07-10T17:22:56Z,"future bass","Monstercat",0.654,0.749,10,-4.711,1,0.0325,0.0313,0.00181,0.122,0.354,94.989,4
4DHkzbZSWxsCsvRoEzr28A,"Years Of War","Worlds","Porter Robinson,Breanne Düren,Sean Caskey",2014-08-08,236053,43,cabultra,2021-07-10T17:23:20Z,"edm,electronic","Astralwerks (ASW)",0.517,0.74,11,-5.059,1,0.0341,0.00574,0.00179,0.109,0.174,110.001,4
6BivCuyKJtgLa9ooFsvUoZ,"Flicker","Worlds","Porter Robinson",2014-08-08,279000,42,cabultra,2021-07-10T17:23:46Z,"edm,electronic","Astralwerks (ASW)",0.589,0.713,10,-3.756,0,0.0976,0.0331,0.000411,0.178,0.547,92.018,4
0AnJGlNdR56Hco4c2f4IYz,"Polygon Dust","Worlds","Porter Robinson,Lemaitre",2014-08-08,209466,37,cabultra,2021-07-10T17:23:58Z,"edm,electronic,norwegian pop,nu disco","Astralwerks (ASW)",0.482,0.757,0,-3.387,0,0.042,0.0297,0,0.0819,0.412,95.002,4
3XDTQGGczAeXqzWiVGQ8fe,"By Design","By Design","WRLD",2016-08-03,286785,38,cabultra,2021-07-10T17:25:21Z,"future bass","Monstercat",0.569,0.851,11,-2.875,0,0.0488,0.0429,0.00039,0.12,0.348,175.066,4
7fexuK3DlpbjESFLcZ0x72,"Glimmer of Hope","Obsidian","Tevvez",2020-02-14,176280,0,cabultra,2021-07-10T17:26:54Z,"hardstyle","965104 Records DK",0.385,0.576,4,-8.443,0,0.0286,0.147,0.94,0.161,0.0374,145.068,4
6zdjAwvYs3c5abPH76hzti,"Greek Gods","Obsidian","Tevvez",2020-02-14,200662,10,cabultra,2021-07-10T17:27:02Z,"hardstyle","965104 Records DK",0.454,0.769,4,-8.471,1,0.0287,0.0346,0.845,0.113,0.132,149.91,4
2HKXbQ5o3g3gJiyAHL5bD8,"Pressure","Obsidian","Tevvez",2020-02-14,221955,0,cabultra,2021-07-10T17:27:14Z,"hardstyle","965104 Records DK",0.277,0.56,8,-8.127,1,0.0337,0.00318,0.0189,0.0875,0.149,139.411,4
3BrjDL7NEUuvwGOhG10O0e,"Mystique","Divinity","Tevvez",2019-08-01,181156,48,cabultra,2021-07-10T17:27:23Z,"hardstyle","965104 Records DK",0.435,0.543,11,-9.133,0,0.0489,0.0708,0.0000569,0.27,0.205,154.136,3
4WwchJUQ3LeVaJlWqF3FYE,"You & I","Two Hearts","Dabin,Jenna Pemkowski",2017-03-31,248000,16,cabultra,2021-07-10T17:28:42Z,"melodic bass,future bass,edm,chillstep","Kannibalen Records",0.542,0.861,8,-5.338,1,0.106,0.0568,0.00000309,0.101,0.271,119.958,4
1nG5qFREfWxBoRdG5jBKPk,"Genesis","REBIRTH","k?d",2020-12-04,259812,0,cabultra,2021-07-10T17:29:19Z,"future bass","k?d",0.363,0.881,0,-2.973,1,0.075,0.035,0.0114,0.174,0.0391,170.037,4
5rXd2EilyuO9YyKXNhM1Tg,"Alright","Alright","Stupead",2017-01-13,185066,20,cabultra,2021-07-10T17:29:43Z,"","Majestic Casual Records",0.774,0.808,0,-5.929,1,0.328,0.318,0.000511,0.26,0.518,124.034,4
4XFMaZTEmNvsmKeQUxCfQ4,"Knife (Tofû Remix)","Knife (Tofû Remix)","Nola Wren,Kill Dave,tofû",2016-11-18,205090,7,cabultra,2021-07-10T17:30:05Z,"future bass","Nola Wren",0.504,0.876,1,-2.992,0,0.062,0.26,0,0.38,0.17,109.918,4
67gJhvWsqxw39MhKMV2fOm,"Unrequited","Unrequited","Módl,Clare Szembek",2016-11-25,256918,0,cabultra,2021-07-10T17:30:48Z,"chillstep","Ostereo Limited",0.523,0.569,2,-9.477,0,0.0375,0.464,0.000046,0.259,0.215,140.005,4
60MK5MewocGQELIu2oCTgD,"Fly","Fly (feat. Caiti Patton)","Egzod,Caiti Patton",2017-02-10,212560,13,cabultra,2021-07-10T17:31:15Z,"","Spirited",0.532,0.884,0,-5.961,0,0.0593,0.229,0,0.128,0.27,81.84,4
2slzepVFBJoYTa5lTWQXGO,"Lose Myself","Lose Myself","k?d,Phil Good",2017-03-17,230246,0,cabultra,2021-07-10T17:31:32Z,"future bass","ICONS",0.465,0.816,9,-3.399,1,0.0926,0.0125,0.0000363,0.0891,0.343,192.041,4
786ymAh5BmHoIpvjyrvjXk,"Goodbye To A World","Worlds","Porter Robinson",2014-08-08,328506,55,cabultra,2021-07-10T17:32:19Z,"edm,electronic","Astralwerks (ASW)",0.444,0.35,9,-7.194,1,0.0483,0.453,0.109,0.0824,0.0973,95.979,3
69DI5oRLGlLArJUdcuMFkY,"Swoon","Senses","Daydreamer",2016-06-10,244918,0,cabultra,2021-07-10T17:33:04Z,"","Seeking Blue",0.526,0.765,0,-3.528,0,0.0359,0.00116,0.87,0.291,0.0949,122.051,4
3RDq3O5pEsYjtwEOpjBuZI,"Cascade","Ember","Kubbi",2015-02-05,259889,33,cabultra,2021-07-10T17:33:10Z,"","Kubbi",0.478,0.774,8,-6.888,1,0.0326,0.000185,0.548,0.122,0.18,129.153,4
617i6aEXqo8RW7ZsM4yn3q,"Elsewhere","Elsewhere","Define Light,Miles Dominic",2016-05-09,296250,0,cabultra,2021-07-10T17:33:16Z,"chillstep","Tasty",0.684,0.828,2,-6.423,1,0.0634,0.0128,0.788,0.072,0.217,127.997,4
