Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3HMeWrtvCR2WmutkysXt3L,"Gravity","Gravity","Cherry Beach",2018-04-27,166000,0,cabultra,2018-10-12T16:12:50Z,"","Lowly",0.745,0.648,1,-4,1,0.0599,0.194,0,0.113,0.725,104.953,4
2s28youREpz26GtU9PxrM7,"Leaving (feat. Yuna)","Leaving (feat. Yuna)","Ekali,Yuna",2018-08-24,175851,0,cabultra,2018-10-12T16:12:54Z,"future bass,malay,malaysian pop","OWSLA/Big Beat/ATL",0.587,0.668,8,-5.79,0,0.0435,0.222,0,0.0589,0.124,93.974,4
6KBOBK0FQ5Ualqvg4IBAFc,"It'll Be Okay (feat. Helen Tess)","Reasons To","smle,Helen Tess",2015-09-08,246464,0,cabultra,2018-10-12T16:13:00Z,"future bass","SMLE Records",0.579,0.707,6,-6.947,1,0.0608,0.0346,0.000591,0.423,0.309,92.031,4
5eSpXdMMcdQoLNaAnqrX7g,"show me","album1","San Holo",2018-09-21,341475,0,cabultra,2018-10-12T16:13:10Z,"future bass,edm","bitbird",0.474,0.731,0,-5.582,1,0.0406,0.235,0.00536,0.223,0.0876,135.056,4
35uBfGUAmyu9zbiToUBKgF,"surface","album1 coming 9/21","San Holo,Caspian",2018-09-17,362179,0,cabultra,2018-10-12T16:13:14Z,"future bass,edm,post-rock,math rock","bitbird",0.429,0.607,1,-5.907,1,0.041,0.161,0.0024,0.661,0.159,80.029,4
5CEqDo6Sto6riosBsXuA6t,"Altitude","Altitude","Dabin,Fytch",2018-09-28,207310,0,cabultra,2018-10-12T16:13:21Z,"melodic bass,future bass,edm,chillstep,dubstep","Seeking Blue",0.438,0.699,9,-8.022,0,0.0413,0.00639,0.0182,0.115,0.138,144.992,4
6R3PciZdMvvkQGkhpdeL1k,"17 - 6am Remix","17 (Remixes)","MK,KC Lights",2017-12-15,263887,33,cabultra,2018-10-12T16:13:38Z,"house,piano house","Columbia",0.71,0.625,8,-8.331,1,0.0346,0.00393,0.471,0.318,0.139,120.023,4
4m6ObZmZ7wnyrKtmLvlyVE,"Feel It Still - Medasin Remix","Feel It Still (Medasin Remix)","Portugal. The Man,Medasin",2017-05-19,194434,34,cabultra,2018-10-12T16:13:44Z,"future bass","Atlantic Records",0.568,0.463,4,-10.622,1,0.262,0.553,0.00114,0.0858,0.148,157.686,4
0OidLNIUhWSBX2UEXbaqQS,"brighter days","album1","San Holo,Bipolar Sunshine",2018-09-21,236718,0,cabultra,2018-10-12T16:13:52Z,"future bass,edm","bitbird",0.603,0.533,0,-6.742,1,0.0832,0.4,0,0.124,0.282,128.037,4
3DKeq09Kmaqm8lXSsaMFWO,"Into Something","Into Something","smle,Kiddo A.I",2018-05-11,207000,0,cabultra,2018-10-21T23:50:47Z,"future bass","Lowly",0.643,0.777,10,-5.657,0,0.208,0.429,0,0.0701,0.481,159.882,4
6DEDhjTllUrPw29BivTvn2,"Daydream","Daydream feat. Joba","Medasin,Joba",2016-07-14,200838,35,cabultra,2018-12-31T21:16:56Z,"future bass","Medasin",0.466,0.686,3,-8.751,1,0.0602,0.415,0.0706,0.144,0.256,109.553,5
2nhlwA7WJYlx8wYa5NM5fH,"OMG","NOVA","RL Grime,Joji,Chief Keef",2018-07-27,198400,0,cabultra,2019-01-08T00:56:13Z,"edm trap,future bass,drill","WeDidIt Records",0.448,0.627,10,-5.657,0,0.047,0.308,0,0.159,0.37,149.756,4
5W8DSMQe7cbTtKTHY0yEnP,"In Flames","Pyres","Dabin,Lexi Norton",2018-03-30,204782,0,cabultra,2019-01-09T03:17:15Z,"melodic bass,future bass,edm,chillstep,synthwave","Seeking Blue",0.48,0.73,5,-4.352,0,0.0366,0.00841,0,0.103,0.295,91.988,4
3TPyRV7nJUWy6wfyVqTnd5,"need ya (feat. Nevve)","sixteen","pluko,Nevve",2018-08-17,187032,0,cabultra,2019-01-09T03:17:31Z,"stutter house,future bass,melodic bass,edm","Foreign Family Collective",0.607,0.483,2,-8.733,1,0.0748,0.131,0.127,0.0879,0.141,90.939,4
7ctwZqOpwIZT5HjCUyMJ2Q,"Trippin","Trippin","Conro",2018-08-17,211956,24,cabultra,2019-01-09T04:23:22Z,"future bass","Monstercat",0.656,0.767,5,-5.051,0,0.0957,0.0333,0.00437,0.517,0.701,108.954,4
3b71h4RqnMZ4d7UmTOwA0m,"Constellation","Constellation","Win and Woo",2017-07-07,215000,12,cabultra,2019-01-09T04:25:38Z,"","Win and Woo LLC",0.642,0.525,1,-7.715,1,0.052,0.0261,0,0.0985,0.252,96.09,4
2XcG1nMjOCvyVTqx7zw5NA,"Fyl","Love Notes EP","smle,Leanys",2018-06-29,181224,0,cabultra,2019-01-09T12:28:05Z,"future bass,latin indie,latin r&b","Lowly",0.683,0.679,0,-5.473,1,0.167,0.0763,0.00000433,0.13,0.409,98.023,4
5qIajkw5hVu6tITkwxMCJa,"seams","seams","SEAMS",2018-03-01,192075,0,cabultra,2019-01-12T00:13:52Z,"","Lowly Palace",0.557,0.784,4,-4.326,0,0.103,0.285,0,0.121,0.151,145.057,4
2OhU1KU1cqMi2bKC8dNY2g,"Take Me","Take Me","William Black,Matte,RUNN",2018-07-27,192000,0,cabultra,2019-01-12T00:14:13Z,"melodic bass,future bass,edm","Lowly",0.479,0.746,4,-6,1,0.178,0.00914,0.0000338,0.117,0.322,159.99,4
2Y6Z8S4lk9BjP8gxTBJfzO,"Love Residue","Love Notes EP","smle,Jackie's Boy",2018-06-29,176692,0,cabultra,2019-01-20T04:13:23Z,"future bass","Lowly",0.619,0.836,6,-6.373,1,0.455,0.154,0,0.0772,0.206,126.845,4
5cCD7hV1KhN3bbVsD2IaoY,"When My Love Ends","Love Notes EP","smle,Jackie's Boy",2018-06-29,244800,0,cabultra,2019-01-20T04:15:33Z,"future bass","Lowly",0.571,0.522,0,-6.253,0,0.0679,0.347,0,0.168,0.44,149.994,3
6qTpWr6mNtCWaCqohRyvJo,"Overflow (feat. Helen Tess)","Overflow (feat. Helen Tess)","smle,Helen Tess",2017-01-31,216000,37,cabultra,2019-01-20T04:20:21Z,"future bass","Lowly Palace",0.543,0.536,0,-9.187,1,0.129,0.106,0.00024,0.112,0.299,179.941,4
4lzezjVUnL8AU506mCOdhT,"Runnin","Runnin","smle,Nick Smith",2018-11-23,175845,31,cabultra,2019-01-20T04:21:40Z,"future bass","Monstercat",0.71,0.681,8,-6.15,1,0.0941,0.0128,0.0000468,0.232,0.41,116.014,4
6wI3P4Kodcz9prgWZLpe0u,"And Laugh","Reasons To","smle",2015-09-08,234413,0,cabultra,2019-01-20T15:39:35Z,"future bass","SMLE Records",0.66,0.681,2,-6.834,0,0.0472,0.0344,0.409,0.308,0.479,128.024,4
2DKSSnecIue4lGrXsnBCgX,"Every Chance You Get","Reasons To","smle",2015-09-08,208666,0,cabultra,2019-01-20T15:54:38Z,"future bass","SMLE Records",0.304,0.712,3,-5.484,0,0.0572,0.0129,0.00543,0.0603,0.0629,179.861,4
0flwm36fVUw0ZMCSYo9W6l,"Into Something","Love Notes EP","smle,Kiddo A.I.",2018-06-29,207000,0,cabultra,2019-01-20T15:59:14Z,"future bass","Lowly",0.643,0.777,10,-5.657,0,0.208,0.429,0,0.0701,0.481,159.882,4
2tGILnMwXlNkedLAxZ5IDW,"Bad Idea","Bad Idea","smle,Tzar",2018-11-02,172800,15,cabultra,2019-01-20T15:59:46Z,"future bass,future house","Deadbeats",0.65,0.628,0,-9.942,1,0.148,0.0912,0.000299,0.375,0.308,75.001,4
1Y03NajAlGpvury3HLkvwC,"Boys' bop","Boys' bop","Birocratic",2017-08-23,180000,0,cabultra,2019-01-23T00:14:07Z,"lo-fi beats,jazz beats,jazz rap,lo-fi","Chillhop Records",0.58,0.849,9,-6.193,0,0.0473,0.03,0.513,0.097,0.77,88.021,4
4Nh57Fw342k1vz8sCIYpo8,"Right Side Up (feat. Manila Killa & Sophia Black)","Right Side Up (feat. Manila Killa & Sophia Black)","MELVV,Manila Killa,Sophia Black",2019-04-05,216150,12,cabultra,2019-04-29T21:41:20Z,"future bass","Atlantic Records",0.712,0.53,8,-4.683,1,0.0895,0.484,0,0.138,0.495,99.912,4
7FK86IVz2pRQAZbh9ShKgl,"15 Story Jump","15 Story Jump","MEMBA,smle,Ehiorobo",2018-10-19,173727,20,cabultra,2019-07-21T15:20:37Z,"future bass","Monstercat",0.721,0.607,0,-7.283,1,0.253,0.259,0.00155,0.0734,0.554,160.211,4
