Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7LBv83ZQoiqK0KBTrhDYFe,"Ravenlord","Ravenlord","Mystic Prophecy",2011-11-25,247160,36,cabultra,2022-01-09T14:39:59Z,"power metal,speed metal,melodic metal,heavy metal,metal","Massacre Records",0.499,0.891,1,-5.612,1,0.0522,0.000307,0,0.0986,0.302,84.933,4
47aORhHrO1quurbDQp26iH,"Around The Oak","Around The Oak (Demo Version)","Drakum",2010,238912,27,cabultra,2022-01-09T15:04:45Z,"folk metal,pirate metal,power metal,melodic metal,japanese vgm","Record Union",0.186,0.986,9,-2.591,0,0.229,0.0000664,0.000703,0.297,0.204,180.332,4
3ofbnIF89fQgZ1FMAGlTn7,"The Way of Vikings","Jomsviking","Amon Amarth",2016-03-25,311293,1,cabultra,2022-01-09T15:04:50Z,"melodic death metal,folk metal,metal,death metal,pirate metal,melodic metal,heavy metal,power metal","Columbia",0.506,0.944,7,-4.752,1,0.0711,0.0000244,0.322,0.144,0.144,140,4
6GwbC5n24c4SiN3wm3xPUh,"... Where His Ravens Fly..","Tiurida","Falkenbach",2011-01-26,445173,0,cabultra,2022-01-09T15:04:58Z,"folk metal,black metal,pirate metal,folk","Prophecy",0.245,0.822,7,-6.176,1,0.0343,0.00005,0.0108,0.151,0.219,157.659,3
2Tf8pG0gKmDNadeg6n2ZZY,"Northwest Passage","Northwest Passage","Unleash The Archers",2019-08-30,275648,0,cabultra,2022-01-09T15:06:21Z,"power metal,symphonic metal,melodic metal,metal,sea shanties,folk metal,pirate metal","Napalm Records",0.302,0.839,4,-9.004,1,0.134,0.00142,0,0.182,0.325,160.013,4
2LuK1b4aoLoBiZrL0jnfYv,"The Last Stand","The Last Stand","Sabaton",2016-08-19,238517,0,cabultra,2022-01-09T15:24:17Z,"power metal,metal,pirate metal,heavy metal,melodic metal","Nuclear Blast",0.511,0.947,7,-4.917,0,0.0457,0.00443,0,0.117,0.494,104.046,4
3V417nSM4Ilh0Tt5CqustV,"Yggdrasil","Prophecy of Ragnarök","Brothers of Metal",2017-04-01,272292,56,cabultra,2022-01-09T15:29:10Z,"power metal,folk metal,melodic metal,pirate metal,metal,medieval metal,symphonic metal","AFM Records",0.469,0.743,1,-5.57,0,0.0272,0.00222,0.000111,0.276,0.481,86.953,4
6an29bD9C79IMFKB7xUr33,"Crack the Sky","Berserker","Amon Amarth",2019-05-03,229440,0,cabultra,2022-01-09T15:42:53Z,"melodic death metal,folk metal,metal,death metal,pirate metal,melodic metal,heavy metal,power metal","Columbia Local",0.511,0.948,10,-5.024,0,0.0637,0.00154,0.236,0.166,0.341,123.009,4
3KkPHbFi3Rf7BRcRpjLskE,"Battle in the Sky","War of Dragons","Bloodbound",2017-02-24,264560,42,cabultra,2022-01-09T15:44:47Z,"power metal,melodic metal,symphonic metal,metal,heavy metal,speed metal,folk metal","AFM Records",0.446,0.978,9,-3.52,1,0.0985,0.000693,0.00000372,0.393,0.19,159.933,4
2ZZo65CEkA83Q662zNebIP,"Stand Up and Fight","Stand Up and Fight","Turisas",2012-07-13,327587,42,cabultra,2022-01-09T15:56:12Z,"folk metal,pirate metal,power metal,symphonic metal,metal","Century Media",0.169,0.932,9,-6.879,0,0.118,0.00682,0.00000109,0.317,0.267,164.938,3
