Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0AmtCO7OGWwOM4bmBcpFWL,"Masked Heroes","Masked Heroes","Vexento",2014-12-05,211252,35,cabultra,2019-06-16T18:04:04Z,"chillstep","Vexento",0.944,0.734,11,-8.55,1,0.19,0.034,0.712,0.106,0.328,125.013,4
7CfyA5q65wIZdJ6D11dImE,"Masked Raver","Masked Raver","Vexento",2016-11-09,283129,0,cabultra,2019-06-16T18:04:08Z,"chillstep","NCS",0.779,0.531,1,-8.909,0,0.068,0.00355,0.821,0.096,0.212,128.026,4
1xH4kQDDn7254RSbP2YaZq,"Dream Catcher","Dream Catcher","Vexento",2016-01-14,196754,25,cabultra,2019-06-16T18:04:11Z,"chillstep","Vexento",0.61,0.82,6,-13.903,0,0.0364,0.847,0.886,0.0987,0.753,156.017,4
7e0fVBQy0tAi60rMF2hKkr,"Digital Kiss","Digital Kiss","Vexento",2016-06-09,208561,24,cabultra,2019-06-16T18:04:14Z,"chillstep","Vexento",0.83,0.612,4,-9.22,1,0.0413,0.416,0.376,0.115,0.787,121.98,4
5aZUxpQdE8yQZ6xkZXjbIO,"Never Letting Go","Never Letting Go","Vexento",2017-03-17,270288,25,cabultra,2019-06-16T18:04:21Z,"chillstep","Vexento",0.774,0.318,6,-14.623,0,0.0448,0.52,0.6,0.248,0.477,148.989,4
2BMZyjz0Xm47zVuScmiaN8,"Return of the Heroes","Classics 2014 - 2015","Vexento",2018-05-04,189257,19,cabultra,2019-06-16T18:04:32Z,"chillstep","Vexento",0.82,0.567,9,-5.498,1,0.363,0.119,0.00673,0.167,0.786,124.124,4
5LX8vxeivQpGuRScEdMO2Q,"Anesthesia","Classics 2014 - 2015","Vexento",2018-05-04,222098,12,cabultra,2019-06-16T18:04:40Z,"chillstep","Vexento",0.751,0.626,2,-11.567,0,0.0619,0.551,0.754,0.543,0.894,158.049,4
29jfLTSbuSHOpyiC9UvzNo,"Another Life","Classics 2014 - 2015","Vexento",2018-05-04,198066,14,cabultra,2019-06-16T18:04:47Z,"chillstep","Vexento",0.935,0.696,8,-9.321,1,0.225,0.583,0.0497,0.0754,0.3,128.007,4
4ljx5ytZP12lGtbgXKbaAb,"Climb","Classics 2014 - 2015","Vexento",2018-05-04,224072,10,cabultra,2019-06-16T18:04:59Z,"chillstep","Vexento",0.747,0.333,7,-22.4,0,0.0813,0.664,0.16,0.168,0.293,123.033,4
3C3HFA7j1bKuK6MHaFBWiq,"Corallium","Classics 2014 - 2015","Vexento",2018-05-04,217083,8,cabultra,2019-06-16T18:05:04Z,"chillstep","Vexento",0.802,0.897,11,-9.462,0,0.239,0.0612,0.318,0.354,0.479,127.96,4
06M27EzerDjpndMGaruX6E,"Cruisin'","Classics 2014 - 2015","Vexento",2018-05-04,207702,16,cabultra,2019-06-16T18:05:08Z,"chillstep","Vexento",0.566,0.617,9,-8.392,0,0.0417,0.704,0.825,0.0859,0.588,178,4
5hzXBBEGwEfD1GLyoT7pJY,"Game Over","Classics 2014 - 2015","Vexento",2018-05-04,201061,7,cabultra,2019-06-16T18:05:12Z,"chillstep","Vexento",0.892,0.533,9,-9.487,0,0.0664,0.0956,0.709,0.151,0.208,126.045,4
0MKY6UWYrGdrfNdIQLD8C0,"Glad To See You","Classics 2014 - 2015","Vexento",2018-05-04,206889,8,cabultra,2019-06-16T18:05:18Z,"chillstep","Vexento",0.676,0.653,7,-7.408,1,0.0695,0.185,0.82,0.0972,0.841,109.015,4
5JnwztFkWdoHrSGzIgh3bN,"Lonely Dance","Classics 2014 - 2015","Vexento",2018-05-04,207052,31,cabultra,2019-06-16T18:05:26Z,"chillstep","Vexento",0.822,0.459,8,-11.474,0,0.0662,0.868,0.358,0.0917,0.692,117.986,4
1elp4ZKcE3JA7jTt2wpNuO,"Particles","Classics 2014 - 2015","Vexento",2018-05-04,220078,8,cabultra,2019-06-16T18:05:32Z,"chillstep","Vexento",0.821,0.392,3,-10.313,0,0.0654,0.258,0.543,0.217,0.376,118.013,4
