Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Z1qVWjEyUipTbgUKOKuGo,"Nothing Less","futura","Knapsack",2018-09-15,206086,23,cabultra,2022-12-06T21:24:07Z,"future bass","Knapsack",0.579,0.754,7,-3.932,1,0.432,0.121,0.000623,0.309,0.448,147.724,4
18Ex4J57MhJ7ou358jFXFx,"Never Count On Me","Never Count On Me","Haywyre",2019-08-23,197333,38,cabultra,2022-12-06T21:36:25Z,"future bass","Haywyre",0.769,0.76,9,-6.815,0,0.0683,0.193,0.0276,0.137,0.641,89.994,4
3VWn4RSDYyqqJi6YUvd6Gg,"Frozen","Frozen","juuku",2019-08-15,209293,0,cabultra,2022-12-06T22:00:57Z,"future bass,melodic bass","found/red",0.698,0.761,9,-4.654,0,0.102,0.0765,0.309,0.144,0.521,137.995,4
4ZNyHG7vPnQdBMuFFhrfRw,"Sunshine","Galaxies Within Us","Kill Paris",2019-02-14,149343,5,cabultra,2022-12-06T22:01:22Z,"future bass,chillstep","Monstercat",0.646,0.582,4,-5.276,1,0.0469,0.0801,0.478,0.0996,0.312,89.968,4
0gwwwockLkBSW8WiCXaK3H,"Miso & Memories","Miso & Memories","Just A Gent,Xavi,Akira Flay",2020-04-03,244424,16,cabultra,2022-12-06T22:11:17Z,"future bass,melodic bass","Just A Label",0.562,0.726,8,-4.952,1,0.0772,0.00987,0.000817,0.0731,0.551,163.017,4
4m4heF67ZxvO3SyCcz7N57,"Sorrow Doesn't Resurrect","Sorrow Doesn't Resurrect","Ark Patrol",2018-04-19,306000,20,cabultra,2022-12-06T22:34:41Z,"","Nettwerk Music Group",0.451,0.847,4,-5.547,1,0.0924,0.0435,0.258,0.194,0.162,160.064,4
2FUl7D9C2AQyPeQbfrR5BA,"Matrix","futura","Knapsack",2018-09-15,272227,15,cabultra,2022-12-06T22:46:30Z,"future bass","Knapsack",0.618,0.818,1,-4.785,1,0.347,0.387,0.0000635,0.12,0.366,164.069,4
52Ryx3hRYj7xU0em2uEPYE,"Montage","Montage","Super Duper",2019-12-12,162666,20,cabultra,2022-12-06T22:46:42Z,"","Daisy & The Robot",0.453,0.98,2,-3.09,1,0.0737,0.000177,0.518,0.0524,0.599,89.965,4
6lgjHEsvr15RUXCsdib59J,"Snow Shovels","Snow Shovels","DROELOE",2019-04-05,202987,0,cabultra,2022-12-06T23:19:16Z,"future bass","bitbird",0.688,0.627,8,-8.192,0,0.0654,0.00365,0.641,0.107,0.398,91.083,4
3gCF6JWBIyUxkKSA5GjCPR,"With You","Panorama: Form","Haywyre",2019-02-22,271200,24,cabultra,2022-12-06T23:53:39Z,"future bass","Haywyre",0.767,0.77,5,-7.039,1,0.0675,0.232,0.00715,0.226,0.814,99.977,4
3tBdT486lJOCt86O5kP0nE,"SUNDAY SUNDAY","MADE TO MOVE AIR","Losi",2018-12-11,206000,0,cabultra,2022-12-06T23:53:59Z,"future bass","bitbird",0.663,0.907,7,-4.059,1,0.0512,0.0546,0.156,0.109,0.259,120.023,4
7iU2MqqGIZyth9lJVmOoAN,"Forget - Slowed Version","Forget","Hypex",2022-09-24,200852,0,cabultra,2022-12-08T21:48:51Z,"","4390376 Records DK",0.763,0.449,11,-16.307,1,0.0807,0.179,0.959,0.135,0.889,79.992,4
