Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
67ncYmW29pNJJY2yXuLPwT,"You Know How We Do It","Greatest Hits","Ice Cube",2001-12-04,232786,63,cabultra,2024-02-29T04:02:19Z,"gangster rap,west coast hip hop,g-funk","Priority Records",0.743,0.651,10,-6.269,0,0.0343,0.0231,0.00388,0.0851,0.543,92.876,4
52IuMfbQa9aqRPz2oYPAI8,"Express Yourself","Straight Outta Compton","N.W.A.",1988-08-08,265101,56,cabultra,2024-02-29T19:07:45Z,"gangster rap,west coast hip hop,hip hop,rap,g-funk","Priority Records",0.851,0.583,8,-11.022,0,0.286,0.0506,0,0.236,0.956,95.048,4
1B53Y95tPd4ah4FExO0egE,"What They Do","Illadelph Halflife","The Roots",1996-09-24,357200,55,cabultra,2024-02-29T19:15:18Z,"east coast hip hop,hip hop,jazz rap","DGC",0.885,0.414,0,-10.539,1,0.166,0.341,0.000297,0.0891,0.684,92.727,4
4voEoczU7Ijborps9XF1n3,"I Get Around","Strictly 4 My N.I.G.G.A.Z...","2Pac,Digital Underground",1993-02-16,259000,62,cabultra,2024-03-05T13:12:07Z,"gangster rap,west coast hip hop,g-funk,hip hop","Interscope",0.846,0.416,10,-13.767,0,0.118,0.156,0.00000934,0.238,0.645,96.188,4
2qOm7ukLyHUXWyR4ZWLwxA,"It Was A Good Day","The Predator","Ice Cube",1992-11-17,260000,75,cabultra,2024-03-26T20:40:12Z,"gangster rap,west coast hip hop,g-funk","Priority Records",0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4
0cfqYhY6B8PbGF9vaVNUeG,"Hits from the Bong","Black Sunday","Cypress Hill",1993-07-20,160866,61,cabultra,2024-03-26T20:42:09Z,"west coast hip hop,rap rock,hip hop","Columbia",0.803,0.578,1,-13.264,1,0.182,0.0103,0.812,0.199,0.499,92.175,4
37zQVgP3aTLKNvluXLB5Ii,"Picture Me Rollin'","All Eyez On Me","2Pac",1996-02-13,314720,0,cabultra,2024-03-26T20:42:32Z,"gangster rap,west coast hip hop,g-funk,hip hop","Death Row Records",0.832,0.757,7,-4.908,1,0.135,0.029,0,0.463,0.449,95.905,4
1eduDdsjMO7Or4EXnMf2iS,"How Do You Want It","All Eyez On Me","2Pac",1996-02-13,287546,0,cabultra,2024-03-26T20:42:43Z,"gangster rap,west coast hip hop,g-funk,hip hop","Death Row Records",0.763,0.84,8,-3.704,1,0.0929,0.0346,0,0.0601,0.748,92.477,4
6tDxrq4FxEL2q15y37tXT9,"Dear Mama","Me Against The World","2Pac",1995-03-14,280000,65,cabultra,2024-03-26T20:44:15Z,"gangster rap,west coast hip hop,g-funk,hip hop","Interscope",0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,4
1ofhfV90EnYhEr7Un2fWiv,"Changes","Greatest Hits","2Pac,Talent",1998-01-01,268826,70,cabultra,2024-03-26T20:45:11Z,"gangster rap,west coast hip hop,g-funk,hip hop,comedy","2Pac Greatest Hits",0.865,0.665,7,-6.289,1,0.073,0.0453,0,0.224,0.331,111.113,4
7IhsLJMqdxoo7YAZjaSMru,"Dead And Gone","Paper Trail","T.I.,Justin Timberlake",2008-09-07,299746,66,cabultra,2024-03-26T20:45:33Z,"southern hip hop","Grand Hustle, LLC",0.713,0.746,0,-4.99,1,0.259,0.0402,0,0.601,0.47,135.021,4
3NGT0Td7H4Is1qrlDQJxma,"Check Yo Self - Remix","Bootlegs And B-Sides","Ice Cube,Das EFX",1994-11-22,273106,65,cabultra,2024-03-26T20:46:05Z,"gangster rap,west coast hip hop,g-funk,east coast hip hop,hardcore hip hop,boom bap,hip hop","Priority Records",0.934,0.735,1,-6.668,1,0.251,0.031,0.0000086,0.107,0.768,101.368,4
