Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6fNhZRFEkBfgW39W3wKARJ,"Pompeii","Bad Blood","Bastille",2013-01-01,214147,72,cli1csrh97684wluip5gaf93i,2019-12-22T22:06:10Z,"","Virgin Records",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
47Slg6LuqLaX0VodpSCvPt,"Just the Way You Are","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,220734,78,cli1csrh97684wluip5gaf93i,2019-12-22T22:06:18Z,"","Elektra (NEK)",0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,4
4r6eNCsrZnQWJzzvFh4nlg,"Firework","Teenage Dream","Katy Perry",2010-01-01,227893,67,cli1csrh97684wluip5gaf93i,2022-02-06T21:50:46Z,"pop","Capitol Records",0.638,0.831,8,-5.039,1,0.049,0.142,0,0.113,0.649,124.071,4
3w3y8KPTfNeOKPiqUTakBh,"Locked out of Heaven","Unorthodox Jukebox","Bruno Mars",2012-12-07,233478,85,cli1csrh97684wluip5gaf93i,2019-12-22T22:06:25Z,"","Atlantic Records",0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,4
0U10zFw4GlBacOy9VDGfGL,"We Found Love","Talk That Talk","Rihanna,Calvin Harris",2011-11-19,215226,73,cli1csrh97684wluip5gaf93i,2019-12-22T22:06:32Z,"edm","Def Jam Recordings",0.735,0.766,1,-4.485,1,0.0383,0.025,0.00141,0.108,0.6,127.975,4
6ce41JVa6KFaryfmC2bu2W,"22","Red (Big Machine Radio Release Special)","Taylor Swift",2012-10-22,232120,60,cli1csrh97684wluip5gaf93i,2022-02-06T21:50:53Z,"","Big Machine Records, LLC",0.661,0.729,7,-6.561,1,0.0376,0.00215,0.0013,0.0477,0.668,103.987,4
0azC730Exh71aQlOt9Zj3y,"This Is What You Came For","This Is What You Came For","Calvin Harris,Rihanna",2016-04-29,222160,73,cli1csrh97684wluip5gaf93i,2019-12-22T22:06:37Z,"edm","Columbia",0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4
20I6sIOMTCkB6w7ryavxtO,"Call Me Maybe","Kiss","Carly Rae Jepsen",2012-01-01,193400,76,cli1csrh97684wluip5gaf93i,2019-12-22T22:06:44Z,"","Silent Records IGA",0.782,0.58,7,-6.548,1,0.0407,0.0114,0.00000228,0.108,0.66,120.021,4
7BKLCZ1jbUBVqRi2FVlTVw,"Closer","Closer","The Chainsmokers,Halsey",2016-07-29,244960,82,cli1csrh97684wluip5gaf93i,2019-12-22T22:06:53Z,"","Disruptor Records/Columbia",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,4
2Foc5Q5nqNiosCNqttzHof,"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Pharrell Williams,Nile Rodgers,Thomas Bangalter,Guy-Manuel de Homem-Christo,Daft Punk",2013-04-19,248413,74,cli1csrh97684wluip5gaf93i,2019-12-22T22:07:04Z,"french house,electronic,electro","Columbia",0.794,0.811,6,-8.966,0,0.038,0.0426,0.00000107,0.101,0.862,116.047,4
0TDLuuLlV54CkRRUOahJb4,"Titanium (feat. Sia)","Nothing but the Beat (Ultimate Edition)","David Guetta,Sia",2012-12-07,245040,77,cli1csrh97684wluip5gaf93i,2019-12-22T22:07:09Z,"edm,dance","Parlophone (France)",0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,4
5YEOzOojehCqxGQCcQiyR4,"Panda","New English","Desiigner",2016-06-26,246761,63,cli1csrh97684wluip5gaf93i,2019-12-22T22:07:16Z,"","Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",0.576,0.766,10,-4.943,0,0.449,0.0278,0.00000171,0.366,0.236,144.836,4
67awxiNHNyjMXhVgsHuIrs,"Turn Down for What","Turn Down for What","DJ Snake,Lil Jon",2013-12-18,213733,65,cli1csrh97684wluip5gaf93i,2019-12-22T22:07:20Z,"crunk","Columbia",0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,4
2LEF1A8DOZ9wRYikWgVlZ8,"Good Feeling","Wild Ones","Flo Rida",2012-06-22,248133,73,cli1csrh97684wluip5gaf93i,2019-12-22T22:08:00Z,"","Poe Boy/Atlantic",0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,4
7a86XRg84qjasly9f6bPSD,"We Are Young (feat. Janelle Monáe)","Some Nights","fun.,Janelle Monáe",2012-02-21,250626,69,cli1csrh97684wluip5gaf93i,2019-12-22T22:08:10Z,"alternative r&b","Fueled By Ramen",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
6md4w95cnKaW64JyEQ3A0L,"Somebody That I Used To Know","Making Mirrors","Gotye,Kimbra",2011-01-01,244893,60,cli1csrh97684wluip5gaf93i,2019-12-22T22:08:16Z,"","Vertigo Berlin",0.862,0.515,0,-6.897,1,0.0368,0.545,0.000153,0.0899,0.696,129.044,4
0puf9yIluy9W0vpMEUoAnN,"Bang Bang","Sweet Talker (Deluxe Version)","Jessie J,Ariana Grande,Nicki Minaj",2014-10-10,199386,75,cli1csrh97684wluip5gaf93i,2019-12-22T22:08:26Z,"pop","Lava Music/Republic Records",0.706,0.786,0,-3.417,0,0.091,0.26,0,0.38,0.751,150.028,4
