Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7BDPv8Z4CzJFRnwWmB6C8y,"Osmosis","Good Kid 3","Good Kid",2023-04-14,173122,54,,2025-03-08T14:02:22Z,"","Good People Record Co.",0.474,0.954,9,-4.348,1,0.0347,0.0000121,0.00000117,0.174,0.944,95.008,4
1DRLIUG8HFTBfJOFYaByZn,"FORMATIONS","MOOD","Mild Minds",2020-03-13,177089,63,,2025-03-08T14:02:22Z,"stutter house","Counter Records",0.765,0.727,4,-8.444,0,0.0768,0.361,0.0741,0.0983,0.0961,114.022,4
13DsMjwgdejt6CSsmkLTYF,"Peace and Tranquility","A Hat in Time (Seal the Deal + Nyakuza Metro)","Pascal Michael Stiefel",2019-05-30,180114,40,,2025-03-08T14:02:22Z,"electro swing","Gears for Breakfast",0.681,0.601,11,-10.91,0,0.0309,0.0414,0.865,0.106,0.726,128,3
4BdGO1CaObRD4La9l5Zanz,"Sit Next to Me","Sacred Hearts Club","Foster The People",2017-07-21,243146,67,,2025-03-08T14:02:22Z,"","Columbia",0.638,0.738,6,-4.976,0,0.0292,0.117,0.000384,0.689,0.657,97.021,4
2Ott81LnxNjDvsmgMu6KlX,"The Notebooks","Stray (Original Soundtrack)","Yann Van Der Cruyssen",2022-07-19,223500,39,,2025-03-08T14:02:22Z,"","Annapurna Interactive",0.438,0.0984,4,-23.931,0,0.0842,0.961,0.939,0.0931,0.0756,179.999,3
1NgPbytuaDH8onN25Th7tW,"Endless Velocity","Endless Velocity","C418",2025-02-19,344500,42,,2025-03-08T14:02:22Z,"","C418",0.768,0.763,5,-8.296,1,0.0423,0.333,0.868,0.106,0.442,99.987,4
2QbTsEUF97LixvDbyKUdCj,"Maybes - RAC Mix","Too Real (Remixes)","Giraffage,Japanese Breakfast,RAC",2017-12-05,234970,47,,2025-03-08T14:02:22Z,"chillwave,future bass","Counter Records",0.569,0.791,6,-6.757,1,0.0355,0.143,0.655,0.109,0.298,139.78,4
25lTenJPmSfwCRZi2hjCcB,"Outer Wilds","Outer Wilds (Original Soundtrack)","Andrew Prahlow",2019-06-01,146628,48,,2025-03-08T14:02:22Z,"","Annapurna Interactive",0.591,0.445,9,-7.681,1,0.0271,0.383,0.755,0.2,0.332,92.017,4
5ZI2uKHpKza44XVsRZy7lM,"For Me - VIP","Where U Are (Deluxe)","Throttle",2022-05-10,180960,28,,2025-03-08T14:02:22Z,"future house","Monstercat",0.625,0.788,9,-4.335,0,0.0422,0.026,0.00177,0.214,0.242,125.019,3
4K0odcECsBvgzv9Lr9z4kd,"Aria Math","Minecraft - Volume Beta","C418",2013-11-09,310000,63,,2025-03-08T14:02:22Z,"","C418",0.523,0.456,4,-13.393,0,0.0623,0.754,0.915,0.0966,0.542,167.999,4
4oZnV1W54b1TIn96i0KIwV,"Let Go","Let Go","Duskus",2022-04-21,126043,56,,2025-03-08T14:02:22Z,"stutter house,future bass","Broken Levee",0.793,0.564,9,-11.307,1,0.125,0.311,0.914,0.203,0.399,133.054,4
7lWq5e0EmI3NjGwkjpYzLS,"Chrome Rain","Z-15 Astra","The Luna Lounge",2024-10-22,218453,2,,2025-03-08T14:02:22Z,"","outlawspaceman",0.646,0.303,6,-16.136,1,0.0834,0.643,0.943,0.121,0.659,91.989,4
5XenmQbIEW1ZZIk8mhzZlr,"9-Bit Expedition","Fastfall (Dustforce Original Game Soundtrack)","Lifeformed",2012-01-24,180000,25,,2025-03-08T14:02:22Z,"","LOOPDISK",0.567,0.794,4,-10.321,1,0.0297,0.0362,0.842,0.0958,0.527,139.989,4
2y8PnhXwnyHTxe72TtY58e,"Remind Me","Melody A.M.","Röyksopp",2001-08-22,219560,47,,2025-03-08T14:02:22Z,"downtempo,electronica,trip hop","Parlophone (France)",0.865,0.384,10,-11.953,1,0.0577,0.024,0.434,0.0682,0.852,122.48,4
2Ob2E0owyR8gdF0YGf0fZp,"Joypunks","Superdream","Big Wild",2019-02-01,195491,41,,2025-03-08T14:02:22Z,"","Counter Records",0.694,0.669,7,-5.748,1,0.0328,0.0382,0.021,0.0975,0.338,121.987,4
2Zo1PcszsT9WQ0ANntJbID,"Feather","emails i can’t send fwd:","Sabrina Carpenter",2023-03-17,185552,80,,2025-03-08T14:02:22Z,"","Island Records",0.791,0.694,6,-4.332,0,0.0335,0.0736,0.00000175,0.0958,0.826,123.508,4
6hwRU3agj1D3XwHlKM9wsv,"Sunset Breakfast","Tunic (Original Game Soundtrack)","Lifeformed,Janice Kwan",2022-03-16,84000,41,,2025-03-08T14:02:22Z,"","LOOPDISK",0.587,0.197,1,-24.413,1,0.0431,0.917,0.94,0.103,0.167,119.984,3
3iRoXGFrF8O0jTul6LAmus,"Under Your Spell","April Mixtape 3","Snow Strippers",2023-05-05,218500,75,,2025-03-08T14:02:22Z,"electroclash,witch house","SURF GANG RECORDS",0.582,0.986,11,-4.492,0,0.0585,0.00391,0.0000925,0.789,0.744,144.958,4
1nzut4USzei148WgwHmPxH,"Black Lagoon","Slow Air","Still Corners",2018-08-17,333613,51,,2025-03-08T14:02:22Z,"dream pop","Wrecking Light Records",0.61,0.764,11,-8.649,0,0.0299,0.0184,0.75,0.182,0.0791,133.032,4
68alSxcK8cSx8NRavNKPTE,"Inside the Wall","Stray (Original Soundtrack)","Yann Van Der Cruyssen",2022-07-19,199275,38,,2025-03-08T14:02:22Z,"","Annapurna Interactive",0.185,0.0732,9,-25.869,1,0.0446,0.873,0.873,0.0636,0.0597,77.952,4
