Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3qxoSrPyHL8UOiTh12SRuC,"Work My Body","Safer Place / Work My Body","Carola",2023-06-22,157440,18,cabultra,2023-07-28T17:06:14Z,"brazilian bass","Monstercat",0.695,0.969,11,-5.183,0,0.0666,0.0551,0.784,0.293,0.427,125.016,4
4kqikvllN5GRPrxf9vQ1SR,"Feel Again","Journey To Ascendance","YULA",2022-11-18,195737,26,cabultra,2023-07-28T17:07:31Z,"","Monstercat",0.612,0.834,1,-6.34,1,0.0426,0.0947,0.324,0.138,0.182,122.123,4
4yJmqZJmrXOiY3i8eWoxxq,"Take It Away","Take It Away","Koven",2022-05-05,226895,30,cabultra,2023-07-28T17:08:50Z,"drum and bass,liquid funk,drumstep,chillstep","Monstercat",0.34,0.928,0,-3.172,0,0.0623,0.000138,0.0143,0.11,0.0673,173.943,4
1J15tGDCHgJzbfAsF6Pq5h,"Bloom - VIP","Where U Are (Deluxe)","Throttle",2022-05-10,215272,26,cabultra,2023-07-28T17:09:27Z,"future house","Monstercat",0.465,0.839,8,-4.477,1,0.0362,0.00305,0.284,0.102,0.223,165.073,4
5ZI2uKHpKza44XVsRZy7lM,"For Me - VIP","Where U Are (Deluxe)","Throttle",2022-05-10,180960,28,cabultra,2023-07-28T17:09:46Z,"future house","Monstercat",0.625,0.788,9,-4.335,0,0.0422,0.026,0.00177,0.214,0.242,125.019,3
7detTFsv31gyHyCTeMTMi8,"Nirvana","Nirvana","Candyland",2022-03-18,195200,30,cabultra,2023-07-28T17:10:32Z,"future house,dubstep","Monstercat",0.642,0.809,11,-3.698,0,0.0828,0.462,0.00000121,0.126,0.619,149.94,4
5ids0N0UPvFHDYDtvDgVCl,"Lost & Found","Lost & Found","Feint,R7CKY,Skyelle",2022-02-21,237262,33,cabultra,2023-07-28T17:10:44Z,"chillstep,drum and bass,liquid funk,drumstep,dubstep","Monstercat",0.434,0.801,5,-2.686,0,0.0561,0.00876,0.00319,0.0731,0.304,173.966,4
7l0kSGrXkowieK0HFraLF2,"Change","Change","hayve,Skyelle",2021-10-07,215314,35,cabultra,2023-07-28T17:11:24Z,"drum and bass,drumstep","Monstercat",0.438,0.895,1,-5.216,1,0.0537,0.000616,0.0013,0.201,0.0514,175.002,4
6SNsDtqciP7SEJHPELyCl4,"Orbit","The Taste/Orbit","ellis",2021-04-09,203793,20,cabultra,2023-07-28T17:11:34Z,"future house","Monstercat",0.729,0.804,2,-4.451,1,0.0515,0.156,0.00645,0.136,0.61,116.008,4
5IPNnqPAvdVEcYanVKihca,"Eternal","Eternal","Athena,smle",2021-08-06,213677,40,cabultra,2023-07-28T17:11:40Z,"future bass","Monstercat",0.679,0.831,4,-6.633,1,0.194,0.247,0.00000825,0.217,0.787,155.041,4
5pqaZzkZ5AnjZs5AV3Bnvn,"INERTIA","INERTIA","F.O.O.L,Caster",2021-09-23,223326,28,cabultra,2023-07-28T17:12:02Z,"synthwave,deathstep,dubstep,bass music","Monstercat",0.418,0.918,7,-3.814,0,0.106,0.000941,0.0903,0.103,0.258,154.951,4
2ktaGvlb0uE3tUQXy2oXoo,"Scared","Scared","SABAI,Olivia Ridgely",2021-08-20,170000,45,cabultra,2023-07-28T17:12:09Z,"melodic bass,future bass,edm","Monstercat",0.712,0.798,11,-4.635,0,0.0392,0.00604,0.00000532,0.111,0.488,125.942,4
2yzcXy1fn6G9svWkqXWLE4,"Collapse","Collapse","KUURO,hayve,imallryt",2021-05-27,171428,30,cabultra,2023-07-28T17:12:26Z,"dubstep,drum and bass,drumstep,chill house,tropical house","Monstercat",0.319,0.835,7,-4.92,0,0.124,0.00929,0.0000703,0.111,0.0853,139.69,4
4mRgaiyw6w8MBgkUR6qcMX,"Shadow","Shadow","Bossfight,JT Roach,RUNN",2021-10-28,260000,32,cabultra,2023-07-28T17:12:32Z,"dubstep,deathstep,melodic bass,future bass,edm","Monstercat",0.465,0.894,8,-3.225,1,0.0804,0.00127,0.00000518,0.554,0.181,149.993,4
3ousqyeuUtGWL20gZLrgGB,"Night Runners","Night Runners","EDDIE,Voicians",2021-06-03,217500,29,cabultra,2023-07-28T17:12:47Z,"drum and bass,liquid funk,electronic rock","Monstercat",0.524,0.704,11,-7.607,0,0.0444,0.0184,0.00452,0.323,0.185,128.011,4
5GgiDYTRlUqnl0v0kCSgeH,"The Taste","The Taste/Orbit","ellis",2021-04-09,182000,40,cabultra,2023-07-28T17:12:56Z,"future house","Monstercat",0.821,0.535,7,-4.462,1,0.0441,0.288,0.000271,0.138,0.53,119.952,4
5jnoK2o5jY46qhPR30RepX,"Move On","Move On","Grant,Emily Vaughn",2021-04-23,182250,39,cabultra,2023-07-28T17:13:14Z,"future bass,melodic bass","Monstercat",0.492,0.812,8,-5.446,1,0.119,0.132,0,0.26,0.607,80.281,4
1y6ZCzDYOkXXq5o7BUkbIi,"Your Spell","Somewhere New","Bad Computer",2021-04-15,184177,32,cabultra,2023-07-28T17:13:20Z,"","Monstercat",0.797,0.625,8,-5.861,0,0.0575,0.127,0.478,0.297,0.533,127.953,4
3nwV50Jh5HJ2AGe9HFVik8,"My Mind","Introspection","Tony Romera,Karina Ramage",2021-09-09,186000,29,cabultra,2023-07-28T17:13:29Z,"bass house,tech house,g-house,liquid funk,drum and bass","Monstercat",0.559,0.787,11,-2.794,0,0.0676,0.0172,0,0.408,0.254,99.952,4
4TXjpUyeao6glOJfVARWi3,"Enter REM","Enter REM","OBLVYN",2021-08-27,161036,25,cabultra,2023-07-28T17:13:44Z,"melodic bass,future bass","Monstercat",0.546,0.674,6,-8.654,1,0.0563,0.031,0.355,0.202,0.196,155.101,4
5dkTQlAVdA49mAXQSS5P9t,"Good 4 Me","Good 4 Me / Union","Vindata",2021-02-16,204631,34,cabultra,2023-07-28T17:14:04Z,"future bass","Monstercat",0.754,0.804,10,-3.02,0,0.0404,0.061,0.3,0.105,0.748,94.99,4
43aktSsHN3Pgu0dzw3BS5W,"Memory Bank","Memory Bank","Dyro,Conro",2021-05-21,159788,43,cabultra,2023-07-28T17:14:08Z,"electro house,big room,edm,future bass","Monstercat",0.687,0.588,7,-8.861,1,0.0374,0.00104,0.00244,0.124,0.407,114.874,4
