Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7GX5flRQZVHRAGd6B4TmDO,"XO Tour Llif3","Luv Is Rage 2","Lil Uzi Vert",2017-08-25,182706,75,cabultra,2018-01-16T00:39:09Z,"melodic rap","Generation Now/Atlantic",0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,4
6HEIBHUirx1J0JkUD24szt,"Water","Water","Ugly God",2016-11-18,139674,40,cabultra,2018-01-16T00:39:17Z,"","Asylum",0.8,0.297,0,-13.1,0,0.407,0.66,0.000111,0.105,0.213,140.051,4
1gGsNNUfvVMOv4llVMg8Vg,"Ps & Qs","Lil Uzi Vert vs. The World","Lil Uzi Vert",2016-05-27,221538,60,cabultra,2018-01-16T00:40:08Z,"melodic rap","Generation Now/Atlantic",0.522,0.428,11,-11.332,0,0.143,0.235,0.00000235,0.278,0.399,129.829,4
6H0AwSQ20mo62jGlPGB8S6,"It's A Vibe","Pretty Girls Like Trap Music","2 Chainz,Ty Dolla $ign,Trey Songz,Jhené Aiko",2017-06-16,210200,59,cabultra,2018-01-16T00:40:43Z,"rap,southern hip hop,r&b","2Chainz PS/Def Jam",0.82,0.502,7,-7.38,1,0.151,0.0312,0.000884,0.114,0.527,73.04,4
33kB5gz4gzOEZVkuWKHylS,"Thick Niggas and Anime Tiddies","Thick Niggas and Anime Tiddies","Dbangz",2017-08-12,90122,0,cabultra,2018-01-16T00:41:28Z,"meme rap","We Goin' Innn! Entertainment",0.897,0.449,1,-9.295,1,0.429,0.221,0,0.103,0.707,135.97,4
4hiNSVDrVkcrd0BrOME3HX,"Mr. Clean","Mr. Clean - EP","Yung Gravy",2016-09-08,210860,0,cabultra,2018-01-16T00:41:41Z,"meme rap","Yung Gravy",0.717,0.76,9,-4.892,1,0.164,0.786,0.000188,0.107,0.669,106.32,4
26jrY21NkSefFPxpndtu4z,"Of All Things (feat. Too $hort)","When It's Dark Out","G-Eazy,Too $hort",2015-12-04,213560,39,cabultra,2018-01-16T00:42:25Z,"hyphy,west coast hip hop,g-funk,gangster rap","BPG/RVG/RCA Records",0.738,0.483,9,-10.664,1,0.331,0.213,0,0.197,0.59,96.978,4
4HnPZXkx15Y5hfBWh9vtQL,"Lady Killers (feat. Hoodie Allen)","Must Be Nice","G-Eazy,Hoodie Allen",2012-09-26,249400,55,cabultra,2018-01-16T00:43:29Z,"","G-Eazy LLC",0.394,0.771,3,-6.873,1,0.29,0.00193,0,0.114,0.548,145.947,4
7jVKBOFb76u3HzaJ2vaKPW,"King Wavy (feat. G-Eazy)","King Wavy (feat. G-Eazy)","KYLE,G-Eazy",2015-07-16,184571,0,cabultra,2018-01-16T00:44:09Z,"","Indie-Pop",0.765,0.484,1,-13.097,0,0.296,0.121,0,0.293,0.536,111.946,4
5V1zjB8nw53VZcDVSPeUj6,"Breakfast (feat. G-Eazy)","Breakfast (feat. G-Eazy)","Ground Up,G-Eazy",2013-10-01,244250,22,cabultra,2018-01-16T00:44:33Z,"","Ground Up Sounds LLC",0.731,0.867,1,-7.454,0,0.142,0.0366,0.379,0.179,0.72,120.099,4
