Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6nK94ZVtTm6p6w8cWO7Yye,"Some Kind Of Magic","Some Kind Of Magic","LVTHER,Myzica",2016-03-30,194290,44,cabultra,2024-05-07T16:06:38Z,"indie dance","Monstercat",0.493,0.931,11,-4.387,1,0.0482,0.0403,0.00228,0.258,0.295,168.019,4
2v4bGopODBEOQqWzg31R2s,"4D","4D","Bad Computer,Ryan Coss",2024-01-08,176250,31,cabultra,2024-05-10T12:31:29Z,"future house","Monstercat",0.679,0.943,0,-2.944,1,0.0553,0.033,0.00663,0.14,0.374,127.956,4
7maTcRghSDNPyXuP9szRiW,"Calling Us","Calling Us","Bad Computer,David Feldman,Jordan Grace",2023-01-24,250476,22,cabultra,2024-05-10T12:34:00Z,"edm trap,tropical house,chill house,afro house,progressive house","Monstercat",0.622,0.699,3,-6.985,0,0.0987,0.0444,0.00000361,0.416,0.199,125.951,4
36Pig1iSIarIq3NudqIPNM,"Pondering Minds","Pondering Minds","Just A Gent,Khai",2023-11-23,278504,20,cabultra,2024-05-10T12:37:38Z,"future bass","Monstercat",0.576,0.748,7,-5.238,1,0.0878,0.0101,0.0000399,0.172,0.231,135.886,4
60JKwJQTyaX5EcEhmfmPy3,"Nova","Nova","Mazare,Livingston Crain",2023-06-14,181363,24,cabultra,2024-05-10T12:43:29Z,"melodic bass,drumstep,future bass,drum and bass","Monstercat",0.368,0.925,4,-3.602,1,0.1,0.000332,0.0000174,0.25,0.28,176.071,4
6qv0ptzHveUZEy4cwxoRg3,"High Enough","High Enough","Grant,Will Jay",2023-08-03,177272,36,cabultra,2024-05-18T01:19:18Z,"future bass,melodic bass","Monstercat",0.656,0.864,1,-3.96,1,0.146,0.0615,0,0.357,0.828,110.037,4
1N5YXcDObt4VH4W8C6SNzQ,"Locked - VIP","Locked (VIP)","CloudNone",2023-12-04,193043,15,cabultra,2024-05-18T01:49:28Z,"","Seeking Blue",0.439,0.797,8,-4.631,1,0.11,0.0353,0.00000244,0.0998,0.134,91.91,4
0ETOemq54BkgRF5MSKvJIU,"North Star","North Star","SABAI,Casey Cook,Hoang",2023-07-07,189600,0,cabultra,2024-05-18T01:50:58Z,"melodic bass,future bass,edm","IKIGAI / Hidden Horizon",0.515,0.592,2,-5.489,1,0.0342,0.504,0,0.0527,0.288,149.983,4
7hCZVX8ogwzgszIKtkD6Bv,"One More Day (with Chandler Leighton)","One More Day (with Chandler Leighton)","Jason Ross,Blanke,Chandler Leighton",2021-03-26,272000,34,cabultra,2024-05-18T01:58:29Z,"melodic bass,future bass,progressive trance,edm,progressive house,dubstep,trance","Ophelia",0.444,0.719,1,-3.513,0,0.0666,0.122,0.0000053,0.115,0.159,149.941,4
5ePOAe77d8p4CFjUVLSq35,"What You’ve Done","Bridges Between","Au5,DNAKM",2023-10-13,289285,17,cabultra,2024-05-18T22:04:46Z,"melodic bass,dubstep,future bass,drumstep,chillstep,edm","Ophelia",0.481,0.822,4,-6.301,0,0.0554,0.00904,0.000356,0.236,0.124,139.933,4
1pbINkQURBRBpp3u6DiIVn,"Still Breathing","Still Breathing","Soar,Eunoia,She Is Jules",2023-04-21,212571,23,cabultra,2024-05-18T22:05:47Z,"melodic bass,future bass,chillstep","Arctic Empire",0.41,0.663,11,-8.431,1,0.0658,0.0368,0.00000275,0.0571,0.292,140.191,4
3IUiA6msgyFl3f8kzbdgQP,"Forgive Me","The Last Goodbye","ODESZA,Izzy Bizu",2022-07-22,208017,42,cabultra,2024-05-19T16:45:51Z,"chillwave,chillstep","Foreign Family Collective/Ninja Tune",0.661,0.828,9,-3.134,0,0.037,0.0194,0.000902,0.264,0.402,104.972,4
