Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6VNarXDLOAtf8wyeFBZgMn,"Dragon Soul (Dragon Ball Kai)","Dragon Soul (Dragon Ball Kai)","Miura Jam",2019-12-26,256657,24,cabultra,2020-05-02T01:32:40Z,"anime","738190 Records DK",0.393,0.941,5,-3.874,1,0.0687,0.00182,0,0.117,0.662,165.787,4
2XpV9sHBexcNrz0Gyf3l18,"ブルーバード","Chou Ikimonobakari Tennen Kinen Members Best Selection","Ikimonogakari",2006,215706,63,cabultra,2020-05-02T01:34:17Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.536,0.966,6,-2.929,0,0.0558,0.121,0,0.0477,0.849,152.076,4
0dnizL7CWN1ncKQRYX5FKF,"Re:member","Flow Anime Best Kiwami","FLOW",2015,197360,0,cabultra,2020-05-02T01:34:43Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.407,0.925,11,-4.814,1,0.0581,0.00552,0,0.0695,0.731,171.981,4
6pquJ6rYlb0QFjAyyFD3xF,"透明だった世界","透明だった世界","Motohiro Hata",2010-08-11,232786,28,cabultra,2020-05-02T01:34:59Z,"j-pop,anime","Universal Music LLC",0.367,0.938,0,-3.256,1,0.0556,0.0503,0,0.416,0.518,168.108,4
4akhVGdK2yVs9go6OugScq,"月の大きさ","バレッタ TypeC","Nogizaka46",2013-11-27,236293,0,cabultra,2020-05-02T01:35:16Z,"j-pop,anime","Sony Music Labels Inc.",0.555,0.941,9,-3.294,0,0.0481,0.484,0,0.266,0.813,92.487,4
21z1GxeHjfD3qkaF5CgCTO,"シルエット","Time","KANA-BOON",2015-01-21,240133,2,cabultra,2020-05-02T01:35:20Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.436,0.934,2,-2.685,1,0.0507,0.0000105,0.136,0.321,0.383,91.488,4
3mScGCzxiXA9OaHdBeuk7O,"crossing field","LANDSPACE","LiSA",2013-10-30,248946,0,cabultra,2020-05-02T01:38:17Z,"anime,j-pop,j-rock","NITRON concepts",0.447,0.983,5,-2.281,1,0.268,0.0157,0,0.276,0.317,179.072,4
1ShQlzjMz0XkaHt5CgMpBs,"the WORLD","the WORLD/アルミナ","Nightmare",2006-10-18,234173,0,cabultra,2020-05-02T01:38:32Z,"visual kei,anime,j-rock","VAP",0.494,0.938,11,-2.359,0,0.0384,0.000474,0,0.314,0.822,95.049,4
1p0WZg4NXoNVGj2AuoLJe7,"熱情のスペクトラム","Chou Ikimonobakari Tennen Kinen Members Best Selection","Ikimonogakari",2006,223613,60,cabultra,2020-05-02T01:38:55Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.479,0.902,11,-2.665,0,0.0439,0.0593,0,0.394,0.748,159.975,4
5ulYM7FmzzuiHLDsbGZmf9,"departure! -second version- (TVサイズ)","TVアニメ「HUNTERxHUNTER」 キャラクターソング集 ~幻影旅団編~","Masatoshi Ono",2012-09-26,83333,0,cabultra,2020-05-02T01:39:22Z,"anime","VAP",0.445,0.913,5,-4.589,0,0.0574,0.0225,0,0.323,0.596,159.887,4
02846iBEHz7g1pFLvpRllW,"MUKANJYO","Mukanjyo","Survive Said The Prophet",2019-08-21,192400,0,cabultra,2020-05-02T01:39:58Z,"anime,j-rock","NITRON concepts",0.316,0.961,7,-4.082,1,0.129,0.00364,0,0.226,0.304,94.858,4
5sqkarfxe7UejHTlCtHCLS,"Let Me Hear","Feeling of Unity","Fear, and Loathing in Las Vegas",2015-09-30,225546,0,cabultra,2020-05-02T01:40:49Z,"anime,j-rock","VAP",0.175,0.995,6,1.023,0,0.211,0.000145,0.0000025,0.214,0.303,184.066,4
1eVt09kwb5iUfKzHudH2cg,"THE HERO !! ～怒れる拳に火をつけろ～","THE HERO !! ～怒れる拳に火をつけろ～","JAM Project",2015-10-21,229867,0,cabultra,2020-05-03T01:01:43Z,"anime,j-rock","Lantis",0.47,0.962,2,-3.51,1,0.121,0.0000524,0,0.204,0.189,130.078,4
