Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3Vtl4Xc9cKVs1UoenXtScn,"Floating (feat. Khalid) [filous Remix]","Floating (feat. Khalid) [filous Remix]","Alina Baraz,Khalid,filous",2019-02-08,200865,0,cabultra,2019-05-23T01:46:37Z,"tropical house","Mom+Pop",0.757,0.614,4,-6.828,1,0.126,0.472,0,0.161,0.616,90.523,4
6TGoYBjxwsLgIzaw9lhfMG,"Throwaway","Throwaway","SG Lewis,Clairo",2019-03-15,180000,0,cabultra,2019-05-23T01:46:45Z,"bedroom pop","Virgin EMI",0.789,0.49,2,-6.588,1,0.0392,0.784,0.000598,0.112,0.869,140.034,4
7tDqtZnEQcgAE92mEMtgnF,"Cool Again","Cool Again","Shoffy",2018-10-12,191935,0,cabultra,2019-05-23T01:46:51Z,"","Otherground Records",0.774,0.45,11,-6.86,1,0.0896,0.443,0.0000328,0.127,0.648,90.055,4
7AssxKowBMbJidVrfUwk1m,"I Got You ◑","I Got You ◑ / Forget Me Not ◐","HONNE,Nana Rogues",2018-06-29,211711,0,cabultra,2019-05-23T01:46:58Z,"afroswing,afrobeats","Atlantic Records UK",0.668,0.515,7,-6.033,0,0.25,0.046,0,0.17,0.64,86.505,4
2WPYetFgb9kYw5Inx8mD3o,"Sleepless Nights (feat. Nightly)","Sleepless Nights (feat. Nightly)","ayokay,Nightly",2018-08-03,196200,0,cabultra,2019-05-23T01:47:05Z,"","Columbia",0.661,0.705,11,-5.949,1,0.0351,0.0405,0.00000651,0.203,0.502,139.984,4
5L40lPxGOtkpCYfaakKJbq,"The Reason","The Reason","Chelsea Cutler",2018-05-18,184693,0,cabultra,2019-05-23T01:47:11Z,"","Chelsea Cutler",0.404,0.598,2,-8.513,1,0.167,0.0996,0.0000329,0.303,0.348,89.949,4
44Dvatt5lrO9PKa03CiTUH,"Space Between","Space Between","Always Never",2019-03-08,165818,0,cabultra,2019-05-23T01:47:18Z,"","Always Never",0.721,0.567,9,-4.759,0,0.0482,0.315,0.00102,0.117,0.195,110.052,4
09oZ9eXQ2fo6YDrPzJqAoP,"Outta My Head (with John Mayer)","Free Spirit","Khalid",2019-04-05,177066,56,cabultra,2019-05-23T01:47:24Z,"","Right Hand Music Group, LLC/RCA Records",0.729,0.545,0,-7.818,1,0.0316,0.0174,0.000274,0.369,0.514,103.012,4
5YQSyd3S16F5fH3bOPB9gB,"rational","MIDNIGHT ROCKET","WIINSTON",2018-11-16,167386,13,cabultra,2019-05-23T01:47:31Z,"","Universal Music A/S Distributed Labels",0.645,0.488,2,-9.807,0,0.0354,0.248,0.0107,0.126,0.201,130.079,4
2ySyV2K8WnOqsQ0CfBNdnx,"Obvious","Obvious","Ayelle",2019-01-18,160000,0,cabultra,2019-05-23T01:47:38Z,"","Ayelle",0.69,0.332,5,-11.148,0,0.178,0.284,0.000513,0.0931,0.477,148.025,4
