Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3urItfkvXw8tPjwNs2lXdd,"Bad Apple!!","Bullet Hell","RichaadEB,Cristina Vee",2018-01-04,299130,1,cabultra,2022-12-31T22:18:27Z,"","RichaadEB",0.574,0.94,1,-4.505,1,0.0479,0.0000864,0.838,0.683,0.588,138.006,4
54m8TBNSw6M0Q7HYGlb3NO,"U.N. Owen Was Her?","Bullet Hell","RichaadEB",2018-01-04,128427,0,cabultra,2022-12-31T22:18:32Z,"","RichaadEB",0.286,0.951,11,-4.615,1,0.072,0.0000013,0.823,0.201,0.153,154.73,4
3vfOHusoUfUQEhGxLdM8ek,"Full Bodied","Void Walker","GHOST DATA",2019-01-01,248500,0,cabultra,2022-12-31T22:18:40Z,"j-dance,vaporwave","GHOST DATA, LLC",0.751,0.735,2,-4.842,1,0.0538,0.00609,0.939,0.0841,0.263,120.018,4
6YSGyqY8Z75dtv4uE384Oc,"Imprinting","Fairythm","Sakuzyo",2014-12-30,116571,27,cabultra,2022-12-31T22:18:43Z,"speedcore","Diverse System",0.557,0.949,1,-5.164,1,0.0473,0.00112,0.00136,0.344,0.587,87.541,4
3KLHSYHSmny4sJo2finqy9,"宵々古今","Σ","Reol",2016-10-19,257733,45,cabultra,2022-12-31T22:18:47Z,"vocaloid,j-pop,j-rock","TOY'S FACTORY",0.46,0.977,1,-2.184,1,0.293,0.000423,0,0.358,0.547,150.06,4
5kRt4Kyze46Pv59LOeP74c,"Shinjū","Interlinked","Young Medicine",2019-08-16,200186,36,cabultra,2022-12-31T22:18:52Z,"synthwave,electronic rock","FiXT",0.503,0.889,2,-7.465,0,0.0434,0.00071,0.00458,0.494,0.352,110.021,4
7fqZNBdQcHqqhQkPYjbKBt,"ECHO (Stormzex Remix)","ECHO (Stormzex Remix)","Crusher-P,GUMI,stormzex",2017-01-01,230410,0,cabultra,2022-12-31T22:19:32Z,"vocaloid,anime","Vocallective Records",0.536,0.814,8,-4.611,0,0.156,0.52,0.00000636,0.144,0.678,174.006,4
4nxOjfuKY4MviFCbhjK5Pc,"Synthesized Angel","AngelFalse","Sakuzyo",2016-12-31,225000,26,cabultra,2022-12-31T22:26:09Z,"speedcore","sakuzyo.com",0.461,0.825,10,-4.237,0,0.0552,0.00211,0.179,0.112,0.279,75.049,4
5FEcudzVWcd4fCwQjqUJNZ,"Become God","Void Walker","GHOST DATA",2019-01-01,283105,0,cabultra,2022-12-31T22:30:20Z,"j-dance,vaporwave","GHOST DATA, LLC",0.45,0.829,1,-6.612,1,0.0348,0.00164,0.83,0.109,0.267,95.03,4
466TrerqKAsRy0ueqxRfkX,"Sand Planet","Sand Planet","Master Andross,JubyPhonic",2017-08-26,243829,26,cabultra,2022-12-31T22:30:34Z,"vocaloid","Master Andross",0.612,0.978,1,-2.817,1,0.12,0.0118,0.02,0.103,0.887,93.976,4
718MZU8BucRZes9NiBWBkG,"Sorairo Days (From Gurren Lagann)","Nostalgia","AmaLee",2017-01-07,238620,27,cabultra,2022-12-31T22:40:56Z,"anime","Leegion Creative",0.293,0.889,11,-4.093,0,0.0827,0.000814,0.00000194,0.21,0.466,174.165,4
5AYsfd5MxN8lxBHIc4wU17,"Goddess","Goddess","Cepheid,Nonon",2018-10-05,194400,40,cabultra,2023-01-11T21:20:38Z,"","Russell Branco",0.329,0.959,5,-6.034,1,0.0681,0.0213,0.394,0.0984,0.0958,199.872,4
1JxZfy4Ztca4fZQ1j7Hxbz,"MariannE","Kakattekoyeah!!!!","Yooh",2015-02-25,355626,31,cabultra,2023-01-11T21:21:25Z,"speedcore,j-dance","C.H.S",0.405,0.936,9,-4.907,0,0.0486,0.00032,0.675,0.166,0.174,95.526,4
2291T0WqZGCThhDD90iOlv,"Libera Me from Hell","Cement City Vol. 1: Housetrapped","Cement City",2017-05-29,258220,29,cabultra,2023-01-17T15:22:01Z,"","Rad Science Recordings",0.507,0.917,1,-4.439,0,0.0612,0.0162,0.00000131,0.318,0.0992,110.02,4
17oi2bnlZQgCKSKC72HnPH,"MEGATON","H0RR0R","Owl Vision",2021-09-02,142048,32,cabultra,2023-05-20T02:33:51Z,"synthwave","Comorbid Records",0.531,0.91,1,-4.051,1,0.0454,0.000421,0.73,0.103,0.0755,83.016,4
06bSivyfFyReIG71p2tQ8E,"Paradigm Shift","Kingdom of Silence","Fractal Dreamers",2017,211806,32,cabultra,2023-05-20T02:34:00Z,"","Fractal Dreamers",0.52,0.886,10,-6.401,0,0.0423,0.00739,0.854,0.369,0.212,100.014,4
4bB2v5OM3HXlNiM5mJoVbv,"Ether Strike","Hypersynthetic","Akira Complex",2018-11-08,139808,27,cabultra,2023-05-23T21:11:36Z,"speedcore,j-dance","Attack The Music, Inc.",0.578,0.998,8,-1.516,0,0.534,0.00087,0.433,0.341,0.255,156.029,4
19lyk6pIncLT1EvkuGMuCY,"Gate One","Gate One","aran",2019-07-18,138666,29,cabultra,2023-05-26T20:17:42Z,"speedcore,j-dance,happy hardcore,hardcore techno,hardcore","HARDCORE TANO*C",0.557,0.966,6,-2.443,0,0.163,0.00276,0.681,0.358,0.528,90.012,4
2TpIrrYN70VjU651xOsJzJ,"Deathfire Grasp","Smite and Ignite","Pentakill",2014-06-03,240026,44,cabultra,2023-08-18T15:20:07Z,"power metal","Riot Games",0.366,0.86,9,-4.952,0,0.0687,0.000106,0.161,0.351,0.276,160.069,4
4zgkpHxyIkweE7MtsEEaeF,"Heroes in Time","Heroes in Time","Metalite",2017-10-27,225146,25,cabultra,2023-08-18T15:40:12Z,"power metal,melodic metal,symphonic metal","Inner Wound Recordings",0.438,0.988,11,-4.48,0,0.253,0.000289,0,0.231,0.255,150.211,4
5p6VSvG1qSptiammkdtDNL,"Hootsforce","Legends From Beyond The Galactic Terrorvortex (Deluxe Version)","Gloryhammer",2019-05-31,230293,0,cabultra,2023-08-18T15:44:22Z,"power metal,pirate metal,symphonic metal,folk metal,melodic metal,metal","Napalm Records",0.411,0.946,10,-4.756,1,0.0987,0.0028,0.0000241,0.708,0.644,185.03,4
0H799tJ2Y3ZFBabhmKTXWf,"Come with Me to the Other Side","Gunmen","Orden Ogan,Liv Kristine",2017-07-07,374106,40,cabultra,2023-08-18T15:50:32Z,"power metal,melodic metal,folk metal,symphonic metal,pirate metal,metal,gothic metal,symphonic rock","AFM Records",0.195,0.959,0,-4.405,1,0.13,0.000088,0.0294,0.0639,0.078,92.465,4
1rGj0o77vbS4rCTqqtGZoH,"Inferno","Inferno","Polyphia",2019-10-04,91360,38,cabultra,2023-08-19T20:02:15Z,"math rock,djent,progressive metal,progressive rock","Postlude Paradox",0.307,0.928,5,-4.255,1,0.0887,0.00000381,0.911,0.299,0.296,96.782,3
1ietxjoOjltBtDEea2kcgj,"Departure to Destruction","Dusk (Original Game Soundtrack)","Andrew Hulshult",2018-12-10,233413,35,cabultra,2023-08-19T20:27:12Z,"","Andrew Hulshult",0.304,0.978,0,-6.587,1,0.152,0.00000162,0.934,0.269,0.156,134.939,3
