Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6YGVK9xgH2LI4Ghw6gqUxx,"Paint Me Silver","The Weather","Pond",2017-05-05,224973,46,cabultra,2020-03-26T00:19:45Z,"psychedelic rock,psychedelic pop","EMI Recorded Music Australia Pty Ltd",0.335,0.825,8,-5.598,1,0.0506,0.00523,0.00429,0.226,0.682,177.156,4
7rxdEeEAZ3c5KQ7s1bC3cc,"Sweep Me Off My Feet","The Weather","Pond",2017-05-05,209093,42,cabultra,2020-03-26T00:19:57Z,"psychedelic rock,psychedelic pop","EMI Recorded Music Australia Pty Ltd",0.432,0.822,7,-3.278,0,0.0389,0.000261,0.0000173,0.696,0.211,100.062,4
19rLLojfDt4Yy4NRlqdLUi,"Daisy","Tasmania","Pond",2019-03-01,380720,23,cabultra,2020-03-26T00:20:24Z,"psychedelic rock,psychedelic pop","Virgin Music Label And Artist Services Australia",0.566,0.761,8,-6.598,1,0.0586,0.291,0.00185,0.256,0.417,125.002,4
5nMfIpT4sBRTjrNwhHKZxE,"Windowpane","Timeline","Mild High Club",2015-09-18,237300,0,cabultra,2020-03-26T00:21:46Z,"psychedelic pop","Circle Star Records",0.507,0.723,1,-8.164,1,0.0239,0.0000101,0.0478,0.132,0.304,88.996,4
2O99aywAVBhaPrsiJ6zbSS,"'Cause I'm A Man","Currents","Tame Impala",2015-07-17,241986,57,cabultra,2020-03-26T00:22:14Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.547,0.695,9,-4.969,1,0.0337,0.108,0.00301,0.14,0.641,144.684,4
3I7OmVsk4Hm5LBbs2GmhlD,"Reality In Motion","Currents","Tame Impala",2015-07-17,252026,54,cabultra,2020-03-26T00:22:18Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.536,0.915,2,-4.993,1,0.0581,0.154,0.000788,0.372,0.472,115.037,4
2X485T9Z5Ly0xyaghN73ed,"Let It Happen","Currents","Tame Impala",2015-07-17,467586,75,cabultra,2020-03-26T00:23:42Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,4
6WCXBUFa0z3l9DoOY3k5Xe,"Instant Destiny","The Slow Rush","Tame Impala",2020-02-14,194706,52,cabultra,2020-03-26T00:31:10Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.381,0.829,10,-4.564,1,0.0598,0.0226,0.000274,0.402,0.509,165.935,4
5hM5arv9KDbCHS0k9uqwjr,"Borderline","The Slow Rush","Tame Impala",2020-02-14,237800,77,cabultra,2020-03-26T03:54:12Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.621,0.873,5,-3.067,0,0.0369,0.0406,0.0000091,0.0824,0.873,97.96,4
666PdikRnUzdvjT9p5wWND,"Tomorrow's Dust","The Slow Rush","Tame Impala",2020-02-14,326840,48,cabultra,2020-03-26T04:14:42Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.616,0.804,0,-5.568,1,0.0427,0.0124,0.0998,0.553,0.627,99.002,4
0Bl1Gt8R9kjz7JO7SYAuhe,"Shalala","Mercy Mountain","Moses Gunn Collective",2015-08-07,228015,50,cabultra,2020-03-26T18:19:00Z,"psychedelic rock,psychedelic pop","Moses Gunn Collective",0.452,0.729,7,-5.6,1,0.0304,0.0192,0.0583,0.115,0.46,84.005,4
52pWggDlN5mVeX111i06PP,"One Thing Left to Try","Little Dark Age","MGMT",2018-02-09,260346,41,cabultra,2020-03-26T18:40:02Z,"indie","Columbia",0.576,0.94,8,-4.541,1,0.0445,0.00678,0.00066,0.308,0.667,128.017,4
5azJUob8ahbXB3M9YFwTpd,"When I Get Home","The Garden Series","Post Animal",2016-07-22,323200,0,cabultra,2020-03-26T18:49:49Z,"psychedelic rock,psychedelic pop","Polyvinyl Records",0.245,0.773,0,-5.985,1,0.0525,0.0665,0.00046,0.358,0.464,148.134,4
4NxyGehfY0tAmpmDmusg2x,"Gelatin Mode","When I Think Of You In A Castle","Post Animal",2018-04-20,347973,0,cabultra,2020-03-26T18:52:11Z,"psychedelic rock,psychedelic pop","Polyvinyl Records",0.274,0.718,8,-6.077,1,0.053,0.123,0,0.116,0.494,153.715,4
