Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
069hpl6WEyFv2qYaZGqv9b,"Pacific Coast Highway","Pacific Coast Highway","Das Kope",2022-12-09,208392,15,cabultra,2023-09-06T20:55:50Z,"psychedelic pop,psychedelic rock","DAS KOPE",0.611,0.531,1,-12.205,0,0.0307,0.533,0.855,0.649,0.511,111.99,4
6Sa70vxAcc5pVRZ6gGf2x6,"So Happy","So Happy","Das Kope",2023-02-17,171542,15,cabultra,2023-09-06T20:56:12Z,"psychedelic pop,psychedelic rock","DAS KOPE",0.408,0.449,10,-11.314,1,0.0376,0.269,0.855,0.111,0.395,148.862,4
4ir3SYnI4zbTYO8BErSrWY,"One in a Million","Apoptosis","Inner Wave",2021-09-30,237086,0,cabultra,2023-09-06T20:59:14Z,"","Inner Wave",0.568,0.868,11,-6.332,0,0.0267,0.0118,0.858,0.222,0.643,91.893,4
6L49onFNvmSzzHfbUC99jB,"Lemons","Lemons","Seabreeze Diner",2020-07-03,280413,0,cabultra,2023-09-06T20:59:36Z,"","1935740 Records DK2",0.545,0.649,11,-13.437,0,0.0377,0.00151,0.304,0.216,0.543,131.142,4
7ntbVb2c5nTk2UwM4pBFIw,"Fever","Apoptosis","Inner Wave",2021-09-30,174363,0,cabultra,2023-09-06T21:10:58Z,"","Inner Wave",0.544,0.78,5,-5.668,0,0.0269,0.0312,0.765,0.0801,0.679,99.972,4
0dCQFG05U3oyy3CAwzc0vd,"Memory(Trees)","Apoptosis","Inner Wave",2021-09-30,256338,0,cabultra,2023-09-06T21:19:08Z,"","Inner Wave",0.426,0.621,1,-6.692,0,0.0304,0.0112,0.325,0.149,0.515,156.003,4
6QR2ZPu5zN6j4ZXOxY35ii,"June","Apoptosis","Inner Wave",2021-09-30,159049,0,cabultra,2023-09-06T21:19:17Z,"","Inner Wave",0.665,0.722,9,-7.87,0,0.0384,0.0255,0.318,0.325,0.571,109.988,4
7aeTTz2XbOCBy9sIns6BW0,"Bones","Apoptosis","Inner Wave",2021-09-30,197697,0,cabultra,2023-09-06T21:32:41Z,"","Inner Wave",0.476,0.563,2,-7.452,0,0.0248,0.0289,0.607,0.129,0.271,92.989,3
16dOZA7Rvb0H14R1E04WyR,"Up & Down","Ice Melt","Crumb",2021-04-30,203440,36,cabultra,2023-09-06T21:46:42Z,"psychedelic pop,bedroom pop","Crumb Records",0.381,0.599,2,-9.27,1,0.0902,0.769,0.154,0.0916,0.396,127.145,4
57rW757V8DwWVHaDgdAzw7,"Retreat!","Ice Melt","Crumb",2021-04-30,90840,38,cabultra,2023-09-06T21:47:55Z,"psychedelic pop,bedroom pop","Crumb Records",0.27,0.661,10,-8.648,0,0.0455,0.772,0.862,0.266,0.531,127.172,4
2cX5koYbXtrs4IpnVxHx7A,"Trophy","Ice Melt","Crumb",2021-04-30,192373,37,cabultra,2023-09-06T21:48:14Z,"psychedelic pop,bedroom pop","Crumb Records",0.544,0.504,10,-9.299,0,0.0327,0.809,0.138,0.135,0.638,81.5,4
3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,84,cabultra,2023-09-06T21:50:14Z,"psychedelic pop","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
7dW6aiHZG0A8xApW0Xg40G,"Lonely One","Spirit Mission","Sure Sure",2022-09-30,167066,28,cabultra,2023-09-06T22:00:12Z,"","",0.589,0.598,5,-7.103,0,0.0613,0.479,0.000237,0.117,0.726,130.059,4
16LiikrNSmBq35Fp7s9PjJ,"Sunshine","Fresh As A Head Of Lettuce","Babe Rainbow",2023-06-23,221356,21,cabultra,2023-09-06T22:00:36Z,"psychedelic rock,surf rock,psychedelic pop","Eureka Music",0.77,0.716,9,-5.665,1,0.043,0.0468,0.19,0.379,0.874,113.974,4
0B4U9FT1WaFwUiiCPOAak7,"The Dark Prince (feat. Mac DeMarco)","The Dark Prince (feat. Mac DeMarco)","Eyedress,Mac DeMarco",2023-08-18,214356,46,cabultra,2023-09-06T22:13:16Z,"indie","RCA Records Label",0.602,0.849,4,-6.831,0,0.0443,0.0261,0.845,0.451,0.585,150.025,4
5uHgKIUzqrpRt10p1crJma,"Always","Always","LEISURE",2023-06-02,207800,25,cabultra,2023-09-06T22:14:08Z,"","Nettwerk Music Group",0.645,0.701,7,-5.664,0,0.038,0.229,0.0664,0.276,0.89,99.975,4
5jumXLjj8yhQ0j1Af8XZS1,"Oval Stones","Exotico","Temples",2023-04-14,213053,14,cabultra,2023-09-06T22:16:37Z,"psychedelic rock,psychedelic pop","ATO Records",0.538,0.805,6,-3.913,0,0.0291,0.00536,0.405,0.122,0.793,97.013,4
6p0uCWOGRJBm3Fh2g1gYzM,"Low Lights and Throwback Tunes","Low Lights and Throwback Tunes","common goldfish",2023-02-16,247949,23,cabultra,2023-09-06T22:16:47Z,"","Three Sign",0.626,0.794,9,-8.908,0,0.0419,0.0377,0.00147,0.0983,0.798,120.995,4
