Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4IMVgt2FWmFiZK8SLZfTDA,"Happy Judgement Day","The Peace And The Panic","Neck Deep",2017-08-18,213010,0,cabultra,2020-05-02T04:22:35Z,"pop punk,emo pop,punk,emo","Hopeless Records",0.529,0.975,6,-3.484,1,0.0817,0.00021,0,0.321,0.63,93.931,4
1YHulXIy2DNnYOg1okzeex,"Parachute","The Peace And The Panic","Neck Deep",2017-08-18,220695,0,cabultra,2020-05-02T04:23:07Z,"pop punk,emo pop,punk,emo","Hopeless Records",0.572,0.935,11,-3.991,1,0.0434,0.000335,0.0000038,0.209,0.655,112.034,4
6WoyghnMAvDDRbZfFbpwEo,"In Bloom","The Peace And The Panic","Neck Deep",2017-08-18,218054,0,cabultra,2020-05-02T04:23:12Z,"pop punk,emo pop,punk,emo","Hopeless Records",0.594,0.959,7,-4.697,1,0.0486,0.00359,0.0000134,0.101,0.381,110.979,4
7pw4AlRz1EEbjle2kjrX28,"Critical Mistake","The Peace And The Panic","Neck Deep",2017-08-18,195586,0,cabultra,2020-05-02T04:23:34Z,"pop punk,emo pop,punk,emo","Hopeless Records",0.66,0.96,5,-4.148,0,0.0557,0.00144,0.00000237,0.252,0.821,129.961,4
7H20b7i6NCOWX9HpExPAWi,"Heavy Lies","The Peace And The Panic","Neck Deep",2017-08-18,209691,0,cabultra,2020-05-02T04:23:54Z,"pop punk,emo pop,punk,emo","Hopeless Records",0.464,0.955,10,-4.11,1,0.103,0.000936,0,0.1,0.24,94.834,4
6wT9p6z1LtoQ3lqPPeVR0K,"Where Do We Go When We Go","The Peace And The Panic","Neck Deep",2017-08-18,218252,0,cabultra,2020-05-02T04:24:17Z,"pop punk,emo pop,punk,emo","Hopeless Records",0.477,0.955,1,-3.131,1,0.124,0.00158,0.0000146,0.184,0.453,169.83,4
2zb0TZbEprJhFjrbW74cWt,"Motion Sickness","The Peace And The Panic","Neck Deep",2017-08-18,205125,0,cabultra,2020-05-02T04:24:47Z,"pop punk,emo pop,punk,emo","Hopeless Records",0.578,0.983,7,-3.008,1,0.0824,0.000372,0.00221,0.322,0.397,105.013,4
2V8dD7KmbfSFm2GrYDXveo,"The Grand Delusion","The Peace And The Panic","Neck Deep",2017-08-18,207406,0,cabultra,2020-05-02T04:24:52Z,"pop punk,emo pop,punk,emo","Hopeless Records",0.439,0.934,1,-2.142,1,0.0789,0.0014,0.0167,0.175,0.656,175.977,4
0qOyIp7uxZedcUIVp6BWmT,"Don't Wait (ft. Sam Carter)","The Peace And The Panic","Neck Deep",2017-08-18,196849,0,cabultra,2020-05-02T04:24:59Z,"pop punk,emo pop,punk,emo","Hopeless Records",0.393,0.988,1,-3.166,0,0.164,0.000119,0,0.3,0.333,199.904,4
6mgexmUT7AbuOPumrScmsQ,"19 Seventy Sumthin'","The Peace And The Panic","Neck Deep",2017-08-18,237811,0,cabultra,2020-05-02T04:25:12Z,"pop punk,emo pop,punk,emo","Hopeless Records",0.539,0.758,8,-4.556,1,0.0365,0.0216,0,0.0749,0.707,81.499,4
6L89mwZXSOwYl76YXfX13s,"Basket Case","Dookie","Green Day",1994-02-01,181533,76,cabultra,2020-05-02T04:26:58Z,"punk,pop punk","Reprise",0.442,0.943,3,-3.205,1,0.0602,0.00293,0.00000871,0.091,0.781,85.064,4
64yrDBpcdwEdNY9loyEGbX,"21 Guns","21st Century Breakdown","Green Day",2009-05-15,321093,70,cabultra,2020-05-02T04:27:28Z,"punk,pop punk","Reprise",0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.626,0.416,159.779,4
3asFGFY3uLjMDmML1p0tYm,"Savior","Appeal To Reason","Rise Against",2008-01-01,242280,57,cabultra,2020-05-02T04:28:59Z,"punk,hardcore punk","Geffen",0.339,0.931,5,-3.425,0,0.062,0.0015,0.000142,0.425,0.467,112.545,4
1Dr1fXbc2IxaK1Mu8P8Khz,"When I Come Around","Dookie","Green Day",1994-02-01,178000,72,cabultra,2020-05-02T04:29:35Z,"punk,pop punk","Reprise",0.531,0.909,11,-4.236,1,0.034,0.0175,0,0.231,0.814,97.546,4
3ZOEytgrvLwQaqXreDs2Jx,"Can't Stop","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,269000,80,cabultra,2020-05-02T04:30:05Z,"funk rock,alternative rock,rock","Warner Records",0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
5sG3G54H21hNfd5etlheoe,"Satellite","Endgame","Rise Against",2011-01-01,238573,64,cabultra,2020-05-02T04:31:05Z,"punk,hardcore punk","Geffen",0.387,0.94,5,-4.16,0,0.0528,0.00369,0,0.0759,0.444,134.876,4
