Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0Z23yVp0oSHPQYYUqyRhlV,"Just a Sec","Her","eery",2016-01-01,114743,0,grepoopo,2017-10-21T22:22:52Z,"lo-fi,j-dance","eery",0.707,0.371,2,-10.096,1,0.0548,0.446,0.37,0.126,0.818,93.927,4
2oCQaygVGF8C1yLGyYicjU,"Your Lie in April","Harbor","Tomppabeats",2016-05-06,48917,0,grepoopo,2017-10-21T22:23:40Z,"lo-fi,lo-fi beats,vaporwave","VinDig",0.713,0.355,1,-12.633,0,0.069,0.92,0.718,0.0768,0.457,78.491,4
4qnVWFIKCC8m6Itm64ZRVu,"Summer Whisper","Harbor","Tomppabeats",2016-05-06,61675,0,grepoopo,2017-10-21T22:23:54Z,"lo-fi,lo-fi beats,vaporwave","VinDig",0.738,0.322,5,-11.852,1,0.288,0.981,0.679,0.112,0.78,77.999,3
5r6in0HB9ErYg57FTlMY4y,"Whenever It Rains, I Feel so Free","Harbor","Tomppabeats",2016-05-06,62857,0,grepoopo,2017-10-21T22:25:13Z,"lo-fi,lo-fi beats,vaporwave","VinDig",0.784,0.406,10,-11.5,1,0.0455,0.401,0.904,0.172,0.67,84.016,4
77Uo6nqkmG5eFLgTuQcZIV,"Being in Love with U","Harbor","Tomppabeats",2016-05-06,49548,0,grepoopo,2017-10-21T22:26:23Z,"lo-fi,lo-fi beats,vaporwave","VinDig",0.629,0.334,2,-9.781,1,0.424,0.848,0.143,0.106,0.617,81.953,3
5t9xjVR1jxhgIiutBVARQb,"Smoking at Midnight","Harbor","Tomppabeats",2016-05-06,95921,0,grepoopo,2017-10-21T22:26:44Z,"lo-fi,lo-fi beats,vaporwave","VinDig",0.883,0.463,4,-6.247,0,0.125,0.778,0.757,0.104,0.664,80.276,4
566TYVvGGKbV6BIP53VkSn,"You're on My Mind","Harbor","Tomppabeats",2016-05-06,51315,0,grepoopo,2017-10-21T22:27:34Z,"lo-fi,lo-fi beats,vaporwave","VinDig",0.741,0.288,0,-12.85,1,0.111,0.822,0.949,0.106,0.919,151.983,4
4kVmLlBnLcfXIZIIhq3VUq,"Her","Her","eery",2016-01-01,123207,0,grepoopo,2017-10-21T22:32:09Z,"lo-fi,j-dance","eery",0.667,0.392,11,-11.555,0,0.11,0.791,0.0624,0.139,0.524,82.071,4
6GygUjupLLKX273CNzZ4kQ,"Oh How Lovely","For Her","wüsh,Tomppabeats",2016-11-04,80308,0,grepoopo,2017-10-21T22:32:54Z,"lo-fi beats,lo-fi,vaporwave","VinDig",0.793,0.412,3,-10.517,1,0.21,0.248,0,0.537,0.407,77.729,4
5EqLovZWjCeHHmnLKCsQKJ,"Here","Daily Route","Brenky",2016-02-20,103880,3,grepoopo,2017-10-21T22:33:51Z,"lo-fi beats,lo-fi","Ninetofive",0.729,0.0998,7,-10.207,1,0.203,0.73,0.959,0.108,0.694,80.089,4
6utXu6Fuic1P0AT5Ar4tF0,"Place of Peace","Palo Santo","Lungfulls",2016-08-06,226037,2,grepoopo,2017-10-21T22:34:13Z,"lo-fi beats,lo-fi","Always Proper",0.537,0.483,2,-11.671,0,0.462,0.735,0,0.0934,0.105,79.448,1
2hwfQQTiTeqhcyyFfnp7ev,"it rains a lot here","nowhere ep","autumn keys",2015-09-21,157652,0,grepoopo,2017-10-21T22:35:08Z,"lo-fi beats,lo-fi","Repost Network",0.702,0.34,0,-12.374,1,0.719,0.857,0.321,0.152,0.268,155.845,4
25Hv8jGCn8EMuauMyW0yRs,"she's october","nowhere ep","autumn keys",2015-09-21,172519,0,grepoopo,2017-10-21T22:37:35Z,"lo-fi beats,lo-fi","Repost Network",0.66,0.454,9,-8.027,0,0.303,0.332,0.192,0.165,0.272,68.753,4
2P7FxYnKo97dAiVc2BTXzT,"Welcome","For Her","wüsh",2016-11-04,111909,0,grepoopo,2017-10-21T22:38:24Z,"lo-fi beats,lo-fi","VinDig",0.594,0.182,5,-12.539,1,0.131,0.937,0.329,0.0982,0.532,81.071,4
3rDtYwyfZNfTfxjyivntg5,"Roses","For Her","wüsh",2016-11-04,95349,0,grepoopo,2017-10-21T22:45:46Z,"lo-fi beats,lo-fi","VinDig",0.898,0.287,9,-7.027,0,0.394,0.444,0.764,0.114,0.311,91.063,4
3PqWJMsNn4yh9lFqBbYhuE,"Sorry for Not Answering the Phone I'm Too Busy Trying to Fly Away","Let's Go","In Love With a Ghost",2017-10-23,132413,39,grepoopo,2017-10-21T22:48:14Z,"lo-fi","In Love With A Ghost",0.476,0.161,1,-16.368,1,0.212,0.847,0,0.0331,0.33,96.69,5
6Lr6YaV8KW41iD53PgjPr5,"Chilling At Nemu's Place","Healing","In Love With a Ghost",2017,46315,38,grepoopo,2017-10-21T22:48:33Z,"lo-fi","In Love With a Ghost",0.943,0.406,8,-10.715,0,0.0876,0.556,0.719,0.0913,0.991,109.055,4
3dkLN75ITjlF3TK1D4M1bw,"Welcome At Qwerty and Azerty's Place","Healing","In Love With a Ghost",2017,35631,22,grepoopo,2017-10-21T22:48:48Z,"lo-fi","In Love With a Ghost",0.841,0.942,11,-10.342,0,0.0694,0.32,0.147,0.105,0.976,135.065,4
