Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4U5ovGD4My7MOISvUEtYaf,"Campfire","Campfire","Aminé,Injury Reserve",2018-04-06,135013,40,cabultra,2021-10-18T20:57:26Z,"experimental hip hop,alternative hip hop","Universal Records",0.885,0.365,6,-14.107,1,0.263,0.00112,0,0.264,0.637,100.048,4
4NBYId6eoacEMJDkhfTPG7,"Coney Island","Coney Island","SEB",2021-04-07,169973,41,cabultra,2021-10-18T20:57:26Z,"","Mom+Pop",0.689,0.704,1,-8.453,0,0.0325,0.201,0.0000305,0.112,0.653,121.984,4
6UX28wWHLQQV0l3IcLb7sP,"Where We Belong","Where We Belong","Vexento",2016-07-21,225044,20,cabultra,2021-10-18T20:57:26Z,"chillstep","Vexento",0.656,0.859,10,-6.534,1,0.036,0.0779,0.849,0.0526,0.551,128.026,4
3w7t2URDyrZzFtsWcrhJjq,"Higher","Higher","Tobu",2013-09-26,213418,0,cabultra,2021-10-18T20:57:26Z,"","Tobu",0.452,0.876,4,-2.077,0,0.0491,0.103,0.0101,0.12,0.457,129.981,4
7DlL1ePsR9f9kcRnduArCH,"The Other Side","The Other Side","Elektronomia",2017-07-01,251259,0,cabultra,2021-10-18T20:57:26Z,"","NCS",0.739,0.921,0,-1.777,0,0.102,0.397,0.00000382,0.316,0.199,127.993,4
2TnUS0K3c6csShujuskrTH,"The Guardian of Angels","The Guardian of Angels","NIVIRO",2017-11-25,215625,0,cabultra,2021-10-18T20:57:26Z,"big room","NCS",0.548,0.885,4,-5.107,0,0.0882,0.0297,0.499,0.18,0.156,127.932,4
3NEFes4tE4xRObyLGLrE6c,"Slow","Slow","Diviners,RIELL",2020-08-06,188936,0,cabultra,2021-10-18T20:57:26Z,"tropical house","NCS",0.663,0.614,9,-3.917,1,0.0654,0.452,0.00000368,0.306,0.319,187.901,4
6gyaXDZS45uIpyETSTibQ9,"Sky Might Fall","Man On The Moon: The End Of Day","Kid Cudi",2009-09-15,220906,35,cabultra,2021-10-18T20:57:26Z,"","Kid Cudi/Universal Records",0.564,0.722,10,-7.565,0,0.141,0.252,0.107,0.245,0.347,194.275,4
6RrS9zdbuOH0u574fl0PMs,"Strobe","Strobe","Vexento,Katie McConnell",2018-08-03,244335,11,cabultra,2021-10-18T20:57:26Z,"chillstep","Vexento",0.794,0.496,1,-8.779,1,0.0725,0.293,0.18,0.0672,0.294,110.05,4
2ySRRtrAwDUF4FipiF1Djt,"My Own Thing","My Own Thing","Chance the Rapper,Joey Purp",2018-11-29,181158,37,cabultra,2021-10-18T20:57:26Z,"","Chance the Rapper",0.879,0.457,0,-6.332,1,0.269,0.105,0,0.12,0.658,139.974,4
7JDvTEzwcsawT5hOTvJgRs,"Beastmode","Inception","Teminite",2016,321221,0,cabultra,2021-10-18T20:57:26Z,"dubstep,deathstep,drumstep","Teminite",0.458,0.962,1,-5.128,1,0.0434,0.0000847,0.841,0.387,0.515,86.995,4
2NZ2hBqes4aKSmt5Gsxnub,"Love In My Pocket","1999","Rich Brian",2020-08-25,223093,0,cabultra,2021-10-18T20:57:26Z,"","88rising Music/Warner Records",0.832,0.615,0,-7.948,0,0.0351,0.02,0,0.11,0.77,113.017,4
1Uue730zlycJb8dN6n6PHz,"Buttered Up","Sensational","Yung Gravy,Juicy J",2019-05-31,170173,36,cabultra,2021-10-18T20:57:26Z,"meme rap,memphis rap,crunk","Republic Records",0.708,0.699,10,-7.032,0,0.138,0.0343,0,0.401,0.641,159.929,4
7Agi8QDhwLEHFdP5LxysqD,"jurassic","recess","bbno$,lentra,TrippyThaKid",2019-01-25,166956,33,cabultra,2021-10-18T20:57:26Z,"meme rap,dark trap","no records",0.921,0.567,10,-7.911,0,0.301,0.127,0,0.306,0.641,91.993,4
1uX18gfpzbP8iLaOjy6p3V,"Roof","Roof","Rico Nasty",2019-01-29,155454,27,cabultra,2021-10-18T20:57:26Z,"","Sugar Trap",0.807,0.861,10,-3.164,0,0.421,0.0469,0,0.344,0.715,175.983,4
