Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3yKTtYoBD01PQQBUYr9IQi,"Bury a Lie","Bury a Lie","Rain City Drive",2020-01-31,196427,0,cabultra,2020-05-26T06:03:19Z,"post-hardcore,metalcore","SBG",0.47,0.952,10,-2.744,0,0.0532,0.000483,0,0.131,0.366,102.944,4
0UVzM2GkqTTf57G6Wj05UL,"Under Wraps","Invitation to Her's","Her's",2018-08-24,303427,43,cabultra,2020-05-26T06:03:19Z,"indie","Heist Or Hit Records",0.592,0.67,10,-5.223,1,0.0278,0.00137,0.214,0.127,0.386,135.062,4
15Y949TGjUppdT78h0S49P,"Gassed Up!","XXXTENTACION Presents: Members Only, Vol. 4","XXXTENTACION,Flyboy Tarantino,Kid Trunks,Bass Santana,Kin$oul",2019-01-23,225050,46,cabultra,2020-05-26T06:03:19Z,"emo rap","Members Only / EMPIRE",0.843,0.56,6,-6.122,1,0.284,0.293,0.00000672,0.0984,0.477,130.032,4
2T5yw93zxSksMmc7auj3RR,"No Time To Die","No Time To Die","Our Last Night",2020-02-25,227800,30,cabultra,2020-05-26T06:03:19Z,"post-hardcore,metalcore","mudhutdigital.com",0.465,0.943,11,-3.9,0,0.0532,0.000029,0.022,0.114,0.197,75.021,4
2ZMHNMMft1Yp6nLPjR4zM9,"Piece Of Your Heart","Sunnyland","Mayday Parade",2018-06-15,219723,0,cabultra,2020-05-26T06:03:19Z,"pop punk,emo,emo pop","Rise Records",0.576,0.772,9,-4.902,1,0.0259,0.0453,0,0.0608,0.494,97.007,4
50wkDxcIfamIajKwmgp0iB,"HANDGUN (feat. A$AP Rocky)","STAY DANGEROUS","YG,A$AP Rocky",2018-08-03,215533,37,cabultra,2020-05-26T06:03:19Z,"hyphy,rap","Def Jam Recordings",0.843,0.549,8,-7.699,1,0.461,0.0194,0,0.374,0.448,159.106,4
7dAjrcykxdDA87r4zPUTEU,"RUN IT BACK!","RUN IT BACK!","Craig Xen,XXXTENTACION",2019-06-12,126798,45,cabultra,2020-05-26T06:03:19Z,"dark trap,emo rap","Cruel World / EMPIRE",0.867,0.403,6,-8.996,0,0.274,0.0535,0.00000773,0.185,0.38,138.001,4
2HyN9b3HR0ZCoDgmXPB3NO,"Drink To Drown","Drink To Drown","Stand Atlantic",2020-04-02,196307,0,cabultra,2020-05-26T06:03:19Z,"pop punk,emo pop","Hopeless Records",0.467,0.391,3,-7.515,1,0.0273,0.45,0,0.1,0.149,78.051,4
7IsjaaTuVaAjFTw4Buc9ql,"Dresser","Yung Bans","Yung Bans",2018-12-31,155520,40,cabultra,2020-05-26T06:03:19Z,"cloud rap","Yung Bans / Foundation",0.832,0.421,1,-10.563,1,0.3,0.0544,0.0000349,0.115,0.183,75.065,4
55P8hiMTFfvmTXWlB16seg,"Cathedral Bell","Heartwork","The Used",2020-04-24,184706,24,cabultra,2020-05-26T06:03:19Z,"emo,screamo,post-hardcore,emo pop,pop punk,emocore","Big Noise Music Group",0.424,0.57,4,-7.031,0,0.159,0.00278,0.709,0.311,0.495,180.043,1
