Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
17KnTlNXPnzTDnGD0lrf27,"Errday 99","Nineteen Ninety Nine (Scene 1)","J. Rawls",2018-10-12,88235,40,,2025-03-08T14:02:22Z,"jazz rap","Polar Entertainment",0.575,0.405,1,-10.677,1,0.0452,0.247,0.751,0.159,0.18,86.983,4
6YnK0YAjHie3eWlJXDZW1h,"Warm Thoughts","Flume","Flume",2012-11-09,228376,36,,2025-03-08T14:02:22Z,"future bass","Mom+Pop",0.533,0.883,5,-6.839,0,0.13,0.041,0.014,0.0857,0.612,167.95,4
39nSL4qbk0rsGNSVJb5TWK,"FF4","Flamagra","Flying Lotus",2019-05-24,71520,35,,2025-03-08T14:02:22Z,"idm,experimental hip hop,nu jazz,glitch","Warp Records",0.607,0.184,6,-7.69,1,0.0681,0.43,0.937,0.117,0.486,81.244,4
6hkOqJ5mE093AQf2lbZnsG,"The One That Got Away","Teenage Dream","Katy Perry",2010-01-01,227333,68,,2025-03-08T14:02:22Z,"pop","Capitol Records",0.689,0.795,1,-4.021,0,0.0356,0.000812,0.00000107,0.156,0.876,133.968,4
1rHJ52s5MLNmYwLewMMnQp,"Jarred","Blurred","Kiasmos",2017-10-06,335506,42,,2025-03-08T14:02:22Z,"","Erased Tapes",0.707,0.826,0,-12.101,0,0.0401,0.682,0.925,0.102,0.188,120.008,3
3k29pw2omntASGkzIqYMnC,"Harm","Along the Lethe","Beacon",2022-09-09,266906,35,,2025-03-08T14:02:22Z,"","Apparent Movement",0.623,0.874,10,-7.255,1,0.0348,0.49,0.839,0.139,0.0759,130.002,4
7fhg7ofLpD5Maiy9Iy2PJC,"Time Goes By","Far Away","Take Van",2022-03-31,121379,37,,2025-03-08T14:02:22Z,"breakcore","Take Van",0.591,0.584,3,-8.644,0,0.0336,0.0265,0.803,0.153,0.422,87.007,4
1LPGwuFgIzbJoShfDdw7MY,"Youth","How To Be A Human Being","Glass Animals",2016-08-26,230693,64,,2025-03-08T14:02:22Z,"","Wolf Tone",0.648,0.718,9,-7.765,0,0.0298,0.129,0.00156,0.112,0.785,96.017,4
7tL9xxvZY4C8rx5EKfHIVU,"Far","Minecraft - Volume Beta","C418",2013-11-09,192000,50,,2025-03-08T14:02:22Z,"","C418",0.735,0.239,1,-14.188,1,0.0403,0.856,0.745,0.105,0.313,130.027,4
4QdKN37PLzNvwWvFcyHmt6,"All The Words We Don’t Say - Omari Jazz Remix","Mood Variant (The Remixes)","Hiatus Kaiyote,Omari Jazz",2022-04-08,70490,33,,2025-03-08T14:02:22Z,"neo soul,alternative r&b","Brainfeeder",0.605,0.57,6,-6.145,0,0.731,0.0318,0.878,0.147,0.922,104.755,5
5jzKL4BDMClWqRguW5qZvh,"Teenage Dream","Teenage Dream","Katy Perry",2010-01-01,227741,70,,2025-03-08T14:02:22Z,"pop","Capitol Records",0.719,0.798,10,-4.582,1,0.0361,0.0162,0.00000234,0.134,0.591,120.012,4
4SNtyKNyYJ8ERT7YLlnFBr,"So Young","Woodstock","Portugal. The Man",2017-06-16,246480,57,,2025-03-08T14:02:22Z,"","Atlantic Records",0.671,0.445,4,-7.842,0,0.0291,0.348,0.0000593,0.155,0.811,75.996,4
3yydZof4pq6N4zeyTzLwQk,"Passion","BOY","RAC,Louis The Child",2020-05-08,132746,48,,2025-03-08T14:02:22Z,"","Counter Records",0.777,0.721,0,-6.951,1,0.071,0.476,0.0512,0.27,0.88,106.956,4
6a8vuTNZubAqZ1LdTwuIud,"How Did I Get Here","Summer's Gone","ODESZA",2012-09-05,131250,55,,2025-03-08T14:02:22Z,"chillwave,chillstep","ODESZA",0.699,0.562,0,-8.02,0,0.0304,0.673,0.626,0.39,0.36,96.077,4
7h6GcTsaJpCWlvwW1PMUjA,"Supermoon","No Man's Sky: Music For An Infinite Universe (Original Soundtrack)","65daysofstatic",2016-08-05,262333,33,,2025-03-08T14:02:22Z,"post-rock,math rock","Laced Records",0.239,0.874,2,-8.137,0,0.108,0.00641,0.922,0.346,0.164,80.913,3
4NsPgRYUdHu2Q5JRNgXYU5,"Sweden","Minecraft - Volume Alpha","C418",2011-03-04,215500,64,,2025-03-08T14:02:22Z,"","C418",0.642,0.01,2,-25.164,1,0.0446,0.992,0.945,0.103,0.197,87.971,4
3m3Pzhj5Gd2PRJD3semU2O,"Checking In","Celeste (Original Soundtrack)","Lena Raine",2018-01-25,424718,35,,2025-03-08T14:02:22Z,"","Radical Dreamland",0.515,0.437,9,-10.016,0,0.0339,0.162,0.802,0.136,0.112,105.974,4
2mqIrpa65dlHE64EOs7lPI,"Twilight","The Last Call Before Light Speed","The Luna Lounge",2024-10-28,249856,15,,2025-03-08T14:02:22Z,"","outlawspaceman",0.725,0.466,0,-17.071,1,0.0869,0.917,0.922,0.0908,0.407,92.028,4
