Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
51k3ERQVXgxe3csaoeyeH0,"Rocket League Theme","Rocket League (Official Game Soundtrack)","Mike Ault",2015-07-01,88388,0,axiself,2018-06-11T04:09:14Z,"","Psyonix",0.559,0.891,0,-7.047,1,0.0473,0.0000661,0.908,0.126,0.613,121.047,4
6L9WmjdqIQyCw1zdiQdbvV,"Angel Wings","Rocket League (Official Game Soundtrack)","Mike Ault,Avianna Acid",2015-07-01,367500,0,axiself,2018-06-11T04:09:14Z,"","Psyonix",0.746,0.803,4,-8.798,0,0.0568,0.0552,0.0366,0.31,0.773,128.03,4
5PvL89gfiwedpBjnLrL1L2,"Darkness","Rocket League (Official Game Soundtrack)","Mike Ault,Christian de la Torre",2015-07-01,450000,0,axiself,2018-06-11T04:09:14Z,"","Psyonix",0.662,0.777,5,-8.189,0,0.0511,0.000564,0.87,0.0927,0.425,128.014,4
03FahHsmiImoaqxG13HmBv,"Flying Forever","Rocket League (Official Game Soundtrack)","Mike Ault,Morgan Perry",2015-07-01,365483,0,axiself,2018-06-11T04:09:14Z,"","Psyonix",0.646,0.676,11,-7.16,0,0.0332,0.00128,0.268,0.0676,0.675,135.015,4
5HGAQeDU7kh9HjeVvkgWSj,"I Can Be","Rocket League (Official Game Soundtrack)","Mike Ault,Crysta",2015-07-01,258461,0,axiself,2018-06-11T04:09:14Z,"","Psyonix",0.512,0.896,1,-4.04,0,0.0471,0.00447,0.111,0.0954,0.154,129.971,4
1S1QNGHTfUNz2sd3uG4agv,"In My Dreams","Rocket League (Official Game Soundtrack)","Mike Ault,Nikki Wilkins",2015-07-01,384347,0,axiself,2018-06-11T04:09:14Z,"","Psyonix",0.63,0.747,9,-7.69,0,0.044,0.000553,0.658,0.378,0.317,137.971,4
5z4gtXozUu4ywmMqRz2AMy,"Lacuna","Rocket League (Official Game Soundtrack)","Mike Ault",2015-07-01,429850,0,axiself,2018-06-11T04:09:14Z,"","Psyonix",0.694,0.63,2,-8.203,1,0.0433,0.0653,0.634,0.0871,0.472,134.006,4
7vCNnXlFijKO7YpAMLFHCN,"Love Thru the Night","Rocket League (Official Game Soundtrack)","Mike Ault,Morgan Perry",2015-07-01,307536,0,axiself,2018-06-11T04:09:14Z,"","Psyonix",0.648,0.575,2,-9.708,1,0.0301,0.00149,0.459,0.103,0.53,127.986,4
3mDV4wJiObSVMDgFJ94XWL,"We Speak Chinese","Rocket League (Official Game Soundtrack)","Mike Ault,Abandoned Carnival",2015-07-01,277500,0,axiself,2018-06-11T04:09:14Z,"","Psyonix",0.691,0.862,9,-7.652,1,0.0483,0.00356,0.922,0.0877,0.613,128.063,4
1JUoEb9IO5bfP6O86bAamA,"Seeing Whats Next","Rocket League (Official Game Soundtrack)","Hollywood Principle",2015-07-01,199285,0,axiself,2018-06-11T04:09:14Z,"","Psyonix",0.652,0.698,4,-9.521,0,0.0391,0.00401,0.0444,0.0954,0.345,139.996,4
1sDM4ocEMQK5MYYJWYPxdy,"Whiplash","Rocket League (Official Game Soundtrack)","Hollywood Principle",2015-07-01,437343,0,axiself,2018-06-11T04:09:14Z,"","Psyonix",0.601,0.885,4,-8.313,0,0.0592,0.000385,0.216,0.631,0.156,128.04,4
