Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
466AejgNTcFIJht4mf8ybM,"Alone As A Facetat","Leave Me The Fuck Alone","Wifisfuneral",2018-11-07,157303,0,cabultra,2019-03-08T01:23:48Z,"dark trap,underground hip hop","Alamo Records",0.66,0.456,5,-9.414,0,0.329,0.876,0,0.106,0.306,74.731,4
35eqqYzCWQyzqxj4SI9Ywl,"Greet Her","Northsbest","Lil Mosey",2018-10-19,174315,0,cabultra,2019-03-08T01:23:56Z,"melodic rap","Mogul Vision / Interscope PS",0.75,0.476,7,-7.864,0,0.0412,0.0593,0,0.199,0.123,94.995,4
3dWMa5MCAqKeLQdWyxXYYq,"BlindSide 2","BlindSide 2","SavageRealm",2018-10-05,149500,0,cabultra,2019-03-08T01:25:23Z,"meme rap","SavageRealm / Opposition",0.718,0.59,4,-8.749,0,0.184,0.0226,0.00735,0.171,0.705,179.949,4
6a4fFLw5CApgK63KHyVjqD,"Aggressive Masturbation","Aggressive Masturbation","SavageRealm",2017-06-24,123480,18,cabultra,2019-03-08T01:25:27Z,"meme rap","SavageRealm",0.812,0.433,2,-13.026,1,0.282,0.217,0.00226,0.123,0.373,139.93,4
0FoBWs2Pl6huOH94UCF4hI,"benihana ft. yung gravy prod. sonn","benihana ft. yung gravy prod. sonn","bbno$,Yung Gravy,Sonn",2017-05-28,178285,25,cabultra,2019-03-08T01:25:31Z,"meme rap","bbno$",0.887,0.649,10,-7.203,0,0.322,0.201,0,0.255,0.608,87.521,4
3SMvKWD9uGhSpG31pfqdRZ,"Gangsta Fever","Gangsta Fever","YoungBoy Never Broke Again",2019-02-19,140400,44,cabultra,2019-03-08T01:25:49Z,"","Never Broke Again, LLC",0.687,0.554,1,-9.044,1,0.277,0.279,0,0.103,0.551,164.957,4
3V3JxDpiUg0RAt1Mfbn6Ht,"Cross Me (feat. Lil Baby and Plies)","Realer","YoungBoy Never Broke Again,Lil Baby,Plies",2018-12-20,233684,57,cabultra,2019-03-08T01:25:53Z,"southern hip hop","Never Broke Again, LLC",0.717,0.617,9,-7.385,0,0.343,0.244,0,0.148,0.654,152.049,4
6zQ0IcachvPDp04oWI7w8B,"Wya? (feat. Ugly God) - Remix","Boy Who Cried Wolf","Wifisfuneral,Ugly God",2017-08-18,214680,0,cabultra,2019-03-08T01:26:01Z,"dark trap,underground hip hop","Alamo Records / Interscope",0.86,0.305,11,-15.617,0,0.387,0.322,0,0.0641,0.276,84.996,4
5ywH3ZxKfPEQqtDaU7KBKb,"Can't Feel My Face","Conn3ct3d","Wifisfuneral,Robb Bank$",2019-01-11,129000,25,cabultra,2019-03-08T01:26:05Z,"dark trap,underground hip hop,cloud rap","Conn3ct3d / Alamo Records / EMPIRE",0.947,0.584,8,-7.907,1,0.457,0.0491,0,0.0791,0.384,120.018,4
50SH0SOOT52pJ651u5HTFv,"LilSkiesFuneral (feat. Lil Skies)","Ethernet","Wifisfuneral,Lil Skies",2018-06-08,150013,0,cabultra,2019-03-08T01:26:08Z,"dark trap,underground hip hop,melodic rap","Alamo Records",0.856,0.57,1,-7.144,1,0.296,0.0106,0,0.108,0.34,160.025,4
