Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0cirHoEBub5UOycWQ0cYUh,"When All That Remains Are Memories Pt. II","When All That Remains Are Memories Pt. II - Single","Holly Drummond,Wistful",2017-03-08,226516,0,cabultra,2019-08-20T04:57:17Z,"chillstep","Artist Intelligence Agency",0.329,0.323,9,-11.46,0,0.0337,0.426,0.0228,0.112,0.0824,88.901,4
3xy8karhdpkltgdwj9FGbQ,"Stay Lost - Cabu Remix","Stay Lost (Cabu Remix)","Joe Hertz,Amber-Simone,Cabu",2016-04-11,226909,0,cabultra,2019-08-20T04:58:29Z,"","Juicebox Recordings",0.572,0.498,2,-10.484,0,0.431,0.0471,0.00000467,0.247,0.549,109.192,4
0elAif4RKsDJnlEht45du9,"Lifeline","Lifeline","MELVV,Dana Williams",2017-03-03,195333,0,cabultra,2019-08-20T04:58:54Z,"jazz rap","Yebo Music",0.547,0.568,1,-5.675,1,0.0402,0.34,0,0.087,0.555,90.405,4
4AqH4V7PEC5BTK29FVmXQd,"Lines of the Broken","Lines of the Broken","DROELOE,San Holo,CUT_",2017-05-16,220800,0,cabultra,2019-08-20T04:59:17Z,"future bass,edm","bitbird",0.593,0.569,8,-7.071,1,0.164,0.208,0.00442,0.221,0.3,149.908,4
1YUEbach5qkjyJCWzadxe9,"Go Ahead Boy (feat. Kevon)","Go Ahead Boy (feat. Kevon)","Janee,Kevon",2017-06-16,184145,0,cabultra,2019-08-20T05:00:06Z,"chill house,future house","Seeking Blue",0.765,0.571,0,-6.641,0,0.0504,0.123,0.00665,0.123,0.236,99.973,4
4unpXe9GYrqsD3eIL3QGZp,"Meant To Be","Meant To Be","Arc North,Krista Marina",2016-11-11,208352,0,cabultra,2019-08-20T05:00:26Z,"slap house","Frequency",0.383,0.595,10,-5.908,0,0.0409,0.0875,0.0000283,0.238,0.235,104.194,4
7GoQM8NWyznqve47jNn6et,"Odyssey (Feat. Danyka Nadeau)","Odyssey (Feat. Danyka Nadeau)","Televisor,Danyka",2017-01-18,252787,0,cabultra,2019-08-20T05:00:42Z,"nu disco,indie dance,french house","Funky Way",0.686,0.814,1,-4.192,0,0.0536,0.0448,0.00187,0.0676,0.542,110.001,4
2VY5XRP2IAaPATo1YBtc9m,"Hideaway","Hideaway","WRLD,Savoi",2017-01-17,205800,0,cabultra,2019-08-20T05:01:06Z,"future bass","Heroic",0.747,0.635,2,-4.765,1,0.0421,0.223,0.000047,0.0967,0.656,100.007,4
08DqG1RqpxnICWOdOp2PLV,"Crime (with Skott)","Crime (with Skott)","Grey,Skott",2017-09-08,175362,0,cabultra,2019-08-20T05:01:24Z,"","#808080",0.515,0.638,1,-7.558,1,0.356,0.191,0.00000118,0.14,0.38,160.182,4
6L1MYcOp6Hcqguxax5fwbM,"Birds","Birds","IZII,The Powder Room",2017-02-24,228212,0,cabultra,2019-08-20T05:01:40Z,"","Seeking Blue",0.391,0.916,7,-3.32,1,0.13,0.000442,0,0.345,0.432,175.821,4
7hlamUFnvYZ8XzkIe7GVXM,"Real Life","Words Unspoken","Gill Chang,Aviella",2017-09-08,183457,0,cabultra,2019-08-20T05:02:19Z,"future bass","/gillchang",0.922,0.694,2,-3.917,1,0.0452,0.505,0.0000858,0.0928,0.508,140.012,4
6QAqohrWfXLQzeHm8kcYZh,"Pure Luck","Pure Luck","Ninajirachi,Freya Staer",2017-03-13,202866,0,cabultra,2019-08-20T05:05:08Z,"hyperpop","Seeking Blue",0.631,0.776,11,-7.734,0,0.0442,0.422,0.0778,0.0721,0.152,180.089,4
6rOhRpCeWjFirOXT1C9KS2,"Lose Myself","Lose Myself","k?d,Phil Good",2017-03-17,230246,0,cabultra,2019-08-20T05:05:21Z,"future bass","ICONS Music",0.465,0.816,9,-3.399,1,0.0926,0.0125,0.0000363,0.0891,0.343,192.041,4
