Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7zTTDkkLkJ2iHAqq1daDCr,"OUTTA MY MIND","OUTTA MY MIND","Monsune",2019-08-30,226005,49,cabultra,2021-06-14T02:00:05Z,"bedroom pop","Monsune",0.689,0.463,2,-8.121,0,0.0365,0.066,0.000152,0.145,0.864,86.998,4
43tQOLiTfoVwURdx5Ei7yr,"Someone Else","Someone Else","Deb Never",2021-01-20,207946,26,cabultra,2021-06-15T17:42:09Z,"","Moonlanding",0.652,0.388,8,-10.466,1,0.0385,0.2,0.0168,0.164,0.337,154.084,4
7CIERzyqIwLVKGp00YbHRO,"Pain","Pain","PinkPantheress",2021-06-07,98544,58,cabultra,2021-09-06T05:32:47Z,"bedroom pop","Parlophone UK",0.829,0.617,1,-8.497,1,0.14,0.227,0.00306,0.0618,0.81,125.605,4
6OTKVgVpVaVjhRLYizPJKA,"Just for Me","Just for me","PinkPantheress",2021-08-13,115800,52,cabultra,2021-09-06T05:32:52Z,"bedroom pop","Parlophone UK",0.796,0.625,0,-7.218,1,0.0645,0.653,0.00348,0.187,0.641,133.035,4
0DwVfCYLrVXgvejYbWwZAd,"Break It Off","Break It Off","PinkPantheress",2021-06-04,95317,59,cabultra,2021-09-06T05:32:56Z,"bedroom pop","Parlophone UK",0.544,0.888,6,-5.003,0,0.116,0.00311,0.0000078,0.076,0.746,171.69,4
6ZJqCviTotiIujl1rfcL53,"Passion","Passion","PinkPantheress",2021-07-01,138268,48,cabultra,2021-09-06T05:33:00Z,"bedroom pop","Parlophone UK",0.699,0.628,0,-5.163,0,0.0369,0.49,0.782,0.101,0.607,79.968,4
1Sqf9ZH0YZoWx6CrxCKYie,"Speaking Terms","Lush","Snail Mail",2018-06-08,233560,40,cabultra,2021-09-06T05:33:30Z,"indie","Matador",0.539,0.714,4,-7.041,1,0.0274,0.0774,0.32,0.119,0.399,124.871,4
34eF4BoV8FPk0uhAAoqU7h,"SUN GOES DOWN","SUN GOES DOWN","Lil Nas X",2021-05-21,168275,49,cabultra,2021-09-06T14:01:08Z,"","Columbia",0.551,0.636,2,-6.798,1,0.054,0.0837,0.00000428,0.112,0.148,174.065,4
2fGRJzoiYJYAzlQAyBONMb,"Morning Sex","Morning Sex","Ralph Castelli",2019-06-07,175312,31,cabultra,2021-09-07T01:36:14Z,"bedroom pop","Ralph Castelli",0.81,0.353,6,-9.536,1,0.0437,0.0473,0.000104,0.082,0.731,124.991,4
7bhpOnHyttMaBCg6WGCRzi,"help herself (with BENEE)","help herself (with BENEE)","bbno$,Diamond Pistols,BENEE",2021-04-30,166613,0,cabultra,2021-09-07T01:36:32Z,"meme rap","bbno$",0.592,0.837,4,-6.987,0,0.0375,0.45,0.0222,0.145,0.67,167.992,4
7dJN4NWQuqCjWwIT3UwOps,"Useless","Apolonio","Omar Apollo",2020-10-16,183693,55,cabultra,2021-09-07T01:36:44Z,"bedroom pop","Warner Records",0.612,0.565,5,-7.609,1,0.0414,0.585,0.00174,0.0827,0.545,89.895,4
1jVjOcs7QeQZJXScbqvofI,"Time Machine","WILLOW","WILLOW",2019-07-19,143640,57,cabultra,2021-09-07T01:36:55Z,"","MSFTSMusic / Roc Nation Records",0.606,0.532,3,-6.076,1,0.0416,0.44,0,0.132,0.405,81.332,3
3E73eFyGL6v10qlK3jiLyR,"Rocky","If This Isn’t Nice, I Don’t Know What Is","Still Woozy",2021-08-13,166000,50,cabultra,2021-09-07T01:37:04Z,"bedroom pop","Still Woozy Productions Inc., under exclusive license to Interscope Records",0.737,0.517,11,-9.415,0,0.0776,0.512,0.00574,0.109,0.525,101.095,4
0VF7YLIxSQKyNiFL3X6MmN,"Stargazing","Chip Chrome & The Mono-Tones (Deluxe)","The Neighbourhood",2020-12-11,217026,63,cabultra,2021-09-07T01:43:52Z,"","Columbia",0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009,4
3ZW48z429TwTJlEN9vxs8u,"Mystery","Mystery","Ralph Castelli",2021-04-01,177600,7,cabultra,2021-09-07T01:53:50Z,"bedroom pop","Ralph Castelli",0.832,0.603,6,-10.546,0,0.0416,0.106,0.0688,0.132,0.165,100.002,4
37y7iDayfwm3WXn5BiAoRk,"Dark Red","Dark Red","Steve Lacy",2017-02-20,173104,6,cabultra,2021-09-07T01:54:29Z,"","Three Quarter",0.603,0.783,6,-4.023,1,0.062,0.449,0.00000796,0.119,0.775,172.041,4
1aNiHxopNsQDGRCrrAw9FX,"Poolside","THE ANXIETY","THE ANXIETY,WILLOW,Tyler Cole",2020-03-13,224026,35,cabultra,2021-09-07T01:54:49Z,"","MSFTSMusic / Roc Nation Records, LLC",0.428,0.7,9,-8.184,0,0.275,0.153,0,0.23,0.334,96.62,4
1Go9q6KaCpAsQ0wkZFGzY2,"Chandelier","Chandelier","Will Paquin",2020-09-25,127464,6,cabultra,2021-09-07T01:55:42Z,"","Sonder House",0.333,0.498,2,-9.121,0,0.0468,0.674,0.00000651,0.12,0.427,87.082,4
1rbpOgJauxNQ8kXgPYKxlF,"21","21","Will Paquin",2021-04-02,155729,0,cabultra,2021-09-07T02:30:59Z,"","Sonder House",0.335,0.442,1,-11.578,0,0.0349,0.384,0.000684,0.147,0.359,112.971,3
5O06k1mpaajgmj5zPFrZF0,"Now You Know","Now You Know","Will Paquin",2021-02-19,121404,0,cabultra,2021-09-07T02:31:36Z,"","Sonder House",0.659,0.423,9,-8.226,0,0.122,0.232,0,0.282,0.421,117.932,4
5bCmPv8ymn6TkphrMZKNzk,"Kenny","If This Isn’t Nice, I Don’t Know What Is","Still Woozy",2021-08-13,194133,43,cabultra,2021-09-09T02:58:22Z,"bedroom pop","Still Woozy Productions Inc., under exclusive license to Interscope Records",0.751,0.486,1,-10.73,1,0.0372,0.332,0.038,0.108,0.408,120.014,4
06nKF46jG8p1zwyP4ziAyG,"Pears","Pears","Weston Estate",2021-04-23,141877,45,cabultra,2021-09-09T03:06:25Z,"","Arista Records",0.607,0.599,5,-6.481,0,0.0558,0.534,0,0.111,0.192,82.013,4
01TyFEZu6mHbffsVfxgrFn,"Show Me How","Show Me How","Men I Trust",2018-02-28,215110,13,cabultra,2021-09-09T03:06:32Z,"bedroom pop,indie pop","Indie",0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,4
09RamrocZneYcLYLRIxYha,"Steeeam","Shelly","Shelly",2020-10-30,170892,66,cabultra,2021-09-10T17:19:12Z,"","Orange Hill Records",0.817,0.763,5,-11.014,0,0.0373,0.546,0.158,0.124,0.923,120.034,4
1ErY5BBTlfFVnewSQ4rwKY,"Back to the Start","Back to the Start","KALI",2020-11-12,203261,0,cabultra,2021-09-10T17:19:46Z,"bedroom pop","Nettwerk Records",0.651,0.628,5,-5.042,1,0.0335,0.24,0.000392,0.109,0.468,111.256,4
6xNkEcbvpPcdSOFKFXNpFL,"Amber","Amber","Unusual Demont",2020-08-11,214325,0,cabultra,2021-09-10T17:20:02Z,"alternative r&b","Unusual Productions",0.884,0.756,8,-6.831,1,0.202,0.326,0.0481,0.304,0.784,119.029,4
5uUjYnzcjEgiIFWR0av19g,"Kamikaze","Apolonio","Omar Apollo",2020-10-16,210914,49,cabultra,2021-09-10T17:31:09Z,"bedroom pop","Warner Records",0.705,0.734,2,-5.08,0,0.184,0.28,0.0000714,0.093,0.457,94.996,4
6LwYUSaVJLdTwrziHEUSxM,"Japan","Japan","Yot Club",2019-03-28,174000,0,cabultra,2021-09-10T17:41:27Z,"bedroom pop","Yot Club",0.667,0.73,5,-8.411,1,0.0457,0.137,0.911,0.0706,0.375,165.834,4
58VNpcJpI5dEKxYByCkbXc,"Miss Summer","Miss Summer","ODIE",2020-10-23,162376,56,cabultra,2021-09-10T17:42:07Z,"","Unité Recordings / EMPIRE",0.589,0.527,0,-9.962,1,0.0342,0.599,0.000111,0.0853,0.132,133.981,4
0ASIqnVJvN1GmH1xEBdf2a,"Fly Out West - Single Version","Fly Out West","Yot Club",2019-05-31,174211,53,cabultra,2021-09-10T18:02:34Z,"bedroom pop","Yot Club under exclusive license to Amuseio AB",0.499,0.666,2,-15.61,1,0.0446,0.417,0.461,0.0715,0.405,173.325,4
0dgehlr08kKoyl2nG7Dhv4,"Strange Love - Single Edit","Strange Love - Single Edit","Cautious Clay,Saba",2021-06-01,181483,24,cabultra,2021-09-10T18:37:28Z,"","Cautious Clay",0.656,0.701,1,-7.056,0,0.0937,0.419,0.000012,0.102,0.826,90.024,4
7pcANiSH8mEKLUIPAxiSDr,"CAN YOU HEAR THE MOON","The in Between","Grady",2019-10-25,182534,44,cabultra,2021-09-12T18:25:02Z,"","TMWRK Records, LLC",0.343,0.503,6,-6.018,0,0.0623,0.0242,0.00184,0.42,0.5,146.11,4
6befTEhWGaMhrsgS5IbvH7,"Too Many People","Lemontopia","Dev Lemons,Stevie Powers",2021-04-16,159297,19,cabultra,2021-09-12T18:34:46Z,"hyperpop,bedroom pop","933904 Records DK",0.701,0.579,6,-10.621,1,0.0341,0.0202,0.0151,0.567,0.393,121.045,4
0WHWD1OwKWBiESxUEqf8x0,"That's Life","If This Isn’t Nice, I Don’t Know What Is","Still Woozy",2021-08-13,147653,52,cabultra,2021-09-12T23:36:13Z,"bedroom pop","Still Woozy Productions Inc., under exclusive license to Interscope Records",0.754,0.498,6,-8.741,0,0.087,0.51,0.0321,0.102,0.544,96.11,4
5K1is8joaUpZJHuNkEoSfC,"Westside","The Way He Looks","carpetgarden",2021-02-24,180020,32,cabultra,2021-09-12T23:36:20Z,"","House Anxiety",0.664,0.751,4,-9.227,0,0.0478,0.00834,0.801,0.0569,0.97,81.16,4
5Vth7eImumlAyhsW8PqqAM,"Naked","Naked","Bickle",2020-03-10,210004,42,cabultra,2021-09-12T23:36:37Z,"","Big Bad Hawk",0.815,0.497,1,-9.65,1,0.0547,0.000104,0.0219,0.071,0.472,126.046,4
1qxZswAdBvM0JMUoV83J1b,"BS","BS","Still Woozy",2020-09-10,133986,47,cabultra,2021-09-12T23:37:00Z,"bedroom pop","Still Woozy Productions Inc., under exclusive license to Interscope Records",0.616,0.458,3,-11.832,1,0.0455,0.503,0.0035,0.115,0.53,79.574,3
1nBVHNr7KSYHNj6BdhlNx3,"Best Thing","The Story Of Hugo","JAWNY",2021-07-14,156706,39,cabultra,2021-09-13T01:35:12Z,"bedroom pop","Johnny Utah LLC, under exclusive license to Interscope Records",0.65,0.739,5,-6.252,0,0.569,0.529,0,0.101,0.874,192.135,4
3VDc9l2LmtiXIpdV2hYLsg,"Full Control","Lush","Snail Mail",2018-06-08,175466,34,cabultra,2021-09-15T03:34:54Z,"indie","Matador",0.547,0.755,11,-4.708,1,0.0316,0.0000751,0.109,0.121,0.6,117.006,4
58nLMb5qqqwvfechq107Oh,"Funny (feat. Childish Major)","Funny (feat. Childish Major)","Benét,Childish Major",2021-03-16,162667,31,cabultra,2021-09-15T04:39:51Z,"","Bayonet Records",0.531,0.805,3,-6.73,1,0.132,0.332,0.00494,0.474,0.727,97.143,4
2vWBUC9djv6BtiGlmKiQaH,"YKWIM?","Bipolar","Yot Club",2019-05-31,212750,74,cabultra,2021-09-16T00:48:05Z,"bedroom pop","Yot Club under exclusive license to Amuseio AB",0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,3
3IwadYiQKN7O51JgIH9PBC,"no way !","aquarium","Yot Club",2019-01-13,166458,59,cabultra,2021-09-16T00:48:15Z,"bedroom pop","Yot Club under exclusive license to Amuseio AB",0.651,0.696,7,-7.889,1,0.0314,0.0949,0.903,0.387,0.62,130.27,4
2UvMgTm9y3lStOyQE2yxKA,"Cotton Candy","Cotton Candy","Weston Estate",2019-05-24,154074,37,cabultra,2021-09-16T00:57:18Z,"","Arista Records",0.606,0.275,10,-10.004,1,0.0288,0.39,0,0.135,0.19,81.041,4
1NFNa1nGPnwdmcHO5XQ7Ui,"Fresh Air","Fresh Air","Maasho,Weston Estate",2019-06-21,210461,0,cabultra,2021-09-16T00:57:28Z,"","Weston Estate",0.785,0.66,3,-3.189,1,0.101,0.201,0,0.104,0.475,129.998,4
7gGOZlpGzkfRIIt4iEJ6gY,"Hold On","Hold On","Weston Estate",2021-03-05,159135,36,cabultra,2021-09-16T01:21:26Z,"","Arista Records",0.537,0.817,10,-5.769,0,0.0677,0.249,0.00000319,0.221,0.397,147.05,4
07FZOq9SUuITVCNE0oTm1k,"Close The Door","Close The Door","Weston Estate",2020-03-20,231794,38,cabultra,2021-09-16T01:27:01Z,"","Arista Records",0.617,0.51,0,-8.465,0,0.0289,0.64,0.000266,0.116,0.705,116.952,4
2FHdkquBesDIZZ0IcVYaFc,"Outside","Outside","Weston Estate",2021-08-13,137884,35,cabultra,2021-09-16T17:27:08Z,"","Arista Records",0.689,0.37,2,-6.409,1,0.0514,0.611,0,0.153,0.701,84.968,4
3ebXQcTv6FZPUSF92Nc0Q3,"DEAD RIGHT NOW","MONTERO","Lil Nas X",2021-09-17,221203,7,cabultra,2021-09-19T22:24:11Z,"","Columbia",0.685,0.717,0,-6.456,0,0.0411,0.101,0.0000187,0.266,0.549,127.963,4
2EZr4ld0CZ8zFyHNXs6eOz,"ONE OF ME (feat. Elton John)","MONTERO","Lil Nas X,Elton John",2021-09-17,161666,6,cabultra,2021-09-19T22:36:03Z,"","Columbia",0.708,0.598,3,-4.969,0,0.0617,0.202,0,0.183,0.561,144.09,4
1ul46I22bALjNOxYI9wpQm,"VOID","MONTERO","Lil Nas X",2021-09-17,248407,5,cabultra,2021-09-19T22:51:16Z,"","Columbia",0.609,0.438,6,-8.486,0,0.0311,0.626,0.00011,0.103,0.176,139.875,4
