Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7Ei1DKe4hxpacfSKxhqTi7,"Fantasy 1982","Fantasy 1982","LMR City Pop,Mei,R!zumu",2024-12-20,264696,38,22hgmfs42726tamnhl5zklf6i,2024-12-27T00:15:04Z,"city pop,anime","LMR City Pop",0.739,0.907,8,-2.889,1,0.0472,0.279,0.000156,0.0657,0.82,128,4
5vGayiOVp6PGKRP4bkIrJp,"Sayonara","Sayonara","Emi Aramaki",2025-02-14,251685,33,22hgmfs42726tamnhl5zklf6i,2025-02-14T00:05:07Z,"city pop","Emi Aramaki",0.623,0.786,0,-6.33,1,0.0345,0.00209,0.00000537,0.408,0.449,111.983,4
4FicsGG1Qz8LjI0bEoxPa4,"Purple Dream","Purple Dream","Emi Aramaki",2024-09-18,256096,39,22hgmfs42726tamnhl5zklf6i,2024-09-20T17:21:52Z,"city pop","Emi Aramaki",0.711,0.786,5,-6.71,0,0.0593,0.0198,0.00000165,0.326,0.768,115.016,4
6DWgf3gY9avulPrGVF4Wdx,"Lonely Night","Lonely Night","Emi Aramaki",2021-07-13,220212,36,22hgmfs42726tamnhl5zklf6i,2024-09-20T17:25:44Z,"city pop","Neoncity Records",0.632,0.792,10,-3.471,0,0.0545,0.0311,0.00025,0.303,0.745,93.915,4
2BHj31ufdEqVK5CkYDp9mA,"Mayonaka no Door / Stay With Me","Miki Matsubara Best Collection","Miki Matsubara",2008,312293,70,22hgmfs42726tamnhl5zklf6i,2021-04-22T01:31:19Z,"city pop,j-pop","PONY CANYON INC.",0.658,0.747,5,-6.615,1,0.0431,0.176,0.00000849,0.0789,0.792,108.259,4
2uXlHiOE4o5xHOCiob8DKn,"Fly-day Chinatown","Fly-day Chinatown","泰葉",1981-09-21,208493,59,22hgmfs42726tamnhl5zklf6i,2022-06-10T18:45:54Z,"city pop","Universal Music LLC",0.752,0.803,11,-4.72,0,0.0337,0.324,0.00000266,0.203,0.669,123.17,4
7rU6Iebxzlvqy5t857bKFq,"Plastic Love","Expressions","Mariya Takeuchi",2008-05-21,294493,60,22hgmfs42726tamnhl5zklf6i,2021-04-22T01:32:53Z,"city pop,kayokyoku,j-pop","WM Japan",0.648,0.875,2,-5.141,0,0.034,0.0747,0.0000964,0.196,0.857,102.517,4
4wUQvovMEkByMvZNCecZ9v,"黄昏のBAY CITY","黄昏のBAY CITY","Junko Yagami",1983-11-21,250373,56,22hgmfs42726tamnhl5zklf6i,2023-05-18T00:16:49Z,"city pop,kayokyoku,j-pop","Yamaha Music Entertainment Holdings, Inc.",0.775,0.837,9,-5.462,0,0.0343,0.5,0.00235,0.298,0.842,115.099,4
4S2CZucQAIH9TwTpHvX3hu,"Midnight Pretenders - 2022 restored version","浮遊空間 (+1; 2022 restored version)","Tomoko Aran",1983-05-28,343722,40,22hgmfs42726tamnhl5zklf6i,2022-10-09T06:03:27Z,"city pop","WM Japan",0.729,0.583,0,-6.827,0,0.0259,0.123,0,0.101,0.474,93.111,4
2lV8YY0GQYXgtUWXM4NJ4X,"4:00A.M.","Mignonne","Taeko Onuki",1978,336960,0,22hgmfs42726tamnhl5zklf6i,2021-04-22T01:33:59Z,"city pop,shibuya-kei,j-pop","Sony Music Direct (Japan) Inc.",0.631,0.769,1,-6.918,1,0.0372,0.276,0.000375,0.0789,0.834,103.395,4
1WVrvbi3Ee3ifFu2Aw528i,"FRIDAY MAGIC","2000BEST（ミレニアムベスト）中原めいこ　ベスト","Meiko Nakahara",2000-06-21,209333,41,22hgmfs42726tamnhl5zklf6i,2024-07-03T07:25:37Z,"city pop,kayokyoku","EMI MUSIC JAPAN INC.",0.808,0.854,0,-6.816,0,0.0348,0.0728,0.0419,0.339,0.947,130.541,4
5ULmKQMAwbdVxHNvDtsUzm,"BOHEMIAN","ROMANTIQUE (Mastered by Bernie Grundman)","Taeko Onuki",1980-07-21,249826,41,22hgmfs42726tamnhl5zklf6i,2023-05-18T00:16:19Z,"city pop,shibuya-kei,j-pop","Sony Music Direct (Japan) Inc.",0.733,0.408,10,-12.673,1,0.0327,0.659,0.00256,0.0684,0.411,125.56,4
64yQ4RzcTekpEAGqzH9WkV,"パレード","GOODIES","EPO",1980-11-21,215253,34,22hgmfs42726tamnhl5zklf6i,2023-08-30T04:27:33Z,"city pop,kayokyoku","Sony Music Direct (Japan) Inc.",0.626,0.515,0,-8.862,1,0.0296,0.125,0.00000366,0.165,0.52,128.032,4
0SE6Wjw9boDhk6eDo3UOTl,"悲しきBy-Player","City Pop Essentials Vol. 1","Kingo Hamada",2022-07-06,280960,30,22hgmfs42726tamnhl5zklf6i,2023-04-04T18:57:59Z,"city pop","UME - Global Clearing House",0.677,0.434,7,-14.944,1,0.025,0.344,0.0172,0.3,0.55,98.017,4
6bwcIiaHHkfQZXWvdWIPxE,"When Tomorrow Comes","Angel Touch","Cindy",1990,97840,31,22hgmfs42726tamnhl5zklf6i,2023-08-30T04:27:37Z,"city pop","Sony Music Direct (Japan) Inc.",0.33,0.309,2,-11.602,1,0.0261,0.953,0,0.228,0.132,80.015,3
1YZkWgdOshkld7Ybx5aJOj,"Losing You","Again","黒住憲五",1982,218880,31,22hgmfs42726tamnhl5zklf6i,2023-04-04T18:58:07Z,"city pop","Nippon Columbia Co., Ltd./NIPPONOPHONE",0.494,0.305,2,-9.778,1,0.0405,0.88,0.00058,0.121,0.219,139.53,4
0iHqZBnp86FeHA2YFEHing,"愛を奪って 心縛って (Original Remastered 2018)","overture! (Original Remastered 2018)","Wink",1994-07-01,268185,32,22hgmfs42726tamnhl5zklf6i,2023-04-14T16:28:43Z,"city pop,kayokyoku,j-pop","Polystar Co.,Ltd.",0.563,0.805,1,-5.672,0,0.031,0.145,0.0000213,0.149,0.491,135.832,4
5JsalzS64AuQQJ8rLXmAsR,"kinyoubi no venus feat. yasuyuki horigome","Talio","RYUSENKEI,HITOMITOI,Yasuyuki Horigome",2020-11-11,186973,30,22hgmfs42726tamnhl5zklf6i,2023-08-30T04:27:40Z,"city pop,shibuya-kei,jazz fusion,japanese indie,j-r&b","Victor",0.68,0.627,9,-7.218,1,0.0381,0.0239,0.00196,0.0818,0.756,114.935,4
088gQXUdODQlu3fwr2eoj9,"Capricorn Woman","Four Seasons","Naomi Akimoto",1984-02-25,242500,30,22hgmfs42726tamnhl5zklf6i,2023-04-04T18:58:31Z,"city pop,j-r&b","INVITATION",0.803,0.652,0,-8.743,1,0.0531,0.109,0.00000485,0.141,0.774,129.707,4
65xqZ9mmS3g9Au28EjLncl,"愛のかけら","ドリームインザストリート","池田典代",2018-01-10,291146,26,22hgmfs42726tamnhl5zklf6i,2023-08-30T04:27:44Z,"city pop","TOKUMA JAPAN COMMUNICATIONS",0.536,0.358,5,-14.515,1,0.0548,0.698,0.00416,0.0842,0.257,125.41,4
36ETMEFmMOY4zugUnoYR6t,"それから","風のように","Iyo Matsumoto",2017-08-30,271440,28,22hgmfs42726tamnhl5zklf6i,2023-04-14T16:28:57Z,"city pop,kayokyoku,j-pop","Victor",0.691,0.948,0,-5.052,0,0.0454,0.519,0.000677,0.372,0.674,113.016,4
0f5eJMxLTjIN9jTfEnLJZc,"あなたにはわからない","ゴールデン☆ベスト 大橋純子 シングルス","Junko Ohashi,美乃家セントラルステイション",2003-01-01,199240,26,22hgmfs42726tamnhl5zklf6i,2023-08-30T04:27:46Z,"city pop,kayokyoku,j-pop","Universal Music LLC",0.458,0.681,4,-5.956,0,0.0792,0.541,0.0000145,0.519,0.505,77.38,4
6igly5ErLik5aPi3LGId1R,"サマーオレンヂの恋","ドリームインザストリート","池田典代",2018-01-10,263413,27,22hgmfs42726tamnhl5zklf6i,2023-04-04T18:58:45Z,"city pop","TOKUMA JAPAN COMMUNICATIONS",0.641,0.442,3,-10.809,1,0.0322,0.591,0.000685,0.207,0.756,151.759,4
1puJFK1ZUIcJAdEHcLJd8E,"街のドルフィン - 2020 Remaster","midnight crusin' (2020 Remaster)","Kingo Hamada",1982-10-21,233250,41,22hgmfs42726tamnhl5zklf6i,2022-10-09T06:03:05Z,"city pop","WM Japan",0.751,0.661,9,-6.599,1,0.035,0.217,0.00109,0.0886,0.36,122.331,4
12OhRXRZPgMSSBLNO5ibSC,"チャイニーズ・レストラン","LOVE TRIP","間宮貴子",1982-11-25,232853,39,22hgmfs42726tamnhl5zklf6i,2023-08-30T04:27:54Z,"city pop","Universal Music LLC",0.549,0.566,7,-11.195,0,0.0365,0.416,0.318,0.149,0.577,77.466,4
7vpRU0zTUl88a9fkyx6AUB,"バージニア・ラプソディ","サムシングI・Y・O","Iyo Matsumoto",2017-08-23,211160,27,22hgmfs42726tamnhl5zklf6i,2022-10-09T06:04:38Z,"city pop,kayokyoku,j-pop","Victor",0.786,0.692,9,-5.607,1,0.0307,0.423,0.00022,0.25,0.716,98.112,4
1oacjZb8pH6OmGQGAbMkso,"Ohikkoshi Wasuremono","Garasu no Kodou","Yuki Saitou",2007,287906,27,22hgmfs42726tamnhl5zklf6i,2022-11-14T06:32:06Z,"city pop,kayokyoku","PONY CANYON INC.",0.729,0.641,5,-9.618,0,0.0515,0.243,0.0134,0.186,0.967,143.11,4
0RRYgIGIL9pJv0Zg8Es4kG,"PARK Ave. 1981","GOODIES","EPO",1980-11-21,150973,32,22hgmfs42726tamnhl5zklf6i,2022-11-14T06:31:35Z,"city pop,kayokyoku","Sony Music Direct (Japan) Inc.",0.642,0.518,4,-9.232,0,0.0346,0.459,0.0000664,0.336,0.667,145.625,4
2jcujKMXTRGNHjtSp4s4tf,"September Rain - Japanese Version 2018 Remaster","FIRST LIGHT (2018 Remaster)","Makoto Matsushita",1982-04-21,270663,36,22hgmfs42726tamnhl5zklf6i,2022-10-09T06:03:39Z,"city pop,jazz fusion,j-r&b","WM Japan",0.588,0.424,0,-9.395,1,0.0248,0.607,0.0415,0.158,0.362,124.025,4
5SgeKIyWWLz8iqE5O0XbZm,"Dancing Tonight","Relief 72 hours","Yurie Kokubu",2013-07-24,190920,33,22hgmfs42726tamnhl5zklf6i,2022-08-29T05:30:54Z,"city pop","Sony Music Direct (Japan) Inc.",0.86,0.806,7,-8.299,0,0.037,0.283,0.0022,0.0718,0.853,121.864,4
