Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2fJcCZXjaPx86LQymV6Ufu,"magic","sounds","Medasin,MAE.SUN",2024-03-22,356990,61,,1970-01-01T00:00:00Z,"future bass","Medasin Music",0.0922,0.156,9,-25.616,0,0.0318,0.957,0.905,0.206,0.0736,84.569,3
3l75jB2gKi4VpgklWIbTOz,"Sunday Vibes","The Pink Polo EP","Masego,Medasin",2016-04-05,226168,47,,1970-01-01T00:00:00Z,"future bass","TrapHouseJazz",0.691,0.67,1,-4.471,1,0.0644,0.258,0.764,0.117,0.22,170.066,4
5xxxqqI4WRsBvK5aAhR1mP,"I Feel Strange","I Feel Strange","Medasin",2023-03-29,269581,37,,1970-01-01T00:00:00Z,"future bass","Medasin",0.66,0.677,10,-10.324,0,0.059,0.726,0.898,0.121,0.0784,130.007,4
4RVRgJXr8rPcHJqE7WLIcQ,"Feel It Still - Medasin Remix","Woodstock (Deluxe Edition)","Portugal. The Man,Medasin",2017-06-16,194434,41,,1970-01-01T00:00:00Z,"future bass","Atlantic Records",0.536,0.463,4,-10.623,1,0.27,0.532,0.00107,0.0858,0.148,157.736,4
42NB7w0tDCag0mQpCtZe7Y,"Home","Irene","Medasin",2018-08-10,194546,40,,1970-01-01T00:00:00Z,"future bass","ALT:VISION Records",0.66,0.45,4,-11.011,1,0.0451,0.839,0.714,0.374,0.242,145.011,4
6GMaQmdpwGolGyuW6ZJ9X9,"Always Afternoon","Always Afternoon","Medasin,Kathleen",2019-05-10,183226,39,,1970-01-01T00:00:00Z,"future bass","ALT:VISION Records",0.598,0.357,3,-12.104,1,0.0492,0.869,0.0957,0.27,0.168,75.017,4
0BAQjCC9gfqOebxpmonHKz,"Everytime","RIPPLS","Medasin,Naomi Wild",2020-03-06,170884,40,,1970-01-01T00:00:00Z,"future bass","Medasin",0.751,0.377,5,-9.8,1,0.0538,0.0485,0.000468,0.291,0.14,112.478,3
2tXAlgn5edRzg0gIFpRxfw,"remembering","sounds","Medasin,Sara Kawai,Keyhan",2024-03-22,188653,36,,1970-01-01T00:00:00Z,"future bass","Medasin Music",0.184,0.138,5,-26.615,1,0.0372,0.912,0.873,0.0985,0.0411,97.668,4
0sXQaKPTlutIBYnwZqOn2I,"Shut Up & Groove","The Pink Polo EP","Masego,Medasin",2016-04-05,156546,36,,1970-01-01T00:00:00Z,"future bass","TrapHouseJazz",0.721,0.582,10,-7.603,0,0.381,0.0467,0.000783,0.132,0.442,89.817,4
0u74chsSgmcIyhhOqTrEyV,"Leaving Earth 2","Irene","Medasin",2018-08-10,193413,29,,1970-01-01T00:00:00Z,"future bass","ALT:VISION Records",0.479,0.423,5,-14.568,0,0.0674,0.757,0.776,0.0672,0.0696,68.345,4
